// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Star Shepards Hub
STATION;type;Engineering Facility
STATION;owner;Bemdee Tudoe
STATION;faction;Temple
STATION;material;station_material_Temple.png
STATION;color;.60 , .20 , .80 , 1
STATION;level;1
STATION;icon;star_shepards.png
STATION;filename;sector_95_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;2-1-1-4-8-0-3-1-5-3-3-8-0
STATION;interior_seed;4-3-45-9
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;50090.04
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;False
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;False
SERVICES;storage;True
SERVICES;fabricator;False
SERVICES;contracts;True
SERVICES;admin;False
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Astrox Opera House;0.26,0.07;51000;Musical Entertainment;entertain_opera.png;Provide a private opera concert for your entire crew at the famous 'Astrox Opera House', drinks and food included. 26% Morale , 7% Loyalty bonus.
ENTERTAINMENT;BioSynth Wildlife Park;0.05,0.05;26000;Rest and Relaxation;entertain_park.png;A weekend package to the local wildlife BioSynth park for your entire crew, included petting zoo. 5% Morale Boost, 5% Loyalty Boost
ENTERTAINMENT;Evening of Drinks;0.05,0.0;1500;Alcholic Drinks;entertain_bar.png;Pick up the tab for an evening of drinks for your crew, they earned it. 5% Morale Boost.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;3;1.00;npc_ship_data_(support_frigate_1).txt
MERC;7;1.30;npc_ship_data_(battle_shuttle_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
BUYORDER;Market Out of Stock: (3) Items ;121x103,106x236,120x128;43076.00;101531.60
MISSION;151;120;979196;FABRICATE#8#2421#sector_58_station_0.txt#sector_97_station_0.txt#null#null#null#null;Produce a light container of <color='yellow'>8</color> <color='yellow'>Fuel Injectors</color> at the CoraVault fabricator in <color='cyan'>Lins</color>;11;The Orthodox Faction has commissioned a production liaison, <i>Jelsih Youdo</i> at Temple of the Void. After an audit, <color='yellow'>8</color> items of <color='yellow'>Fuel Injectors</color> were deemed required. Head on over to <color='cyan'>Lins</color> and manufacture these <color='yellow'>Fuel Injectors</color> at CoraVault.;22050;7656
MISSION;141;90;416215;REFINE#19#21#sector_69_station_0.txt#sector_3_station_0.txt#null#null#null#null;Refine a light container of <color='yellow'>19</color> <color='yellow'>Scrap Parts</color> at the Mass Market station in <color='cyan'>Dorando Corridor</color>;9;The Temple Faction has commissioned a refinery liaison, <i>Sipgot Jalisbruaj</i> at Daemon Ammunitions. After an audit, <color='yellow'>19</color> items of <color='yellow'>Scrap Parts</color> were left unused. Head on over to <color='cyan'>Dorando Corridor</color> and refine these <color='yellow'>Scrap Parts</color> at the Mass Market refinery.;27862;10500
MISSION;113;60;661601;KILL_RAIDERS#sector_35_station_0.txt#sector_13.txt#1#30#npc_ship_data_(ATC_Raider_MK2)#random#random#random;Exterminate <color='yellow'>1 Raider</color> Skilled Raider(s) in <color='cyan'>Jala</color> and dock at Astrox Security Patrol in <color='cyan'>Felishar</color>;11;Reports of a small skilled gang in the <color='cyan'>Jala</color> system have locals concerned, and Orthodox faction members are worried about the increase in criminal activity around their local production facilities. Eliminate <color='yellow'>1 Raider</color> raiders in total, and return to Astrox Security Patrol station in <color='cyan'>Felishar</color> when complete.;60234;14738
MISSION;101;120;743757;KILL_RECOVER#sector_14_station_1.txt#sector_57.txt#Govenor Bacjo Sawwenoi#npc_ship_data_(battle_shuttle_1)#5#26#2015#null;Hijack <color='yellow'><i>Govenor Bacjo Sawwenoi</i></color> in <color='cyan'>Ponze</color> for <color='yellow'>26</color> <color='yellow'>Misc Hardwares</color> and deliver them to Horizons in <color='cyan'>Gate of Alpharis</color>;9;Authorities in <color='cyan'>Ponze</color> have reported the location of a known criminal, <color='yellow'><i>Govenor Bacjo Sawwenoi</i></color>. He is carrying some stolen property belonging to members of the Temple faction. Destroy <color='yellow'><i>Govenor Bacjo Sawwenoi</i></color>'s ship and recover the <color='yellow'>26</color> <color='yellow'>Misc Hardwares</color>. When finished, meet up with <i>Peihas Ferxen</i>, you can find him at Horizons in <color='cyan'>Gate of Alpharis</color>.;26154;6125
MISSION;44;45;569350;SCAN_PILOT#sector_13_station_0.txt#sector_60.txt#Bishop Sefou Padved#npc_ship_data_(recon_escort_3)#19#null#null#null;Scan <color='yellow'><i>Bishop Sefou Padved</i></color> recently spotted in <color='cyan'>Veloxi</color> and return to Gemini Mining in <color='cyan'>Jala</color>;9;In <color='cyan'>Veloxi</color>, a pilot named <color='yellow'><i>Bishop Sefou Padved</i></color> is suspected to be operating under a false identity. He is believed to be the wanted criminal <i>Togo Vejohkee</i> by the Temple faction. Before ASP can take action, they have requested we transfer a hard copy of a recent scan. Return to Gemini Mining in <color='cyan'>Jala</color> with an up to date scan record.;85818;23448
MISSION;101;120;635084;KILL_RECOVER#sector_40_station_0.txt#sector_0.txt#Sir Hasdee Yanbobaz#npc_ship_data_(Addvanced_heavy_battlecuriser_10)#5#1#1614#null;Hijack <color='yellow'><i>Sir Hasdee Yanbobaz</i></color> in <color='cyan'>Void Starcross</color> for <color='yellow'>1</color> <color='yellow'>Prototype Targeting System</color> and deliver them to Legistron in <color='cyan'>Dogstar Prime</color>;10;Authorities in <color='cyan'>Void Starcross</color> have reported the location of a known criminal, <color='yellow'><i>Sir Hasdee Yanbobaz</i></color>. He is carrying some stolen property belonging to members of the Missionary faction. Destroy <color='yellow'><i>Sir Hasdee Yanbobaz</i></color>'s ship and recover the <color='yellow'>1</color> <color='yellow'>Prototype Targeting System</color>. When finished, meet up with <i>Hinsa Homlel</i>, you can find him at Legistron in <color='cyan'>Dogstar Prime</color>.;22418;3063
MISSION;51;30;135361;SCAN_STRUCTURE#sector_0_station_0.txt#sector_14.txt#Storage Facility#structure_storage_1.txt#1#null#null#null;Find the target <color='yellow'>Storage Facility</color> structure in <color='cyan'>Gate of Alpharis</color>, scan, and return to Biomate University in <color='cyan'>Void Starcross</color>;11;<i>Yitra Sevca</i> has requested that someone verify the location of <color='yellow'>Storage Facility</color> in the <color='cyan'>Gate of Alpharis</color> sector. After a recent mix-up at the zoning office, the Orthodox reps are concerned that construction guidelines were not followed properly. Return to the Biomate University station located in the <color='cyan'>Void Starcross</color> with the scan data.;13878;2625
MISSION;14;30;373455;DELIVERY#11#9#sector_40_station_0.txt#sector_66_station_0.txt#null#null#null#null;Move medium crate of <color='yellow'>11</color> <color='yellow'>Xenox Ores</color> to <color='cyan'>Dogstar Prime</color> and deliver to Legistron;9;Temple Manufacturing facilities have requested a medium shipment of <color='yellow'>11</color> <color='yellow'>Xenox Ores</color>. <i>Vakino Ahsiak</i> will meet you at the Legistron Station in <color='cyan'>Dogstar Prime</color> to sign for the delivery.;132617;42206
MISSION;22;120;669061;COLLECT#3#1102#sector_16_station_0.txt#sector_60_station_0.txt#null#null#null#null;Return to Rendo Labs in <color='cyan'>Entropy</color> with a light collection of <color='yellow'>3</color> <color='yellow'>Improved Pulse Lasers</color>;11;A request has been made by the Overseer of Rendo Labs in <color='cyan'>Entropy</color> for the acquisition of <color='yellow'>3</color> <color='yellow'>Improved Pulse Lasers</color>. <i>Almole Tiduebo</i> will reimburse you for the cost of the items, as well as payment for your troubles.;33688;12633
MISSION;92;90;295012;KILL_PILOT#sector_57_station_0.txt#sector_63.txt#Officer Sadfall Bemvedles#npc_ship_data_(VVS_Warden_Mk2)#7#null#null#null;Execute <color='yellow'><i>Officer Sadfall Bemvedles</i></color> in <color='cyan'>Numbu</color> and return to OmniTrust in <color='cyan'>Ponze</color>;9;A low level criminal has finally hit the radar of the Astrox Security Patrol. A new kill contract has been issued for <color='yellow'><i>Officer Sadfall Bemvedles</i></color> located in <color='cyan'>Numbu</color>. <color='yellow'><i>Officer Sadfall Bemvedles</i></color> has been know to pull some sneaky tricks during combat, so be careful when engaging him. After his ship has been destroyed, head to OmniTrust station in the <color='cyan'>Ponze</color> system.;44837;13782
</MISSIONS>
// SHIP HANGAR;count;Price_modifier;Ship_filename
<HANGAR>
SHIP;1;1.07;ship_data_(support_escort_1).txt
SHIP;2;0.98;ship_data_(pirate_carrier_1).txt
SHIP;3;1.08;ship_data_(excavation_cruiser_1).txt
SHIP;4;1.08;ship_data_(transport_frigate_1).txt
SHIP;5;0.98;ship_data_(support_carrier_1).txt
</HANGAR>
// STORAGE;item_id;Qty;0
<STORAGE>

