[s:30][c:yellow]Valuestar Hub[/c][/s]
Market Center
Bosadjan Wagen
Trade
[c:lime]Dock fee 100[/c]
Timestamp: 83403.96
<Station Services>

[s:20][c:cyan]STATION ECONOMY[/c][/s]
[c:lime]SUPPLY[/c]
Candy Cane
Ornament
Wrapped Box
Medium Shield Charge
Heavy Shield Charge
Medium Armor Repair
Heavy Armor Repair
Medium Energy Charge
Heavy Energy Charge
Medium Life Support Pack
Large Life Support Pack
Light Shield Charge
Light Armor Repair
Light Energy Charge
Small Life Support Pack
[c:orange]DEMAND[/c]
Basic 20mm
Advanced 20mm
Prototype 20mm
Basic 60mm
Advanced 60mm
Prototype 60mm
Basic Missile 
Advanced Missile
Prototype Missile 
Basic Torpedo 
Advanced Torpedo 
Prototype Torpedo 

[s:20][c:cyan]SERVICES[/c][/s]
Market
Ship Garage
University
Ship Hangar
Mission Contracts


<Station Market Orders>
[c:green]BUY Order[/c] Market Demands: (1) Items 
 (981) x Basic Missile 
Fulfill order for [c:lime]26,895 profit.[/c]
[c:green]BUY Order[/c] Market Items Req: (2) Items 
 (501) x Advanced 20mm
 (389) x Advanced Missile
Fulfill order for [c:lime]47,184 profit.[/c]
[c:green]BUY Order[/c] Market Shortage: (2) Items 
 (368) x Advanced Missile
 (68) x Prototype Missile 
Fulfill order for [c:lime]27,679 profit.[/c]
[c:red]SELL Order[/c] Market Stock: (1) Items 
 (54) x Candy Cane
Buy items for [c:lime]33 discount.[/c]


<Station Market Items>
Visit station market to update prices.
Acidic Residue  990 - z21
Oil  242 - z11
OmniCon Regulator  24 - z77,913
Ornament  50 - z3
Oxygen  863 - z2
Personal Clothing  73 - z1,976
Pizza  29 - z294,420
Plasite Extractor (Doc)  44 - z8,817,412
Plasite Ore  411 - z71
Plastix Strands  1123 - z4
Polymere  31 - z71
Premium Drone Command Bay  26 - z328,564
Premium Light Turret  72 - z398,195
Premium Missile Launcher (Doc)  310 - z1,859,933
Premium Ore Harvester  75 - z652,329
Premium Ore Harvester (Doc)  40 - z3,381,696
Premium Plasma Cannon  44 - z223,425
Premium Rocket Launcher  11 - z194,110
Premium Rocket Launcher (Doc)  167 - z1,255,667
Premium Turn Thrust  77 - z202,682
Pressure Sensor  189 - z124
Pressure Sensor (Doc)  31 - z2,346
Protein Bar  19 - z7,187
Prototype 20mm  16 - z158
Prototype Afterburner  61 - z312,564
Prototype Cargo Expansion (Doc)  75 - z5,504,460
Prototype Ore Harvester (Doc)  31 - z8,684,623
Prototype Railgun  7 - z1,281,655
Prototype Railgun (Doc)  398 - z6,030,115
Prototype Salvage Collector  14 - z2,136,091
Prototype Scan Emitter  66 - z163,228
Prototype Shield Generator  19 - z456,521
Prototype Targeting System (Doc)  31 - z2,502,713
Prototype Torpedo   99 - z1,313
Quazor Ore  584 - z20
Recon Scanner Drone  29 - z17,501
Reinforced Rubber  575 - z13
Rubber Tubing  554 - z45
Salt Crystal  258 - z2
Scrap Part  568 - z32
Servo Controls (Doc)  40 - z106,038
Silicon  721 - z7
Small Combat Drone  101 - z7,541
Small Defense Drone (Doc)  23 - z43,871
Small Heatsink  712 - z228
Small Life Support Pack  25 - z4,534
Small Mining Drone  119 - z5,861
Small Motor  638 - z228
Small Salvage Drone  128 - z4,121
Small Storage Tank  693 - z52
Small Tractor Drone  11 - z19,001
SolarClean Filter  1 - z132,049
Steelium  1186 - z53
Steelium Beam  330 - z9
Steelium Pipes  505 - z18
Steelium Pipes (Doc)  17 - z163
Synth Filter  32 - z91,542
Temperature Genie  3 - z15,366
Textile Fabrics  49 - z1,636
Thermal Controller  7 - z7,607
Thermal Generex  22 - z100,733
Thermal Sensor (Doc)  22 - z554
Thermex Controller  23 - z452,755
Titan Combat Drone  88 - z166,691
Titan Repair Drone  79 - z221,691
Titan Salvage Drone  120 - z309,191
Titanyte  595 - z78
Titanyte Pipes  546 - z683
Torim Ore  1013 - z61
Transport Units  51 - z8,732
Undamaged Part  467 - z51
UV Filter  19 - z62,157
Waste Burner  19 - z40,396
Waste Processor  2 - z19,439
Water  578 - z2
Weapons Component  510 - z373
Wrapped Box  60 - z8


<Station University Skills>
Ship Afterburner Systems
Laser Advanced Systems
Beam Focal Range
Fabrication Engineer
Merc Negotiations
Beam Energy Optimization


<Station Missions>
[c:lime]TRANSPORT[/c]
Head to Star Shepards Hub in <color='cyan'>Temple Gates</color>, pick up <color='yellow'>89</color> <color='yellow'>Textile Fabrics</color> for a light shipment to Transporteers Hub in <color='cyan'>Ambervellis Drea</color>

[c:lime]REFINE[/c]
Dock at the Transporteers station refinery in <color='cyan'>Hunu</color> and process a light shipment of <color='yellow'>28</color> <color='yellow'>Quazor Ores</color>

[c:lime]ESCORT[/c]
Escort <color='yellow'><i>Senator Foelocki Lasyouso</i></color> from Horizons in <color='cyan'>Gate of Alpharis</color> to Biomate University in <color='cyan'>Void Starcross</color>

[c:lime]SCAN[/c]
Find the target <color='yellow'>Recon Center</color> structure in <color='cyan'>Merces Academy</color>, scan, and return to OmniTrust in <color='cyan'>Ponze</color>

[c:lime]SCAN[/c]
Find the target <color='yellow'>Medical Facility</color> structure in <color='cyan'>Gate of Alpharis</color>, scan, and return to OmniTrust in <color='cyan'>Ponze</color>

[c:lime]KILL[/c]
Hunt down a low level <color='yellow'><i>Father Nobem Seryanine</i></color> in <color='cyan'>Kriox</color> and return to ValueStar in <color='cyan'>Hunu</color>

[c:lime]RECOVER[/c]
Recover a light quantity of <color='yellow'>15</color> <color='yellow'>Media Recordings</color> in <color='cyan'>Lins</color>, and return to ValueStar in <color='cyan'>Hunu</color>

[c:lime]ESCORT[/c]
A ship in Biomart in <color='cyan'>Veloxi</color> needs an escort to StarShepards Headquarters in <color='cyan'>Void Starcross</color>

[c:lime]KILL[/c]
Hunt down a low level <color='yellow'><i>Govenor Telvaj Xulkol</i></color> in <color='cyan'>Kriox</color> and return to CoraVault in <color='cyan'>Lins</color>

[c:lime]KILL[/c]
Assassinate in-experienced <color='yellow'><i>Mr. Jaliszo Paxiemi</i></color> in <color='cyan'>Temple Gates</color> and return to Quantex in <color='cyan'>Dellis Primeria</color>

[c:lime]FABRICATE[/c]
Manufacture <color='yellow'>9</color> <color='yellow'>Uranium Cores</color> at Starbase Corporate Center station fabricator in <color='cyan'>Void Starcross</color>

[c:lime]KILL[/c]
Hunt down a low level <color='yellow'><i>Sir Bastza Risdorn</i></color> in <color='cyan'>Veloxi</color> and return to Rendo Labs in <color='cyan'>Entropy</color>

[c:lime]COLLECT[/c]
Collect a light shipment of <color='yellow'>Basic Drone Command Bays</color> and return to Biomate University in <color='cyan'>Void Starcross</color>

[c:lime]FABRICATE[/c]
Produce a light container of <color='yellow'>5</color> <color='yellow'>Nuts And Bolts</color> at the OmniTrust fabricator in <color='cyan'>Ponze</color>

[c:lime]DIALOG[/c]
Transfer a legal document to <color='yellow'><i>Scribe Nixad Madwenwen</i></color> in <color='cyan'>Starfort Ramos</color>. Return with confirmation at StarShepards Headquarters in <color='cyan'>Void Starcross</color>

[c:lime]RECOVER[/c]
Reclaim a medium shipment <color='yellow'>crate</color> in <color='cyan'>Gate of Alpharis</color> and bring back to Transporteers Hub in <color='cyan'>Ambervellis Drea</color>

[c:lime]KILL[/c]
Execute <color='yellow'><i>Enforcer Xaser Akhin</i></color> in <color='cyan'>Dragon Sea</color> and return to Oro Omniplex Center in <color='cyan'>Merces Academy</color>

[c:lime]SCAN[/c]
Track and scan the target <color='yellow'>Industrial Machine</color> structure in <color='cyan'>Gate of Alpharis</color> and return to Legistron in <color='cyan'>Dogstar Prime</color>

[c:lime]DIALOG[/c]
Arrest <color='yellow'><i>Sir Nostracae Foewhatim</i></color> over an outstanding warrant in <color='cyan'>Gate of Alpharis</color> and return to Quantex in <color='cyan'>Dellis Primeria</color>

[c:lime]KILL[/c]
Exterminate Skilled <color='yellow'><i>Overseer Yitaj Rofast</i></color> in <color='cyan'>Dragon Sea</color> and return to Fellacore Research Center in <color='cyan'>Grace</color>

[c:lime]SCAN[/c]
Gather info about a pilot named <color='yellow'><i>Miner Lesmad Bruni</i></color> in <color='cyan'>Soldeux</color> and return to Horizons in <color='cyan'>Gate of Alpharis</color>



<Station Ships>
BD-3 SV Apastron / Destroyer    (Battle)
BC-1 Alpharis Predator / Escort    (Battle)
BCA-1 Drone Piranha / Destroyer    (Support)
SCA-1 Demi / Battlecruiser    (Support)
