[s:30][c:yellow]Holosynth Industries[/c][/s]
Scientific Analysis Facility
Enolindo Yelbo
Alpha
[c:lime]Dock fee 100[/c]
Timestamp: 60654.45
<Station Services>

[s:20][c:cyan]STATION ECONOMY[/c][/s]
[c:lime]SUPPLY[/c]
Medium Shield Charge
Heavy Shield Charge
Medium Armor Repair
Heavy Armor Repair
Medium Energy Charge
Heavy Energy Charge
Medium Life Support Pack
Large Life Support Pack
Light Shield Charge
Light Armor Repair
Light Energy Charge
Small Life Support Pack
Cloak Field Generator
[c:orange]DEMAND[/c]
Adamyte Ore
Gradeon Ore
Quazor Ore
Lokken Ore
Torim Ore
Plasite Ore
Dynex Ore
Belasite Ore
Xenox Ore
Zai Ore
Personal Clothing
Hygiene Products
Communication Device
Transport Units

[s:20][c:cyan]SERVICES[/c][/s]
Market
Ship Garage
University
Ship Hangar
Storage
Mission Contracts
Offices


<Station Market Orders>
[c:green]BUY Order[/c] Market Needs Goods: (1) Items 
 (285) x Lokken Ore
Fulfill order for [c:lime]8,078 profit.[/c]
[c:green]BUY Order[/c] Market Shortage: (1) Items 
 (381) x Hygiene Products
Fulfill order for [c:lime]56,996 profit.[/c]


<Station Market Items>
Visit station market to update prices.
Acidic Residue  85 - z15
Basic Missile Energy Mod (Doc)  2 - z375,375
Basic Missile Explosive Mod  14 - z24,781
Basic Missile Launcher (Doc)  55 - z26,998
Basic Plasma Cannon  28 - z6,324
Basic Projectile Energy Mod  35 - z30,031
Basic Railgun  37 - z7,991
Basic Rocket Launcher (Doc)  105 - z22,794
Basic Salvage Collector  7 - z12,338
Basic Sensor  176 - z61
Basic Shield Booster  37 - z25,281
Basic Skill Manual  72 - z220,313
Basic Torpedo   92 - z220
Basic Torpedo Launcher  20 - z8,075
Basic Torpedo Launcher (Doc)  232 - z50,873
Basic Turn Thrust (Doc)  39 - z264,300
Basic Warp Drive (Doc)  41 - z6,067,500
Battery Array (Doc)  41 - z47,078
Bio Converter  20 - z76,238
Bottled Whiskey  25 - z141
Burglar Drone  51 - z11,119
Calcium  523 - z5
Candy Cane  29 - z1
Candy Corn  10 - z1
Carbon  624 - z1
Carbon Filter  4 - z36,813
Ceramic  254 - z18
Cheeseburger  24 - z32,686
Childrens Toys  40 - z184
Chocolate Bars  12 - z1
Cleaning Chemicals  37 - z113
Cloak Field Generator  35 - z1,022,760
Cloak Field Resistance  4 - z639,176
Colored Dye  26 - z26
Communication Device  38 - z3,764
Containment Field Emitter (Doc)  11 - z66,286
Containment Unit  6 - z13,735
Copperi Cables  2 - z198
Copperi Cubex  408 - z15
Copperi Pipes  407 - z175
Copperi Plates  25 - z236
Disposables  4 - z7,779
Dynex Crystal Resonator  149 - z334
Dynex Crystal Resonator (Doc)  2 - z3,488
Eco Regulator  3 - z21,431
Electronic Fragment  195 - z116
Electronic Switch  298 - z306
Energy Bomb  83 - z10,613
Entertainment Electronics  34 - z695
Fasteners  296 - z11
Fiber Optic Cables  207 - z61
Generic Heavy Cannon  28 - z1,411
Generic Ion Beam  48 - z2,307
Generic Ore Harvester  40 - z2,525
Generic Rocket Launcher (Doc)  226 - z10,013
Generic Salvage Collector  44 - z5,005
Generic Torpedo Launcher  47 - z2,043
Generic Torpedo Launcher (Doc)  102 - z6,975
Glass Panels  185 - z364
Gourmet Food Rations  21 - z368
Gradeon Ore  323 - z16
Grilled Steak  12 - z82,804
Gummy Bears  46 - z1
Ham Sandwich  24 - z17,606
Hand Tools  497 - z390
Hardened Glass Panels  170 - z424
Heavy Armor Repair  35 - z49,525
Heavy Combat Drone  44 - z183,356
Heavy Combat Drone (Doc)  28 - z730,400
Heavy Defense Drone  47 - z99,206
Heavy Energy Charge  25 - z43,996
Heavy Mining Drone  44 - z94,256
Heavy Shield Bomb  75 - z69,761
Heavy Shield Charge  6 - z51,053
Hydrogen  424 - z4
Hygiene Products  45 - z291
Improved Defense Drone (Doc)  11 - z153,800
Improved Energy Capacitor  15 - z31,785
Improved Energy Generator  6 - z63,910
Improved Engine Core (Doc)  36 - z306,900
Improved Explosive Armor (Doc)  38 - z708,750
Improved Filter  24 - z8,345
Improved Missile Launcher  5 - z23,750
Improved Missile Launcher (Doc)  174 - z72,933
Improved Ore Harvester (Doc)  36 - z228,156
Improved Pulse Laser  26 - z24,286
Improved Railgun (Doc)  114 - z82,504
Improved Repair Drone (Doc)  9 - z96,200
Improved Rocket Launcher  1 - z28,696
Improved Rocket Launcher (Doc)  87 - z89,578
Improved Salvage Drone  69 - z35,156
Improved Scan Booster  10 - z47,928
Improved Shield Generator  6 - z38,408
Improved Torpedo Launcher  6 - z17,383
Interior Lighting  47 - z129
Iron Coring  249 - z6
Iron Coring Beams  2 - z383
Junk Part  37 - z12
Kitchen Appliances  31 - z514
Large Life Support Pack  87 - z32,006
Large Repair Drone  41 - z83,125
Large Web Field  82 - z40,410
LED Lights  142 - z141
Lidar System (Doc)  13 - z32,869
Light Armor Repair  37 - z6,373
Light Energy Charge  78 - z6,188
Light Shield Bomb  3 - z10,631
Light Shield Charge  39 - z5,454
Light Shield Recharger  5 - z31,531
Liquid Coolant  449 - z14
Lokken Ore  242 - z45
Lubricant  67 - z21
Magnetic Quartz  32 - z4
Mechanical Switch  149 - z77
Media Recordings  14 - z911
Medium Armor Repair  37 - z19,765
Medium Combat Drone  93 - z12,169
Medium Combat Drone (Doc)  11 - z54,500
Medium Defense Drone  3 - z9,769
Medium Energy Charge  39 - z13,947
Medium Life Support Pack  32 - z12,417
Medium Repair Drone  2 - z16,969
Medium Salvage Drone  64 - z18,769
Medium Shield Charge  41 - z15,025
Medium Web Field  45 - z24,030
Memory Chip  54 - z192
Metal Fragment  233 - z130
Metal Gears  499 - z20
Metal Valve  248 - z21
Misc Hardware (Doc)  49 - z8,301
Musical Instruments  6 - z1,921
Nitrogen  511 - z11
Noodles  19 - z11,040
Nuts And Bolts  71 - z10
Office Furniture  32 - z915
Oil  542 - z7
OmniCon Regulator  17 - z49,321
Ornament  9 - z4
Oxygen  683 - z1
Plasite Extractor (Doc)  35 - z10,974,470
Plastix Strands  619 - z3
Polymere  21 - z78
Predator Laser Guardian (Doc)  5 - z7,632,813
Premium Energy Generator  24 - z251,160
Premium Explosive Armor (Doc)  16 - z2,643,000
Premium Heavy Laser  3 - z304,140
Premium Light Turret  1 - z294,498
Premium Missile Launcher (Doc)  249 - z1,883,848
Premium Railgun (Doc)  197 - z1,118,716
Premium Rocket Launcher (Doc)  1 - z1,667,570
Premium Torpedo Launcher  38 - z256,157
Protein Bar  23 - z7,499
Prototype 60mm  152 - z169
Prototype Cargo Expansion  10 - z472,500
Prototype Drone Command Bay  26 - z781,600
Prototype ECM Energy Coil  16 - z1,102,955
Prototype Energy Capacitor  16 - z229,320
Prototype Energy Generator  49 - z278,320
Prototype Explosive Armor  46 - z340,500
Prototype Missile   113 - z445
Prototype Railgun (Doc)  54 - z4,167,611
Quazor Ore  14 - z26
Rubber Tubing  259 - z35
Salt Crystal  661 - z3
Scrap Part  215 - z41
Silicon  633 - z5
Small Combat Drone  39 - z6,008
Small Life Support Pack  80 - z6,056
Small Motor  237 - z278
Small Pump  98 - z273
Small Storage Tank  260 - z52
Small Tractor Drone  29 - z17,869
Sporting Equipment  37 - z2,133
Spotlight  30 - z11,773
Temperature Genie  6 - z18,463
Thermal Controller  3 - z7,989
Thermal Sensor  403 - z97
Titan Combat Drone  81 - z312,813
Titan Combat Drone (Doc)  4 - z1,601,600
Titan Defense Drone (Doc)  38 - z1,422,400
Torim Ore  470 - z70
Tractor Beam  18 - z15,278
Transport Units  13 - z10,297
Undamaged Part  187 - z40
UV Filter  21 - z51,947
Waste Burner  3 - z30,810
Waste Processor  9 - z13,962
Water  198 - z1
Wrapped Box  11 - z11


<Station University Skills>
Merc Prospector
Module Mechanic
Launcher Advanced Systems
Miner Focal Range


<Station Missions>
[c:lime]KILL RAIDERS[/c]
Kill <color='yellow'>1 Raider</color> level 30 Skilled Raider(s) in <color='cyan'>Void Starcross</color> and dock at Lacuna Bandits in <color='cyan'>Ballast Crow</color>

[c:lime]REFINE[/c]
Process medium crate of <color='yellow'>8</color> <color='yellow'>Module Fragments</color> in <color='cyan'>Ele</color> at the Communications Hub refinery

[c:lime]RECOVER[/c]
Reclaim a medium shipment <color='yellow'>crate</color> in <color='cyan'>Gemini Shoal</color> and bring back to Biomart in <color='cyan'>Veloxi</color>



<Station Ships>
PCA-1 Pirate Destroyer / Destroyer    (Battle)
SE-1 Prophet / Frigate    (Assault)
BC-1 Alpharis Predator / Escort    (Battle)
RE-1 Integrator / Escort    (Recon)
TF-1 Hexalon / Escort    (Transport)
PS-1 Shuttle / Shuttle    (Excavation)
SU-1 Archanis / Frigate    (Recon)
