[s:30][c:yellow]Lammassu Financial[/c][/s]
Market Center
Jelegus
Trade
[c:lime]Dock fee 25[/c]
Timestamp: 71356.31
<Station Services>

[s:20][c:cyan]STATION ECONOMY[/c][/s]
[c:lime]SUPPLY[/c]
Candy Cane
Ornament
Wrapped Box
Medium Shield Charge
Heavy Shield Charge
Medium Armor Repair
Heavy Armor Repair
Medium Energy Charge
Heavy Energy Charge
Medium Life Support Pack
Large Life Support Pack
Light Shield Charge
Light Armor Repair
Light Energy Charge
Small Life Support Pack
[c:orange]DEMAND[/c]
Basic 20mm
Advanced 20mm
Prototype 20mm
Basic 60mm
Advanced 60mm
Prototype 60mm
Basic Missile 
Advanced Missile
Prototype Missile 
Basic Torpedo 
Advanced Torpedo 
Prototype Torpedo 

[s:20][c:cyan]SERVICES[/c][/s]
Lounge
Market
Ship Garage
University
Ship Hangar
Storage
Fabricator
Mission Contracts
Offices


<Station Market Orders>
[c:green]BUY Order[/c] Market Out of Stock: (2) Items 
 (845) x Advanced 20mm
 (473) x Basic Torpedo 
Fulfill order for [c:lime]86,807 profit.[/c]
[c:green]BUY Order[/c] Market Needs Goods: (1) Items 
 (150) x Basic 60mm
Fulfill order for [c:lime]842 profit.[/c]


<Station Market Items>
Visit station market to update prices.
Xenox Extractor (Doc)  40 - z16,877,490
Prototype Targeting System  64 - z289,260
Prototype Scan Booster (Doc)  46 - z2,164,929
Prototype Railgun  62 - z949,750
Prototype Missile   232 - z778
Prototype Heavy Cannon (Doc)  169 - z6,490,663
Prototype ECM Resistance Field  40 - z1,159,820
Prototype ECM Range Lock  76 - z1,019,215
Prototype ECM Energy Coil (Doc)  4 - z13,262,210
Prototype ECM Energy Coil  60 - z1,105,185
Prototype 60mm  776 - z259
Prototype 20mm  42 - z162
Protein Bar  34 - z6,254
Premium Shield Generator (Doc)  34 - z2,315,839
Premium Scan Booster  5 - z119,085
Premium Railgun (Doc)  125 - z1,086,674
Premium Missile Launcher (Doc)  202 - z1,078,652
Premium Ion Beam  52 - z444,229
Premium Heavy Laser  73 - z228,936
Premium Energy Capacitor  35 - z237,839
Premium Afterburner  47 - z94,953
Predator Laser Guardian (Doc)  21 - z7,271,602
Plastix Strands  563 - z3
Plastic Caps  359 - z52
Plasite Ore  3695 - z47
Plasite Extractor (Doc)  41 - z5,565,991
Personal Clothing  1007 - z1,315
Oxygen  655 - z2
Ornament  1000 - z2
Optical Interface  787 - z121
OmniCon Regulator  11 - z40,275
Oil  757 - z11
Office Supplies  708 - z3,801
Office Furniture  814 - z944
Noodles  6 - z7,147
Nitrogen  988 - z5
Neutron Pods  1242 - z25
Musical Instruments  903 - z2,744
Module Fragment  4196 - z228
Micro Leech Drone  148 - z18,952
Metal Valve  713 - z36
Metal Fragment  289 - z105
Metal Brackets  194 - z24
Memory Chip  833 - z220
Medium Web Field  78 - z26,483
Medium Shield Recharger  58 - z160,110
Medium Shield Charge  25 - z6,163
Medium Shield Bomb  44 - z26,013
Medium Salvage Drone  117 - z7,852
Medium Life Support Pack  46 - z4,402
Medium Energy Charge  25 - z5,282
Medium Combat Drone  139 - z14,152
Medium Armor Repair  25 - z7,043
Medium Armor Bomb  126 - z21,423
Medical Instruments  870 - z8,390
Media Recordings  728 - z1,652
Mechanical Tools  945 - z5,044
Mechanical Switch  579 - z60
Mechanical Belts  596 - z59
Magnetic Quartz  835 - z2
Lokken Ore  4933 - z22
Liquid Coolant  527 - z19
Light Shield Charge  25 - z2,054
Light Energy Charge  25 - z1,761
Light Armor Repair  25 - z2,348
LED Lights  560 - z127
Large Web Field  39 - z82,329
Large Repair Drone  24 - z81,346
Large Pump  593 - z436
Large Processor (Doc)  24 - z1,509
Large Processor  447 - z113
Large Mining Drone (Doc)  49 - z394,706
Large Life Support Pack  25 - z13,206
Large Defense Drone  69 - z104,346
Kitchen Appliances  714 - z576
Junk Part  4826 - z25
Iron Coring Plates  803 - z478
Iron Coring Pipes  35 - z430
Iron Coring  734 - z5
Interior Lighting  28 - z262
Improved Targeting System (Doc)  66 - z474,690
Improved Scan Emitter  55 - z31,084
Improved Salvage Drone  95 - z47,406
Improved Repair Drone  110 - z50,106
Improved Railgun (Doc)  182 - z106,348
Improved Missile Launcher (Doc)  291 - z108,266
Improved Mining Drone  79 - z32,556
Improved Impact Armor  70 - z44,673
Improved Filter  21 - z13,150
Improved Energy Capacitor (Doc)  41 - z339,117
Improved Energy Capacitor  33 - z63,100
Improved Energy Armor  59 - z58,173
Improved Combat Drone  29 - z47,406
Improved Afterburner  19 - z44,138
Hyperion Regulator  9 - z145,458
Hygiene Products  727 - z160
Hydrogen  1201 - z3
Heavy Shield Charge  25 - z18,488
Heavy Salvage Drone  89 - z137,520
Heavy Mining Drone  124 - z101,220
Heavy Energy Charge  25 - z15,847
Heavy Defense Drone  122 - z139,170
Heavy Combat Drone  74 - z125,970
Heavy Armor Repair  25 - z21,129
Hand Tools  167 - z352
Ham Sandwich  36 - z19,368
Gummy Bears  921 - z1
Grilled Steak  7 - z60,627
Gradeon Ore  4896 - z8
Gourmet Food Rations  815 - z222
Generic Torpedo Launcher (Doc)  227 - z9,281
Generic Rocket Launcher  36 - z1,467
Generic Railgun (Doc)  262 - z11,561
Generic Plasma Cannon  66 - z2,032
Generic Ion Beam (Doc)  63 - z8,081
Gaming Devices  833 - z1,682
Fuel Injector (Doc)  8 - z35,242
Foodservice Products  36 - z5,661
Foodservice Equipment  822 - z4,375
Fiber Optic Cables  690 - z101
Entertainment Electronics  13 - z769
Elite Skill Manual  27 - z1,026,125
Electronic Fragment  4177 - z197
Electron Orb  4745 - z147
Eco Regulator  4 - z25,641
ECM Sensors Jammer  60 - z130,023
Dynex Ore  606 - z85
Dynex Crystal Resonator  765 - z435
Dynex Crystal  276 - z41
Disposables  7 - z8,004
Copperi Plates  215 - z419
Copperi Pipes  425 - z359
Copperi Cubex  680 - z14
Copperi Cables (Doc)  7 - z3,480
Copperi Cables  308 - z183
Containment Unit  8 - z8,250
Containment Processor  9 - z223,872
Communication Device  50 - z2,711
Colored Dye  865 - z13
Cleaning Chemicals  960 - z61
Circuit Board  635 - z83
Chocolate Bars  977 - z1
Childrens Toys  911 - z256
Cheeseburger  19 - z32,018
Cheese and Crackers  18 - z69,332
Ceramic  684 - z15
Cat Food  21 - z227,893
Carbon Filter  9 - z22,639
Carbon  460 - z1
Capacitors  183 - z75
Candy Corn  831 - z1
Candy Cane  1000 - z0
Calibration Tools  714 - z4,603
Calcium  342 - z4
Burglar Drone  35 - z16,852
Bottled Whiskey  925 - z86
Bio Disposables  18 - z134,821
Bio Converter  4 - z63,909
Bio Carbon  670 - z21
Basic Torpedo   2097 - z256
Basic Shield Generator  30 - z34,113
Basic Shield Booster  37 - z22,586
Basic Scan Emitter (Doc)  5 - z188,667
Basic Rocket Launcher (Doc)  129 - z32,321
Basic Rocket Launcher  32 - z6,954
Basic Railgun  29 - z5,153
Basic Ore Harvester (Doc)  11 - z66,042
Basic Missile Launcher (Doc)  85 - z47,103
Basic Missile Impact Mod  38 - z16,586
Basic Missile Explosive Mod  15 - z19,336
Basic Missile   381 - z154
Basic Light Turret  57 - z7,864
Basic Laser Energy Mod (Doc)  5 - z223,037
Basic Ion Beam  63 - z6,665
Basic Food Rations  1024 - z75
Basic Filter  17 - z4,994
Basic Energy Armor (Doc)  50 - z307,037
Basic Energy Armor  65 - z17,586
Basic Computer  778 - z1,473
Basic Beam Energy Mod  59 - z15,836
Basic 60mm  1393 - z51
Basic 20mm  1939 - z31
Assorted Springs  714 - z42
Assembly Tools  756 - z6,114
Armor Plating (Doc)  37 - z11,169
Anti-Freeze  1034 - z38
Aluminium Shard  420 - z14
Aluminium Rivets  353 - z28
Aluminium Plates  127 - z179
AI Interface Drive (Doc)  57 - z11,473
Aged Wine  978 - z153
Advanced Turn Thrust  7 - z92,277
Advanced Torpedo   859 - z577
Advanced Skill Manual  4 - z446,319
Advanced Scan Emitter  77 - z60,009
Advanced Salvage Collector  63 - z175,523
Advanced Rocket Launcher (Doc)  132 - z520,269
Advanced Regulator  7 - z9,475
Advanced Railgun (Doc)  141 - z495,698
Advanced Ore Harvester (Doc)  55 - z457,439
Advanced Missile Launcher  60 - z107,857
Advanced Missile  29 - z346
Advanced Light Turret  64 - z52,604
Advanced Filter  28 - z24,513
Advanced Energy Armor (Doc)  48 - z1,036,148
Advanced Energy Armor  46 - z77,346
Advanced ECM Resistance Field (Doc)  69 - z5,310,988
Advanced Armor Exterior  49 - z116,815
Advanced Afterburner  41 - z99,477
Advanced 20mm  68 - z69
Adamyte Ore  4775 - z7
Acidic Residue  774 - z17


<Station University Skills>
Market Auditor
Market Distributor
Merc Negotiations
Merc Prospector
Storage Accountant
University Discount
Refinery Accountant
Max Mission Contracts
Mission Negotiations
Ship Engine Burner
Tractor Energy Optimization
Tractor Maintenance


<Station Missions>
[c:lime]SALVAGE[/c]
Return to Temple of the Void in <color='cyan'>Valley of Truths</color> after salvaging <color='yellow'>Special Engine Component</color> from <color='cyan'>Merces Academy</color>. <color='yellow'>318</color> required.

[c:lime]RECOVER[/c]
Reclaim a medium shipment <color='yellow'>crate</color> in <color='cyan'>Bitcola</color> and bring back to Fellacore Research Center in <color='cyan'>Grace</color>

[c:lime]SCAN[/c]
Return to Monarch Society in <color='cyan'>Solitudes of Frey</color> after scanning <color='yellow'><i>Entertainer Founalia Ninexad</i></color> in <color='cyan'>Numbu</color>

[c:lime]SALVAGE[/c]
Dismantle <color='yellow'>Special Junk Part</color> in <color='cyan'>Valley of Truths</color> and return with <color='yellow'>131</color> to Horizons in <color='cyan'>Gate of Alpharis</color>

[c:lime]RECOVER[/c]
Recover a light quantity of <color='yellow'>2</color> <color='yellow'>Basic Thrusters</color> in <color='cyan'>Archteli</color>, and return to StarGypsy Warehouse in <color='cyan'>Void Starcross</color>

[c:lime]SCAN[/c]
In <color='cyan'>Jermicus</color>, scan details about <color='yellow'><i>Doctor Komxen Whixad</i></color> and return to Monarch Society in <color='cyan'>Solitudes of Frey</color>

[c:lime]KILL[/c]
Kill Bounty for <color='yellow'><i>Chairman Bacwhe Moaj</i></color> in <color='cyan'>Alias Outpost</color> and return to Tella's in <color='cyan'>Bitcola</color>

[c:lime]COLLECT[/c]
Bring a medium collection of <color='yellow'>10</color> <color='yellow'>Basic Targeting Systems</color> to Ferce Hub in the <color='cyan'>Semja</color> Sector

[c:lime]KILL[/c]
Frag <color='yellow'><i>Mr. Uoron Yaxenbun</i></color>, in <color='cyan'>Ele</color> and return to Star Shepards Hub in <color='cyan'>Temple Gates</color>

[c:lime]SALVAGE[/c]
Dismantle <color='yellow'>Special Module Fragment</color> in <color='cyan'>Jelumus</color> and return to Xellon in <color='cyan'>Ele</color> with minimum of <color='yellow'>134</color>

[c:lime]DIALOG[/c]
Collect a payment from <color='yellow'><i>Professor Leabar Adakilebor</i></color> in <color='cyan'>Gate of Alpharis</color> and return to Lammassu Hub in <color='cyan'>Numbu</color>

[c:lime]DIALOG[/c]
Detain <color='yellow'><i>Engineer Genbo Binduesiv</i></color> in <color='cyan'>Grace</color> and escort them to Oak Industries in <color='cyan'>Dorando Corridor</color>



<Station Ships>
TS-1 Dexta / Shuttle    (Recon)
TE-1 Phoebus / Shuttle    (Transport)
TE-2 Helios / Shuttle    (Transport)
TU-1 Jonas / Escort    (Transport)
TU-2 Series / Escort    (Transport)
TF-1 Hexalon / Escort    (Transport)


<Station Offices>
(AstyQuest) 
[c:grey](Asty)[/c]

(Tutorial Office) Ship Orbiting 
[c:grey](Jonathan Hetcher)[/c]

(Tutorial Office) Camera Basics 
[c:grey](Ratamaq Guru)[/c]

(Tutorial Office) Navigation Basics 
[c:grey](Arji Darn)[/c]

(Tutorial Office) Life Support Basics 
[c:grey](Carter Burke)[/c]

(Tutorial Office) Basic Drones 
[c:grey](Daniel Traek)[/c]

