[s:30][c:yellow]Biomate University[/c][/s]
Academic University
Telyoupea Akpi
Alpha
[c:lime]Dock fee 0[/c]
Timestamp: 81186.52
<Station Services>

[s:20][c:cyan]STATION ECONOMY[/c][/s]
[c:lime]SUPPLY[/c]
Basic Skill Manual
Advanced Skill Manual
Elite Skill Manual
[c:orange]DEMAND[/c]
Candy Cane
Ornament
Wrapped Box

[s:20][c:cyan]SERVICES[/c][/s]
Lounge
Market
Refinery
Ship Garage
University
Ship Hangar
Storage
Fabricator
Mission Contracts
Offices


<Station Market Orders>
[c:green]BUY Order[/c] Market Shortage: (2) Items 
 (820) x Wrapped Box
 (616) x Wrapped Box
Fulfill order for [c:lime]1,139 profit.[/c]
[c:green]BUY Order[/c] Market Out of Stock: (2) Items 
 (544) x Candy Cane
 (666) x Candy Cane
Fulfill order for [c:lime]704 profit.[/c]


<Station Market Items>
Visit station market to update prices.
Zai Ore  1334 - z371
Magnetic Regulator  629 - z4,821
Magnetic Quartz  881 - z3
Lokken Ore  4444 - z33
Light Shield Charge  25 - z6,125
Light Shield Bomb  83 - z9,765
Light Energy Charge  120 - z5,490
Light Armor Repair  38 - z6,520
Light Armor Bomb  98 - z7,155
Large Web Field  64 - z74,522
Large Repair Drone  179 - z108,503
Large Pump  977 - z670
Large Motor  793 - z3,739
Large Mining Drone  181 - z93,503
Large Life Support Pack  60 - z46,126
Large Heatsink (Doc)  99 - z3,721
Large Heatsink  269 - z549
Kitchen Appliances  859 - z706
Junk Part  783 - z17
Iron Coring Pipes  115 - z503
Iron Coring Beams  105 - z612
Iron Coring  709 - z4
Ionization Plate  121 - z4,291
Interior Lighting  770 - z241
Improved Thruster (Doc)  88 - z501,496
Improved Shield Booster  76 - z35,252
Improved Scan Emitter  27 - z37,981
Improved Salvage Drone  66 - z36,226
Improved Repair Drone  185 - z41,176
Improved Railgun (Doc)  66 - z144,800
Improved Pulse Laser (Doc)  78 - z102,291
Improved Missile Launcher (Doc)  374 - z132,733
Improved Missile Launcher  104 - z18,462
Improved Mining Drone  171 - z31,276
Improved Mass Reduction  98 - z30,591
Improved Light Turret  88 - z25,848
Improved Ion Beam  74 - z19,258
Improved Heavy Laser  62 - z29,242
Improved Heavy Cannon (Doc)  8 - z135,428
Improved Filter  36 - z6,799
Improved Energy Generator (Doc)  32 - z547,701
Improved Energy Generator  47 - z61,882
Improved Defense Drone  115 - z42,976
Improved Combat Drone  201 - z47,026
Hyperion Regulator  19 - z210,114
Hygiene Products  855 - z139
Hydrox Filter  3 - z346,589
Hydrogen  446 - z3
Hull Chassis  4565 - z2,353
Heavy Shield Charge  147 - z60,797
Heavy Repair Drone  138 - z169,130
Heavy Mining Drone  63 - z111,380
Heavy Energy Charge  84 - z46,712
Heavy Defense Drone  159 - z169,130
Heavy Armor Bomb  51 - z49,818
Ham Sandwich  15 - z23,904
Habitax Regulator  41 - z649,632
Gummy Bears  792 - z1
Grilled Steak  40 - z63,356
Gravitational Emitter  421 - z2,804
Gradeon Ore  6099 - z8
Gourmet Food Rations  890 - z328
Goldyte  601 - z106
Glass Panels  163 - z415
Generic Torpedo Launcher (Doc)  185 - z13,260
Generic Salvage Collector  63 - z2,380
Generic Railgun (Doc)  379 - z7,260
Generic Plasma Cannon  29 - z2,299
Generic Missile Launcher (Doc)  128 - z9,735
Generic Construction Platform  114 - z4,387,735
Gaming Devices  1112 - z2,110
Fusion Biomax  41 - z1,147,633
Foodservice Products  13 - z5,353
Foodservice Equipment  1055 - z6,002
Fiber Optic Interface  317 - z2,007
Fiber Optic Cables (Doc)  64 - z1,103
Fasteners  631 - z12
Entertainment Electronics  1169 - z671
Engine Component  985 - z806
Energy Bomb  142 - z7,650
Elite Skill Manual  5 - z278,469
Electronic Switch (Doc)  2 - z4,301
Electronic Switch  779 - z393
Electronic Fragment  4438 - z203
Electron Orb  4585 - z95
Electromagnetic Emitter (Doc)  57 - z20,911
Electromagnetic Emitter  880 - z2,784
Electrical Interface  733 - z1,530
Eco Regulator  21 - z40,706
ECM Target Scrambler  23 - z79,877
ECM Magweb (Doc)  70 - z6,943,543
Dynex Ore  5040 - z112
Dynex Crystal  1317 - z37
Crystaline Filter  47 - z341,759
Copperi Plates  685 - z342
Copperi Cubex  525 - z15
Cooling Unit (Doc)  10 - z18,648
Containment Unit  44 - z9,617
Containment Processor  5 - z198,050
Computer Component  3605 - z1,355
Compartment Frame  574 - z1,406
Communication Device  751 - z2,771
Colored Dye  932 - z19
Cloak Field Generator  68 - z1,181,289
Cleaning Chemicals  756 - z80
Chocolate Bars  942 - z1
Childrens Toys  839 - z334
Cheeseburger  27 - z36,204
Cheese and Crackers  48 - z121,215
Ceramic  186 - z18
Cat Food  5 - z214,135
Carbon Filter  9 - z41,832
Carbon  1654 - z2
Candy Corn  749 - z1
Candy Cane  190 - z1
Calibration Tools  26 - z4,829
Calcium  565 - z3
Calciate Residue  1348 - z64
Burglar Drone  102 - z11,475
Bottled Whiskey  286 - z132
Biowaste Processor  12 - z538,798
Bio Converter  50 - z68,608
Bio Carbon  1379 - z16
Belasite Ore  7037 - z209
Battery Array  1014 - z4,121
Basic Warp Drive Fuel  754 - z1,160
Basic Warp Drive (Doc)  61 - z3,450,188
Basic Warp Drive  75 - z267,516
Basic Torpedo Launcher (Doc)  595 - z30,451
Basic Torpedo Launcher  77 - z5,250
Basic Torpedo   1895 - z128
Basic Skill Manual  5 - z81,258
Basic Shield Booster  63 - z26,126
Basic Scan Emitter  81 - z18,811
Basic Rocket Launcher (Doc)  265 - z31,326
Basic Railgun  32 - z5,754
Basic Projectile Explosive Mod (Doc)  82 - z172,509
Basic Projectile Explosive Mod  33 - z26,876
Basic Plasma Cannon  85 - z6,507
Basic Missile Launcher (Doc)  496 - z21,754
Basic Missile   2030 - z125
Basic Laser Explosive Mod (Doc)  54 - z274,509
Basic Laser Explosive Mod  15 - z25,626
Basic Laser Energy Mod  67 - z26,876
Basic Ion Beam  96 - z8,694
Basic Food Rations  1586 - z60
Basic Filter  51 - z5,705
Basic Explosive Armor  66 - z18,126
Basic ECM Energy Coil  9 - z301,991
Basic Computer (Doc)  46 - z19,084
Basic Computer  678 - z1,363
Basic Charged Cell  2177 - z114
Basic Beam Impact Mod  23 - z20,626
Basic 60mm  1509 - z34
Basic 20mm  2002 - z26
Ball Bearings  649 - z58
Auxiliary System Mount  699 - z5,975
Atmospawn Thermobox  32 - z932,121
Assembly Tools  1663 - z3,186
Armor Plating  140 - z1,701
Anti-Laser Pod (Doc)  63 - z279,387
Anti-Freeze  1603 - z47
Aluminium Shard  810 - z19
Aluminium Rivets  243 - z42
Aluminium Plates  537 - z291
AI Interface Drive  1104 - z713
AI Bio Filter  17 - z921,346
Aged Wine  590 - z140
Afterburner Assembly (Doc)  31 - z53,472
Advanced Waste Unit  10 - z272,699
Advanced Warp Drive Fuel (Doc)  61 - z635,067
Advanced Torpedo   85 - z432
Advanced Skill Manual  5 - z199,705
Advanced Scan Emitter (Doc)  78 - z954,747
Advanced Rocket Launcher (Doc)  50 - z435,195
Advanced Regulator  24 - z12,924
Advanced Railgun (Doc)  193 - z553,104
Advanced Ore Harvester (Doc)  3 - z535,964
Advanced Missile Launcher (Doc)  83 - z351,375
Advanced Missile Launcher  30 - z50,467
Advanced Missile (Doc)  55 - z43,502
Advanced Missile  2647 - z267
Advanced Ion Beam  25 - z105,476
Advanced Filter  35 - z14,900
Advanced Engine Core  18 - z98,123
Advanced Energy Capacitor  78 - z59,803
Advanced Energy Armor  52 - z100,503
Advanced ECM Range Lock  96 - z561,560
Advanced ECM Energy Coil  31 - z401,421
Advanced 20mm (Doc)  91 - z37,401
Adamyte Ore  6089 - z4
Acidic Residue  52 - z18


<Station University Skills>
Projectile Basic Operation
Laser Basic Operation
Beam Basic Operation
Launcher Basic Operation
Torpedo Basic Operation
Miner Basic Operation
Escort Ship Operation
Frigate Ship Operation
Destroyer Ship Operation
Utility Ship Operation
Battlecruiser Ship Operation
Cruiser Ship Operation
Dreadnought Ship Operation
Carrier Ship Operation
Ship Thruster Systems
Ship Cargo Stacker
Max Mission Contracts
Ship Energy Regeneration
Ship Energy Systems
Fleet Commander
Drone Operation
Drone Command Systems
Drone Combat Weapons
Drone Mining Lasers
Drone Repair Systems
Drone Defensive Programing
Drone Range Signal
Drone Energy Systems
Drone Armor Mechanic
Drone Cargo Mechanic
Drone Thruster Systems
Structure Build operation
Structure Warehouse Management
Structure Accountant
Structure Prospector
Structure Engineer
Ship Shield Regeneration


<Station Missions>
[c:lime]REFINE[/c]
Process medium crate of <color='yellow'>16</color> <color='yellow'>Dynex Ores</color> in <color='cyan'>Void Starcross</color> at the Starbase Corporate Center refinery

[c:lime]SALVAGE[/c]
Salvage <color='yellow'>Special Metal Fragment</color> in <color='cyan'>Veloxi</color> and return with <color='yellow'>44</color> to Blargg's in <color='cyan'>Beacon Spita</color>

[c:lime]FABRICATE[/c]
Produce a light container of <color='yellow'>7</color> <color='yellow'>Micro Computers</color> at the Tella's fabricator in <color='cyan'>Bitcola</color>

[c:lime]SCAN[/c]
In <color='cyan'>Jermicus</color>, Scan the <color='yellow'>Industrial Machine</color> structure and return to Acrondia Hub in <color='cyan'>Temple Gates</color>

[c:lime]COLLECT[/c]
Collect a light shipment of <color='yellow'>Generic Light Turrets</color> and return to Rendo Labs in <color='cyan'>Entropy</color>

[c:lime]HARVEST[/c]
Extract special <color='yellow'>Special Torim Ore</color> in <color='cyan'>Beacon Spita</color> and return to Rendo Labs in <color='cyan'>Entropy</color> with minimum of <color='yellow'>140</color>

[c:lime]SALVAGE[/c]
Dismantle <color='yellow'>Special Metal Fragment</color> in <color='cyan'>Stellar Keep</color> and return to Holosynth Industries in <color='cyan'>Rats Of Mortalis</color> with minimum of <color='yellow'>182</color>

[c:lime]DELIVERY[/c]
Dock at CoraVault Hub in <color='cyan'>Pindoris</color> to deliver a light shipment of <color='yellow'>1</color> <color='yellow'>Premium Heavy Laser</color>

[c:lime]COLLECT[/c]
Return to Oak Industries in <color='cyan'>Dorando Corridor</color> with a light collection of <color='yellow'>4</color> <color='yellow'>Improved Turn Thrusts</color>

[c:lime]KILL RAIDERS[/c]
Exterminate <color='yellow'>1 Raider</color> Skilled Raider(s) in <color='cyan'>Ambervellis Drea</color> and dock at Mazu Starship in <color='cyan'>Enoch Estates</color>

[c:lime]DELIVERY[/c]
Move medium crate of <color='yellow'>7</color> <color='yellow'>Improved Scan Boosters</color> to <color='cyan'>Hunu</color> and deliver to ValueStar

[c:lime]REFINE[/c]
Refine a heavy container of <color='yellow'>51</color> <color='yellow'>Undamaged Parts</color> at the Oro Omniplex Center refinery in the <color='cyan'>Merces Academy</color> system.

[c:lime]DELIVERY[/c]
Light delivery of <color='yellow'>Fiber Optic Interfaces</color> to PharmaLife Station in <color='cyan'>Carioullis</color>



<Station Ships>
RS-1 Translator / Shuttle    (Transport)
RE-1 Integrator / Escort    (Recon)
RE-2 Harmonizer / Escort    (Recon)
RU-1 Curator / Escort    (Recon)
RU-2 Conservator / Escort    (Recon)
RF-1 Assimilator / Escort    (Recon)


<Station Offices>
(Tutorial Office) Camera Basics 
[c:grey](Ratamaq Guru)[/c]

(Tutorial Office) Navigation Basics 
[c:grey](Arji Darn)[/c]

(Tutorial Office) Life Support Basics 
[c:grey](Carter Burke)[/c]

(Tutorial Office) Introduction 
[c:grey](Jessa Din)[/c]

(Tutorial Office) Basic Combat 
[c:grey](Fredric Din)[/c]

(Tutorial Office) Basic Drones 
[c:grey](Daniel Traek)[/c]

(Tutorial Office) Basic Fleet Command 
[c:grey](Jacob Salis)[/c]

(Tutorial Office) Wormhole Basics 
[c:grey](Darius Ghent)[/c]

