[s:30][c:yellow]Proctors Center[/c][/s]
Patrol Annex Station
Kandace
Law
[c:lime]Dock fee 25[/c]
Timestamp: 70934.49
<Station Services>

[s:20][c:cyan]STATION ECONOMY[/c][/s]
[c:lime]SUPPLY[/c]
Medium Shield Charge
Heavy Shield Charge
Medium Armor Repair
Heavy Armor Repair
Medium Energy Charge
Heavy Energy Charge
Medium Life Support Pack
Large Life Support Pack
Light Shield Charge
Light Armor Repair
Light Energy Charge
Small Life Support Pack
Generic Torpedo Launcher
Basic Torpedo Launcher
Improved Torpedo Launcher
Advanced Torpedo Launcher
Premium Torpedo Launcher
Prototype Torpedo Launcher
[c:orange]DEMAND[/c]
Personal Clothing
Hygiene Products
Communication Device
Transport Units
Basic Cargo Expansion
Improved Cargo Expansion
Advanced Cargo Expansion
Premium Cargo Expansion
Prototype Cargo Expansion
Basic Mass Reduction
Improved Mass Reduction
Advanced Mass Reduction
Premium Mass Reduction
Prototype Mass Reduction

[s:20][c:cyan]SERVICES[/c][/s]
Lounge
Market
Ship Garage
University
Ship Hangar
Storage
Fabricator
Mission Contracts
Offices


<Station Market Orders>


<Station Market Items>
Visit station market to update prices.
Zai Ore  33 - z716
Small Heatsink  480 - z152
Small Defense Drone (Doc)  34 - z38,726
Small Combat Drone (Doc)  5 - z40,326
Small Combat Drone  46 - z6,949
Silveryte  1062 - z76
Silicon  457 - z8
Sensor Array  309 - z4,299
Scrap Part  4235 - z25
Salt Crystal  932 - z3
Recon Scanner Drone  66 - z12,122
Radar System  286 - z4,232
Quazor Ore  73 - z21
Prototype Warp Drive Fuel  399 - z13,509
Prototype Warp Drive (Doc)  20 - z109,223,400
Prototype Torpedo Launcher  12 - z426,254
Prototype Torpedo   2405 - z1,232
Prototype Scan Emitter  86 - z322,029
Prototype Scan Booster (Doc)  5 - z2,984,634
Prototype Salvage Collector  24 - z1,949,940
Prototype Rocket Launcher (Doc)  457 - z6,765,639
Prototype Railgun (Doc)  41 - z4,715,349
Prototype Plasma Cannon  19 - z991,583
Prototype Missile Launcher (Doc)  44 - z7,095,557
Prototype Missile   1936 - z739
Prototype Mass Reduction  49 - z523,552
Prototype Heavy Cannon (Doc)  105 - z5,708,980
Prototype Energy Generator  73 - z357,574
Prototype ECM Energy Coil  36 - z1,322,188
Prototype Drone Command Bay  66 - z350,820
Prototype Cargo Expansion  51 - z574,600
Prototype Armor Exterior  29 - z527,115
Prototype Afterburner (Doc)  6 - z2,488,920
Prototype 60mm  2404 - z186
Prototype 20mm  2034 - z100
Protein Bar  15 - z7,407
Prometheum  954 - z132
Pressure Sensor (Doc)  97 - z2,250
Pressure Sensor  558 - z146
Premium Torpedo Launcher  12 - z121,787
Premium Shield Generator  79 - z185,362
Premium Scan Booster (Doc)  31 - z1,127,517
Premium Rocket Launcher (Doc)  336 - z1,918,033
Premium Railgun (Doc)  342 - z1,671,377
Premium Plasma Cannon  31 - z197,474
Premium Missile Launcher (Doc)  174 - z1,069,904
Premium Mass Reduction  80 - z261,776
Premium Engine Core  45 - z223,196
Premium Energy Capacitor  29 - z170,177
Premium Drone Command Bay  91 - z233,010
Premium Cargo Expansion  39 - z284,539
Premium Afterburner  39 - z202,905
Predator Beam Guardian (Doc)  1 - z7,925,977
Polymere  152 - z48
Plastix Strands  1076 - z3
Plasite Ore  4346 - z100
Pizza  35 - z439,171
Personal Clothing  37 - z2,193
Oxygen  461 - z3
Ornament  826 - z5
Optical Interface  927 - z158
OmniCon Regulator  10 - z40,583
Oil  747 - z11
Office Supplies  995 - z3,102
Office Furniture  916 - z510
Noodles  35 - z15,780
Nitrogen  468 - z11
Neutron Pods  1716 - z35
Musical Instruments  1015 - z1,938
Motion Sensor  881 - z212
Module Fragment  3838 - z247
Micro Leech Drone  207 - z11,822
Metal Valve (Doc)  100 - z220
Metal Gears  374 - z36
Metal Fragment  4761 - z117
Metal Brackets  722 - z24
Medium Web Field  98 - z27,796
Medium Shield Charge  25 - z7,101
Medium Shield Bomb  44 - z28,840
Medium Salvage Drone (Doc)  78 - z94,253
Medium Salvage Drone  150 - z15,872
Medium Repair Drone  195 - z16,022
Medium Mining Drone  50 - z12,872
Medium Life Support Pack  25 - z5,072
Medium Energy Charge  25 - z6,087
Medium Defense Drone (Doc)  84 - z46,253
Medium Defense Drone  156 - z10,322
Medium Armor Repair  25 - z8,116
Medical Instruments  90 - z10,859
Media Recordings  86 - z1,786
Mechanical Tools  822 - z8,270
Mechanical Belts (Doc)  64 - z525
Magnetic Quartz  518 - z3
Lokken Ore  640 - z35
Liquid Coolant  794 - z15
Light Shield Charge  25 - z2,367
Light Energy Charge  25 - z2,029
Light Armor Repair  25 - z2,705
Large Web Field  107 - z54,587
Large Salvage Drone  95 - z108,816
Large Pump (Doc)  26 - z5,725
Large Processor (Doc)  41 - z1,124
Large Processor  840 - z158
Large Mining Drone  83 - z113,816
Large Life Support Pack  25 - z15,217
Large Heatsink  795 - z589
Large Defense Drone  101 - z109,816
Large Combat Drone  70 - z64,816
Kitchen Appliances  17 - z497
Keypad (Doc)  40 - z2,045
Junk Part  4741 - z16
Iron Coring Plates  238 - z550
Iron Coring Pipes  565 - z304
Iron Coring  1434 - z7
Ionization Plate  1042 - z2,296
Interior Lighting  885 - z193
Improved Torpedo Launcher  12 - z9,942
Improved Salvage Drone  115 - z48,967
Improved Salvage Collector (Doc)  82 - z195,548
Improved Railgun (Doc)  299 - z104,099
Improved Pulse Laser  24 - z24,700
Improved Missile Launcher  68 - z35,255
Improved Mining Drone  156 - z46,267
Improved Mass Reduction  30 - z67,360
Improved Ion Beam  97 - z34,932
Improved Heavy Cannon (Doc)  41 - z103,509
Improved Heavy Cannon  11 - z16,120
Improved Filter  3 - z14,187
Improved Explosive Armor  37 - z35,408
Improved Engine Core  59 - z31,159
Improved Energy Generator (Doc)  60 - z442,281
Improved Energy Armor (Doc)  42 - z448,894
Improved Drone Command Bay  86 - z54,253
Improved Defense Drone  108 - z40,867
Improved Combat Drone  80 - z41,767
Hyperion Regulator  15 - z234,870
Hygiene Products  63 - z308
Hydrox Filter  29 - z301,947
Hydrogen  996 - z3
Hull Chassis  4501 - z2,585
Heavy Shield Recharger  74 - z2,308,670
Heavy Shield Charge  25 - z21,304
Heavy Repair Drone (Doc)  34 - z702,820
Heavy Repair Drone  94 - z196,046
Heavy Mining Drone (Doc)  27 - z376,420
Heavy Mining Drone  39 - z205,946
Heavy Energy Charge  25 - z18,260
Heavy Defense Drone (Doc)  2 - z664,420
Heavy Defense Drone  91 - z149,846
Heavy Combat Drone (Doc)  33 - z382,820
Heavy Combat Drone  168 - z113,546
Heavy Armor Repair  25 - z24,347
Heavy Armor Bomb  100 - z102,721
Hand Tools  305 - z630
Ham Sandwich  14 - z26,758
Habitax Regulator  48 - z614,612
Gyroscope Drive  126 - z1,949
Gummy Bears  887 - z1
Grilled Steak  27 - z39,270
Gradeon Ore  5013 - z11
Gourmet Food Rations  767 - z170
Goldyte  1455 - z68
Glass Panels  441 - z546
Generic Torpedo Launcher (Doc)  345 - z7,778
Generic Torpedo Launcher  23 - z1,052
Generic Railgun (Doc)  395 - z7,538
Generic Plasma Cannon  82 - z1,360
Generic Missile Launcher  21 - z1,536
Generic Heavy Laser  55 - z2,856
Generic Construction Platform  24 - z6,886,172
Gaming Devices  83 - z3,117
Fusion Chamber  534 - z1,426
Fusion Biomax  19 - z1,021,693
Fuel Injector  143 - z3,926
Foodservice Products  801 - z6,635
Foodservice Equipment  795 - z5,026
Fiber Optic Cables (Doc)  5 - z726
Fiber Optic Cables  253 - z103
Entertainment Electronics  952 - z786
Engine Component  4086 - z877
Energy Bomb  176 - z11,282
Elite Skill Manual  97 - z1,152,383
Electronic Fragment  5080 - z203
Electron Orb  955 - z123
Electromagnetic Emitter  378 - z3,458
Eco Regulator  46 - z49,452
Dynex Ore  4983 - z157
Dynex Crystal  424 - z36
Disposables  33 - z6,847
Crystaline Filter  31 - z460,675
Copperi Pipes (Doc)  7 - z3,701
Copperi Cubex  316 - z17
Containment Unit  17 - z16,025
Containment Processor  50 - z228,838
Containment Field Emitter (Doc)  67 - z106,796
Computer Component  4524 - z1,330
Compartment Frame  714 - z1,005
Comm Device  1101 - z1,241
Colored Dye  856 - z20
Cloak Energy Core (Doc)  79 - z4,567,931
Cloak Energy Core  98 - z391,262
Cleaning Chemicals  981 - z120
Circuit Board  694 - z80
Chocolate Bars  70 - z1
Childrens Toys  970 - z219
Cheeseburger  45 - z30,694
Cheese and Crackers  41 - z68,723
Ceramic  1538 - z12
Cat Food  12 - z250,954
Carbon Filter  52 - z26,567
Carbon Fiber  1043 - z23
Carbon  1512 - z2
Candy Corn  40 - z1
Candy Cane  924 - z1
Calibration Tools  874 - z3,313
Calcium  661 - z6
Calciate Residue  710 - z53
Burglar Drone  147 - z10,172
Bottled Whiskey  1 - z89
Bomber Drone  103 - z10,922
Biowaste Processor  10 - z676,186
Bio Disposables  15 - z77,915
Bio Converter  5 - z42,553
Bio Carbon  1344 - z17
Belasite Ore  4799 - z151
Battery Core  529 - z145
Battery Array  828 - z6,321
Basic Torpedo Launcher  12 - z2,841
Basic Torpedo   2416 - z236
Basic Sensor  408 - z69
Basic Scan Booster  32 - z17,635
Basic Salvage Collector  37 - z18,734
Basic Rocket Launcher (Doc)  325 - z45,435
Basic Rocket Launcher  63 - z5,167
Basic Railgun (Doc)  383 - z40,663
Basic Pulse Laser  56 - z7,267
Basic Projectile Impact Mod  88 - z31,454
Basic Projectile Explosive Mod  17 - z32,204
Basic Missile Launcher (Doc)  450 - z26,879
Basic Missile   48 - z120
Basic Light Turret  36 - z4,397
Basic Ion Beam  79 - z10,317
Basic Heavy Laser  40 - z8,995
Basic Food Rations  933 - z66
Basic Filter  53 - z8,667
Basic Energy Generator  57 - z24,308
Basic Energy Armor (Doc)  8 - z221,447
Basic ECM Resistance Field  108 - z369,355
Basic ECM Range Lock  56 - z210,250
Basic ECM Energy Coil  90 - z303,022
Basic Drone Command Bay  28 - z38,326
Basic Charged Cell  2036 - z109
Basic Cargo Expansion  46 - z37,096
Basic Armor Exterior (Doc)  41 - z431,336
Basic 60mm  1841 - z29
Basic 20mm  2500 - z22
Atmospawn Thermobox  13 - z849,284
Assorted Springs  922 - z62
Assembly Tools  8 - z7,082
Armor Plating (Doc)  98 - z18,086
Armor Plating  147 - z2,202
Anti-Missile Pod (Doc)  43 - z321,809
Anti-Freeze  1025 - z37
Ammunition Loader  196 - z1,339
Aluminium Shard  524 - z17
Aluminium Rivets  159 - z36
AI Interface Drive  559 - z961
AI Bio Filter  9 - z687,650
Aged Wine  765 - z177
Afterburner Assembly  590 - z4,289
Advanced Waste Unit  39 - z291,392
Advanced Turn Thrust (Doc)  59 - z651,030
Advanced Torpedo Launcher  12 - z34,796
Advanced Torpedo   1836 - z476
Advanced Targeting System  24 - z49,515
Advanced Spring Loader  952 - z1,410
Advanced Skill Manual  162 - z612,088
Advanced Scan Emitter  44 - z89,867
Advanced Scan Booster  68 - z95,620
Advanced Rocket Launcher (Doc)  126 - z402,235
Advanced Regulator  8 - z11,002
Advanced Pulse Laser (Doc)  57 - z295,047
Advanced Ore Harvester  48 - z112,874
Advanced Missile Launcher (Doc)  274 - z282,105
Advanced Missile  2169 - z217
Advanced Impact Armor  72 - z111,816
Advanced Filter  29 - z14,753
Advanced ECM Resistance Field  92 - z581,615
Advanced Armor Exterior (Doc)  42 - z1,250,145
Advanced Armor Exterior  77 - z84,979
Advanced 60mm  2231 - z104
Advanced 20mm  2442 - z37
Adamyte Ore  5172 - z5
Active Scanner (Doc)  74 - z150,400
Acidic Residue  843 - z25
Acidic Gel Battery  511 - z1,261


<Station University Skills>
Impact Damage Resistance
Energy Damage Resistance
Explosive Damage Resistance
Beam Focal Range
University Academic
Miner Harvest Calibration
Beam Advanced Systems
Salvager Energy Optimization
Launcher Energy Optimization
Market Auditor


<Station Missions>
[c:lime]SCAN[/c]
Find the target <color='yellow'>Recon Center</color> structure in <color='cyan'>Archteli</color>, scan, and return to Transporteers Hub in <color='cyan'>Ambervellis Drea</color>

[c:lime]RECOVER[/c]
Retrieve a light cache of <color='yellow'>Pressure Sensors</color> from a <color='yellow'>crate</color> in <color='cyan'>Veloxi</color> sector, drop at Biomate University in <color='cyan'>Void Starcross</color>

[c:lime]SALVAGE[/c]
Salvage <color='yellow'>Special Module Fragment</color> in <color='cyan'>Jelumus</color> and return with <color='yellow'>50</color> to Starbase Corporate Center in <color='cyan'>Void Starcross</color>

[c:lime]SCAN[/c]
Locate and scan <color='yellow'><i>Commander Ribnostra Nostralel</i></color> in <color='cyan'>Grace</color> and return to Transporteers in <color='cyan'>Hunu</color>

[c:lime]RECOVER[/c]
Reclaim a medium shipment <color='yellow'>crate</color> in <color='cyan'>Lins</color> and bring back to Valuestar Hub in <color='cyan'>Jelumus</color>

[c:lime]KILL RECOVER[/c]
Hijack and kill <color='yellow'><i>Rookie Bemves Amles</i></color> in <color='cyan'>Chamo</color> and steal <color='yellow'>48</color> <color='yellow'>Steelium Plates</color>. Return to ValueStar in <color='cyan'>Hunu</color>

[c:lime]SCAN[/c]
Find the target <color='yellow'>Corporate Dock</color> structure in <color='cyan'>Veloxi</color>, scan, and return to Valuestar Hub in <color='cyan'>Jelumus</color>

[c:lime]SCAN[/c]
Scan <color='yellow'><i>Entertainer Eiam Sipba</i></color> recently spotted in <color='cyan'>Ballast Crow</color> and return to Ferce Hub in <color='cyan'>Semja</color>

[c:lime]RECOVER[/c]
Reclaim a medium shipment <color='yellow'>crate</color> in <color='cyan'>Dorando Corridor</color> and bring back to Proctors Center in <color='cyan'>Void Starcross</color>

[c:lime]REFINE[/c]
Refine a light container of <color='yellow'>19</color> <color='yellow'>Scrap Parts</color> at the Tella's station in <color='cyan'>Bitcola</color>

[c:lime]DIALOG[/c]
Arrest <color='yellow'><i>Govenor Becktu Kolwho</i></color> over an outstanding warrant in <color='cyan'>Kriox</color> and return to Oro Omniplex Center in <color='cyan'>Merces Academy</color>

[c:lime]SALVAGE[/c]
Salvage <color='yellow'>Special Junk Part</color> in <color='cyan'>Lins</color> and return with <color='yellow'>60</color> to Temple of the Void in <color='cyan'>Valley of Truths</color>

[c:lime]KILL RECOVER[/c]
Kill and Rob <color='yellow'><i>Doctor Lomwa Lindofozae</i></color> in <color='cyan'>Carioullis</color> and return to Crystalis Broadcasting in <color='cyan'>Jermicus</color> with <color='yellow'>2</color> of <color='yellow'>Spaceframes</color>



<Station Ships>
BS-1 Starclass Shuttle / Shuttle    (Battle)
BE-1 Gabriel / Escort    (Battle)
BE-2 Raphael / Escort    (Battle)
BU-1 Gunship / Escort    (Battle)
BU-2 Sniper / Escort    (Battle)
BF-1 Missile Enforcer / Escort    (Assault)


<Station Offices>
(Tutorial Office) Camera Basics 
[c:grey](Ratamaq Guru)[/c]

(Tutorial Office) Navigation Basics 
[c:grey](Arji Darn)[/c]

(Tutorial Office) Life Support Basics 
[c:grey](Carter Burke)[/c]

(Tutorial Office) Basic Drones 
[c:grey](Daniel Traek)[/c]

