[s:30][c:yellow]Horizons[/c][/s]
Headquarters
Serzokom Qireno
Alpha
[c:lime]Dock fee 100[/c]
Timestamp: 54822.54
<Station Services>

[s:20][c:cyan]STATION ECONOMY[/c][/s]
[c:lime]SUPPLY[/c]
Basic 20mm
Advanced 20mm
Prototype 20mm
Basic 60mm
Advanced 60mm
Prototype 60mm
Basic Missile 
Advanced Missile
Prototype Missile 
Basic Torpedo 
Advanced Torpedo 
Prototype Torpedo 
[c:orange]DEMAND[/c]
Candy Cane
Ornament
Wrapped Box
Active Scanner

[s:20][c:cyan]SERVICES[/c][/s]
Lounge
Market
Ship Garage
University
Ship Hangar
Storage
Offices


<Station Market Orders>
[c:green]BUY Order[/c] Market Shortage: (2) Items 
 (567) x Wrapped Box
 (313) x Ornament
Fulfill order for [c:lime]8,284 profit.[/c]
[c:red]SELL Order[/c] Market Items: (1) Items 
 (345) x Basic 60mm
Buy items for [c:lime]8,515 discount.[/c]
[c:green]BUY Order[/c] Market Shortage: (3) Items 
 (225) x Ornament
 (144) x Candy Cane
 (411) x Candy Cane
Fulfill order for [c:lime]636 profit.[/c]
[c:red]SELL Order[/c] Market Supply: (2) Items 
 (36) x Basic Missile 
 (228) x Basic 20mm
Buy items for [c:lime]8,150 discount.[/c]
[c:green]BUY Order[/c] Market Shortage: (1) Items 
 (209) x Candy Cane
Fulfill order for [c:lime]194 profit.[/c]
[c:red]SELL Order[/c] Market Goods: (2) Items 
 (279) x Prototype 60mm
 (236) x Advanced 60mm
Buy items for [c:lime]64,019 discount.[/c]
[c:red]SELL Order[/c] Market Supply: (1) Items 
 (159) x Prototype Torpedo 
Buy items for [c:lime]125,945 discount.[/c]
[c:red]SELL Order[/c] Market Items: (2) Items 
 (272) x Advanced Missile
 (108) x Prototype 20mm
Buy items for [c:lime]51,619 discount.[/c]


<Station Market Items>
Visit station market to update prices.
Adamyte Ore  53 - z9
Gummy Bears  15 - z1
Heavy Energy Charge  18 - z64,312
Heavy Mining Drone  14 - z90,910
Heavy Repair Drone  7 - z135,460
Heavy Salvage Drone  18 - z191,560
Hydraulic Assembly (Doc)  17 - z27,050
Hydrogen  268 - z3
Improved Afterburner  5 - z40,839
Improved Energy Generator  15 - z64,454
Improved Filter  8 - z6,749
Improved Rocket Launcher (Doc)  26 - z118,944
Improved Scan Emitter  16 - z37,475
Interior Lighting  16 - z198
Junk Part  195 - z14
Kitchen Appliances  11 - z914
Large Life Support Pack  2 - z28,844
Large Web Field  30 - z74,950
Liquid Coolant  193 - z29
Lubricant  42 - z9
Magnetic Quartz  29 - z3
Mechanical Belts  14 - z59
Medium Armor Repair  29 - z28,343
Medium Life Support Pack  30 - z15,465
Medium Mining Drone  4 - z10,515
Medium Salvage Drone  30 - z19,065
Medium Web Field  23 - z12,983
Metal Brackets  94 - z19
Metal Gears  41 - z23
Metal Valve  40 - z35
Micro Leech Drone  32 - z19,065
Misc Hardware (Doc)  4 - z8,739
Noodles  6 - z6,872
Nuts And Bolts  76 - z7
Office Furniture  15 - z759
Ornament  15 - z8
Oxygen  30 - z1
Plastic Caps  140 - z64
Premium Missile Launcher (Doc)  43 - z1,701,808
Premium Railgun (Doc)  7 - z1,136,217
Protein Bar  2 - z5,327
Prototype 20mm  42 - z88
Prototype 60mm  34 - z148
Prototype Missile   30 - z425
Prototype Railgun (Doc)  76 - z6,371,757
Prototype Torpedo   39 - z705
Recon Scanner Drone  10 - z12,015
Reinforced Rubber  167 - z13
Rubber Tubing  65 - z39
Salt Crystal  129 - z3
Scrap Part  117 - z35
Sensor Array (Doc)  19 - z25,410
Spaceframe (Doc)  4 - z64,128
Steelium Pipes  132 - z23
Thermal Controller  3 - z8,197
Thermal Insulation  152 - z27
Thruster Casing (Doc)  18 - z43,175
Titan Defense Drone  28 - z170,242
Titan Repair Drone  12 - z315,242
Water  262 - z1
Weapon Systems Package (Doc)  5 - z65,314
Wrapped Box  17 - z16


<Station University Skills>
Ship Shield Systems
Storage Manager
Beam Advanced Systems
Fabrication Accountant
Launcher Maintenance


<Station Missions>


<Station Ships>
RE-1 Integrator / Escort    (Recon)
EC-1 Support Frigate / Frigate    (Support)
EE-1 Mining Shuttle / Shuttle    (Excavation)
PCA-1 Pirate Destroyer / Destroyer    (Battle)
TF-1 Hexalon / Escort    (Transport)
BC-1 Alpharis Predator / Escort    (Battle)
