[s:30][c:yellow]StarGypsy Warehouse[/c][/s]
Tavern Station
Pinratus Flake
Pirate
[c:lime]Dock fee 25[/c]
Timestamp: 71284.41
<Station Services>

[s:20][c:cyan]STATION ECONOMY[/c][/s]
[c:lime]SUPPLY[/c]
Basic Drone Command Bay
Improved Drone Command Bay
Advanced Drone Command Bay
Premium Drone Command Bay
Prototype Drone Command Bay
Fusion Chamber
Gravitational Emitter
Gyroscope Drive
Heating Unit
Hydraulic Assembly
Ionization Plate
Large Motor
Lidar System
Magnetic Regulator
Radar System
[c:orange]DEMAND[/c]
Aged Wine
Bottled Whiskey
Basic Food Rations
Gourmet Food Rations
Candy Corn
Chocolate Bars
Gummy Bears
Basic Armor Exterior
Improved Armor Exterior
Advanced Armor Exterior
Premium Armor Exterior
Prototype Armor Exterior
Basic Impact Armor
Improved Impact Armor
Advanced Impact Armor
Premium Impact Armor
Prototype Impact Armor
Basic Energy Armor
Improved Energy Armor
Advanced Energy Armor
Premium Energy Armor
Prototype Energy Armor
Basic Explosive Armor
Improved Explosive Armor
Advanced Explosive Armor
Premium Explosive Armor
Prototype Explosive Armor

[s:20][c:cyan]SERVICES[/c][/s]
Lounge
Market
Refinery
Ship Garage
University
Ship Hangar
Storage
Fabricator
Mission Contracts
Offices


<Station Market Orders>


<Station Market Items>
Visit station market to update prices.
Water  457 - z1
Heating Unit  150 - z1,053
Hardened Glass Panels  710 - z631
Ham Sandwich  29 - z13,355
Gyroscope Drive  150 - z957
Gummy Bears  17 - z2
Grilled Steak  3 - z38,273
Gravitational Emitter  150 - z870
Gradeon Ore  1136 - z15
Generic Railgun (Doc)  128 - z13,356
Generic Plasma Cannon  28 - z1,261
Generic Missile Launcher (Doc)  328 - z12,793
Generic Ion Beam  62 - z1,399
Gaming Devices  15 - z2,529
Fusion Chamber  150 - z791
Foodservice Equipment  268 - z4,434
Fiber Optic Cables (Doc)  21 - z927
Fasteners  309 - z10
Entertainment Electronics  365 - z809
Elite Skill Manual  15 - z1,329,384
Electronic Switch  241 - z335
Electronic Fragment  1159 - z179
Electrical Interface (Doc)  48 - z24,281
Eco Regulator  30 - z47,006
ECM Module Disruptor (Doc)  31 - z2,913,215
Dynex Ore  1470 - z164
Dynex Crystal Resonator (Doc)  14 - z4,013
Dynex Crystal  1056 - z38
Disposables  23 - z6,881
Copperi Plates  470 - z372
Copperi Pipes  182 - z399
Copperi Cubex  103 - z12
Copperi Cables (Doc)  22 - z1,792
Containment Unit  27 - z10,816
Containment Processor  14 - z263,986
Communication Device  838 - z2,876
Colored Dye  482 - z24
Cloak Booster  52 - z672,702
Cleaning Chemicals  26 - z112
Chocolate Bars  51 - z2
Childrens Toys  287 - z211
Cheeseburger  30 - z45,881
Cheese and Crackers  21 - z112,936
Ceramic  528 - z20
Cat Food  29 - z125,255
Carbon Filter  23 - z35,752
Carbon  390 - z2
Capacitors  424 - z127
Candy Corn  17 - z2
Candy Cane  138 - z1
Calibration Tools  678 - z5,344
Calcium  849 - z5
Burglar Drone  73 - z9,945
Bottled Whiskey  58 - z182
Bomber Drone  78 - z19,095
Bio Disposables  17 - z119,829
Bio Converter  29 - z71,099
Bio Carbon  293 - z19
Belasite Extractor (Doc)  3 - z10,679,610
Basic Shield Booster  33 - z31,324
Basic Scan Emitter (Doc)  10 - z173,442
Basic Scan Booster  41 - z21,716
Basic Rocket Launcher (Doc)  124 - z28,104
Basic Pulse Laser  13 - z6,391
Basic Missile Launcher  42 - z4,566
Basic Missile Impact Mod  67 - z32,074
Basic Missile Energy Mod  52 - z29,324
Basic Light Turret  9 - z5,271
Basic Ion Beam  24 - z9,013
Basic Impact Armor  4 - z35,718
Basic Filter  22 - z8,351
Basic Explosive Armor  27 - z35,718
Basic ECM Resistance Field  33 - z478,447
Basic Drone Command Bay  12 - z13,719
Basic Beam Explosive Mod (Doc)  32 - z303,892
Basic Armor Exterior  55 - z42,861
Basic 20mm (Doc)  46 - z10,024
Basic 20mm  677 - z16
Assorted Gaskets  377 - z15
Assembly Tools  758 - z5,114
Anti-Freeze  169 - z44
Aluminium Shard  539 - z30
Aluminium Rivets  480 - z48
AI Interface Drive  169 - z1,198
Aged Wine  42 - z195
Advanced Warp Drive Fuel  528 - z5,918
Advanced Torpedo   475 - z381
Advanced Spring Loader (Doc)  56 - z14,510
Advanced Spring Loader  466 - z1,229
Advanced Skill Manual  62 - z614,797
Advanced Scan Booster  74 - z69,386
Advanced Regulator  14 - z14,614
Advanced Railgun (Doc)  216 - z330,809
Advanced Railgun  47 - z80,568
Advanced Missile Launcher (Doc)  23 - z340,972
Advanced Impact Armor  44 - z142,872
Advanced Heavy Cannon  2 - z106,868
Advanced Filter  36 - z13,570
Advanced Explosive Armor  46 - z142,872
Advanced Energy Capacitor (Doc)  48 - z1,563,709
Advanced Energy Armor  60 - z142,872
Advanced ECM Energy Coil  46 - z504,192
Advanced Drone Command Bay  12 - z54,876
Advanced Armor Exterior  75 - z172,803
Advanced Afterburner (Doc)  9 - z857,253
Advanced Afterburner  40 - z76,238
Adamyte Ore  598 - z4
Acidic Residue  670 - z13


<Station University Skills>
Passive Scanner Systems
Passive Scanner Focal Range
Ship Gyroscopic Control
Ship Shield Regeneration
Ship Energy Regeneration
Ship LS System Maintenance
Advanced Food Systems
Advanced Water Systems
Advanced Thermal Systems
Advanced Waste Systems
Fleet Combat Training
Ship Advanced Targeting Systems
ECM Module Operation
ECM Power System
ECM Energy Management
ECM Focus Range
ECM Resistance
Cloak Field Operation
Cloak Power System
Cloak Energy Management
Cloak Field Range
Cloak Sensors


<Station Missions>
[c:lime]HARVEST[/c]
Mine special <color='yellow'>Special Adamyte Ore</color>, minimum <color='yellow'>440</color>, in <color='cyan'>Starfort Ramos</color> and return to Proctors Center in <color='cyan'>Void Starcross</color>

[c:lime]KILL RECOVER[/c]
Execute <color='yellow'><i>General Velda Mastdorn</i></color> in <color='cyan'>Felishar</color>, loot the <color='yellow'>3933</color> <color='yellow'>Waters</color>. Return to CoraVault in <color='cyan'>Lins</color>

[c:lime]DIALOG[/c]
Collect a payment from <color='yellow'><i>Doctor Veslow Deedee</i></color> in <color='cyan'>Numbu</color> and return to Fellacore Research Center in <color='cyan'>Grace</color>

[c:lime]TRANSPORT[/c]
Transport <color='yellow'>235</color> units of <color='yellow'>Pressure Sensors</color> from Acrondia Hub in <color='cyan'>Temple Gates</color> to Quantex in <color='cyan'>Dellis Primeria</color>

[c:lime]RECOVER[/c]
Locate a heavy shipment in <color='cyan'>Numbu</color>, and bring back to Nostra in <color='cyan'>Zellis</color>

[c:lime]FABRICATE[/c]
Produce a heavy container of <color='yellow'>54</color> <color='yellow'>Misc Hardwares</color> at the Quantex fabricator in the <color='cyan'>Dellis Primeria</color> system.

[c:lime]SALVAGE[/c]
Return to Holosynth Industries in <color='cyan'>Rats Of Mortalis</color> after salvaging <color='yellow'>Special Junk Part</color> from <color='cyan'>Hunu</color>. <color='yellow'>334</color> required.

[c:lime]SCAN[/c]
In <color='cyan'>Pindoris</color>, Scan the <color='yellow'>Labor United</color> structure and return to Transporteers in <color='cyan'>Hunu</color>

[c:lime]DIALOG[/c]
Capture <color='yellow'><i>Fabricator Whiqu Eiradie</i></color> in <color='cyan'>Carioullis</color> for official crimes and return to Crystalis Broadcasting in <color='cyan'>Jermicus</color>

[c:lime]ESCORT[/c]
Escort <color='yellow'><i>Commander Bruqo Bingot</i></color> from Oak Industries in <color='cyan'>Dorando Corridor</color> to OmniTrust in <color='cyan'>Ponze</color>

[c:lime]SALVAGE[/c]
Salvage <color='yellow'>Special Module Fragment</color>, minimum <color='yellow'>234</color>, in <color='cyan'>Jelumus</color> and return to CoraVault Hub in <color='cyan'>Pindoris</color>

[c:lime]DIALOG[/c]
Detain <color='yellow'><i>Leader Eawho Whovajal</i></color> in <color='cyan'>Lins</color> and escort them to Tella's in <color='cyan'>Bitcola</color>

[c:lime]REFINE[/c]
Dock at the Transporteers Hub station refinery in <color='cyan'>Ambervellis Drea</color> and process a light shipment of <color='yellow'>2</color> <color='yellow'>Computer Components</color>

[c:lime]DELIVERY[/c]
Dock at Mazu Starship in <color='cyan'>Enoch Estates</color> to deliver a light shipment of <color='yellow'>64</color> <color='yellow'>AI Interface Drives</color>



<Station Ships>
PS-1 Shuttle / Shuttle    (Excavation)
PE-1 Pirate Escort / Escort    (Assault)
PE-2 Pirate Escort T2 / Escort    (Assault)
PU-1 Pirate Escort / Escort    (Assault)
PU-2 Battle Frigate T2 / Frigate    (Battle)
PF-1 Assault Frigate / Frigate    (Assault)


<Station Offices>
(Tutorial Office) Camera Basics 
[c:grey](Ratamaq Guru)[/c]

(Tutorial Office) Navigation Basics 
[c:grey](Arji Darn)[/c]

(Tutorial Office) Life Support Basics 
[c:grey](Carter Burke)[/c]

(Tutorial Office) Basic Drones 
[c:grey](Daniel Traek)[/c]

