[s:30][c:yellow]Rendo Labs[/c][/s]
Beam Research Facility
Bomene Janfonve
Alpha
[c:lime]Dock fee 100[/c]
Timestamp: 77777.93
<Station Services>

[s:20][c:cyan]STATION ECONOMY[/c][/s]
[c:lime]SUPPLY[/c]
Sensor Array
Thruster Casing
Voltage Regulator
Afterburner Assembly
Artificial Gravity Generator
Auxiliary System Mount
Battery Array
Micro Computer
Servo Controls
Containment Field Emitter
[c:orange]DEMAND[/c]
Junk Part
Scrap Part
Undamaged Part
Metal Fragment
Electronic Fragment
Module Fragment
Weapons Component
Engine Component
Computer Component
Hull Chassis
Cleaning Chemicals
Colored Dye
Anti-Freeze

[s:20][c:cyan]SERVICES[/c][/s]
Market
Storage
Fabricator
Mission Contracts


<Station Market Orders>


<Station Market Items>
Visit station market to update prices.
Wrapped Box  18 - z12
Heavy Shield Bomb  25 - z93,251
Heavy Armor Bomb  30 - z90,011
Gummy Bears  1 - z1
Gradeon Ore  2375 - z11
Generic Torpedo Launcher  4 - z2,499
Generic Pulse Laser  8 - z1,203
Generic Light Turret  2 - z1,103
Generic Heavy Laser  18 - z1,367
Generic Heavy Cannon  6 - z1,301
Generic Construction Platform  18 - z6,759,375
Electronic Fragment  9 - z237
Disposables  8 - z4,769
Containment Unit  2 - z12,633
Containment Field Emitter  150 - z2,549
Cleaning Chemicals  15 - z135
Chocolate Bars  12 - z1
Carbon Fiber  191 - z21
Carbon  14 - z2
Candy Corn  13 - z1
Candy Cane  14 - z1
Battery Array  59 - z4,435
Basic Turn Thrust  13 - z18,625
Basic Torpedo Launcher (Doc)  90 - z27,353
Basic Targeting System  7 - z17,701
Basic Shield Generator  17 - z32,434
Basic Salvage Collector  8 - z7,998
Basic Rocket Launcher (Doc)  36 - z23,494
Basic Railgun  12 - z5,555
Basic Pulse Laser  11 - z4,489
Basic Projectile Explosive Mod (Doc)  5 - z261,375
Basic Missile Launcher  14 - z4,938
Basic Missile Explosive Mod (Doc)  7 - z372,375
Basic Light Turret  6 - z7,219
Basic Impact Armor  19 - z25,031
Basic Heavy Laser  10 - z6,093
Basic Heavy Cannon  9 - z7,094
Basic Filter  6 - z8,899
Basic Explosive Armor  17 - z19,281
Basic Energy Generator  15 - z17,115
Basic Energy Armor  15 - z21,031
Basic Drone Command Bay  18 - z27,650
Basic Charged Cell  88 - z126
Basic Beam Impact Mod (Doc)  11 - z312,375
Basic Afterburner  11 - z19,625
Basic 60mm  95 - z21
Basic 20mm (Doc)  10 - z7,690
Ball Bearings  130 - z68
Auxiliary System Mount  58 - z4,094
Assorted Springs  49 - z57
Assorted Gaskets (Doc)  18 - z136
Assorted Gaskets  45 - z12
Artificial Gravity Generator  63 - z4,735
Anti-Freeze  14 - z62
Aluminium Rivets  75 - z49
Afterburner Assembly  150 - z1,439
Advanced Torpedo   30 - z334
Advanced Thruster (Doc)  1 - z747,180
Advanced Shield Generator (Doc)  7 - z1,466,100
Advanced Regulator  6 - z11,898
Advanced Railgun (Doc)  74 - z551,158
Advanced Energy Generator (Doc)  14 - z915,600
Advanced Energy Armor (Doc)  11 - z637,500
Advanced ECM Range Lock (Doc)  1 - z7,820,916
Advanced 60mm  78 - z92
Advanced 20mm  62 - z53
Adamyte Ore  157 - z5


<Station University Skills>


<Station Missions>
[c:lime]RECOVER[/c]
Recover a light quantity of <color='yellow'>1</color> <color='yellow'>Prototype Afterburner</color> in <color='cyan'>Coralor</color>, and return to Temple of the Void in <color='cyan'>Valley of Truths</color>

[c:lime]HARVEST[/c]
Extract special <color='yellow'>Special Adamyte Ore</color> in <color='cyan'>Entropy</color> and return to ValueStar in <color='cyan'>Hunu</color> with minimum of <color='yellow'>170</color>

[c:lime]SCAN[/c]
Recon <color='yellow'><i>Lieutenant Mezo Dornzeno</i></color> in <color='cyan'>Pindoris</color> and return to OmniTrust in <color='cyan'>Ponze</color>

[c:lime]FABRICATE[/c]
Produce a light container of <color='yellow'>6</color> <color='yellow'>Large Pumps</color> at the ValueStar fabricator in <color='cyan'>Hunu</color>

[c:lime]DELIVERY[/c]
Deliver light container of <color='yellow'>103</color> <color='yellow'>Waters</color> to PharmaLife Station in <color='cyan'>Carioullis</color>

[c:lime]HARVEST[/c]
Return to Daemon Ammunitions in <color='cyan'>Starfort Ramos</color> after mining special <color='yellow'>Special Lokken Ore</color> from <color='cyan'>Stellar Keep</color>. <color='yellow'>231</color> required.

[c:lime]HARVEST[/c]
Extract special <color='yellow'>Special Torim Ore</color> in <color='cyan'>Crellara</color> and return to Tella's in <color='cyan'>Bitcola</color> with minimum of <color='yellow'>126</color>

[c:lime]ESCORT[/c]
<color='yellow'><i>General Dozeta Bacuo</i></color> requests an escort from Gek Mining in <color='cyan'>Alias Outpost</color> to Xellon in <color='cyan'>Ele</color>



<Station Ships>
