[s:30][c:yellow]CoraVault[/c][/s]
Banking Facility
Nexa Mapei
Trade
[c:lime]Dock fee 100[/c]
Timestamp: 64560.52
<Station Services>

[s:20][c:cyan]STATION ECONOMY[/c][/s]
[c:lime]SUPPLY[/c]
Generic Construction Platform
Spaceframe
Thermal Systems Package
Weapon Systems Package
[c:orange]DEMAND[/c]
Media Recordings
Musical Instruments
Entertainment Electronics
Sporting Equipment
Gaming Devices
Childrens Toys
Generic Plasma Cannon
Basic Plasma Cannon
Improved Plasma Cannon
Advanced Plasma Cannon
Premium Plasma Cannon
Prototype Plasma Cannon
Generic Ion Beam
Basic Ion Beam
Improved Ion Beam
Advanced Ion Beam
Premium Ion Beam
Prototype Ion Beam

[s:20][c:cyan]SERVICES[/c][/s]
Lounge
Market
Refinery
Ship Garage
University
Ship Hangar
Storage
Fabricator
Mission Contracts
Offices


<Station Market Orders>


<Station Market Items>
Visit station market to update prices.
Wrapped Box  5 - z13
Improved Light Turret  23 - z21,621
Improved Ion Beam  20 - z40,517
Improved Heavy Cannon  26 - z21,088
Improved Filter  6 - z10,811
Improved Explosive Armor (Doc)  23 - z361,502
Improved Energy Capacitor  24 - z57,330
Improved Defense Drone  9 - z40,613
Improved Combat Drone  68 - z56,813
Improved Armor Exterior  9 - z67,350
Hydrogen  399 - z3
Ham Sandwich  3 - z18,919
Gummy Bears  16 - z1
Gradeon Ore  71 - z8
Gourmet Food Rations  29 - z345
Generic Torpedo Launcher  11 - z2,382
Generic Railgun (Doc)  126 - z10,350
Generic Missile Launcher (Doc)  149 - z9,598
Generic Missile Launcher  28 - z2,184
Generic Light Turret  8 - z2,225
Generic Ion Beam  20 - z3,308
Generic Heavy Laser (Doc)  24 - z7,178
Generic Heavy Cannon  22 - z1,634
Generic Construction Platform  5 - z3,086,429
Fiber Optic Cables  97 - z123
ECM Module Disruptor (Doc)  9 - z1,927,742
Disposables  6 - z8,068
Containment Unit  3 - z14,486
Colored Dye  656 - z28
Cleaning Chemicals  16 - z57
Circuit Board (Doc)  11 - z537
Circuit Board  153 - z42
Chocolate Bars  729 - z1
Carbon  298 - z1
Capacitors  99 - z128
Candy Corn  5 - z1
Candy Cane  5 - z1
Calcium  34 - z5
Bottled Whiskey  21 - z120
Bomber Drone  24 - z9,038
Battery Core  219 - z91
Basic Warp Drive Fuel (Doc)  14 - z13,960
Basic Warp Drive Fuel  47 - z1,076
Basic Torpedo Launcher (Doc)  115 - z36,225
Basic Torpedo Launcher  2 - z6,069
Basic Torpedo   2007 - z115
Basic Thruster  28 - z26,303
Basic Skill Manual  9 - z200,626
Basic Sensor  25 - z79
Basic Scan Emitter  26 - z20,025
Basic Scan Booster  16 - z13,918
Basic Rocket Launcher (Doc)  45 - z25,638
Basic Railgun  2 - z4,557
Basic Pulse Laser  25 - z7,648
Basic Plasma Cannon  15 - z10,612
Basic Ore Harvester  16 - z16,835
Basic Missile Launcher  29 - z6,256
Basic Missile Impact Mod  35 - z15,563
Basic Light Turret  24 - z5,548
Basic Laser Impact Mod  34 - z16,813
Basic Heavy Cannon  7 - z6,025
Basic Food Rations  21 - z89
Basic Filter  6 - z8,628
Basic Explosive Armor  22 - z22,313
Basic Energy Capacitor  6 - z32,305
Basic Drone Command Bay  5 - z31,300
Basic 60mm  9 - z31
Ball Bearings  258 - z51
Assorted Springs  213 - z73
Anti-Freeze  20 - z31
Aluminium Rivets  168 - z49
Aged Wine  13 - z157
Afterburner Assembly (Doc)  1 - z39,016
Advanced Thruster (Doc)  29 - z1,000,443
Advanced Skill Manual  57 - z530,158
Advanced Shield Booster  24 - z81,250
Advanced Regulator  14 - z9,341
Advanced Plasma Cannon  1 - z129,992
Advanced Missile Launcher (Doc)  145 - z411,494
Advanced Filter  4 - z19,991
Advanced Energy Capacitor  18 - z87,620
Advanced ECM Range Lock (Doc)  14 - z4,183,112
Advanced Armor Exterior  14 - z152,700
Adamyte Ore  11 - z5
Active Scanner  12 - z20,664


<Station University Skills>
Launcher Advanced Systems
Market Auditor
Miner Focal Range
Laser Cycle Mechanics
Launcher Advanced Systems


<Station Missions>
[c:lime]KILL RAIDERS[/c]
Kill <color='yellow'>1 Raider</color> level 20 Raider Ship(s) in <color='cyan'>Beacon Spita</color>. Return to Astrox Security Patrol in <color='cyan'>Felishar</color>

[c:lime]SALVAGE[/c]
Salvage <color='yellow'>Special Junk Part</color> in <color='cyan'>Lins</color> and return with <color='yellow'>68</color> to Star Shepards Hub in <color='cyan'>Temple Gates</color>

[c:lime]SALVAGE[/c]
Salvage <color='yellow'>Special Metal Fragment</color> in <color='cyan'>Ambervellis Drea</color> and return with <color='yellow'>81</color> to Imperium Republica  in <color='cyan'>Gate of Alpharis</color>

[c:lime]DIALOG[/c]
Collect a small debt from <color='yellow'><i>Govenor Taan Tipoefie</i></color> in <color='cyan'>Hunu</color> and return to Oro Omniplex Center in <color='cyan'>Merces Academy</color>

[c:lime]DIALOG[/c]
Arrest <color='yellow'><i>Captain Mojo Leipaefo</i></color> over an outstanding warrant in <color='cyan'>Starfort Ramos</color> and return to Oro Omniplex Center in <color='cyan'>Merces Academy</color>

[c:lime]SCAN[/c]
Track down and scan <color='yellow'><i>Major Zanna Wauo</i></color> in <color='cyan'>Entropy</color> and return to Tella's in <color='cyan'>Bitcola</color>

[c:lime]TRANSPORT[/c]
Head to Fellacore Research Center in <color='cyan'>Grace</color>, pick up <color='yellow'>120</color> <color='yellow'>Goldytes</color> for a light shipment to Transporteers in <color='cyan'>Hunu</color>

[c:lime]ESCORT[/c]
Escort <color='yellow'><i>Chairman Sawmole Horejalis</i></color> from Tella's in <color='cyan'>Bitcola</color> to Xellon in <color='cyan'>Ele</color>

[c:lime]RECOVER[/c]
Find and recover a medium <color='yellow'>crate</color> in <color='cyan'>Gemini Shoal</color> for <i>Nostraam Oupea</i>, and bring back to Lammassu Financial in <color='cyan'>Void Starcross</color>

[c:lime]COLLECT[/c]
Return to Fellacore Research Center in <color='cyan'>Grace</color> with a light collection of <color='yellow'>71</color> <color='yellow'>Cleaning Chemicals</color>

[c:lime]SALVAGE[/c]
Salvage <color='yellow'>Special Electronic Fragment</color> in <color='cyan'>Dragon Sea</color> and return with <color='yellow'>64</color> to Tella's in <color='cyan'>Bitcola</color>

[c:lime]ESCORT[/c]
A ship in Temple of the Void in <color='cyan'>Valley of Truths</color> needs an escort to Proctors Center in <color='cyan'>Void Starcross</color>

[c:lime]ESCORT[/c]
<color='yellow'><i>Colonel Pastres Arvo</i></color> is waiting at Transporteers Hub in <color='cyan'>Ambervellis Drea</color> and needs an escort to Proctors Center in <color='cyan'>Void Starcross</color>

[c:lime]RECOVER[/c]
Locate a light <color='yellow'>Crate</color> in the <color='cyan'>Ballast Crow</color> sector, and return to Monarch Society in <color='cyan'>Solitudes of Frey</color>



<Station Ships>
PF-1 Assault Frigate / Frigate    (Assault)
RE-1 Integrator / Escort    (Recon)
PC-1 Pirate Utility / Utility    (Excavation)
BF-1 Missile Enforcer / Escort    (Assault)
