[s:30][c:yellow]Transporteers Hub[/c][/s]
Reclaimed Goods Facility
Binoak Dalewa
Trade
[c:lime]Dock fee 100[/c]
Timestamp: 69708.77
<Station Services>

[s:20][c:cyan]STATION ECONOMY[/c][/s]
[c:lime]SUPPLY[/c]
Basic Filter
Improved Filter
Advanced Filter
Carbon Filter
UV Filter
Synth Filter
SolarClean Filter
Hydrox Filter
Crystaline Filter
AI Bio Filter
Basic Shield Booster
Improved Shield Booster
Advanced Shield Booster
Premium Shield Booster
Prototype Shield Booster
Basic Shield Generator
Improved Shield Generator
Advanced Shield Generator
Premium Shield Generator
Prototype Shield Generator
[c:orange]DEMAND[/c]
Adamyte Ore
Gradeon Ore
Quazor Ore
Lokken Ore
Torim Ore
Plasite Ore
Dynex Ore
Belasite Ore
Xenox Ore
Zai Ore
Office Furniture
Kitchen Appliances
Interior Lighting

[s:20][c:cyan]SERVICES[/c][/s]
Lounge
Market
Refinery
Ship Garage
University
Ship Hangar
Storage
Fabricator


<Station Market Orders>
[c:red]SELL Order[/c] Sell Order Request for (2) Items 
 (90) x Iron Coring Pipes
 (19) x Generic Missile Launcher
Buy items for [c:lime]27,384 discount.[/c]
[c:green]BUY Order[/c] Market Shortage: (2) Items 
 (237) x Plasite Ore
 (252) x Xenox Ore
Fulfill order for [c:lime]14,744 profit.[/c]


<Station Market Items>
Visit station market to update prices.
Wrapped Box  3 - z12
Junk Part  4301 - z19
Ionization Plate (Doc)  5 - z32,076
Improved Shield Generator  44 - z48,247
Improved Shield Booster  41 - z38,673
Improved Rocket Launcher (Doc)  36 - z146,198
Improved Plasma Cannon (Doc)  7 - z266,306
Improved Filter  5 - z3,595
Improved Energy Armor (Doc)  3 - z770,074
Improved Defense Drone  17 - z29,406
Hydrox Filter  32 - z296,775
Heavy Shield Charge  14 - z77,078
Heavy Salvage Drone  2 - z114,420
Heavy Combat Drone  10 - z150,720
Gummy Bears  9 - z1
Generic Torpedo Launcher (Doc)  48 - z13,121
Generic Torpedo Launcher  4 - z1,448
Generic Salvage Collector  6 - z4,294
Generic Railgun (Doc)  43 - z12,281
Generic Railgun  15 - z2,480
Generic Plasma Cannon  9 - z1,482
Generic Ore Harvester  8 - z2,214
Generic Missile Launcher (Doc)  21 - z6,418
Generic Missile Launcher  3 - z2,318
Generic Light Turret  7 - z2,527
Generic Ion Beam  5 - z1,400
Generic Heavy Laser  6 - z2,824
Generic Heavy Cannon  7 - z2,802
Fasteners  221 - z14
Disposables  4 - z7,794
Crystaline Filter  5 - z383,349
Colored Dye  558 - z20
Cloak Energy Core (Doc)  2 - z7,082,291
Cleaning Chemicals  7 - z107
Chocolate Bars  5 - z1
Carbon Filter  40 - z27,516
Carbon Fiber  23 - z22
Carbon  128 - z2
Candy Corn  8 - z1
Candy Cane  3 - z1
Belasite Ore  9 - z331
Basic Turn Thrust  8 - z13,069
Basic Torpedo Launcher (Doc)  21 - z30,805
Basic Thruster  7 - z22,543
Basic Targeting System  5 - z20,629
Basic Shield Generator  6 - z29,874
Basic Shield Booster  8 - z10,099
Basic Scan Emitter  3 - z21,482
Basic Scan Booster  8 - z15,456
Basic Missile Launcher (Doc)  30 - z40,173
Basic Missile   26 - z132
Basic Mass Reduction  1 - z18,479
Basic Impact Armor  6 - z25,336
Basic Explosive Armor  2 - z18,586
Basic Energy Generator  5 - z35,097
Basic Energy Capacitor  3 - z19,070
Basic Energy Armor  9 - z15,836
Basic Drone Command Bay  9 - z33,738
Basic Cargo Expansion  14 - z28,086
Basic Armor Exterior  9 - z18,104
Basic Afterburner  7 - z24,269
Assorted Gaskets  205 - z16
AI Bio Filter  28 - z962,751
Afterburner Assembly (Doc)  6 - z61,067
Advanced Shield Generator  12 - z31,693
Advanced Shield Booster  12 - z59,166
Advanced Rocket Launcher (Doc)  24 - z537,419
Advanced Railgun (Doc)  35 - z413,378
Advanced Missile Launcher (Doc)  28 - z600,594
Advanced Filter  1 - z15,295
Advanced 60mm (Doc)  6 - z31,673
Advanced 60mm  23 - z83


<Station University Skills>
Merc Negotiations
Miner Maintenance
Projectile Focal Range
Miner Advanced Systems
Beam Cycle Mechanics
Ship Mass Engineering
Launcher Maintenance
Fleet Navigation
Beam Cycle Mechanics


<Station Missions>


<Station Ships>
PU-1 Pirate Escort / Escort    (Assault)
TU-1 Jonas / Escort    (Transport)
SU-1 Archanis / Frigate    (Recon)
