[s:30][c:yellow]ValueStar[/c][/s]
Trade Floor Facility
Binofesiv Sedkeesed
Trade
[c:lime]Dock fee 100[/c]
Timestamp: 37567.63
<Station Services>

[s:20][c:cyan]STATION ECONOMY[/c][/s]
[c:lime]SUPPLY[/c]
Basic Cargo Expansion
Improved Cargo Expansion
Advanced Cargo Expansion
Premium Cargo Expansion
Prototype Cargo Expansion
Basic Mass Reduction
Improved Mass Reduction
Advanced Mass Reduction
Premium Mass Reduction
Prototype Mass Reduction
Comm Device
Compartment Frame
Connection Harness
Cooling Unit
Duct Work
Electrical Interface
Electrical Regulator
Electromagnetic Emitter
Fiber Optic Interface
Fuel Injector
[c:orange]DEMAND[/c]
Aged Wine
Bottled Whiskey
Basic Food Rations
Gourmet Food Rations
Candy Corn
Chocolate Bars
Gummy Bears

[s:20][c:cyan]SERVICES[/c][/s]
Lounge
Market
Refinery
Ship Garage
University
Ship Hangar
Storage
Fabricator


<Station Market Orders>


<Station Market Items>
Visit station market to update prices.
Acidic Gel Battery  232 - z1,311
Carbon Fiber  653 - z26
Carbon Filter  30 - z31,706
Cat Food  3 - z210,132
Ceramic  222 - z13
Cheese and Crackers  21 - z116,629
Cheeseburger  12 - z32,081
Childrens Toys  18 - z292
Circuit Board  411 - z43
Cleaning Chemicals  49 - z118
Colored Dye  56 - z25
Comm Device  150 - z417
Communication Device  32 - z1,908
Compartment Frame  42 - z1,286
Connection Harness  150 - z505
Containment Processor  33 - z173,941
Containment Unit  10 - z8,025
Cooling Unit  93 - z1,774
Copperi Cubex  245 - z14
Copperi Plates (Doc)  34 - z3,184
Disposables  2 - z9,066
Duct Work  26 - z1,551
Dynex Crystal  462 - z31
Dynex Crystal Resonator  508 - z291
Dynex Ore  729 - z135
Eco Regulator  33 - z27,954
Electrical Interface  150 - z672
Electrical Regulator  150 - z739
Electromagnetic Emitter  150 - z813
Electron Orb  582 - z134
Electronic Fragment  70 - z132
Engine Component  237 - z909
Entertainment Electronics  35 - z539
Fiber Optic Cables  462 - z89
Fiber Optic Interface  42 - z2,476
Foodservice Equipment  53 - z5,318
Foodservice Products  21 - z6,250
Fuel Injector  150 - z983
Gaming Devices  43 - z2,285
Generic Construction Platform  91 - z6,563,414
Generic Ion Beam (Doc)  34 - z9,781
Generic Light Turret  14 - z1,830
Generic Missile Launcher (Doc)  179 - z9,846
Generic Rocket Launcher (Doc)  9 - z10,551
Generic Salvage Collector  72 - z5,060
Generic Torpedo Launcher (Doc)  114 - z11,101
Gradeon Ore  691 - z12
Grilled Steak  16 - z43,010
Ham Sandwich  38 - z17,689
Hand Tools  160 - z328
Heavy Armor Repair  48 - z86,049
Heavy Defense Drone (Doc)  43 - z803,278
Heavy Energy Charge  115 - z31,597
Heavy Repair Drone  10 - z185,645
Hydraulic Assembly (Doc)  66 - z43,062
Hydrogen  655 - z2
Hydrox Filter  25 - z343,103
Hygiene Products  21 - z258
Hyperion Regulator  22 - z248,334
Improved Cargo Expansion  12 - z15,256
Improved Defense Drone  30 - z49,730
Improved Energy Capacitor  50 - z57,986
Improved Energy Generator  79 - z59,647
Improved Filter  16 - z13,538
Improved Heavy Cannon  47 - z16,578
Improved Ion Beam  54 - z33,667
Improved Mass Reduction  28 - z32,896
Improved Mining Drone  136 - z53,780
Improved Missile Launcher (Doc)  277 - z136,788
Improved Railgun (Doc)  32 - z147,753
Improved Repair Drone  2 - z46,130
Improved Rocket Launcher (Doc)  309 - z150,077
Improved Salvage Drone  99 - z57,380
Improved Scan Emitter  1 - z23,224
Improved Turn Thrust (Doc)  36 - z309,659
Interior Lighting  45 - z162
Iron Coring  548 - z8
Iron Coring Beams  352 - z767
Iron Coring Pipes  224 - z586
Junk Part  457 - z12
Kitchen Appliances  14 - z464
Large Combat Drone  93 - z84,512
Large Defense Drone  68 - z107,512
Large Heatsink  252 - z460
Large Life Support Pack  53 - z49,280
Large Mining Drone  101 - z105,512
Large Pump  564 - z504
Large Repair Drone (Doc)  55 - z206,439
Large Salvage Drone  94 - z72,512
Large Salvage Drone (Doc)  78 - z187,239
Light Armor Repair  13 - z10,201
Light Energy Charge  13 - z4,891
Light Shield Charge  122 - z7,946
Lokken Ore  323 - z23
Lubricant  249 - z16
Magnetic Quartz  1124 - z4
Mechanical Belts  51 - z63
Mechanical Switch (Doc)  23 - z1,003
Mechanical Tools  45 - z5,250
Media Recordings  68 - z1,243
Medical Instruments  38 - z11,281
Medium Armor Bomb  57 - z16,068
Medium Combat Drone  134 - z14,627
Medium Energy Charge  64 - z10,352
Medium Life Support Pack  131 - z14,627
Medium Shield Charge  37 - z15,228
Medium Web Field  26 - z18,603
Metal Fragment  69 - z58
Metal Valve  313 - z29
Micro Leech Drone  15 - z11,627
Micro Processor  93 - z112
Module Fragment  355 - z371
Musical Instruments  43 - z2,569
Neutron Pods  154 - z47
Nitrogen  226 - z11
Noodles  6 - z14,885
Nuts And Bolts  708 - z6
Office Furniture  66 - z626
Office Supplies  56 - z5,083
Oil  1099 - z10
OmniCon Regulator  37 - z62,706
Optical Interface (Doc)  58 - z1,572
Ornament  41 - z4
Oxygen  971 - z3
Personal Clothing  9 - z1,364
Pizza  24 - z279,768
Plasite Ore  716 - z66
Plastix Strands  302 - z6
Premium Armor Exterior (Doc)  34 - z2,088,351
Premium Cargo Expansion  28 - z173,024
Premium Mass Reduction  39 - z126,062
Premium Rocket Launcher (Doc)  387 - z1,298,224
Premium Salvage Collector  13 - z531,294
Premium Scan Emitter  2 - z82,818
Premium Torpedo Launcher  48 - z405,213
Pressure Sensor  346 - z143
Protein Bar  25 - z6,266
Prototype 20mm  344 - z88
Prototype 20mm (Doc)  31 - z219,024
Prototype 60mm  396 - z193
Prototype Afterburner  65 - z267,239
Prototype Armor Exterior  76 - z492,059
Prototype Cargo Expansion  12 - z122,049
Prototype Cargo Expansion (Doc)  75 - z2,712,585
Prototype Drone Command Bay  58 - z777,678
Prototype Heavy Cannon (Doc)  101 - z3,496,035
Prototype Light Turret (Doc)  53 - z4,176,130
Prototype Mass Reduction  12 - z112,285
Prototype Missile   272 - z390
Prototype Missile Launcher  75 - z664,542
Prototype Missile Launcher (Doc)  361 - z7,193,575
Prototype Ore Harvester  50 - z1,187,250
Prototype Pulse Laser  47 - z698,669
Prototype Rocket Launcher (Doc)  270 - z3,913,520
Prototype Torpedo (Doc)  18 - z219,421
Quazor Ore  63 - z11
Recon Scanner Drone (Doc)  71 - z47,610
Regulator  265 - z169
Salt Crystal  520 - z3
Scrap Part  790 - z33
Silicon  542 - z6
Small Defense Drone  112 - z7,471
Small Electronics  596 - z924
Small Life Support Pack  143 - z5,826
Small LS Bomb  94 - z6,546
Small Mining Drone  31 - z4,591
Small Motor  737 - z219
SolarClean Filter  24 - z139,761
Sporting Equipment  18 - z1,513
Steelium  1184 - z31
Steelium Beam  227 - z14
Steelium Plates  59 - z581
Synth Filter  1 - z125,821
Temperature Genie  26 - z18,761
Textile Fabrics  64 - z1,176
Thermal Controller  17 - z5,496
Thermal Generex  28 - z72,970
Thermal Insulation  797 - z30
Thermex Controller  23 - z434,585
Titan Defense Drone  62 - z161,281
Titan Salvage Drone  141 - z263,781
Titan Salvage Drone (Doc)  73 - z1,644,956
Titanyte  389 - z86
Titanyte Beams (Doc)  21 - z6,501
Titanyte Pipes  556 - z801
Titanyte Pipes (Doc)  1 - z10,406
Torim Ore  471 - z36
Tractor Beam  31 - z10,572
Transport Units  52 - z6,304
Undamaged Part  45 - z50
UV Filter  16 - z41,041
Waste Burner  32 - z27,579
Waste Processor  30 - z12,973
Water  128 - z1
Weapons Component  419 - z393
Wrapped Box  25 - z9
Xenox Extractor (Doc)  35 - z19,503,140


<Station University Skills>
Laser Damage Calibration
Merc Prospector
Fleet Navigation
Merc Negotiations
Laser Damage Calibration


<Station Missions>


<Station Ships>
BU-1 Gunship / Escort    (Battle)
RS-1 Translator / Shuttle    (Transport)
PF-1 Assault Frigate / Frigate    (Assault)
