[s:30][c:yellow]Lacuna Bandits[/c][/s]
Entertainment Hub
Kilekom Anfer
Pirate
[c:lime]Dock fee 100[/c]
Timestamp: 59527.07
<Station Services>

[s:20][c:cyan]STATION ECONOMY[/c][/s]
[c:lime]SUPPLY[/c]
Keypad
Basic Beam Impact Mod
Basic Beam Energy Mod
Basic Beam Explosive Mod
Aluminium Plates
Copperi Pipes
Copperi Plates
Dynex Crystal Resonator
Electronic Switch
Glass Panels
Hand Tools
Hardened Glass Panels
Iron Coring Beams
[c:orange]DEMAND[/c]
Personal Clothing
Hygiene Products
Communication Device
Transport Units
Basic Energy Capacitor
Improved Energy Capacitor
Advanced Energy Capacitor
Premium Energy Capacitor
Prototype Energy Capacitor
Basic Energy Generator
Improved Energy Generator
Advanced Energy Generator
Premium Energy Generator
Prototype Energy Generator

[s:20][c:cyan]SERVICES[/c][/s]
Lounge
Market
Refinery
Ship Garage
University
Ship Hangar
Storage
Fabricator
Mission Contracts


<Station Market Orders>
[c:red]SELL Order[/c] Market Items: (3) Items 
 (384) x Iron Coring Beams
 (622) x Keypad
 (420) x Dynex Crystal Resonator
Buy items for [c:lime]366,270 discount.[/c]


<Station Market Items>
Visit station market to update prices.
Adamyte Ore  319 - z5
Musical Instruments  33 - z2,691
Nitrogen  262 - z8
Noodles  19 - z8,854
Office Furniture  18 - z779
Oil  343 - z12
Ornament  19 - z7
Oxygen  85 - z2
Plastic Caps  69 - z36
Plastix Strands  13 - z5
Premium Armor Exterior (Doc)  7 - z2,945,484
Premium Cargo Expansion  13 - z220,548
Premium Energy Generator  6 - z324,768
Premium Engine Core  5 - z209,922
Premium Missile Launcher (Doc)  161 - z1,556,166
Premium Railgun (Doc)  153 - z2,237,860
Premium Rocket Launcher (Doc)  133 - z1,759,839
Premium Shield Generator  11 - z186,351
Protein Bar  11 - z6,949
Prototype 60mm  173 - z154
Prototype Energy Generator  13 - z639,933
Prototype Missile   125 - z719
Prototype Plasma Cannon (Doc)  33 - z13,765,070
Prototype Pulse Laser (Doc)  19 - z6,632,135
Prototype Railgun (Doc)  87 - z3,735,802
Prototype Torpedo   22 - z1,189
Quazor Ore  383 - z16
Regulator  156 - z120
Reinforced Rubber  66 - z15
Salt Crystal  325 - z2
Scrap Part  92 - z31
Servo Controls (Doc)  16 - z95,818
Silicon  200 - z5
Small Electronics (Doc)  2 - z5,511
Small Heatsink  365 - z285
Small Life Support Pack  52 - z3,164
Small Mining Drone  66 - z3,676
Small Mining Drone (Doc)  30 - z24,110
Small Repair Drone  9 - z6,076
Small Tractor Drone  70 - z13,991
Sporting Equipment  9 - z1,151
Spotlight  9 - z8,324
Steelium Beam  254 - z16
Steelium Beam (Doc)  2 - z168
Temperature Genie  6 - z25,999
Thermal Controller  18 - z6,109
Thermal Insulation  222 - z38
Thermal Sensor  51 - z67
Titan Defense Drone  66 - z303,184
Titan Mining Drone  55 - z205,684
Titan Salvage Drone  41 - z153,184
Transport Units  10 - z10,783
Undamaged Part  334 - z72
Waste Burner  19 - z30,116
Waste Processor  8 - z15,708
Water  467 - z1
Wrapped Box  6 - z12


<Station University Skills>
Ship Cargo Stacker
Miner Basic Operation
Miner Energy Optimization
Module Mechanic
Launcher Focal Range
Beam Energy Optimization
Passive Scanner Focal Range


<Station Missions>
[c:lime]TRANSPORT[/c]
Transport a light shipment of <color='yellow'>2</color> <color='yellow'>Advanced Rocket Launchers</color> from StarShepards Headquarters in <color='cyan'>Void Starcross</color> to CoraVault Hub in <color='cyan'>Pindoris</color>

[c:lime]FABRICATE[/c]
Manufacture <color='yellow'>6</color> <color='yellow'>Antenna Arrays</color> at Lammassu Financial station fabricator in <color='cyan'>Void Starcross</color>

[c:lime]DELIVERY[/c]
Light delivery of <color='yellow'>Communication Devices</color> to Transporteers Hub Station in <color='cyan'>Ambervellis Drea</color>

[c:lime]ESCORT[/c]
<color='yellow'><i>Liaison Ouwen Feroncie</i></color> is waiting at Proctors Center in <color='cyan'>Void Starcross</color> and needs an escort to Quantex in <color='cyan'>Dellis Primeria</color>

[c:lime]KILL RECOVER[/c]
Eradicate <color='yellow'><i>Enforcer Koldue Birafonou</i></color> in <color='cyan'>Entropy</color> and recover <color='yellow'>4000</color> <color='yellow'>Salt Crystals</color>. Return to CoraVault in <color='cyan'>Lins</color>

[c:lime]KILL RAIDERS[/c]
Hunt <color='yellow'>1 Raider</color> level 10 Raider(s) in <color='cyan'>Kriox</color> and return to Fellacore Research Center in <color='cyan'>Grace</color>

[c:lime]KILL RECOVER[/c]
Hijack <color='yellow'><i>Doctor Lowcor Padorn</i></color> in <color='cyan'>Crellara</color> for <color='yellow'>1</color> <color='yellow'>Advanced Impact Armor</color> and deliver them to Quantex in <color='cyan'>Dellis Primeria</color>

[c:lime]DIALOG[/c]
Transfer a termination notice to <color='yellow'><i>Sir Erove Riswenino</i></color> in <color='cyan'>Chamo</color> and return to Dreamstar in <color='cyan'>Gendaria</color>

[c:lime]DELIVERY[/c]
Light delivery of <color='yellow'>Sensor Arrays</color> to StarShepards Headquarters Station in <color='cyan'>Void Starcross</color>

[c:lime]RECOVER[/c]
Reclaim a medium shipment <color='yellow'>crate</color> in <color='cyan'>Jelumus</color> and bring back to Rendo Labs in <color='cyan'>Entropy</color>

[c:lime]FABRICATE[/c]
Dock at the Proctors Center station fabricator in <color='cyan'>Void Starcross</color> and manufacture a light shipment of <color='yellow'>3</color> <color='yellow'>Memory Chips</color>

[c:lime]DIALOG[/c]
Transfer a legal document to <color='yellow'><i>Commander Nivaj Bidqiak</i></color> in <color='cyan'>Gendaria</color>. Return with confirmation at ValueStar in <color='cyan'>Hunu</color>

[c:lime]KILL RECOVER[/c]
Hijack and kill <color='yellow'><i>Senator Peivak Cabinose</i></color> in <color='cyan'>Valley of Truths</color> and steal <color='yellow'>1</color> <color='yellow'>Advanced Ion Beam</color>. Return to PharmaLife in <color='cyan'>Carioullis</color>

[c:lime]COLLECT[/c]
Gather a collection of <color='yellow'>47</color> <color='yellow'>Wrapped Boxs</color> and dock the light shipment at Acrondia Hub in <color='cyan'>Temple Gates</color>

[c:lime]RECOVER[/c]
Recover a medium shipment <color='yellow'>crate</color> in <color='cyan'>Kriox</color> and bring back to Daemon Ammunitions in <color='cyan'>Starfort Ramos</color>



<Station Ships>
EC-1 Support Frigate / Frigate    (Support)
BC-1 Alpharis Predator / Escort    (Battle)
EC-1 Support Frigate / Frigate    (Support)
RCA-1 Correlator / Destroyer    (Support)
BC-1 Alpharis Predator / Escort    (Battle)
TC-1 Kraken / Cruiser    (Excavation)
SU-1 Archanis / Frigate    (Recon)
ES-1 Shuttle / Shuttle    (Transport)
