[s:30][c:yellow]Transporteers[/c][/s]
Auction Facility
Ribres Borxaxon
Trade
[c:lime]Dock fee 100[/c]
Timestamp: 54246.98
<Station Services>

[s:20][c:cyan]STATION ECONOMY[/c][/s]
[c:lime]SUPPLY[/c]
LED Lights
Micro Processor
Large Processor
Motion Sensor
Pressure Sensor
Memory Chip
Small Pump
Small Heatsink
Small Motor
Copperi Cables
Active Scanner
[c:orange]DEMAND[/c]
Personal Clothing
Hygiene Products
Communication Device
Transport Units
Tractor Beam

[s:20][c:cyan]SERVICES[/c][/s]
Lounge
Market
Refinery
Ship Garage
University
Ship Hangar
Storage
Mission Contracts


<Station Market Orders>
[c:red]SELL Order[/c] Market Production: (2) Items 
 (541) x Small Pump
 (613) x Micro Processor
Buy items for [c:lime]131,687 discount.[/c]
[c:red]SELL Order[/c] Market Supply: (1) Items 
 (82) x Pressure Sensor
Buy items for [c:lime]9,763 discount.[/c]
[c:red]SELL Order[/c] Market Surplus: (3) Items 
 (366) x Small Heatsink
 (270) x Pressure Sensor
 (105) x Motion Sensor
Buy items for [c:lime]141,809 discount.[/c]


<Station Market Items>
Visit station market to update prices.
Acidic Gel Battery  200 - z611
Premium Drone Command Bay  5 - z360,332
Premium Energy Capacitor  24 - z232,136
Premium Energy Capacitor (Doc)  27 - z1,537,630
Premium Heavy Cannon  19 - z196,775
Premium Missile Launcher (Doc)  203 - z1,033,393
Premium Pulse Laser  65 - z370,966
Premium Railgun (Doc)  47 - z1,739,592
Premium Rocket Launcher (Doc)  57 - z1,914,854
Premium Scan Emitter (Doc)  3 - z1,842,113
Pressure Sensor  150 - z60
Protein Bar  29 - z6,482
Prototype 20mm  126 - z96
Prototype 60mm  328 - z240
Prototype Cargo Expansion  68 - z498,415
Prototype Drone Command Bay (Doc)  65 - z9,876,768
Prototype Energy Generator  32 - z365,585
Prototype Heavy Cannon (Doc)  50 - z7,429,961
Prototype Light Turret (Doc)  38 - z3,708,242
Prototype Mass Reduction  78 - z395,982
Prototype Missile Launcher  73 - z1,405,108
Prototype Pulse Laser  53 - z1,151,319
Prototype Railgun  40 - z1,167,293
Prototype Railgun (Doc)  230 - z6,907,913
Prototype Rocket Launcher (Doc)  293 - z5,861,639
Prototype Shield Generator (Doc)  46 - z3,245,378
Prototype Targeting System  78 - z306,282
Prototype Torpedo   253 - z708
Prototype Warp Drive (Doc)  38 - z156,905,600
Quazor Ore  289 - z20
Recon Scanner Drone  98 - z18,991
Reinforced Rubber  601 - z9
Salt Crystal  58 - z2
Scrap Part  797 - z29
Silicon  929 - z5
Small Combat Drone  150 - z6,936
Small Combat Drone (Doc)  4 - z29,442
Small Electronics  178 - z973
Small Heatsink  150 - z81
Small LS Bomb  64 - z8,232
Small Motor  150 - z89
Small Pump  330 - z267
Small Salvage Drone  58 - z4,956
Small Storage Tank  356 - z54
Small Tractor Drone  11 - z12,691
SolarClean Filter  31 - z117,829
Sporting Equipment  13 - z1,121
Steelium  482 - z31
Steelium Beam  198 - z16
Steelium Pipes  600 - z12
Synth Filter  8 - z86,863
Temperature Genie  22 - z15,779
Textile Fabrics  52 - z1,753
Thermal Controller  12 - z6,552
Thermal Generex  14 - z137,415
Thermal Sensor (Doc)  29 - z948
Thermex Controller  1 - z269,535
Titan Combat Drone  158 - z271,509
Titan Salvage Drone (Doc)  45 - z1,543,728
Titanyte  368 - z61
Titanyte Beams  276 - z1,349
Undamaged Part  536 - z35
Uranium Core  493 - z1,250
UV Filter  4 - z81,148
Water  112 - z2
Weapons Component  756 - z378
Wrapped Box  1 - z13


<Station University Skills>
Launcher Focal Range
Beam Energy Optimization
Ship Energy Regeneration
Laser Damage Calibration
Ship Gyroscopic Control
Armor Mechanic
Ship Mass Engineering
Laser Energy Optimization
Miner Energy Optimization


<Station Missions>
[c:lime]DIALOG[/c]
Arrest <color='yellow'><i>Foreman Leswit Jori</i></color> over an outstanding warrant in <color='cyan'>Dellis Primeria</color> and return to Starbase Corporate Center in <color='cyan'>Void Starcross</color>

[c:lime]SALVAGE[/c]
Salvage <color='yellow'>Special Junk Part</color> in <color='cyan'>Starfort Ramos</color> and return with <color='yellow'>47</color> to Lammassu Financial in <color='cyan'>Void Starcross</color>

[c:lime]FABRICATE[/c]
Manufacture <color='yellow'>10</color> <color='yellow'>Heating Units</color> at Lacuna Bandits station fabricator in <color='cyan'>Ballast Crow</color>

[c:lime]KILL RAIDERS[/c]
Kill <color='yellow'>1 Raider</color> level 20 Raider Ship(s) in <color='cyan'>Jelumus</color>. Return to Tella's in <color='cyan'>Bitcola</color>

[c:lime]FABRICATE[/c]
Manufacture <color='yellow'>8</color> <color='yellow'>Basic Computers</color> at Oro Omniplex Center station fabricator in <color='cyan'>Merces Academy</color>

[c:lime]KILL RAIDERS[/c]
Kill <color='yellow'>1 Raider</color> level 20 Raider Ship(s) in <color='cyan'>Ambervellis Drea</color>. Return to Valuestar Hub in <color='cyan'>Jelumus</color>

[c:lime]HARVEST[/c]
Harvest special <color='yellow'>Special Adamyte Ore</color> in <color='cyan'>Starfort Ramos</color> and return with <color='yellow'>43</color> ore to Lammassu Financial in <color='cyan'>Void Starcross</color>

[c:lime]KILL RECOVER[/c]
Hijack <color='yellow'><i>General Nobeck Aomove</i></color> in <color='cyan'>Gemini Shoal</color> for <color='yellow'>2</color> <color='yellow'>Transport Units</color> and deliver them to StarShepards Headquarters in <color='cyan'>Void Starcross</color>

[c:lime]FABRICATE[/c]
Produce a light container of <color='yellow'>7</color> <color='yellow'>Aluminium Plates</color> at the Gemini Mining fabricator in <color='cyan'>Jala</color>

[c:lime]KILL RECOVER[/c]
Kill <color='yellow'><i>Captain Golas Paekee</i></color> and recover <color='yellow'>1</color> <color='yellow'>Advanced Impact Armor</color> in <color='cyan'>Numbu</color>. Return to Valuestar Hub in <color='cyan'>Jelumus</color>

[c:lime]SALVAGE[/c]
In <color='cyan'>Entropy</color>, Salvage <color='yellow'>Special Junk Part</color> and return to Daemon Ammunitions in <color='cyan'>Starfort Ramos</color> with at least <color='yellow'>244</color>

[c:lime]SCAN[/c]
In <color='cyan'>Void Starcross</color>, Scan the <color='yellow'>Shlick Diamond's</color> structure and return to CoraVault Hub in <color='cyan'>Pindoris</color>

[c:lime]DELIVERY[/c]
Take medium shipment of <color='yellow'>184</color> <color='yellow'>Micro Processors</color> and deliver to <color='cyan'>Grace</color> and dock at Fellacore Research Center Station



<Station Ships>
RC-1 Informer / Cruiser    (Transport)
TC-1 Kraken / Cruiser    (Excavation)
RF-1 Assimilator / Escort    (Recon)
BS-1 Starclass Shuttle / Shuttle    (Battle)
SE-1 Prophet / Frigate    (Assault)
