[s:30][c:yellow]Gemini Mining[/c][/s]
Mining Facility
Biraemi Xoqi
Labor
[c:lime]Dock fee 100[/c]
Timestamp: 78275.04
<Station Services>

[s:20][c:cyan]STATION ECONOMY[/c][/s]
[c:lime]SUPPLY[/c]
Disposables
Containment Unit
Waste Processor
Waste Burner
Bio Converter
Bio Disposables
Containment Processor
Advanced Waste Unit
Biowaste Processor
Fusion Biomax
Generic Ore Harvester
Basic Ore Harvester
Advanced Ore Harvester
Gradeon Extractor
Improved Ore Harvester
Premium Ore Harvester
Dynex Extractor
Prototype Ore Harvester
Torim Extractor
Belasite Extractor
Zai Extractor
Quazor Extractor
Xenox Extractor
Lokken Extractor
Adamyte Extractor
Plasite Extractor
[c:orange]DEMAND[/c]
Adamyte Ore
Gradeon Ore
Quazor Ore
Lokken Ore
Torim Ore
Plasite Ore
Dynex Ore
Belasite Ore
Xenox Ore
Zai Ore
Media Recordings
Musical Instruments
Entertainment Electronics
Sporting Equipment
Gaming Devices
Childrens Toys

[s:20][c:cyan]SERVICES[/c][/s]
Market
Ship Garage
University
Ship Hangar
Fabricator
Offices


<Station Market Orders>
[c:green]BUY Order[/c] Market Low Inventory: (2) Items 
 (219) x Torim Ore
 (732) x Lokken Ore
Fulfill order for [c:lime]10,458 profit.[/c]


<Station Market Items>
Visit station market to update prices.
Zai Extractor  12 - z1,502,243
Improved Ore Harvester  12 - z34,870
Improved Mass Reduction  16 - z45,615
Improved Filter  9 - z9,330
Improved Explosive Armor (Doc)  11 - z570,975
Improved Energy Capacitor  2 - z63,005
Improved Energy Armor (Doc)  16 - z612,975
Improved Drone Command Bay  12 - z84,130
Improved Defense Drone  31 - z47,323
Improved Cargo Expansion  2 - z35,081
Hydrogen  215 - z3
Hydraulic Assembly (Doc)  15 - z37,878
Heavy Shield Charge  18 - z75,702
Heavy Combat Drone  28 - z158,668
Heavy Armor Repair  14 - z54,837
Gummy Bears  14 - z1
Gradeon Extractor  22 - z1,324,836
Generic Torpedo Launcher  1 - z2,188
Generic Salvage Collector  6 - z2,567
Generic Rocket Launcher (Doc)  6 - z11,016
Generic Pulse Laser  3 - z1,823
Generic Ore Harvester  12 - z4,887
Generic Missile Launcher  8 - z2,050
Generic Heavy Laser  8 - z1,896
Generic Heavy Cannon  13 - z1,324
Fusion Biomax  5 - z712,939
Fasteners  160 - z11
ECM Module Disruptor (Doc)  2 - z1,691,309
Dynex Extractor  12 - z1,826,234
Disposables  3 - z7,431
Containment Unit  1 - z13,250
Containment Processor  5 - z68,687
Colored Dye  1 - z25
Cleaning Chemicals  4 - z107
Chocolate Bars  18 - z1
Carbon Fiber  106 - z27
Carbon  203 - z2
Candy Corn  2 - z1
Candy Cane  10 - z1
Biowaste Processor  5 - z210,355
Bio Disposables  18 - z101,292
Bio Converter  36 - z55,911
Belasite Extractor  34 - z2,898,175
Basic Torpedo   75 - z216
Basic Thruster  1 - z24,394
Basic Targeting System  3 - z17,368
Basic Shield Generator  9 - z27,584
Basic Shield Booster  1 - z25,541
Basic Salvage Collector  6 - z13,323
Basic Rocket Launcher  18 - z7,851
Basic Railgun (Doc)  32 - z29,468
Basic Ore Harvester  11 - z10,663
Basic Missile Launcher  6 - z9,715
Basic Light Turret  15 - z8,621
Basic Ion Beam  9 - z8,834
Basic Impact Armor  15 - z29,291
Basic Heavy Laser  17 - z5,942
Basic Heavy Cannon  8 - z7,482
Basic Filter  2 - z6,381
Basic Explosive Armor  5 - z16,291
Basic Engine Core  6 - z15,216
Basic Energy Generator  5 - z32,526
Basic Energy Capacitor  4 - z30,722
Basic Energy Armor  19 - z18,291
Basic Drone Command Bay (Doc)  17 - z610,380
Basic Armor Exterior  15 - z34,549
Basic 20mm  15 - z19
Ball Bearings  24 - z48
Assorted Springs  155 - z42
Assorted Gaskets  52 - z12
Anti-Freeze  7 - z29
AI Interface Drive (Doc)  7 - z7,854
Advanced Waste Unit  5 - z189,688
Advanced Regulator  9 - z14,352
Advanced Ore Harvester  21 - z161,489
Advanced Impact Armor (Doc)  19 - z949,950
Advanced 20mm  9 - z45
Adamyte Extractor  12 - z427,031


<Station University Skills>
Beam Cycle Mechanics
Passive Scanner Focal Range
Launcher Focal Range
Fabrication Accountant
Armor Mechanic
Launcher Damage Calibration
Storage Accountant
Merc Negotiations
University Academic


<Station Missions>


<Station Ships>
PCA-1 Pirate Destroyer / Destroyer    (Battle)
TCA-1 Mule / Utility    (Support)
SE-1 Prophet / Frigate    (Assault)
