[s:30][c:yellow]Tella's[/c][/s]
Entertainment Hub
Jidzangee Akleinortis
Pirate
[c:lime]Dock fee 100[/c]
Timestamp: 81688.44
<Station Services>

[s:20][c:cyan]STATION ECONOMY[/c][/s]
[c:lime]SUPPLY[/c]
Keypad
Basic Beam Impact Mod
Basic Beam Energy Mod
Basic Beam Explosive Mod
Aluminium Plates
Copperi Pipes
Copperi Plates
Dynex Crystal Resonator
Electronic Switch
Glass Panels
Hand Tools
Hardened Glass Panels
Iron Coring Beams
[c:orange]DEMAND[/c]
Personal Clothing
Hygiene Products
Communication Device
Transport Units
Basic Energy Capacitor
Improved Energy Capacitor
Advanced Energy Capacitor
Premium Energy Capacitor
Prototype Energy Capacitor
Basic Energy Generator
Improved Energy Generator
Advanced Energy Generator
Premium Energy Generator
Prototype Energy Generator

[s:20][c:cyan]SERVICES[/c][/s]
Lounge
Market
Refinery
Ship Garage
University
Ship Hangar
Storage
Fabricator
Mission Contracts
Offices


<Station Market Orders>
[c:red]SELL Order[/c] Market Items: (1) Items 
 (913) x Copperi Plates
Buy items for [c:lime]238,307 discount.[/c]
[c:red]SELL Order[/c] Market Stock: (1) Items 
 (777) x Dynex Crystal Resonator
Buy items for [c:lime]231,337 discount.[/c]


<Station Market Items>
Visit station market to update prices.
Wrapped Box  15 - z10
Improved Filter  1 - z8,489
Improved Energy Armor (Doc)  15 - z385,781
Improved Defense Drone  17 - z40,634
Improved Cargo Expansion  2 - z57,148
Improved Afterburner  1 - z30,919
Hardened Glass Panels  150 - z186
Glass Panels  150 - z154
Generic Plasma Cannon  5 - z1,833
Generic Ore Harvester  15 - z4,892
Elite Skill Manual  5 - z640,881
Electronic Switch  51 - z140
Electrical Interface (Doc)  6 - z22,960
Dynex Crystal Resonator  150 - z127
Disposables  6 - z8,491
Copperi Plates  150 - z116
Containment Unit  5 - z16,084
Communication Device  22 - z3,986
Cloak Range Extender (Doc)  1 - z8,219,791
Cleaning Chemicals  18 - z79
Chocolate Bars  10 - z1
Carbon Fiber  91 - z20
Carbon  52 - z2
Candy Corn  17 - z1
Candy Cane  5 - z1
Beam Defense System (Doc)  17 - z1,700,750
Basic Torpedo   9 - z158
Basic Thruster  8 - z12,872
Basic Skill Manual  27 - z278,242
Basic Scan Emitter  14 - z23,633
Basic Scan Booster  19 - z21,716
Basic Rocket Launcher  14 - z5,061
Basic Railgun  12 - z4,981
Basic Pulse Laser  16 - z7,301
Basic Projectile Explosive Mod (Doc)  12 - z297,891
Basic Plasma Cannon  18 - z10,187
Basic Ore Harvester  9 - z17,402
Basic Missile Launcher (Doc)  52 - z31,299
Basic Filter  3 - z9,331
Basic Energy Generator  6 - z40,442
Basic Energy Capacitor  21 - z38,538
Basic ECM Range Lock (Doc)  4 - z4,810,325
Basic Drone Command Bay  5 - z38,119
Basic Beam Impact Mod (Doc)  16 - z240,891
Basic Beam Impact Mod  12 - z8,574
Basic Beam Energy Mod  12 - z8,574
Basic Armor Exterior  1 - z33,089
Basic 20mm  76 - z17
Assorted Gaskets (Doc)  10 - z100
Assorted Gaskets  175 - z17
Aluminium Plates  150 - z96
Advanced Thruster (Doc)  5 - z910,193
Advanced Targeting System (Doc)  2 - z532,823
Advanced Rocket Launcher (Doc)  12 - z292,823
Advanced Railgun (Doc)  90 - z418,272
Advanced Missile Launcher (Doc)  85 - z501,323
Advanced Missile  85 - z226
Advanced Energy Capacitor  23 - z148,997
Adamyte Ore  32 - z8


<Station University Skills>
Refinery Mechanic
Beam Damage Calibration
Ship Energy Regeneration
Beam Focal Range
Miner Advanced Systems


<Station Missions>
[c:lime]DIALOG[/c]
Collect a small debt from <color='yellow'><i>Leader Resttim Caeno</i></color> in <color='cyan'>Equalias Val</color> and return to Acrondia Hub in <color='cyan'>Temple Gates</color>

[c:lime]KILL RECOVER[/c]
Hijack and kill <color='yellow'><i>Colonel Pitaf Wofoe</i></color> in <color='cyan'>Entropy</color> and steal <color='yellow'>1</color> <color='yellow'>Basic Shield Generator</color>. Return to Proctors Center in <color='cyan'>Void Starcross</color>

[c:lime]KILL[/c]
Execute <color='yellow'><i>Fabricator Galeino Seddue</i></color> in <color='cyan'>Hunu</color> and return to Imperium Republica  in <color='cyan'>Gate of Alpharis</color>

[c:lime]REFINE[/c]
Refine a light container of <color='yellow'>12</color> <color='yellow'>Undamaged Parts</color> at the Quantex station in <color='cyan'>Dellis Primeria</color>

[c:lime]RECOVER[/c]
Recover a light quantity of <color='yellow'>1000</color> <color='yellow'>Ornaments</color> in <color='cyan'>Jermicus</color>, and return to Lammassu Financial in <color='cyan'>Void Starcross</color>

[c:lime]COLLECT[/c]
Gather a collection of <color='yellow'>8</color> <color='yellow'>Undamaged Parts</color> and dock the light shipment at OmniTrust in <color='cyan'>Ponze</color>

[c:lime]KILL RAIDERS[/c]
Kill <color='yellow'>1 Raider</color> level 20 Raider Ship(s) in <color='cyan'>Hunu</color>. Return to Acrondia Hub in <color='cyan'>Temple Gates</color>

[c:lime]SCAN[/c]
Scan <color='yellow'><i>Captain Binfast Bidjo</i></color> recently spotted in <color='cyan'>Numbu</color> and return to Biomate University in <color='cyan'>Void Starcross</color>

[c:lime]DIALOG[/c]
Arrest <color='yellow'><i>Fabricator Xenfar Samel</i></color> over an outstanding warrant in <color='cyan'>Dellis Primeria</color> and return to Lammassu Financial in <color='cyan'>Void Starcross</color>

[c:lime]HARVEST[/c]
In <color='cyan'>Ambervellis Drea</color>, Extract special <color='yellow'>Special Lokken Ore</color> and return to StarShepards Headquarters in <color='cyan'>Void Starcross</color> with at least <color='yellow'>163</color>

[c:lime]SALVAGE[/c]
Dismantle <color='yellow'>Special Metal Fragment</color> in <color='cyan'>Ambervellis Drea</color> and return to Tella's in <color='cyan'>Bitcola</color> with minimum of <color='yellow'>93</color>

[c:lime]HARVEST[/c]
Return to Transporteers in <color='cyan'>Hunu</color> after mining special <color='yellow'>Special Dynex Ore</color> from <color='cyan'>Jonahmi</color>. <color='yellow'>189</color> required.

[c:lime]KILL RAIDERS[/c]
Frag <color='yellow'>2 Raiders</color> level 40 Skilled Raider(s) in <color='cyan'>Grace</color> and return to ValueStar in <color='cyan'>Hunu</color>

[c:lime]TRANSPORT[/c]
A medium shipment of <color='yellow'>426</color> <color='yellow'>Aluminium Shards</color> need transported from Horizons in <color='cyan'>Gate of Alpharis</color> to Imperium Republica  in <color='cyan'>Gate of Alpharis</color>



<Station Ships>
EU-3 Ore Collector / Escort    (Excavation)
BF-1 Missile Enforcer / Escort    (Assault)
BC-1 Alpharis Predator / Escort    (Battle)
BDN-1 Imperious Titanous / Battlecruiser    (Battle)
