[s:30][c:yellow]Medicore University[/c][/s]
Academic University
Horebac Lockigalewhi
Alpha
[c:lime]Dock fee 100[/c]
Timestamp: 55467.3
<Station Services>

[s:20][c:cyan]STATION ECONOMY[/c][/s]
[c:lime]SUPPLY[/c]
Basic Skill Manual
Advanced Skill Manual
Elite Skill Manual
[c:orange]DEMAND[/c]
Candy Cane
Ornament
Wrapped Box

[s:20][c:cyan]SERVICES[/c][/s]
Market
Refinery
Ship Garage
University
Ship Hangar
Storage
Fabricator


<Station Market Orders>
[c:green]BUY Order[/c] Market Shortage: (4) Items 
 (489) x Candy Cane
 (742) x Ornament
 (623) x Candy Cane
 (517) x Candy Cane
Fulfill order for [c:lime]2,111 profit.[/c]
[c:green]BUY Order[/c] Market Demands: (2) Items 
 (551) x Wrapped Box
 (264) x Candy Cane
Fulfill order for [c:lime]4,867 profit.[/c]
[c:green]BUY Order[/c] Market Out of Stock: (3) Items 
 (698) x Wrapped Box
 (282) x Wrapped Box
 (514) x Ornament
Fulfill order for [c:lime]6,013 profit.[/c]
[c:green]BUY Order[/c] Market Demands: (2) Items 
 (322) x Wrapped Box
 (341) x Ornament
Fulfill order for [c:lime]2,379 profit.[/c]
[c:green]BUY Order[/c] Market Needs Goods: (3) Items 
 (416) x Ornament
 (361) x Ornament
 (379) x Candy Cane
Fulfill order for [c:lime]1,952 profit.[/c]
[c:green]BUY Order[/c] Market Out of Stock: (4) Items 
 (170) x Wrapped Box
 (197) x Wrapped Box
 (196) x Ornament
 (135) x Wrapped Box
Fulfill order for [c:lime]2,042 profit.[/c]


<Station Market Items>
Visit station market to update prices.
Xenox Ore  491 - z443
Junk Part  165 - z14
Iron Coring Plates  694 - z382
Iron Coring Beams  439 - z681
Iron Coring  771 - z7
Ionization Plate  669 - z3,831
Interior Lighting  73 - z292
Improved Torpedo Launcher  79 - z37,967
Improved Salvage Drone  130 - z53,163
Improved Rocket Launcher (Doc)  35 - z141,047
Improved Rocket Launcher  42 - z31,149
Improved Repair Drone  89 - z52,263
Improved Plasma Cannon  51 - z31,839
Improved Missile Launcher (Doc)  275 - z81,039
Improved Missile Launcher  75 - z30,491
Improved Mining Drone  25 - z38,313
Improved Light Turret (Doc)  28 - z111,647
Improved Light Turret  2 - z30,169
Improved Heavy Laser  49 - z25,910
Improved Heavy Cannon  4 - z20,789
Improved Filter  5 - z11,287
Improved Explosive Armor (Doc)  82 - z618,840
Improved Defense Drone  8 - z56,313
Improved Combat Drone  126 - z30,213
Hyperion Regulator  29 - z245,575
Hygiene Products  38 - z125
Hydrox Filter  1 - z412,164
Hydrogen  666 - z2
Heavy Shield Bomb  76 - z47,903
Heavy Repair Drone  6 - z140,481
Heavy Energy Charge  81 - z32,476
Heavy Armor Bomb  128 - z85,973
Hardened Glass Panels  383 - z511
Ham Sandwich  44 - z14,179
Habitax Regulator  28 - z481,145
Gummy Bears  68 - z1
Grilled Steak  2 - z61,805
Gradeon Ore  641 - z8
Gourmet Food Rations  63 - z353
Goldyte  1169 - z86
Generic Torpedo Launcher (Doc)  138 - z14,417
Generic Rocket Launcher (Doc)  441 - z7,314
Generic Rocket Launcher  53 - z1,243
Generic Railgun (Doc)  298 - z11,057
Generic Railgun  43 - z2,643
Generic Pulse Laser (Doc)  84 - z8,614
Generic Plasma Cannon (Doc)  87 - z20,629
Generic Ore Harvester  58 - z2,486
Generic Missile Launcher  68 - z2,599
Generic Light Turret (Doc)  12 - z8,114
Generic Light Turret  27 - z2,443
Generic Ion Beam  126 - z2,019
Generic Construction Platform  85 - z7,135,500
Gaming Devices  21 - z2,201
Fusion Chamber  780 - z1,295
Foodservice Products  46 - z3,910
Foodservice Equipment  64 - z7,596
Fasteners (Doc)  15 - z110
Entertainment Electronics  7 - z623
Engine Component  17 - z923
Energy Bomb  86 - z11,514
Elite Skill Manual  35 - z811,418
Electronic Switch  208 - z286
Electronic Fragment  295 - z200
Electron Orb  385 - z78
Electromagnetic Emitter (Doc)  33 - z21,613
Eco Regulator  31 - z39,444
Dynex Ore  360 - z88
Dynex Crystal  507 - z41
Duct Work (Doc)  78 - z23,842
Duct Work  643 - z1,404
Disposables  33 - z5,680
Crystaline Filter  11 - z431,885
Copperi Cubex  902 - z8
Cooling Unit  127 - z1,840
Containment Unit  12 - z7,122
Containment Processor  11 - z225,469
Connection Harness  451 - z1,540
Computer Component  458 - z1,804
Compartment Frame  16 - z1,716
Communication Device  18 - z1,758
Colored Dye  76 - z27
Cloak Field Resistance  20 - z491,047
Cleaning Chemicals  24 - z75
Circuit Board (Doc)  40 - z558
Circuit Board  628 - z83
Chocolate Bars  7 - z1
Childrens Toys  51 - z398
Cheeseburger  39 - z29,315
Cheese and Crackers  28 - z64,500
Ceramic  1281 - z15
Cat Food  4 - z245,575
Carbon Filter  36 - z36,068
Carbon  368 - z1
Candy Corn  71 - z1
Calibration Tools  60 - z5,599
Calcium  660 - z3
Calciate Residue  551 - z41
Burglar Drone  130 - z17,871
Bottled Whiskey  8 - z86
Bomber Drone  87 - z16,221
Biowaste Processor  30 - z438,042
Bio Disposables  4 - z77,138
Bio Converter  26 - z80,187
Bio Carbon  778 - z23
Belasite Ore  272 - z306
Belasite Extractor (Doc)  19 - z10,924,700
Battery Core  601 - z115
Basic Warp Drive Fuel  803 - z1,842
Basic Warp Drive (Doc)  37 - z5,528,400
Basic Warp Drive  55 - z325,700
Basic Torpedo Launcher (Doc)  306 - z37,439
Basic Torpedo Launcher  74 - z7,824
Basic Thruster (Doc)  22 - z189,353
Basic Thruster  41 - z11,579
Basic Targeting System  59 - z14,984
Basic Skill Manual  53 - z280,350
Basic Rocket Launcher (Doc)  52 - z32,599
Basic Railgun (Doc)  99 - z27,779
Basic Projectile Explosive Mod (Doc)  72 - z237,420
Basic Projectile Energy Mod  81 - z29,535
Basic Ore Harvester  59 - z9,400
Basic Missile Impact Mod  54 - z19,035
Basic Missile   88 - z79
Basic Laser Explosive Mod  15 - z31,285
Basic Impact Armor  39 - z13,535
Basic Heavy Laser  53 - z8,943
Basic Food Rations  1 - z47
Basic Filter  23 - z8,830
Basic Explosive Armor  52 - z27,535
Basic Energy Capacitor  66 - z15,896
Basic ECM Range Lock (Doc)  38 - z3,093,117
Basic Drone Command Bay  87 - z31,256
Basic Computer  146 - z1,808
Basic Cargo Expansion  34 - z27,535
Basic Beam Explosive Mod  58 - z17,035
Basic 60mm  398 - z29
Basic 20mm  297 - z18
Ball Bearings  92 - z89
Assorted Springs  779 - z66
Assorted Gaskets  871 - z11
Assembly Tools  48 - z4,385
Anti-Freeze  66 - z37
Antenna Array (Doc)  12 - z17,269
Antenna Array  618 - z1,136
Aluminium Shard  919 - z15
Aluminium Rivets  709 - z30
Aged Wine  49 - z105
Advanced Waste Unit  33 - z422,720
Advanced Warp Drive Fuel  400 - z4,087
Advanced Torpedo   264 - z465
Advanced Spring Loader  473 - z1,052
Advanced Skill Manual  5 - z529,538
Advanced Scan Emitter  5 - z42,581
Advanced Rocket Launcher (Doc)  302 - z502,238
Advanced Regulator  14 - z15,942
Advanced Railgun  77 - z92,754
Advanced Pulse Laser  68 - z85,870
Advanced Missile Launcher (Doc)  91 - z255,338
Advanced Ion Beam (Doc)  1 - z551,235
Advanced Impact Armor (Doc)  54 - z1,057,680
Advanced Impact Armor  44 - z77,140
Advanced Heavy Laser  72 - z80,308
Advanced Filter  26 - z18,681
Advanced Energy Generator  74 - z116,637
Advanced ECM Resistance Field  66 - z486,580
Advanced ECM Power Boost Field (Doc)  47 - z7,287,516
Advanced ECM Power Boost Field  44 - z368,394
Advanced 60mm (Doc)  84 - z34,070
Advanced 20mm  22 - z29
Adamyte Ore  143 - z8
Acidic Residue  1289 - z11


<Station University Skills>
Ship Afterburner Systems
Projectile Maintenance
Projectile Damage Calibration
Storage Manager
Miner Basic Operation
Fabrication Accountant


<Station Missions>


<Station Ships>
SCA-1 Demi / Battlecruiser    (Support)
PE-1 Pirate Escort / Escort    (Assault)
EU-1 Mining Escort / Escort    (Excavation)
PU-1 Pirate Escort / Escort    (Assault)
EE-1 Mining Shuttle / Shuttle    (Excavation)
SS-1 Arcane Shuttle / Shuttle    (Support)
RU-1 Curator / Escort    (Recon)
TCA-1 Mule / Utility    (Support)
