[s:30][c:yellow]Biomate University[/c][/s]
Academic University
Telyoupea Akpi
Alpha
[c:lime]Dock fee 0[/c]
Timestamp: 56897.28
<Station Services>

[s:20][c:cyan]STATION ECONOMY[/c][/s]
[c:lime]SUPPLY[/c]
Basic Skill Manual
Advanced Skill Manual
Elite Skill Manual
[c:orange]DEMAND[/c]
Candy Cane
Ornament
Wrapped Box

[s:20][c:cyan]SERVICES[/c][/s]
Lounge
Market
Refinery
Ship Garage
University
Ship Hangar
Storage
Fabricator
Mission Contracts
Offices


<Station Market Orders>
[c:green]BUY Order[/c] Market Out of Stock: (3) Items 
 (456) x Wrapped Box
 (363) x Candy Cane
 (907) x Wrapped Box
Fulfill order for [c:lime]420 profit.[/c]
[c:green]BUY Order[/c] Market Items Req: (2) Items 
 (325) x Candy Cane
 (163) x Ornament
Fulfill order for [c:lime]2,043 profit.[/c]
[c:green]BUY Order[/c] Market Demands: (1) Items 
 (137) x Wrapped Box
Fulfill order for [c:lime]2,085 profit.[/c]
[c:green]BUY Order[/c] Market Shortage: (2) Items 
 (858) x Ornament
 (154) x Ornament
Fulfill order for [c:lime]7,102 profit.[/c]
[c:green]BUY Order[/c] Market Shortage: (1) Items 
 (113) x Ornament
Fulfill order for [c:lime]103 profit.[/c]
[c:green]BUY Order[/c] Market Low Inventory: (4) Items 
 (222) x Wrapped Box
 (347) x Wrapped Box
 (202) x Ornament
 (314) x Wrapped Box
Fulfill order for [c:lime]3,686 profit.[/c]
[c:green]BUY Order[/c] Market Needs Goods: (2) Items 
 (78) x Wrapped Box
 (114) x Wrapped Box
Fulfill order for [c:lime]3,058 profit.[/c]


<Station Market Items>
Visit station market to update prices.
Zai Ore  3615 - z329
Grilled Steak  40 - z70,126
Gravitational Emitter  389 - z2,710
Gradeon Ore  641 - z8
Gourmet Food Rations  1008 - z352
Goldyte  841 - z115
Glass Panels  331 - z394
Generic Torpedo Launcher (Doc)  185 - z11,858
Generic Salvage Collector  68 - z2,073
Generic Railgun (Doc)  381 - z6,338
Generic Plasma Cannon  50 - z2,350
Generic Missile Launcher (Doc)  131 - z9,440
Generic Construction Platform  114 - z4,036,125
Gaming Devices  804 - z1,743
Fusion Biomax  44 - z1,129,442
Foodservice Products  986 - z4,789
Foodservice Equipment  928 - z7,265
Fiber Optic Interface  540 - z1,518
Fiber Optic Cables (Doc)  63 - z1,052
Fasteners  718 - z12
Entertainment Electronics  824 - z713
Engine Component  4225 - z800
Energy Bomb  168 - z6,582
Electronic Switch (Doc)  6 - z4,355
Electronic Switch  897 - z468
Electronic Fragment  5291 - z224
Electron Orb  44 - z75
Electromagnetic Emitter (Doc)  59 - z19,396
Electromagnetic Emitter  893 - z3,165
Electrical Interface  724 - z1,405
Eco Regulator  21 - z42,324
ECM Target Scrambler  30 - z71,861
ECM Magweb (Doc)  72 - z7,489,160
Dynex Ore  3613 - z118
Dynex Crystal  1638 - z33
Crystaline Filter  47 - z343,679
Copperi Plates  602 - z353
Copperi Cubex  336 - z17
Cooling Unit (Doc)  12 - z18,159
Containment Unit  50 - z7,940
Containment Processor  5 - z242,911
Computer Component  4623 - z1,404
Compartment Frame  674 - z1,260
Communication Device  765 - z2,668
Colored Dye  1027 - z18
Cloak Field Generator  71 - z1,110,188
Cleaning Chemicals  861 - z79
Chocolate Bars  67 - z1
Childrens Toys  946 - z300
Cheeseburger  29 - z35,571
Cheese and Crackers  50 - z121,573
Ceramic  211 - z21
Cat Food  2 - z232,858
Carbon Filter  14 - z37,822
Carbon  1372 - z2
Candy Corn  682 - z1
Calibration Tools  979 - z5,061
Calcium  398 - z3
Calciate Residue  1339 - z63
Burglar Drone  126 - z10,472
Bottled Whiskey  887 - z129
Biowaste Processor  13 - z565,348
Bio Converter  52 - z67,500
Bio Carbon  1294 - z15
Belasite Ore  5204 - z193
Battery Array  1043 - z3,801
Basic Warp Drive Fuel  860 - z1,213
Basic Warp Drive (Doc)  63 - z3,408,900
Basic Warp Drive  74 - z264,075
Basic Torpedo Launcher (Doc)  595 - z30,582
Basic Torpedo Launcher  77 - z4,940
Basic Torpedo   2759 - z118
Basic Skill Manual  5 - z69,538
Basic Shield Booster  67 - z30,204
Basic Scan Emitter  90 - z22,107
Basic Rocket Launcher (Doc)  265 - z32,485
Basic Railgun  29 - z5,780
Basic Projectile Explosive Mod (Doc)  82 - z185,445
Basic Projectile Explosive Mod  41 - z26,204
Basic Plasma Cannon  86 - z6,223
Basic Missile Launcher (Doc)  496 - z18,794
Basic Missile   2452 - z146
Basic Laser Explosive Mod (Doc)  53 - z254,445
Basic Laser Explosive Mod  29 - z25,454
Basic Laser Energy Mod  63 - z29,954
Basic Ion Beam  107 - z10,484
Basic Food Rations  940 - z60
Basic Filter  52 - z6,147
Basic Explosive Armor  83 - z16,704
Basic ECM Energy Coil  15 - z293,119
Basic Computer (Doc)  46 - z21,586
Basic Computer  696 - z1,350
Basic Charged Cell  87 - z115
Basic Beam Impact Mod  25 - z20,954
Basic 60mm  2345 - z35
Basic 20mm  2256 - z29
Ball Bearings  524 - z61
Auxiliary System Mount  817 - z6,366
Atmospawn Thermobox  33 - z967,809
Assembly Tools  787 - z3,370
Armor Plating  214 - z1,638
Anti-Laser Pod (Doc)  64 - z261,806
Anti-Freeze  992 - z51
Aluminium Shard  854 - z19
Aluminium Rivets  158 - z47
Aluminium Plates  598 - z322
AI Interface Drive  1061 - z742
AI Bio Filter  16 - z946,258
Aged Wine  973 - z146
Afterburner Assembly (Doc)  31 - z58,237
Advanced Waste Unit  8 - z277,315
Advanced Warp Drive Fuel (Doc)  61 - z551,362
Advanced Torpedo   85 - z417
Advanced Scan Emitter (Doc)  76 - z1,026,562
Advanced Rocket Launcher (Doc)  52 - z496,557
Advanced Regulator  26 - z12,595
Advanced Railgun (Doc)  196 - z631,883
Advanced Ore Harvester (Doc)  6 - z487,189
Advanced Missile Launcher (Doc)  84 - z362,279
Advanced Missile Launcher  20 - z53,591
Advanced Missile (Doc)  54 - z43,689
Advanced Missile  2379 - z296
Advanced Ion Beam  28 - z127,406
Advanced Filter  38 - z14,538
Advanced Engine Core  48 - z107,197
Advanced Energy Capacitor  76 - z51,808
Advanced Energy Armor  69 - z119,815
Advanced ECM Range Lock  94 - z622,933
Advanced ECM Energy Coil  9 - z339,691
Advanced 20mm (Doc)  92 - z35,526
Adamyte Ore  8274 - z4
Acidic Residue  307 - z17


<Station University Skills>
Projectile Basic Operation
Laser Basic Operation
Beam Basic Operation
Launcher Basic Operation
Torpedo Basic Operation
Miner Basic Operation
Escort Ship Operation
Frigate Ship Operation
Destroyer Ship Operation
Utility Ship Operation
Battlecruiser Ship Operation
Cruiser Ship Operation
Dreadnought Ship Operation
Carrier Ship Operation
Ship Thruster Systems
Ship Cargo Stacker
Max Mission Contracts
Ship Energy Regeneration
Ship Energy Systems
Fleet Commander
Drone Operation
Drone Command Systems
Drone Combat Weapons
Drone Mining Lasers
Drone Repair Systems
Drone Defensive Programing
Drone Range Signal
Drone Energy Systems
Drone Armor Mechanic
Drone Cargo Mechanic
Drone Thruster Systems
Structure Build operation
Structure Warehouse Management
Structure Accountant
Structure Prospector
Structure Engineer
Ship Shield Regeneration


<Station Missions>
[c:lime]RECOVER[/c]
Locate a light <color='yellow'>Crate</color> in the <color='cyan'>Chamo</color> sector, and return to CoraVault in <color='cyan'>Lins</color>

[c:lime]RECOVER[/c]
Locate a light <color='yellow'>Crate</color> in the <color='cyan'>Beaondus</color> sector, and return to Crystalis Broadcasting in <color='cyan'>Jermicus</color>

[c:lime]KILL[/c]
Assassinate in-experienced <color='yellow'><i>Chairman Qano Oudorib</i></color> in <color='cyan'>Ferrelis Cove</color> and return to Mazu Starship in <color='cyan'>Volox</color>

[c:lime]COLLECT[/c]
Bring a medium collection of <color='yellow'>113</color> <color='yellow'>Aluminium Rivets</color> to Gunstellar in the <color='cyan'>Adrenal</color> Sector

[c:lime]TRANSPORT[/c]
Move light cargo from SimKitten in <color='cyan'>Kolkax Prime</color> and dock with <color='yellow'>188</color> <color='yellow'>Candy Corns</color> at Acrondia Corp. in <color='cyan'>Crown of Imperium</color>

[c:lime]SCAN[/c]
Locate and scan the <color='yellow'>Community Farming Center</color> structure in <color='cyan'>Jonisae</color> and return to SimKitten in <color='cyan'>Kolkax Prime</color>

[c:lime]COLLECT[/c]
Bring a medium collection of <color='yellow'>19</color> <color='yellow'>Plasite Ores</color> to Monarch Society in the <color='cyan'>Solitudes of Frey</color> Sector

[c:lime]ESCORT[/c]
<color='yellow'><i>General Zoero Ouvednalia</i></color> is waiting at Kith in <color='cyan'>Kidd Overture</color> and needs an escort to Acrondia Hub in <color='cyan'>Temple Gates</color>

[c:lime]COLLECT[/c]
Gather a collection of <color='yellow'>45</color> <color='yellow'>Mechanical Belts</color> and dock the light shipment at Legistron in <color='cyan'>Dogstar Prime</color>

[c:lime]RECOVER[/c]
Recover a medium shipment <color='yellow'>crate</color> in <color='cyan'>Estura Cove</color> and bring back to SimKitten in <color='cyan'>Kolkax Prime</color>

[c:lime]DIALOG[/c]
Detain <color='yellow'><i>Senator Xofon Motajser</i></color> in <color='cyan'>Astrelia Gentris</color> and escort them to Vita Assembly in <color='cyan'>Capital Void</color>

[c:lime]DIALOG[/c]
Transfer payment to <color='yellow'><i>Bishop Sivkol Canostrapad</i></color> in <color='cyan'>Equalias Val</color> and return with signature to Cecil in <color='cyan'>Junia</color>

[c:lime]KILL RAIDERS[/c]
Exterminate <color='yellow'>1 Raider</color> Skilled Raider(s) in <color='cyan'>Hunu</color> and dock at Cecil in <color='cyan'>Junia</color>

[c:lime]SALVAGE[/c]
In <color='cyan'>Xenilo Valley</color>, Salvage <color='yellow'>Special Computer Component</color> and return to Astrox Security Patrol in <color='cyan'>Felishar</color> with at least <color='yellow'>157</color>

[c:lime]SCAN[/c]
Find <color='yellow'><i>Liaison Newhe Faxonni</i></color> in <color='cyan'>Stellar Keep</color>, scan their ship, and return to Inovex in <color='cyan'>Goru Populan</color>



<Station Ships>
RS-1 Translator / Shuttle    (Transport)
RE-1 Integrator / Escort    (Recon)
RE-2 Harmonizer / Escort    (Recon)
RU-1 Curator / Escort    (Recon)
RU-2 Conservator / Escort    (Recon)
RF-1 Assimilator / Escort    (Recon)


<Station Offices>
(Tutorial Office) Camera Basics 
[c:grey](Ratamaq Guru)[/c]

(Tutorial Office) Navigation Basics 
[c:grey](Arji Darn)[/c]

(Tutorial Office) Life Support Basics 
[c:grey](Carter Burke)[/c]

(Tutorial Office) Introduction 
[c:grey](Jessa Din)[/c]

(Tutorial Office) Basic Combat 
[c:grey](Fredric Din)[/c]

(Tutorial Office) Basic Drones 
[c:grey](Daniel Traek)[/c]

(Tutorial Office) Basic Fleet Command 
[c:grey](Jacob Salis)[/c]

(Tutorial Office) Wormhole Basics 
[c:grey](Darius Ghent)[/c]

