[s:30][c:yellow]Lammassu Hub[/c][/s]
Enterprise Hub
Dueemifie Uomi
Trade
[c:lime]Dock fee 100[/c]
Timestamp: 34763.56
<Station Services>

[s:20][c:cyan]STATION ECONOMY[/c][/s]
[c:lime]SUPPLY[/c]
Media Recordings
Musical Instruments
Entertainment Electronics
Sporting Equipment
Gaming Devices
Childrens Toys
Candy Cane
Ornament
Wrapped Box
[c:orange]DEMAND[/c]
Textile Fabrics
Foodservice Products
Office Supplies
Foodservice Equipment

[s:20][c:cyan]SERVICES[/c][/s]
Lounge
Market
Refinery
Ship Garage
University
Ship Hangar
Storage
Fabricator
Mission Contracts
Offices


<Station Market Orders>
[c:red]SELL Order[/c] Market Production: (1) Items 
 (381) x Entertainment Electronics
Buy items for [c:lime]66,548 discount.[/c]
[c:red]SELL Order[/c] Market Stock: (2) Items 
 (144) x Entertainment Electronics
 (474) x Candy Cane
Buy items for [c:lime]39,691 discount.[/c]
[c:red]SELL Order[/c] Market Stock: (2) Items 
 (431) x Wrapped Box
 (278) x Media Recordings
Buy items for [c:lime]270,265 discount.[/c]
[c:red]SELL Order[/c] Market Stock: (2) Items 
 (84) x Musical Instruments
 (85) x Entertainment Electronics
Buy items for [c:lime]221,252 discount.[/c]


<Station Market Items>
Visit station market to update prices.
Containment Field Emitter (Doc)  15 - z76,806
Media Recordings  29 - z1,366
Musical Instruments  41 - z2,410
Entertainment Electronics  46 - z831
Sporting Equipment  53 - z1,329
Small Heatsink  260 - z254
Small Heatsink (Doc)  29 - z2,387
Basic Beam Impact Mod  4 - z24,433
Basic Missile Impact Mod (Doc)  40 - z278,194
Advanced ECM Power Boost Field  44 - z347,514
Advanced Shield Generator  9 - z102,310
Advanced Drone Command Bay (Doc)  42 - z2,145,240
Small Web Field  12 - z5,099
Light Shield Charge  29 - z4,671
Plastix Strands  336 - z5
Undamaged Part  113 - z61
Ham Sandwich  13 - z21,595
Gourmet Food Rations  36 - z184
Advanced Filter  23 - z14,091
Circuit Board  317 - z47
Bottled Whiskey  24 - z135
Temperature Genie  16 - z22,881
Aged Wine  6 - z129
Calcium  286 - z5
Optical Interface  360 - z131
Waste Processor  8 - z15,592
Light Armor Repair  87 - z9,179
Small Life Support Pack  40 - z6,237
Light Armor Bomb  11 - z10,326
Basic Food Rations  29 - z85
Quazor Ore  102 - z21
Fiber Optic Cables  66 - z104
Silicon  519 - z5
Aluminium Rivets  223 - z47
Improved Turn Thrust (Doc)  6 - z315,510
Hydrogen  381 - z4
Plastic Caps  252 - z36
Kitchen Appliances  48 - z775
Basic Torpedo Launcher (Doc)  152 - z41,047
Improved Targeting System  40 - z33,909
Office Furniture  21 - z893
Magnetic Quartz  455 - z4
Basic Railgun (Doc)  54 - z25,507
Salt Crystal  635 - z2
Interior Lighting  42 - z209
Improved Armor Exterior (Doc)  42 - z516,465
Basic 60mm (Doc)  7 - z5,873
Basic Plasma Cannon  31 - z8,988
Gradeon Ore  258 - z8
Recon Scanner Drone  8 - z16,460
Medium Mining Drone  85 - z16,010
Containment Unit  24 - z6,950
Advanced Regulator  11 - z7,440
Scrap Part  51 - z30
Medium Repair Drone  52 - z14,510
Improved Filter  6 - z11,972
Thermal Insulation  129 - z41
Medium Salvage Drone  24 - z12,560
Basic 20mm  137 - z24
Basic 60mm  190 - z33
Metal Valve (Doc)  34 - z276
Metal Valve  197 - z34
Basic Missile   19 - z134
Basic Pulse Laser  22 - z7,331
Basic Warp Drive (Doc)  18 - z5,803,875
Basic Torpedo   108 - z123
Noodles  1 - z11,972
Rubber Tubing  323 - z37
Generic Railgun (Doc)  184 - z9,808
Water  615 - z2
Oxygen  42 - z3
Carbon  223 - z2
Nuts And Bolts  325 - z6
Steelium Beam (Doc)  6 - z107
Junk Part  490 - z25
Generic Missile Launcher (Doc)  80 - z9,210
Energy Bomb  54 - z6,473
Colored Dye  42 - z29
Lubricant  17 - z14
Small Mining Drone  83 - z4,184
Small Defense Drone  33 - z3,824
Disposables  13 - z6,211
Thermal Controller  15 - z8,521
Generic Light Turret  44 - z2,555
Generic Rocket Launcher  11 - z1,215
Generic Torpedo Launcher  17 - z2,418
Protein Bar  9 - z5,371
Wrapped Box  38 - z13
Ornament  20 - z5
Candy Cane  39 - z1
Gummy Bears  14 - z1
Chocolate Bars  28 - z1
Assorted Gaskets  130 - z12
Generic Ion Beam  10 - z2,706
Basic Engine Core  27 - z22,381
Basic Afterburner  30 - z13,146
Basic Shield Generator  36 - z19,097
Basic Scan Emitter  19 - z14,532
Basic Scan Booster  3 - z23,319
Anti-Freeze  49 - z36
Small LS Bomb  86 - z7,681
Basic Energy Armor  28 - z25,683
Cleaning Chemicals  7 - z112
Basic Drone Command Bay  38 - z29,093
Basic ECM Power Boost  33 - z331,593
Carbon Fiber  154 - z19
Steelium Pipes  70 - z15
Candy Corn  45 - z1
Adamyte Ore  414 - z8


<Station University Skills>
Ship Energy Systems
Refinery Accountant
Beam Energy Optimization
Launcher Damage Calibration


<Station Missions>
[c:lime]HARVEST[/c]
Harvest special <color='yellow'>Special Adamyte Ore</color> in <color='cyan'>Starfort Ramos</color> and return with <color='yellow'>70</color> ore to Legistron in <color='cyan'>Dogstar Prime</color>

[c:lime]DIALOG[/c]
Arrest <color='yellow'><i>Accountant Mowa Keeargee</i></color> over an outstanding warrant in <color='cyan'>Adrenal</color> and return to CoraVault in <color='cyan'>Lins</color>

[c:lime]SCAN[/c]
Locate and scan the <color='yellow'>Office Center</color> structure in <color='cyan'>Adrenal</color> and return to Gemini Mining in <color='cyan'>Jala</color>

[c:lime]ESCORT[/c]
<color='yellow'><i>Bishop Qoada Toser</i></color> is waiting at Acrondia Hub in <color='cyan'>Temple Gates</color> and needs an escort to Daemon Ammunitions in <color='cyan'>Starfort Ramos</color>

[c:lime]KILL RECOVER[/c]
Hijack <color='yellow'><i>Rookie Nortisrib Uebar</i></color> in <color='cyan'>Dellis Primeria</color> for <color='yellow'>464</color> <color='yellow'>Wrapped Boxs</color> and deliver them to Horizons in <color='cyan'>Gate of Alpharis</color>

[c:lime]RECOVER[/c]
Reclaim a medium shipment <color='yellow'>crate</color> in <color='cyan'>Starfort Ramos</color> and bring back to Proctors Center in <color='cyan'>Void Starcross</color>

[c:lime]KILL RAIDERS[/c]
Hunt <color='yellow'>1 Raider</color> level 10 Raider(s) in <color='cyan'>Beaondus</color> and return to Imperium Republica  in <color='cyan'>Gate of Alpharis</color>

[c:lime]SCAN[/c]
Track down and scan <color='yellow'><i>Chairman Zaexon Lockipei</i></color> in <color='cyan'>Felishar</color> and return to Quantex in <color='cyan'>Dellis Primeria</color>

[c:lime]SCAN[/c]
Track down and scan <color='yellow'><i>Overseer Arnortis Tazils</i></color> in <color='cyan'>Volox</color> and return to Lammassu Financial in <color='cyan'>Void Starcross</color>



<Station Ships>
SC-1 Bishop / Utility    (Support)
PF-1 Assault Frigate / Frigate    (Assault)
PS-1 Shuttle / Shuttle    (Excavation)
