[s:30][c:yellow]Biomart[/c][/s]
Auction Facility
Leira Kolyitpi
Trade
[c:lime]Dock fee 100[/c]
Timestamp: 31911.41
<Station Services>

[s:20][c:cyan]STATION ECONOMY[/c][/s]
[c:lime]SUPPLY[/c]
LED Lights
Micro Processor
Large Processor
Motion Sensor
Pressure Sensor
Memory Chip
Small Pump
Small Heatsink
Small Motor
Copperi Cables
Active Scanner
[c:orange]DEMAND[/c]
Personal Clothing
Hygiene Products
Communication Device
Transport Units
Tractor Beam

[s:20][c:cyan]SERVICES[/c][/s]
Market
Refinery
Ship Garage
University
Ship Hangar
Storage


<Station Market Orders>
[c:red]SELL Order[/c] Market Items: (3) Items 
 (447) x Memory Chip
 (333) x Copperi Cables
 (426) x Micro Processor
Buy items for [c:lime]159,181 discount.[/c]
[c:green]BUY Order[/c] Market Low Inventory: (1) Items 
 (143) x Hygiene Products
Fulfill order for [c:lime]23,812 profit.[/c]


<Station Market Items>
Visit station market to update prices.
Active Scanner  39 - z18,481
Gradeon Ore  44 - z10
Gummy Bears  3 - z1
Heavy Combat Drone  13 - z197,557
Hydraulic Assembly (Doc)  6 - z28,277
Hydrogen  161 - z3
Improved Drone Command Bay  12 - z93,385
Improved Engine Core  15 - z40,802
Improved Explosive Armor  2 - z46,866
Improved Filter  4 - z12,707
Improved Impact Armor  4 - z53,866
Improved Mass Reduction  18 - z55,996
Improved Repair Drone  38 - z43,529
Improved Salvage Drone  2 - z33,629
Improved Shield Booster  12 - z51,366
Improved Shield Generator  15 - z32,255
Improved Targeting System  16 - z25,409
Improved Thruster  13 - z30,547
Improved Turn Thrust  4 - z45,493
Interior Lighting  8 - z139
Ionization Plate (Doc)  19 - z45,964
Junk Part  193 - z26
Kitchen Appliances  1 - z858
Large Defense Drone  34 - z67,731
Large Processor  35 - z137
Large Salvage Drone  5 - z56,731
LED Lights  34 - z108
Light Shield Recharger  9 - z27,683
Liquid Coolant  126 - z27
Lubricant  87 - z14
Magnetic Quartz  243 - z3
Mechanical Belts  16 - z55
Medium Armor Repair  22 - z19,856
Medium Shield Bomb  5 - z24,497
Memory Chip  41 - z189
Metal Gears  7 - z39
Micro Processor  39 - z119
Misc Hardware (Doc)  6 - z9,226
Missile Defense System (Doc)  5 - z1,275,700
Motion Sensor  41 - z163
Noodles  1 - z7,440
Nuts And Bolts  64 - z13
Office Furniture  17 - z966
Ornament  19 - z7
Oxygen  251 - z3
Plasite Extractor (Doc)  5 - z10,934,870
Plastic Caps  82 - z65
Premium Heavy Cannon (Doc)  18 - z2,157,965
Premium Railgun (Doc)  25 - z2,246,098
Pressure Sensor  39 - z174
Protein Bar  2 - z7,541
Prototype ECM Power Boost Field (Doc)  3 - z7,555,059
Prototype Heavy Cannon (Doc)  71 - z6,339,620
Prototype Railgun (Doc)  72 - z7,672,264
Prototype Torpedo   25 - z1,032
Rubber Tubing  67 - z28
Salt Crystal  217 - z3
Scrap Part  187 - z24
Small Heatsink  25 - z193
Small LS Bomb  14 - z4,391
Small Motor  43 - z259
Small Pump  27 - z207
Small Storage Tank  1 - z35
Small Web Field  17 - z6,059
Spotlight  10 - z10,052
Steelium Pipes  37 - z17
Thermal Controller  6 - z4,321
Thermal Insulation  128 - z26
Titan Combat Drone  21 - z274,328
Water  38 - z1
Wrapped Box  4 - z10


<Station University Skills>
Launcher Basic Operation
Miner Maintenance
Laser Basic Operation
Projectile Damage Calibration


<Station Missions>


<Station Ships>
TE-1 Phoebus / Shuttle    (Transport)
TU-1 Jonas / Escort    (Transport)
BCA-1 Drone Piranha / Destroyer    (Support)
RE-1 Integrator / Escort    (Recon)
RF-1 Assimilator / Escort    (Recon)
BCA-1 Drone Piranha / Destroyer    (Support)
SF-1 Redeemer / Frigate    (Support)
