[s:30][c:yellow]Lammassu Financial[/c][/s]
Market Center
Jelegus
Trade
[c:lime]Dock fee 25[/c]
Timestamp: 52108.76
<Station Services>

[s:20][c:cyan]STATION ECONOMY[/c][/s]
[c:lime]SUPPLY[/c]
Candy Cane
Ornament
Wrapped Box
Medium Shield Charge
Heavy Shield Charge
Medium Armor Repair
Heavy Armor Repair
Medium Energy Charge
Heavy Energy Charge
Medium Life Support Pack
Large Life Support Pack
Light Shield Charge
Light Armor Repair
Light Energy Charge
Small Life Support Pack
[c:orange]DEMAND[/c]
Basic 20mm
Advanced 20mm
Prototype 20mm
Basic 60mm
Advanced 60mm
Prototype 60mm
Basic Missile 
Advanced Missile
Prototype Missile 
Basic Torpedo 
Advanced Torpedo 
Prototype Torpedo 

[s:20][c:cyan]SERVICES[/c][/s]
Lounge
Market
Ship Garage
University
Ship Hangar
Storage
Fabricator
Mission Contracts
Offices


<Station Market Orders>
[c:green]BUY Order[/c] Market Needs Goods: (1) Items 
 (232) x Basic 60mm
Fulfill order for [c:lime]1,232 profit.[/c]
[c:green]BUY Order[/c] Market Shortage: (1) Items 
 (611) x Basic 60mm
Fulfill order for [c:lime]16,090 profit.[/c]
[c:green]BUY Order[/c] Market Low Inventory: (1) Items 
 (92) x Basic 60mm
Fulfill order for [c:lime]2,224 profit.[/c]
[c:green]BUY Order[/c] Market Out of Stock: (1) Items 
 (85) x Advanced 20mm
Fulfill order for [c:lime]4,734 profit.[/c]
[c:green]BUY Order[/c] Market Demands: (1) Items 
 (133) x Basic 60mm
Fulfill order for [c:lime]9,067 profit.[/c]


<Station Market Items>
Visit station market to update prices.
Acidic Residue  780 - z17
Xenox Extractor (Doc)  40 - z16,430,110


<Station University Skills>
Market Auditor
Market Distributor
Merc Negotiations
Merc Prospector
Storage Accountant
University Discount
Refinery Accountant
Max Mission Contracts
Mission Negotiations
Ship Engine Burner
Tractor Energy Optimization
Tractor Maintenance


<Station Missions>
[c:lime]DELIVERY[/c]
Deliver light container of <color='yellow'>47</color> <color='yellow'>Electrical Regulators</color> to Quantex Station in <color='cyan'>Dellis Primeria</color>

[c:lime]TRANSPORT[/c]
Move light cargo from Transporteers in <color='cyan'>Hunu</color> and dock with <color='yellow'>249</color> <color='yellow'>Aluminium Rivets</color> at Oro Omniplex Center in <color='cyan'>Merces Academy</color>

[c:lime]REFINE[/c]
Refine <color='yellow'>6</color> <color='yellow'>Module Fragments</color> at Oak Industries station refinery in <color='cyan'>Dorando Corridor</color>

[c:lime]HARVEST[/c]
Mine special <color='yellow'>Special Lokken Ore</color> in <color='cyan'>Chaferea</color> and return with <color='yellow'>86</color> to StarShepards Headquarters in <color='cyan'>Void Starcross</color>

[c:lime]FABRICATE[/c]
Manufacture <color='yellow'>11</color> <color='yellow'>Basic Computers</color> at Oro Omniplex Center station fabricator in <color='cyan'>Merces Academy</color>

[c:lime]RECOVER[/c]
Retrieve a light cache of <color='yellow'>Prototype Shield Generator</color> from a <color='yellow'>crate</color> in <color='cyan'>Jala</color> sector, drop at Medicore University in <color='cyan'>Cliffs of Drameria</color>

[c:lime]SCAN[/c]
Scan the <color='yellow'>Recon Center</color> structure in <color='cyan'>Felishar</color> and return to Transporteers in <color='cyan'>Hunu</color>

[c:lime]FABRICATE[/c]
Produce a light container of <color='yellow'>6</color> <color='yellow'>Keypads</color> at the Crystalis Broadcasting fabricator in <color='cyan'>Jermicus</color>

[c:lime]DIALOG[/c]
Chat with <color='yellow'><i>Senator Zenolas Eiinowit</i></color> about his debt in <color='cyan'>Kidd Overture</color> and return to Holosynth Industries in <color='cyan'>Rats Of Mortalis</color>

[c:lime]SCAN[/c]
Track and scan the target <color='yellow'>Storage Facility</color> structure in <color='cyan'>Blades of Dandrow</color> and return to Vo Industries in <color='cyan'>Brimstone</color>

[c:lime]SALVAGE[/c]
Salvage <color='yellow'>Special Metal Fragment</color> in <color='cyan'>Chaferea</color> and return with <color='yellow'>64</color> to Mazu Starship in <color='cyan'>Volox</color>

[c:lime]KILL RECOVER[/c]
Hijack and kill <color='yellow'><i>Mr. Faebino Zaron</i></color> in <color='cyan'>Coralor</color> and steal <color='yellow'>1</color> <color='yellow'>Prototype Energy Generator</color>. Return to Scrapdogs in <color='cyan'>Gemini Els</color>

[c:lime]REFINE[/c]
Dock at the Legistron station refinery in <color='cyan'>Dogstar Prime</color> and process a light shipment of <color='yellow'>19</color> <color='yellow'>Quazor Ores</color>

[c:lime]COLLECT[/c]
Return to Daemon Ammunitions in <color='cyan'>Starfort Ramos</color> with a light collection of <color='yellow'>2</color> <color='yellow'>Improved Railguns</color>

[c:lime]DELIVERY[/c]
Take medium shipment of <color='yellow'>6</color> <color='yellow'>Generic Ore Harvesters</color> and deliver to <color='cyan'>Merces Academy</color> and dock at Oro Omniplex Center Station

[c:lime]KILL RAIDERS[/c]
Destroy <color='yellow'>1 Raider</color> level 20 Raider(s) in <color='cyan'>Estura Cove</color> and return to SimKitten in <color='cyan'>Kolkax Prime</color>

[c:lime]HARVEST[/c]
Extract special <color='yellow'>Special Dynex Ore</color> in <color='cyan'>Kidd Overture</color> and return to The Dunes in <color='cyan'>The Dunes of Caliph</color> with minimum of <color='yellow'>105</color>



<Station Ships>
TS-1 Dexta / Shuttle    (Recon)
TE-1 Phoebus / Shuttle    (Transport)
TE-2 Helios / Shuttle    (Transport)
TU-1 Jonas / Escort    (Transport)
TU-2 Series / Escort    (Transport)
TF-1 Hexalon / Escort    (Transport)


<Station Offices>
(AstyQuest) 
[c:grey](Asty)[/c]

(Tutorial Office) Ship Orbiting 
[c:grey](Jonathan Hetcher)[/c]

(Tutorial Office) Camera Basics 
[c:grey](Ratamaq Guru)[/c]

(Tutorial Office) Navigation Basics 
[c:grey](Arji Darn)[/c]

(Tutorial Office) Life Support Basics 
[c:grey](Carter Burke)[/c]

(Tutorial Office) Basic Drones 
[c:grey](Daniel Traek)[/c]

