[s:30][c:yellow]Rendo Labs[/c][/s]
Beam Research Facility
Bomene Janfonve
Alpha
[c:lime]Dock fee 100[/c]
Timestamp: 7286.313
<Station Services>

[s:20][c:cyan]STATION ECONOMY[/c][/s]
[c:lime]SUPPLY[/c]
Sensor Array
Thruster Casing
Voltage Regulator
Afterburner Assembly
Artificial Gravity Generator
Auxiliary System Mount
Battery Array
Micro Computer
Servo Controls
Containment Field Emitter
[c:orange]DEMAND[/c]
Junk Part
Scrap Part
Undamaged Part
Metal Fragment
Electronic Fragment
Module Fragment
Weapons Component
Engine Component
Computer Component
Hull Chassis
Cleaning Chemicals
Colored Dye
Anti-Freeze

[s:20][c:cyan]SERVICES[/c][/s]
Market
Storage
Fabricator
Mission Contracts


<Station Market Orders>
[c:green]BUY Order[/c] Market Out of Stock: (3) Items 
 (69) x Undamaged Part
 (243) x Anti-Freeze
 (159) x Scrap Part
Fulfill order for [c:lime]12,001 profit.[/c]
[c:green]BUY Order[/c] Market Shortage: (3) Items 
 (107) x Metal Fragment
 (58) x Electronic Fragment
 (256) x Scrap Part
Fulfill order for [c:lime]6,729 profit.[/c]


<Station Market Items>
Visit station market to update prices.
Adamyte Ore  157 - z5
Basic Missile Explosive Mod (Doc)  7 - z372,375
Basic Missile Launcher  12 - z5,092
Basic Projectile Explosive Mod (Doc)  5 - z261,375
Basic Pulse Laser  12 - z4,349
Basic Railgun  12 - z5,555
Basic Rocket Launcher (Doc)  36 - z23,494
Basic Salvage Collector  7 - z8,138
Basic Shield Generator  17 - z32,434
Basic Targeting System  7 - z17,701
Basic Torpedo Launcher (Doc)  90 - z27,353
Basic Turn Thrust  13 - z18,625
Battery Array  57 - z5,184
Candy Cane  14 - z1
Candy Corn  13 - z1
Carbon  14 - z2
Carbon Fiber  191 - z21
Chocolate Bars  12 - z1
Containment Field Emitter  101 - z5,057
Containment Unit  2 - z12,633
Disposables  8 - z4,769
Generic Construction Platform  18 - z6,759,375
Generic Heavy Cannon  6 - z1,301
Generic Heavy Laser  18 - z1,367
Generic Light Turret  2 - z1,103
Generic Pulse Laser  8 - z1,203
Generic Torpedo Launcher  4 - z2,499
Gradeon Ore  19 - z11
Gummy Bears  1 - z1
Heavy Armor Bomb  30 - z90,011
Heavy Shield Bomb  25 - z93,251
Hydrogen  113 - z3
Improved Afterburner  5 - z30,850
Improved Combat Drone  3 - z45,506
Improved Drone Command Bay  18 - z94,500
Improved Energy Armor  12 - z54,563
Improved Energy Generator  5 - z38,710
Improved Explosive Armor  9 - z45,063
Improved Filter  4 - z11,408
Improved Mass Reduction  6 - z36,398
Improved Missile Launcher (Doc)  59 - z153,783
Improved Rocket Launcher (Doc)  79 - z127,553
Improved Salvage Drone  27 - z28,406
Improved Scan Booster  10 - z32,728
Improved Scan Emitter  6 - z31,365
Improved Shield Booster  7 - z46,563
Improved Turn Thrust  2 - z22,050
Interior Lighting  19 - z289
Junk Part  20 - z28
Kitchen Appliances  2 - z612
Large Motor (Doc)  16 - z50,721
Light Shield Charge  4 - z5,469
Liquid Coolant  16 - z19
Lubricant  119 - z19
Magnetic Quartz  87 - z3
Mechanical Belts  88 - z50
Medium Mining Drone  29 - z11,269
Medium Web Field  19 - z25,950
Metal Brackets  175 - z13
Metal Gears  46 - z19
Metal Valve  9 - z34
Micro Computer  56 - z5,179
Micro Leech Drone  25 - z15,019
Noodles  9 - z12,388
Nuts And Bolts  155 - z8
Office Furniture  4 - z751
Ornament  17 - z5
Oxygen  10 - z2
Plastic Caps  84 - z55
Premium Railgun (Doc)  56 - z2,271,196
Premium Salvage Collector (Doc)  14 - z1,774,489
Premium Shield Generator (Doc)  4 - z3,035,880
Protein Bar  6 - z5,679
Prototype ECM Power Boost Field (Doc)  14 - z13,265,770
Prototype Heavy Cannon (Doc)  4 - z5,033,565
Prototype Missile   11 - z416
Prototype Rocket Launcher (Doc)  78 - z3,000,313
Reinforced Rubber  179 - z19
Rubber Tubing  178 - z33
Salt Crystal  69 - z2
Sensor Array  78 - z2,030
Servo Controls  89 - z4,835
Servo Controls (Doc)  19 - z85,806
Small Combat Drone  17 - z4,268
Small Defense Drone  29 - z4,688
Small LS Bomb  25 - z7,569
Small Repair Drone  1 - z5,888
Small Storage Tank  157 - z32
Small Tractor Drone  9 - z15,019
Small Web Field  4 - z6,090
Steelium Beam (Doc)  13 - z136
Steelium Pipes  96 - z11
Thermal Controller  4 - z4,699
Thruster Casing  74 - z2,177
Titan Defense Drone  16 - z277,813
Titan Mining Drone  38 - z190,313
Titan Salvage Drone  2 - z215,313
Torim Extractor (Doc)  11 - z8,843,412
Tractor Beam  7 - z11,638
Voltage Regulator  86 - z2,211
Water  271 - z1
Wrapped Box  18 - z12


<Station University Skills>


<Station Missions>
[c:lime]DELIVERY[/c]
Deliver light container of <color='yellow'>25</color> <color='yellow'>Sensor Arrays</color> to Lacuna Bandits Station in <color='cyan'>Ballast Crow</color>

[c:lime]RECOVER[/c]
Recover a light quantity of <color='yellow'>1</color> <color='yellow'>Premium Energy Generator</color> in <color='cyan'>Beacon Spita</color>, and return to Lacuna Bandits in <color='cyan'>Ballast Crow</color>

[c:lime]SCAN[/c]
Find the target <color='yellow'>Recon Center</color> structure in <color='cyan'>Lins</color>, scan, and return to StarGypsy Warehouse in <color='cyan'>Void Starcross</color>

[c:lime]RECOVER[/c]
Locate a light <color='yellow'>Crate</color> in the <color='cyan'>Hunu</color> sector, and return to Star Shepards Hub in <color='cyan'>Temple Gates</color>

[c:lime]HARVEST[/c]
Harvest special <color='yellow'>Special Quazor Ore</color> in <color='cyan'>Jermicus</color> and return with <color='yellow'>51</color> ore to StarShepards Headquarters in <color='cyan'>Void Starcross</color>

[c:lime]SCAN[/c]
Locate and scan <color='yellow'><i>Sir Paero Velils</i></color> in <color='cyan'>Ballast Crow</color> and return to Daemon Ammunitions in <color='cyan'>Starfort Ramos</color>

[c:lime]HARVEST[/c]
Mine special <color='yellow'>Special Adamyte Ore</color> in <color='cyan'>Entropy</color> and return with <color='yellow'>67</color> to Quantex in <color='cyan'>Dellis Primeria</color>

[c:lime]SALVAGE[/c]
Salvage <color='yellow'>Special Junk Part</color> in <color='cyan'>Felishar</color> and return with <color='yellow'>50</color> to Starbase Corporate Center in <color='cyan'>Void Starcross</color>



<Station Ships>
