[s:30][c:yellow]StarShepards Headquarters[/c][/s]
Worship Center
Temple Of the Void
Temple
[c:lime]Dock fee 25[/c]
Timestamp: 51558.64
<Station Services>

[s:20][c:cyan]STATION ECONOMY[/c][/s]
[c:lime]SUPPLY[/c]
Medium Shield Charge
Heavy Shield Charge
Medium Armor Repair
Heavy Armor Repair
Medium Energy Charge
Heavy Energy Charge
Medium Life Support Pack
Large Life Support Pack
Light Shield Charge
Light Armor Repair
Light Energy Charge
Small Life Support Pack
Basic Warp Drive
Advanced Warp Drive
Prototype Warp Drive
[c:orange]DEMAND[/c]
Aged Wine
Bottled Whiskey
Basic Food Rations
Gourmet Food Rations
Candy Corn
Chocolate Bars
Gummy Bears
Basic ECM Resistance Field
Advanced ECM Resistance Field
Prototype ECM Resistance Field
Basic ECM Power Boost
Advanced ECM Power Boost Field
Prototype ECM Power Boost Field
Basic ECM Energy Coil
Advanced ECM Energy Coil
Prototype ECM Energy Coil
Basic ECM Range Lock
Advanced ECM Range Lock
Prototype ECM Range Lock

[s:20][c:cyan]SERVICES[/c][/s]
Market
Refinery
Ship Garage
University
Ship Hangar
Storage
Fabricator
Mission Contracts
Offices


<Station Market Orders>
[c:green]BUY Order[/c] Market Shortage: (1) Items 
 (378) x Chocolate Bars
Fulfill order for [c:lime]1,086 profit.[/c]


<Station Market Items>
Visit station market to update prices.
Acidic Residue  623 - z24
Basic Beam Explosive Mod  60 - z17,670
Basic Charged Cell  76 - z123
Basic Drone Command Bay (Doc)  39 - z363,270
Basic ECM Energy Coil  15 - z477,494
Basic ECM Power Boost  79 - z506,156
Basic ECM Range Lock  56 - z453,901
Basic ECM Resistance Field  5 - z535,079
Basic Filter  42 - z4,808
Basic Food Rations  20 - z102
Basic Heavy Laser (Doc)  16 - z44,922
Basic Laser Energy Mod  41 - z27,170
Basic Laser Energy Mod (Doc)  8 - z236,044
Basic Light Turret  40 - z9,708
Basic Projectile Energy Mod  34 - z19,170
Basic Projectile Explosive Mod (Doc)  54 - z308,044
Basic Projectile Impact Mod  10 - z32,920
Basic Railgun (Doc)  289 - z52,786
Basic Rocket Launcher  69 - z9,078
Basic Rocket Launcher (Doc)  437 - z31,738
Basic Salvage Collector (Doc)  46 - z57,177
Basic Shield Generator  56 - z26,374
Basic Skill Manual  120 - z296,703
Basic Targeting System  24 - z16,096
Basic Turn Thrust  79 - z19,736
Basic Warp Drive  12 - z178,406
Battery Core  11 - z148
Belasite Ore  25 - z319
Bio Carbon  1004 - z38
Bio Converter  6 - z74,634
Bio Disposables  9 - z122,568
Biowaste Processor  39 - z718,461
Bomber Drone  31 - z17,952
Bottled Whiskey  71 - z189
Burglar Drone  25 - z19,602
Calciate Residue  225 - z77
Calcium  283 - z3
Calibration Tools  9 - z3,613
Candy Cane  3 - z1
Carbon  674 - z2
Carbon Fiber  595 - z31
Carbon Filter  27 - z49,402
Cat Food  28 - z246,663
Ceramic  574 - z15
Cheese and Crackers  33 - z80,058
Cheeseburger  31 - z38,522
Childrens Toys  6 - z228
Chocolate Bars  10 - z2
Cleaning Chemicals  82 - z95
Cloak Booster  87 - z702,317
Colored Dye  8 - z22
Comm Device  335 - z1,486
Communication Device  17 - z1,968
Compartment Frame (Doc)  76 - z16,041
Computer Component  668 - z1,153
Containment Processor  24 - z204,440
Containment Unit  34 - z16,376
Copperi Cubex  190 - z15
Copperi Pipes  48 - z229
Copperi Plates  126 - z272
Crystaline Filter  42 - z429,060
Disposables  30 - z5,718
Duct Work (Doc)  54 - z14,945
Dynex Crystal  876 - z28
Dynex Crystal Resonator  245 - z473
Dynex Ore  567 - z159
ECM Module Disruptor  84 - z556,318
Eco Regulator  28 - z28,393
Electrical Regulator  78 - z2,729
Electron Orb  569 - z154
Electronic Fragment  2 - z189
Electronic Switch (Doc)  8 - z3,126
Elite Skill Manual  135 - z1,343,398
Engine Component  253 - z859
Entertainment Electronics  19 - z686
Fasteners  624 - z12
Fiber Optic Cables  697 - z71
Fiber Optic Interface  708 - z2,540
Foodservice Equipment  68 - z7,879
Foodservice Products  74 - z7,102
Gaming Devices  8 - z1,590
Generic Light Turret  10 - z2,074
Generic Missile Launcher  45 - z1,775
Generic Missile Launcher (Doc)  229 - z9,865
Generic Ore Harvester (Doc)  3 - z13,136
Generic Railgun (Doc)  226 - z12,442
Generic Rocket Launcher  39 - z1,434
Generic Rocket Launcher (Doc)  24 - z11,468
Generic Torpedo Launcher  11 - z2,896
Generic Torpedo Launcher (Doc)  69 - z16,162
Glass Panels  672 - z537
Goldyte  1095 - z129
Gradeon Ore  748 - z14
Gravitational Emitter  387 - z2,986
Grilled Steak  44 - z77,260
Gummy Bears  47 - z2
Gyroscope Drive  307 - z3,033
Habitax Regulator  20 - z650,729
Ham Sandwich  9 - z24,800
Hand Tools  847 - z497
Hand Tools (Doc)  54 - z3,733
Hardened Glass Panels  877 - z389
Heavy Armor Repair  25 - z25,691
Heavy Energy Charge  25 - z19,268
Heavy Mining Drone  41 - z213,974
Heavy Salvage Drone  11 - z190,874
Heavy Shield Bomb  8 - z62,112
Heavy Shield Charge  25 - z22,479
Hydraulic Assembly  221 - z3,873
Hydrogen  443 - z3
Hydrox Filter  35 - z449,254
Hygiene Products  24 - z144
Hyperion Regulator  40 - z158,197
Improved Afterburner  51 - z46,273
Improved Cargo Expansion  46 - z39,341
Improved Defense Drone  50 - z55,207
Improved Energy Armor  9 - z42,841
Improved Filter  3 - z9,271
Improved Impact Armor  68 - z60,341
Improved Mass Reduction  33 - z31,593
Improved Mining Drone  50 - z42,607
Improved Missile Launcher (Doc)  329 - z119,498
Improved Ore Harvester  51 - z55,214
Improved Plasma Cannon  10 - z33,602
Improved Railgun (Doc)  1 - z161,231
Improved Repair Drone  88 - z53,857
Improved Rocket Launcher (Doc)  433 - z120,885
Improved Shield Generator  34 - z66,788
Improved Targeting System  23 - z25,732
Improved Thruster  32 - z43,966
Interior Lighting  49 - z202
Ionization Plate  136 - z2,700
Iron Coring  1210 - z8
Iron Coring Beams  76 - z714
Iron Coring Pipes  479 - z627
Iron Coring Plates  226 - z399
Junk Part  105 - z19
Keypad  91 - z280
Kitchen Appliances  28 - z699
Large Combat Drone  104 - z90,681
Large Defense Drone  88 - z74,681
Large Heatsink  435 - z472
Large Life Support Pack  25 - z16,057
Large Mining Drone  106 - z121,681
Large Mining Drone (Doc)  38 - z254,980
Large Motor  820 - z5,626
Large Processor  112 - z153
Large Pump  384 - z732
Large Repair Drone  172 - z91,681
Large Repair Drone (Doc)  84 - z427,780
Large Salvage Drone  114 - z73,681
Large Web Field  139 - z60,251
LED Lights  283 - z106
Light Armor Repair  25 - z3,255
Light Energy Charge  25 - z2,141
Light Shield Charge  25 - z2,498
Light Shield Recharger (Doc)  50 - z138,352
Lokken Ore  176 - z39
Magnetic Quartz  3136 - z5
Mechanical Belts  712 - z68
Mechanical Tools  86 - z8,457
Media Recordings  62 - z1,415
Medical Instruments  85 - z10,847
Medium Armor Bomb  66 - z35,014
Medium Armor Repair  25 - z8,564
Medium Energy Charge  25 - z6,423
Medium Life Support Pack  25 - z5,352
Medium Repair Drone  155 - z17,352
Medium Shield Charge  25 - z7,493
Metal Fragment  831 - z93
Micro Leech Drone (Doc)  2 - z689,160
Misc Hardware  596 - z775
Module Fragment  482 - z211
Musical Instruments  48 - z3,417
Neutron Pods  1142 - z53
Nitrogen  92 - z6
Noodles  32 - z14,293
Nuts And Bolts  156 - z8
Office Furniture  82 - z1,048
Office Supplies  76 - z5,010
Oil  736 - z8
OmniCon Regulator  43 - z66,756
Optical Interface  215 - z86
Ornament  16 - z6
Oxygen  1042 - z2
Personal Clothing  72 - z1,199
Pizza  42 - z470,366
Plasite Ore  88 - z67
Plastix Strands  558 - z7
Polymere  823 - z79
Premium Heavy Cannon  72 - z398,415
Premium Heavy Laser  52 - z233,346
Premium Heavy Laser (Doc)  86 - z1,546,385
Premium Impact Armor  82 - z271,363
Premium Ion Beam  5 - z315,784
Premium Mass Reduction  78 - z115,334
Premium Missile Launcher  49 - z438,031
Premium Missile Launcher (Doc)  357 - z1,414,330
Premium Railgun (Doc)  352 - z1,200,763
Premium Rocket Launcher (Doc)  440 - z1,300,761
Premium Shield Generator  69 - z236,912
Protein Bar  42 - z4,598
Prototype Afterburner  26 - z261,380
Prototype Drone Command Bay  82 - z657,160
Prototype ECM Energy Coil  51 - z1,461,526
Prototype ECM Power Boost Field  80 - z1,550,103
Prototype ECM Range Lock  13 - z1,423,739
Prototype ECM Resistance Field  67 - z1,638,680
Prototype Energy Capacitor (Doc)  78 - z5,625,048
Prototype Engine Core  51 - z291,038
Prototype Heavy Cannon  57 - z1,232,682
Prototype Heavy Cannon (Doc)  209 - z4,372,413
Prototype Impact Armor (Doc)  67 - z4,496,700
Prototype Railgun  59 - z1,735,507
Prototype Rocket Launcher  88 - z1,236,169
Prototype Rocket Launcher (Doc)  206 - z4,500,141
Prototype Salvage Collector  9 - z1,400,890
Prototype Targeting System  43 - z173,213
Prototype Torpedo   353 - z642
Prototype Warp Drive  12 - z4,460,156
Prototype Warp Drive Fuel  755 - z10,178
Quazor Ore  892 - z22
Radar System  231 - z5,911
Reinforced Rubber  673 - z16
Salt Crystal  1060 - z3
Scrap Part  259 - z33
Silicon  808 - z7
Silveryte  875 - z80
Small Defense Drone  163 - z3,821
Small Heatsink  114 - z310
Small Life Support Pack  25 - z1,784
Small LS Bomb  151 - z7,188
Small Motor  15 - z286
Small Repair Drone  49 - z7,541
Small Salvage Drone  110 - z8,081
Small Tractor Drone  68 - z13,902
SolarClean Filter  14 - z154,175
Spaghetti  4 - z669,202
Sporting Equipment  89 - z1,696
Spotlight  44 - z7,002
Spotlight (Doc)  35 - z70,708
Steelium  976 - z55
Steelium Pipes  540 - z18
Steelium Plates (Doc)  48 - z9,931
Synth Filter  34 - z75,463
Temperature Genie  19 - z27,372
Textile Fabrics  17 - z1,444
Thermal Controller  33 - z9,008
Thermal Generex  7 - z75,463
Thermal Insulation  182 - z43
Thermex Controller  14 - z329,623
Titan Combat Drone  101 - z261,703
Titan Defense Drone  132 - z239,203
Titan Mining Drone  59 - z286,703
Titan Repair Drone  154 - z309,203
Titanyte  146 - z76
Titanyte Pipes (Doc)  74 - z10,499
Titanyte Plates  703 - z944
Torim Ore  1242 - z42
Tractor Beam  18 - z10,455
Transport Units  66 - z7,827
Undamaged Part  191 - z43
UV Filter  25 - z69,382
Waste Burner  33 - z30,268
Waste Processor  22 - z16,439
Water  773 - z1
Weapons Component  464 - z667
Wrapped Box  59 - z10
Xenox Ore  695 - z345


<Station University Skills>
University Academic
Fleet Defensive Flight
Mission Loyalty
Merc Negotiations


<Station Missions>
[c:lime]DIALOG[/c]
Chat with <color='yellow'><i>Captain Renojanco Beckport</i></color> about his debt in <color='cyan'>Gate of Alpharis</color> and return to Oro Omniplex Center in <color='cyan'>Merces Academy</color>

[c:lime]KILL[/c]
Hunt down a low level <color='yellow'><i>Laborer Serfoe Velpeidemi</i></color> in <color='cyan'>Dellis Primeria</color> and return to Kith in <color='cyan'>Kidd Overture</color>

[c:lime]SCAN[/c]
Locate and scan <color='yellow'><i>Enforcer Jidlow Whewho</i></color> in <color='cyan'>Brimstone</color> and return to OmniTrust in <color='cyan'>Ponze</color>

[c:lime]HARVEST[/c]
In <color='cyan'>Dragon Sea</color>, Extract special <color='yellow'>Special Torim Ore</color> and return to Ferce Hub in <color='cyan'>Semja</color> with at least <color='yellow'>225</color>

[c:lime]SCAN[/c]
Locate and scan the <color='yellow'>Defensive Gun Platform</color> structure in <color='cyan'>Kidd Overture</color> and return to Scrapdogs in <color='cyan'>Gemini Els</color>

[c:lime]KILL RECOVER[/c]
Frag <color='yellow'><i>Miner Jancokee Momole</i></color> in <color='cyan'>Capital Void</color> and take back <color='yellow'>1</color> <color='yellow'>Basic ECM Resistance Field</color>. Return to Rendo Labs in <color='cyan'>Entropy</color>

[c:lime]ESCORT[/c]
<color='yellow'><i>Govenor Sorest Zoak</i></color> requests an escort from Nostra in <color='cyan'>Zellis</color> to Starbase Corporate Center in <color='cyan'>Void Starcross</color>

[c:lime]DELIVERY[/c]
Take medium shipment of <color='yellow'>33</color> <color='yellow'>Afterburner Assemblys</color> and deliver to <color='cyan'>Entropy</color> and dock at Rendo Labs Station

[c:lime]HARVEST[/c]
Harvest special <color='yellow'>Special Xenox Ore</color> in <color='cyan'>Empathy Forge</color> and return with <color='yellow'>56</color> ore to Foodmaid in <color='cyan'>Daelus</color>

[c:lime]DELIVERY[/c]
Take medium shipment of <color='yellow'>5</color> <color='yellow'>Advanced Explosive Armors</color> and deliver to <color='cyan'>Vindicati</color> and dock at Temple of the Void Station

[c:lime]KILL[/c]
Frag <color='yellow'><i>Father Ileast Arvelpad</i></color>, in <color='cyan'>Heliojen</color> and return to Crystalis Broadcasting in <color='cyan'>Jermicus</color>



<Station Ships>
SS-1 Arcane Shuttle / Shuttle    (Support)
SE-1 Prophet / Frigate    (Assault)
SE-2 Seer / Frigate    (Battle)
SU-1 Archanis / Frigate    (Recon)
SU-2 Stacius / Frigate    (Recon)
SF-1 Redeemer / Frigate    (Support)


<Station Offices>
(Tutorial Office) Camera Basics 
[c:grey](Ratamaq Guru)[/c]

(Tutorial Office) Navigation Basics 
[c:grey](Arji Darn)[/c]

(Tutorial Office) Life Support Basics 
[c:grey](Carter Burke)[/c]

(Tutorial Office) Basic Drones 
[c:grey](Daniel Traek)[/c]

