[s:30][c:yellow]CoraVault[/c][/s]
Banking Facility
Nexa Mapei
Trade
[c:lime]Dock fee 100[/c]
Timestamp: 55741.52
<Station Services>

[s:20][c:cyan]STATION ECONOMY[/c][/s]
[c:lime]SUPPLY[/c]
Generic Construction Platform
Spaceframe
Thermal Systems Package
Weapon Systems Package
[c:orange]DEMAND[/c]
Media Recordings
Musical Instruments
Entertainment Electronics
Sporting Equipment
Gaming Devices
Childrens Toys
Generic Plasma Cannon
Basic Plasma Cannon
Improved Plasma Cannon
Advanced Plasma Cannon
Premium Plasma Cannon
Prototype Plasma Cannon
Generic Ion Beam
Basic Ion Beam
Improved Ion Beam
Advanced Ion Beam
Premium Ion Beam
Prototype Ion Beam

[s:20][c:cyan]SERVICES[/c][/s]
Lounge
Market
Refinery
Ship Garage
University
Ship Hangar
Storage
Fabricator
Mission Contracts
Offices


<Station Market Orders>


<Station Market Items>
Visit station market to update prices.
Wrapped Box  5 - z13
Basic Missile Impact Mod  24 - z15,605
Basic Light Turret  24 - z5,629
Basic Laser Impact Mod  23 - z16,855
Basic Food Rations  21 - z91
Basic Filter  2 - z8,639
Basic Explosive Armor  22 - z24,355
Basic Drone Command Bay  5 - z31,368
Basic 60mm  9 - z31
Ball Bearings  173 - z51
Assorted Springs  213 - z73
Anti-Freeze  20 - z31
Aluminium Rivets  168 - z49
Aged Wine  13 - z158
Afterburner Assembly (Doc)  1 - z40,126
Advanced Thruster (Doc)  28 - z1,072,720
Advanced Skill Manual  57 - z531,116
Advanced Shield Booster  6 - z81,421
Advanced Regulator  11 - z9,729
Advanced Missile Launcher (Doc)  145 - z426,446
Advanced Energy Capacitor  10 - z91,957
Advanced ECM Range Lock (Doc)  12 - z4,519,733
Advanced Armor Exterior  14 - z152,905
Adamyte Ore  11 - z5
Active Scanner  2 - z20,708


<Station University Skills>
Launcher Advanced Systems
Market Auditor
Miner Focal Range
Laser Cycle Mechanics
Launcher Advanced Systems


<Station Missions>
[c:lime]KILL RECOVER[/c]
Kill and Rob <color='yellow'><i>Major Resjid Peailsjoh</i></color> in <color='cyan'>Ballast Crow</color> and return to Transporteers in <color='cyan'>Hunu</color> with <color='yellow'>1</color> of <color='yellow'>Advanced Light Turret</color>

[c:lime]KILL RECOVER[/c]
Kill and Rob <color='yellow'><i>Bishop Kommo Tamastkin</i></color> in <color='cyan'>Ballast Crow</color> and return to Acrondia Hub in <color='cyan'>Temple Gates</color> with <color='yellow'>1</color> of <color='yellow'>Advanced Thruster</color>

[c:lime]DIALOG[/c]
Collect a small debt from <color='yellow'><i>Major Farnostra Nuhfeiba</i></color> in <color='cyan'>Bitcola</color> and return to Starbase Corporate Center in <color='cyan'>Void Starcross</color>

[c:lime]RECOVER[/c]
Locate a light <color='yellow'>Crate</color> in the <color='cyan'>Starfort Ramos</color> sector, and return to Mass Market in <color='cyan'>Dorando Corridor</color>

[c:lime]REFINE[/c]
Refine a light container of <color='yellow'>31</color> <color='yellow'>Junk Parts</color> at the StarShepards Headquarters station in <color='cyan'>Void Starcross</color>

[c:lime]DIALOG[/c]
Transfer a legal document to <color='yellow'><i>Miner Lockiba Cierastbast</i></color> in <color='cyan'>Cliffs of Drameria</color>. Return with confirmation at Starbase Corporate Center in <color='cyan'>Void Starcross</color>

[c:lime]DELIVERY[/c]
Move medium crate of <color='yellow'>316</color> <color='yellow'>Optical Interfaces</color> to <color='cyan'>Merces Academy</color> and deliver to Oro Omniplex Center

[c:lime]RECOVER[/c]
Recover a light quantity of <color='yellow'>312</color> <color='yellow'>Carbon Fibers</color> in <color='cyan'>Equalias Val</color>, and return to Lammassu Financial in <color='cyan'>Void Starcross</color>

[c:lime]REFINE[/c]
Refine medium shipment of <color='yellow'>5</color> <color='yellow'>Weapons Components</color> in <color='cyan'>Adrenal</color> at the Gunstellar station refinery

[c:lime]COLLECT[/c]
Gather a collection of <color='yellow'>2</color> <color='yellow'>Computer Components</color> and dock the light shipment at StarGypsy Warehouse in <color='cyan'>Void Starcross</color>

[c:lime]FABRICATE[/c]
Dock at the Lammassu Financial station fabricator in <color='cyan'>Void Starcross</color> and manufacture a light shipment of <color='yellow'>4</color> <color='yellow'>Steelium Beams</color>

[c:lime]COLLECT[/c]
Return to Stinkfinger in <color='cyan'>Jonisae</color> with a light collection of <color='yellow'>1</color> <color='yellow'>Prototype Mass Reduction</color>



<Station Ships>
PF-1 Assault Frigate / Frigate    (Assault)
RE-1 Integrator / Escort    (Recon)
PC-1 Pirate Utility / Utility    (Excavation)
BF-1 Missile Enforcer / Escort    (Assault)
