[s:30][c:yellow]Nostra[/c][/s]
Civil Housing Facility
Yitwo Yanlespea
Alpha
[c:lime]Dock fee 100[/c]
Timestamp: 49755.54
<Station Services>

[s:20][c:cyan]STATION ECONOMY[/c][/s]
[c:lime]SUPPLY[/c]
Light Shield Recharger
Medium Shield Recharger
Heavy Shield Recharger
Titanyte Pipes
Titanyte Plates
Uranium Core
Acidic Gel Battery
Advanced Spring Loader
AI Interface Drive
Ammunition Loader
Antenna Array
Armor Plating
Basic Computer
[c:orange]DEMAND[/c]
Aged Wine
Bottled Whiskey
Basic Food Rations
Gourmet Food Rations
Candy Corn
Chocolate Bars
Gummy Bears
Basic Shield Booster
Improved Shield Booster
Advanced Shield Booster
Premium Shield Booster
Prototype Shield Booster
Basic Shield Generator
Improved Shield Generator
Advanced Shield Generator
Premium Shield Generator
Prototype Shield Generator

[s:20][c:cyan]SERVICES[/c][/s]
Market
Refinery
Ship Garage
Storage
Fabricator
Offices


<Station Market Orders>
[c:red]SELL Order[/c] Market Production: (1) Items 
 (266) x Advanced Spring Loader
Buy items for [c:lime]153,146 discount.[/c]


<Station Market Items>
Visit station market to update prices.
Acidic Gel Battery  238 - z1,148
Improved Missile Launcher  51 - z20,250
Improved Missile Launcher (Doc)  55 - z157,846
Improved Plasma Cannon  22 - z31,030
Improved Railgun (Doc)  115 - z79,586
Improved Repair Drone  12 - z45,063
Improved Rocket Launcher (Doc)  372 - z94,497
Improved Salvage Drone  1 - z27,063
Improved Scan Emitter (Doc)  32 - z514,685
Improved Shield Booster  58 - z67,587
Improved Shield Generator  31 - z72,995
Improved Turn Thrust (Doc)  78 - z471,072
Interior Lighting  15 - z296
Iron Coring  1139 - z9
Iron Coring Pipes  704 - z392
Junk Part  658 - z16
Keypad  42 - z297
Kitchen Appliances  28 - z793
Large Combat Drone  74 - z54,140
Large Defense Drone  111 - z118,140
Large Life Support Pack  158 - z32,013
Large Web Field  10 - z49,781
LED Lights  328 - z153
Light Armor Repair  47 - z4,651
Light Shield Bomb  140 - z11,443
Light Shield Recharger  37 - z20,035
Lokken Ore  624 - z34
Lubricant  50 - z18
Magnetic Quartz  6 - z2
Mechanical Belts  611 - z71
Mechanical Switch  426 - z89
Mechanical Tools  36 - z5,030
Media Recordings  69 - z1,379
Medical Instruments  71 - z5,046
Medium Armor Bomb  80 - z17,588
Medium Armor Repair  77 - z25,954
Medium Combat Drone (Doc)  70 - z75,312
Medium Energy Charge  7 - z11,545
Medium Life Support Pack  139 - z11,271
Medium Repair Drone  111 - z18,321
Medium Shield Charge  78 - z19,139
Medium Shield Recharger  12 - z159,453
Medium Web Field  73 - z30,274
Metal Brackets  30 - z16
Metal Fragment  124 - z127
Micro Processor  637 - z86
Misc Hardware  242 - z654
Module Fragment  362 - z209
Motion Sensor  455 - z149
Musical Instruments  33 - z2,355
Neutron Pods  635 - z39
Nitrogen  693 - z7
Noodles  32 - z10,430
Office Furniture  13 - z623
Office Supplies  16 - z3,713
Oil  760 - z9
OmniCon Regulator  4 - z58,522
Optical Interface  476 - z116
Oxygen  40 - z1
Personal Clothing  24 - z1,175
Pizza  12 - z285,496
Plasite Extractor (Doc)  55 - z5,545,311
Plasite Ore  186 - z91
Plastic Caps  258 - z54
Plastix Strands  612 - z4
Polymere  760 - z51
Premium Heavy Cannon  10 - z182,038
Premium Missile Launcher  28 - z238,162
Premium Missile Launcher (Doc)  95 - z1,586,972
Premium Railgun (Doc)  88 - z1,317,069
Premium Rocket Launcher  75 - z213,509
Premium Thruster  73 - z143,035
Protein Bar  28 - z8,200
Prototype Cargo Expansion (Doc)  65 - z4,614,720
Prototype Energy Armor (Doc)  70 - z5,862,721
Prototype Energy Generator  73 - z385,907
Prototype Engine Core (Doc)  16 - z4,905,754
Prototype Heavy Laser  49 - z1,272,647
Prototype Missile Launcher (Doc)  199 - z3,590,080
Prototype Ore Harvester (Doc)  9 - z5,582,025
Prototype Rocket Launcher (Doc)  392 - z3,526,319
Prototype Salvage Collector  41 - z1,368,510
Prototype Salvage Collector (Doc)  53 - z10,308,990
Quazor Ore  503 - z13
Recon Scanner Drone  127 - z11,571
Regulator  705 - z149
Reinforced Rubber  411 - z10
Salt Crystal  332 - z3
Scrap Part  450 - z35
Silicon  413 - z5
Small Defense Drone  73 - z7,628
Small Heatsink  316 - z171
Small LS Bomb  66 - z6,450
Small Mining Drone  31 - z6,248
Small Pump (Doc)  77 - z1,702
Small Repair Drone  10 - z5,468
Small Web Field  47 - z8,811
Sporting Equipment  74 - z1,722
Steelium  522 - z52
Steelium Plates  175 - z783
Synth Filter  9 - z63,351
Temperature Genie  28 - z22,540
Textile Fabrics  50 - z1,451
Thermal Controller  8 - z4,210
Thermal Generex  35 - z128,840
Thermal Sensor  501 - z57
Thermex Controller  36 - z359,386
Titan Combat Drone  117 - z305,350
Titan Defense Drone  89 - z205,350
Titan Mining Drone  128 - z280,350
Titan Repair Drone  153 - z272,850
Titan Salvage Drone  138 - z135,350
Titanyte  1129 - z83
Titanyte Pipes  623 - z846
Titanyte Plates  590 - z642
Torim Ore  620 - z29
Transport Units  33 - z5,748
Undamaged Part  579 - z66
Uranium Core  37 - z667
UV Filter  25 - z74,279
Voltage Regulator (Doc)  37 - z42,396
Waste Burner  25 - z38,319
Waste Processor  29 - z15,251
Water  611 - z1
Weapons Component  517 - z376
Wrapped Box  70 - z15


<Station University Skills>


<Station Missions>


<Station Ships>
