[s:30][c:yellow]Legistron[/c][/s]
Reclamation Center
Akno Vakjanco
Law
[c:lime]Dock fee 100[/c]
Timestamp: 56513.57
<Station Services>

[s:20][c:cyan]STATION ECONOMY[/c][/s]
[c:lime]SUPPLY[/c]
Generic Heavy Cannon
Generic Light Turret
Prototype Light Turret
Prototype Heavy Cannon
Basic Heavy Cannon
Basic Light Turret
Improved Heavy Cannon
Improved Light Turret
Advanced Heavy Cannon
Advanced Light Turret
Premium Heavy Cannon
Premium Light Turret
[c:orange]DEMAND[/c]
Media Recordings
Musical Instruments
Entertainment Electronics
Sporting Equipment
Gaming Devices
Childrens Toys
Basic Projectile Impact Mod
Basic Projectile Energy Mod
Basic Projectile Explosive Mod

[s:20][c:cyan]SERVICES[/c][/s]
Market
Refinery
Ship Garage
Storage
Fabricator
Offices


<Station Market Orders>
[c:green]BUY Order[/c] Market Items Req: (1) Items 
 (66) x Entertainment Electronics
Fulfill order for [c:lime]25,248 profit.[/c]


<Station Market Items>
Visit station market to update prices.
Xenox Ore  266 - z395
Gaming Devices  23 - z3,582
Foodservice Products  43 - z5,999
Foodservice Equipment  24 - z8,070
Fiber Optic Interface  587 - z3,538
Entertainment Electronics  30 - z949
Engine Component  473 - z1,161
Elite Skill Manual  147 - z1,354,345
Electronic Switch (Doc)  65 - z5,209
Electronic Fragment  878 - z194
Electron Orb  373 - z125
Electromagnetic Emitter  29 - z1,619
Eco Regulator  20 - z45,305
Dynex Ore  594 - z91
Dynex Crystal Resonator (Doc)  26 - z4,364
Dynex Crystal Resonator  297 - z340
Dynex Crystal  695 - z22
Disposables  18 - z8,033
Crystaline Filter  2 - z484,978
Copperi Cubex  1090 - z9
Cooling Unit  352 - z1,415
Containment Unit  2 - z15,651
Containment Processor  34 - z228,731
Connection Harness (Doc)  3 - z14,350
Connection Harness  606 - z1,766
Computer Component  117 - z1,461
Compartment Frame  90 - z1,906
Communication Device  23 - z2,332
Comm Device (Doc)  53 - z17,054
Comm Device  55 - z1,145
Colored Dye  80 - z32
Cleaning Chemicals  71 - z129
Chocolate Bars  53 - z1
Cheeseburger  35 - z35,176
Cheese and Crackers  25 - z112,321
Ceramic  1076 - z19
Cat Food  30 - z250,848
Carbon Filter  23 - z23,171
Carbon Fiber  97 - z32
Carbon  933 - z2
Candy Corn  36 - z1
Candy Cane  35 - z1
Calibration Tools  76 - z2,611
Calcium  37 - z5
Calciate Residue  638 - z77
Bottled Whiskey  65 - z122
Bomber Drone  175 - z13,914
Biowaste Processor  4 - z718,962
Bio Disposables  11 - z105,428
Bio Converter  27 - z58,274
Bio Carbon  1070 - z20
Belasite Ore  25 - z312
Battery Core  358 - z156
Basic Torpedo Launcher (Doc)  57 - z54,080
Basic Torpedo   310 - z247
Basic Shield Booster  10 - z32,441
Basic Scan Emitter (Doc)  75 - z139,887
Basic Rocket Launcher (Doc)  5 - z31,067
Basic Railgun (Doc)  340 - z40,850
Basic Plasma Cannon  44 - z5,603
Basic Missile Energy Mod  12 - z24,691
Basic Missile   127 - z125
Basic Light Turret  60 - z5,680
Basic Laser Explosive Mod (Doc)  13 - z320,288
Basic Laser Explosive Mod  39 - z32,691
Basic Laser Energy Mod (Doc)  16 - z287,288
Basic Impact Armor  81 - z17,941
Basic Heavy Laser  35 - z5,372
Basic Heavy Cannon  59 - z5,940
Basic Food Rations  67 - z51
Basic Filter  43 - z7,893
Basic Energy Generator  14 - z29,054
Basic Energy Armor  36 - z27,941
Basic ECM Range Lock (Doc)  74 - z4,827,648
Basic ECM Energy Coil  88 - z335,850
Basic Drone Command Bay  53 - z24,305
Basic Charged Cell  347 - z145
Basic 60mm  20 - z48
Basic 20mm  121 - z15
Ball Bearings  99 - z49
Assorted Springs  567 - z65
Assembly Tools  69 - z5,528
Anti-Freeze  17 - z59
Antenna Array  174 - z1,752
Ammunition Loader (Doc)  52 - z12,961
Aluminium Shard  409 - z15
Aluminium Rivets  227 - z30
Aluminium Plates  261 - z166
AI Interface Drive  834 - z1,718
Aged Wine  44 - z181
Advanced Waste Unit  31 - z389,725
Advanced Torpedo (Doc)  10 - z77,072
Advanced Torpedo   213 - z497
Advanced Spring Loader  718 - z1,270
Advanced Shield Generator  88 - z132,584
Advanced Scan Emitter  60 - z76,149
Advanced Scan Booster (Doc)  72 - z1,119,594
Advanced Salvage Collector  41 - z102,493
Advanced Rocket Launcher (Doc)  205 - z290,532
Advanced Regulator  16 - z7,811
Advanced Railgun (Doc)  234 - z554,438
Advanced Pulse Laser  22 - z103,554
Advanced Missile Launcher  71 - z109,193
Advanced Missile  349 - z285
Advanced Mass Reduction  70 - z100,062
Advanced Light Turret  64 - z71,125
Advanced Impact Armor  33 - z71,763
Advanced Heavy Laser  87 - z127,115
Advanced Heavy Cannon  57 - z81,318
Advanced Filter  31 - z17,957
Advanced Energy Capacitor  35 - z97,513
Advanced Energy Armor (Doc)  67 - z789,150
Advanced ECM Energy Coil  72 - z714,800
Advanced Cargo Expansion  76 - z106,763
Advanced 60mm  159 - z72
Advanced 20mm  432 - z35
Adamyte Ore  110 - z7
Acidic Residue  434 - z21


<Station University Skills>


<Station Missions>


<Station Ships>
