[s:30][c:yellow]Valuestar Hub[/c][/s]
Market Center
Bosadjan Wagen
Trade
[c:lime]Dock fee 100[/c]
Timestamp: 19208.41
<Station Services>

[s:20][c:cyan]STATION ECONOMY[/c][/s]
[c:lime]SUPPLY[/c]
Candy Cane
Ornament
Wrapped Box
Medium Shield Charge
Heavy Shield Charge
Medium Armor Repair
Heavy Armor Repair
Medium Energy Charge
Heavy Energy Charge
Medium Life Support Pack
Large Life Support Pack
Light Shield Charge
Light Armor Repair
Light Energy Charge
Small Life Support Pack
[c:orange]DEMAND[/c]
Basic 20mm
Advanced 20mm
Prototype 20mm
Basic 60mm
Advanced 60mm
Prototype 60mm
Basic Missile 
Advanced Missile
Prototype Missile 
Basic Torpedo 
Advanced Torpedo 
Prototype Torpedo 

[s:20][c:cyan]SERVICES[/c][/s]
Market
Ship Garage
University
Ship Hangar
Mission Contracts


<Station Market Orders>
[c:green]BUY Order[/c] Market Out of Stock: (2) Items 
 (45) x Advanced Missile
 (72) x Basic Torpedo 
Fulfill order for [c:lime]24,004 profit.[/c]
[c:green]BUY Order[/c] Market Demands: (3) Items 
 (338) x Advanced 60mm
 (89) x Prototype 60mm
 (265) x Basic 60mm
Fulfill order for [c:lime]28,183 profit.[/c]
[c:green]BUY Order[/c] Market Needs Goods: (3) Items 
 (46) x Prototype 60mm
 (82) x Basic Missile 
 (180) x Basic Missile 
Fulfill order for [c:lime]20,471 profit.[/c]


<Station Market Items>
Visit station market to update prices.
Acidic Residue  990 - z21
Hygiene Products  5 - z192
Hyperion Regulator  33 - z160,936
Improved Cargo Expansion  71 - z53,522
Improved Defense Drone  22 - z32,870
Improved Engine Core (Doc)  21 - z449,031
Improved Filter  8 - z13,358
Improved Ion Beam  99 - z21,475
Improved Ion Beam (Doc)  21 - z164,704
Improved Light Turret  18 - z30,636
Improved Light Turret (Doc)  17 - z102,954
Improved Missile Launcher (Doc)  269 - z157,717
Improved Railgun  3 - z28,531
Improved Railgun (Doc)  314 - z95,614
Improved Rocket Launcher (Doc)  341 - z80,904
Improved Salvage Collector  70 - z45,591
Improved Targeting System  10 - z27,215
Improved Turn Thrust (Doc)  14 - z480,210
Interior Lighting  42 - z292
Iron Coring  866 - z6
Iron Coring Beams  685 - z585
Iron Coring Pipes  622 - z428
Junk Part  729 - z18
Kitchen Appliances  56 - z868
Large Defense Drone  91 - z80,044
Large Heatsink  736 - z568
Large Life Support Pack  30 - z36,920
Large Mining Drone  12 - z79,044
Large Processor  286 - z98
Large Repair Drone  81 - z115,044
Large Salvage Drone (Doc)  53 - z249,740
Large Web Field  15 - z77,072
LED Lights  304 - z84
Light Armor Bomb  51 - z11,434
Light Armor Repair  25 - z2,484
Light Energy Charge  11 - z7,083
Light Shield Bomb  68 - z10,084
Light Shield Charge  25 - z2,695
Lokken Ore  60 - z40
Magnetic Quartz  987 - z5
Mechanical Belts  444 - z53
Mechanical Switch  48 - z79
Mechanical Tools  42 - z4,502
Media Recordings  22 - z1,704
Medical Instruments  54 - z6,565
Medium Armor Repair  43 - z21,371
Medium Combat Drone  107 - z9,907
Medium Defense Drone  6 - z14,107
Medium Energy Charge  25 - z14,228
Medium Life Support Pack  25 - z10,507
Medium Repair Drone  109 - z15,757
Medium Shield Charge  40 - z16,389
Metal Fragment  291 - z77
Metal Gears  498 - z24
Micro Leech Drone  5 - z9,907
Micro Processor  745 - z126
Misc Hardware (Doc)  55 - z5,580
Module Fragment  301 - z313
Musical Instruments  54 - z1,535
Neutron Pods  150 - z52
Nitrogen  995 - z5
Noodles  21 - z16,053
Office Furniture  26 - z1,161
Office Supplies  76 - z3,869
Oil  242 - z11
OmniCon Regulator  24 - z76,185
Ornament  50 - z3
Oxygen  863 - z2
Personal Clothing  73 - z1,920
Pizza  29 - z295,713
Plasite Extractor (Doc)  44 - z8,854,371
Plasite Ore  411 - z71
Plastix Strands  1123 - z4
Polymere  31 - z70
Premium Drone Command Bay  26 - z329,740
Premium Light Turret  72 - z384,291
Premium Missile Launcher (Doc)  310 - z1,866,000
Premium Ore Harvester  75 - z654,535
Premium Ore Harvester (Doc)  40 - z3,392,726
Premium Plasma Cannon  44 - z224,638
Premium Rocket Launcher  11 - z195,213
Premium Rocket Launcher (Doc)  167 - z1,261,182
Premium Turn Thrust  77 - z203,270
Pressure Sensor  189 - z125
Pressure Sensor (Doc)  31 - z2,354
Protein Bar  19 - z6,933
Prototype Afterburner  61 - z313,740
Prototype Cargo Expansion (Doc)  75 - z5,378,100
Prototype Ore Harvester (Doc)  31 - z8,723,227
Prototype Railgun  7 - z1,286,287
Prototype Railgun (Doc)  398 - z6,053,278
Prototype Salvage Collector  14 - z2,143,812
Prototype Scan Emitter  66 - z164,286
Prototype Shield Generator  19 - z458,109
Prototype Targeting System (Doc)  31 - z2,449,428
Quazor Ore  584 - z20
Recon Scanner Drone  29 - z17,557
Reinforced Rubber  575 - z13
Rubber Tubing  554 - z45
Salt Crystal  258 - z2
Scrap Part  568 - z31
Servo Controls (Doc)  40 - z106,341
Silicon  721 - z7
Small Combat Drone  101 - z7,563
Small Defense Drone (Doc)  23 - z44,018
Small Heatsink  712 - z229
Small Life Support Pack  25 - z4,902
Small Mining Drone  119 - z5,703
Small Motor  638 - z229
Small Salvage Drone  128 - z4,143
Small Storage Tank  693 - z52
Small Tractor Drone  11 - z19,057
SolarClean Filter  1 - z132,788
Steelium  1186 - z53
Steelium Beam  330 - z9
Steelium Pipes  505 - z18
Steelium Pipes (Doc)  17 - z164
Synth Filter  32 - z91,964
Temperature Genie  3 - z15,445
Textile Fabrics  49 - z1,642
Thermal Controller  7 - z7,353
Thermal Generex  22 - z98,857
Thermal Sensor (Doc)  22 - z557
Thermex Controller  23 - z454,048
Titan Combat Drone  88 - z167,609
Titan Repair Drone  79 - z222,609
Titan Salvage Drone  120 - z310,109
Titanyte  595 - z79
Titanyte Pipes  546 - z686
Torim Ore  796 - z61
Transport Units  51 - z8,760
Undamaged Part  467 - z49
UV Filter  19 - z62,398
Waste Burner  19 - z40,534
Waste Processor  2 - z19,518
Water  578 - z2
Weapons Component  510 - z375
Wrapped Box  755 - z6


<Station University Skills>
Ship Afterburner Systems
Laser Advanced Systems
Beam Focal Range
Fabrication Engineer
Merc Negotiations
Beam Energy Optimization


<Station Missions>
[c:lime]FABRICATE[/c]
Dock at the Lammassu Hub station fabricator in <color='cyan'>Numbu</color> and manufacture a light shipment of <color='yellow'>3</color> <color='yellow'>Armor Platings</color>

[c:lime]DELIVERY[/c]
Dock at Lacuna Bandits in <color='cyan'>Ballast Crow</color> to deliver a light shipment of <color='yellow'>1</color> <color='yellow'>Premium Torpedo Launcher</color>

[c:lime]KILL RAIDERS[/c]
Kill <color='yellow'>1 Raider</color> level 20 Raider Ship(s) in <color='cyan'>Jala</color>. Return to Crystalis Broadcasting in <color='cyan'>Jermicus</color>

[c:lime]TRANSPORT[/c]
Head to Gunstellar in <color='cyan'>Adrenal</color>, pick up <color='yellow'>1</color> <color='yellow'>Premium Missile Launcher</color> for a light shipment to Rendo Labs in <color='cyan'>Entropy</color>

[c:lime]SCAN[/c]
Find <color='yellow'><i>Bishop Wheasad Ajate</i></color> in <color='cyan'>Veloxi</color>, scan their ship, and return to Daemon Ammunitions in <color='cyan'>Starfort Ramos</color>

[c:lime]KILL RAIDERS[/c]
Kill <color='yellow'>1 Raider</color> level 20 Raider Ship(s) in <color='cyan'>Jermicus</color>. Return to Medicore University in <color='cyan'>Cliffs of Drameria</color>

[c:lime]HARVEST[/c]
Excavate special <color='yellow'>Special Adamyte Ore</color> in <color='cyan'>Void Starcross</color> and return with <color='yellow'>107</color> to Proctors Center in <color='cyan'>Void Starcross</color>

[c:lime]TRANSPORT[/c]
Head to Crystalis Broadcasting in <color='cyan'>Jermicus</color>, pick up <color='yellow'>9</color> <color='yellow'>Module Fragments</color> for a light shipment to Blargg's in <color='cyan'>Beacon Spita</color>

[c:lime]ESCORT[/c]
<color='yellow'><i>Bishop Oiwha Beldomast</i></color> requests an escort from Dreamstar in <color='cyan'>Gendaria</color> to StarGypsy Warehouse in <color='cyan'>Void Starcross</color>

[c:lime]REFINE[/c]
Refine a light container of <color='yellow'>4</color> <color='yellow'>Weapons Components</color> at the Astrox Security Patrol station in <color='cyan'>Felishar</color>

[c:lime]DIALOG[/c]
Transfer a legal document to <color='yellow'><i>Private Foefon Oawelita</i></color> in <color='cyan'>Dellis Primeria</color>. Return with confirmation at Crystalis Broadcasting in <color='cyan'>Jermicus</color>

[c:lime]DIALOG[/c]
Detain <color='yellow'><i>Commander Couhom Nibin</i></color> in <color='cyan'>Adrenal</color> and escort them to Biomate University in <color='cyan'>Void Starcross</color>

[c:lime]SCAN[/c]
Find the target <color='yellow'>Labor United</color> structure in <color='cyan'>Felishar</color>, scan, and return to Tella's in <color='cyan'>Bitcola</color>

[c:lime]COLLECT[/c]
Return to Lacuna Bandits in <color='cyan'>Ballast Crow</color> with a light collection of <color='yellow'>54</color> <color='yellow'>Large Processors</color>

[c:lime]COLLECT[/c]
Return to CoraVault in <color='cyan'>Lins</color> with a light collection of <color='yellow'>3</color> <color='yellow'>Tractor Beams</color>

[c:lime]SALVAGE[/c]
Dismantle <color='yellow'>Special Junk Part</color> in <color='cyan'>Void Starcross</color> and return with <color='yellow'>104</color> to Valuestar Hub in <color='cyan'>Jelumus</color>

[c:lime]REFINE[/c]
Refine a light container of <color='yellow'>5</color> <color='yellow'>Belasite Ores</color> at the Mazu Starship station in <color='cyan'>Enoch Estates</color>

[c:lime]SCAN[/c]
Locate and scan <color='yellow'><i>Entertainer Zilsyou Veswelibaz</i></color> in <color='cyan'>Coralor</color> and return to OmniTrust in <color='cyan'>Ponze</color>

[c:lime]SCAN[/c]
Find the target <color='yellow'>Labor United</color> structure in <color='cyan'>Chaferea</color>, scan, and return to Legistron in <color='cyan'>Dogstar Prime</color>

[c:lime]FABRICATE[/c]
Produce a light container of <color='yellow'>5</color> <color='yellow'>Reinforced Rubbers</color> at the Medicore University fabricator in <color='cyan'>Cliffs of Drameria</color>

[c:lime]TRANSPORT[/c]
Transport a light shipment of <color='yellow'>5</color> <color='yellow'>Basic Heavy Lasers</color> from CoraVault in <color='cyan'>Lins</color> to The Dunes in <color='cyan'>The Dunes of Caliph</color>



<Station Ships>
BC-1 Alpharis Predator / Escort    (Battle)
BCA-1 Drone Piranha / Destroyer    (Support)
SCA-1 Demi / Battlecruiser    (Support)
