[s:30][c:yellow]Mass Market[/c][/s]
Market Center
Bidjag Zofiejalis
Trade
[c:lime]Dock fee 100[/c]
Timestamp: 27529.72
<Station Services>

[s:20][c:cyan]STATION ECONOMY[/c][/s]
[c:lime]SUPPLY[/c]
Candy Cane
Ornament
Wrapped Box
Medium Shield Charge
Heavy Shield Charge
Medium Armor Repair
Heavy Armor Repair
Medium Energy Charge
Heavy Energy Charge
Medium Life Support Pack
Large Life Support Pack
Light Shield Charge
Light Armor Repair
Light Energy Charge
Small Life Support Pack
[c:orange]DEMAND[/c]
Basic 20mm
Advanced 20mm
Prototype 20mm
Basic 60mm
Advanced 60mm
Prototype 60mm
Basic Missile 
Advanced Missile
Prototype Missile 
Basic Torpedo 
Advanced Torpedo 
Prototype Torpedo 

[s:20][c:cyan]SERVICES[/c][/s]
Lounge
Market
Refinery
Ship Garage
University
Ship Hangar
Storage
Fabricator
Mission Contracts
Offices


<Station Market Orders>
[c:green]BUY Order[/c] Market Shortage: (1) Items 
 (370) x Prototype 20mm
Fulfill order for [c:lime]52,706 profit.[/c]
[c:green]BUY Order[/c] Market Demands: (2) Items 
 (293) x Advanced 20mm
 (254) x Basic Missile 
Fulfill order for [c:lime]74,793 profit.[/c]
[c:green]BUY Order[/c] Market Needs Goods: (1) Items 
 (27) x Prototype Missile 
Fulfill order for [c:lime]6,600 profit.[/c]
[c:green]BUY Order[/c] Market Demands: (2) Items 
 (76) x Prototype 20mm
 (68) x Basic Torpedo 
Fulfill order for [c:lime]17,790 profit.[/c]


<Station Market Items>
Visit station market to update prices.
Acidic Residue  532 - z12
Energy Bomb  176 - z5,804
Engine Component  776 - z871
Entertainment Electronics  15 - z543
Fasteners  254 - z14
Foodservice Equipment  42 - z5,787
Foodservice Products  78 - z3,430
Fuel Injector  422 - z2,064
Gaming Devices  84 - z1,724
Generic Ion Beam  87 - z1,729
Generic Missile Launcher (Doc)  314 - z9,245
Generic Torpedo Launcher (Doc)  306 - z8,525
Goldyte  12 - z68
Gourmet Food Rations  82 - z347
Gradeon Ore  657 - z9
Gravitational Emitter  200 - z2,285
Gummy Bears  40 - z1
Habitax Regulator  42 - z776,111
Ham Sandwich  39 - z23,162
Hand Tools  107 - z627
Hardened Glass Panels  760 - z472
Heavy Armor Bomb  116 - z74,555
Heavy Armor Repair  121 - z85,712
Heavy Combat Drone  86 - z146,922
Heavy Defense Drone  41 - z94,122
Heavy Energy Charge  57 - z41,638
Heavy Repair Drone  138 - z105,672
Heavy Salvage Drone  2 - z184,872
Heavy Shield Bomb  93 - z79,415
Heavy Shield Charge  50 - z69,958
Heavy Shield Recharger (Doc)  80 - z8,583,639
Hydrogen  45 - z3
Hydrox Filter  8 - z355,529
Hygiene Products  69 - z151
Hyperion Regulator  20 - z211,201
Improved Defense Drone (Doc)  66 - z91,270
Improved Energy Capacitor (Doc)  20 - z349,713
Improved Explosive Armor  25 - z29,522
Improved Filter  43 - z10,785
Improved Heavy Cannon  33 - z30,196
Improved Heavy Laser  56 - z25,345
Improved Mass Reduction  19 - z28,080
Improved Mining Drone  61 - z45,920
Improved Missile Launcher (Doc)  38 - z101,122
Improved Ore Harvester  58 - z54,901
Improved Ore Harvester (Doc)  26 - z166,707
Improved Railgun (Doc)  312 - z127,954
Improved Repair Drone  55 - z50,870
Improved Rocket Launcher  18 - z14,221
Improved Rocket Launcher (Doc)  464 - z147,666
Improved Salvage Drone  178 - z30,170
Improved Shield Generator  24 - z64,284
Interior Lighting  54 - z222
Iron Coring  753 - z7
Iron Coring Beams (Doc)  65 - z4,957
Iron Coring Pipes  240 - z583
Iron Coring Plates  548 - z371
Junk Part  817 - z22
Keypad  153 - z329
Kitchen Appliances  1 - z755
Large Combat Drone  15 - z116,044
Large Defense Drone  54 - z107,044
Large Heatsink  886 - z645
Large Heatsink (Doc)  50 - z5,571
Large Life Support Pack  25 - z13,970
Large Microchip  565 - z770
Large Processor  79 - z160
Large Repair Drone  68 - z88,044
Large Web Field  58 - z78,512
LED Lights  414 - z89
Light Armor Bomb  37 - z10,984
Light Armor Repair  25 - z2,484
Light Energy Charge  25 - z1,863
Light Shield Bomb  95 - z9,094
Light Shield Charge  25 - z2,173
Lokken Ore  813 - z30
Lubricant  691 - z12
Magnetic Quartz  1054 - z3
Magnetic Regulator  711 - z5,935
Mechanical Belts (Doc)  86 - z498
Mechanical Switch (Doc)  14 - z1,265
Mechanical Tools  63 - z7,567
Media Recordings  58 - z1,122
Medical Instruments  21 - z10,161
Medium Armor Repair  116 - z29,531
Medium Energy Charge  79 - z21,428
Medium Life Support Pack  22 - z16,207
Medium Mining Drone  169 - z12,907
Medium Repair Drone  158 - z10,357
Medium Salvage Drone  10 - z19,507
Medium Shield Bomb  135 - z33,222
Medium Shield Charge  48 - z26,469
Medium Shield Recharger  15 - z129,718
Medium Web Field  88 - z23,771
Metal Brackets  123 - z23
Metal Fragment  389 - z71
Metal Gears (Doc)  25 - z339
Metal Valve  531 - z28
Misc Hardware  432 - z734
Module Fragment  820 - z254
Motion Sensor  345 - z192
Musical Instruments  22 - z1,995
Neutron Pods  1256 - z31
Nitrogen  620 - z7
Noodles  3 - z9,805
Nuts And Bolts  496 - z8
Nuts And Bolts (Doc)  81 - z99
Office Furniture  53 - z530
Office Supplies  73 - z2,872
Oil  950 - z9
OmniCon Regulator  33 - z71,589
Optical Interface (Doc)  14 - z1,329
Ornament  59 - z7
Oxygen  201 - z2
Personal Clothing  63 - z1,265
Pizza  12 - z295,713
Plasite Ore  717 - z82
Plastix Strands  1137 - z4
Polymere  494 - z57
Premium Armor Exterior  40 - z314,505
Premium Cargo Expansion  52 - z166,088
Premium Engine Core (Doc)  23 - z1,268,124
Premium Explosive Armor  40 - z170,088
Premium Heavy Cannon (Doc)  64 - z974,628
Premium Light Turret  30 - z213,220
Premium Missile Launcher  53 - z264,255
Premium Plasma Cannon  5 - z406,214
Premium Railgun (Doc)  199 - z1,261,313
Premium Salvage Collector (Doc)  23 - z3,752,876
Premium Scan Emitter (Doc)  87 - z1,193,076
Premium Thruster  52 - z188,234
Pressure Sensor (Doc)  50 - z2,136
Protein Bar  25 - z6,583
Prototype 20mm  23 - z158
Prototype 60mm  50 - z264
Prototype Afterburner (Doc)  39 - z4,494,480
Prototype Cargo Expansion  32 - z248,175
Prototype ECM Range Lock  67 - z1,101,801
Prototype Heavy Cannon (Doc)  156 - z4,971,097
Prototype Heavy Laser  23 - z1,017,329
Prototype Impact Armor  76 - z492,175
Prototype Mass Reduction  54 - z257,761
Prototype Missile   44 - z819
Prototype Missile Launcher (Doc)  40 - z5,317,741
Prototype Ore Harvester  36 - z1,891,707
Prototype Ore Harvester (Doc)  4 - z6,727,396
Prototype Salvage Collector  9 - z1,282,453
Prototype Scan Booster  34 - z383,173
Prototype Targeting System  27 - z334,679
Prototype Thruster (Doc)  6 - z3,469,284
Prototype Torpedo   29 - z1,318
Prototype Torpedo Launcher  15 - z1,538,392
Prototype Warp Drive Fuel  706 - z11,238
Quazor Ore  466 - z23
Radar System (Doc)  51 - z63,115
Recon Scanner Drone  8 - z10,057
Regulator  721 - z165
Rubber Tubing  361 - z52
Salt Crystal  926 - z3
Scrap Part  886 - z39
Silicon  1149 - z6
Silveryte  146 - z101
Small Combat Drone  137 - z7,323
Small Defense Drone  94 - z5,583
Small Heatsink  133 - z255
Small Life Support Pack  66 - z3,430
Small LS Bomb  42 - z4,693
Small Microchip  285 - z666
Small Pump  681 - z266
Small Salvage Drone  46 - z7,143
Small Storage Tank  713 - z61
Small Tractor Drone  39 - z10,507
Small Web Field  87 - z7,124
SolarClean Filter  37 - z211,201
Spaghetti  26 - z468,237
Sporting Equipment  79 - z2,239
Spotlight  84 - z12,815
Spotlight (Doc)  54 - z52,523
Steelium  1261 - z45
Steelium Beam  372 - z9
Steelium Plates  607 - z655
Synth Filter  5 - z142,516
Temperature Genie  20 - z24,020
Textile Fabrics  22 - z1,686
Thermal Controller  24 - z8,613
Thermal Generex  29 - z80,475
Thermal Sensor  726 - z97
Thermex Controller  29 - z355,529
Titan Combat Drone  176 - z152,609
Titan Repair Drone  10 - z257,609
Titanyte  1298 - z70
Titanyte Pipes  746 - z758
Titanyte Pipes (Doc)  52 - z7,339
Titanyte Plates  467 - z755
Titanyte Plates (Doc)  62 - z5,968
Torim Ore  170 - z47
Tractor Beam  53 - z8,966
Tractor Beam (Doc)  53 - z65,831
Transport Units  28 - z4,910
Undamaged Part  92 - z74
Uranium Core  11 - z1,033
UV Filter  6 - z67,650
Waste Burner  38 - z45,036
Waste Processor  41 - z22,519
Water  1132 - z1
Weapons Component  246 - z380
Wrapped Box  1000 - z4
Xenox Ore  883 - z354


<Station University Skills>
Ship Shield Regeneration
Laser Energy Optimization
Market Distributor
Projectile Damage Calibration
Salvager Cycle Mechanics


<Station Missions>
[c:lime]SCAN[/c]
Locate and scan the <color='yellow'>Public Energy Generator</color> structure in <color='cyan'>Beacon Spita</color> and return to Quantex in <color='cyan'>Dellis Primeria</color>

[c:lime]ESCORT[/c]
A ship in Horizons in <color='cyan'>Gate of Alpharis</color> needs an escort to Oro Omniplex Center in <color='cyan'>Merces Academy</color>

[c:lime]KILL RECOVER[/c]
Kill and Rob <color='yellow'><i>Engineer Aokee Borjoh</i></color> in <color='cyan'>Bitcola</color> and return to Horizons in <color='cyan'>Gate of Alpharis</color> with <color='yellow'>1</color> of <color='yellow'>Advanced Impact Armor</color>

[c:lime]SCAN[/c]
Find the target <color='yellow'>Community Farming Center</color> structure in <color='cyan'>Equalias Val</color>, scan, and return to ValueStar in <color='cyan'>Hunu</color>

[c:lime]SCAN[/c]
Locate and scan <color='yellow'><i>Liaison Gofou Youro</i></color> in <color='cyan'>Chaferea</color> and return to Quantex in <color='cyan'>Dellis Primeria</color>

[c:lime]SALVAGE[/c]
Salvage <color='yellow'>Special Undamaged Part</color> in <color='cyan'>Equalias Val</color> and return with <color='yellow'>97</color> to Acrondia Hub in <color='cyan'>Temple Gates</color>

[c:lime]KILL[/c]
Assassinate in-experienced <color='yellow'><i>Commander Miwen Zancae</i></color> in <color='cyan'>Void Starcross</color> and return to The Dunes in <color='cyan'>The Dunes of Caliph</color>

[c:lime]RECOVER[/c]
Recover a light quantity of <color='yellow'>7</color> <color='yellow'>Assembly Tools</color> in <color='cyan'>Dorando Corridor</color>, and return to Crystalis Broadcasting in <color='cyan'>Jermicus</color>

[c:lime]FABRICATE[/c]
Manufacture <color='yellow'>7</color> <color='yellow'>Lidar Systems</color> at Lammassu Financial station fabricator in <color='cyan'>Void Starcross</color>

[c:lime]KILL[/c]
Hunt down a low level <color='yellow'><i>Doctor Xigore Oubue</i></color> in <color='cyan'>Dellis Primeria</color> and return to Lammassu Financial in <color='cyan'>Void Starcross</color>

[c:lime]DIALOG[/c]
Detain <color='yellow'><i>Colonel Paxen Feyoucor</i></color> in <color='cyan'>Lins</color> and escort them to Gemini Mining in <color='cyan'>Jala</color>

[c:lime]SCAN[/c]
Recon <color='yellow'><i>Privateer Taxon Jagyousi</i></color> in <color='cyan'>Lins</color> and return to Horizons in <color='cyan'>Gate of Alpharis</color>

[c:lime]SALVAGE[/c]
Salvage <color='yellow'>Special Engine Component</color> in <color='cyan'>Merces Academy</color> and return with <color='yellow'>67</color> to Starbase Corporate Center in <color='cyan'>Void Starcross</color>

[c:lime]FABRICATE[/c]
Produce a medium shipment of <color='yellow'>13</color> <color='yellow'>Small Pumps</color> in <color='cyan'>Entropy</color> at the Rendo Labs station fabricator

[c:lime]TRANSPORT[/c]
Head to Astrox Security Patrol in <color='cyan'>Felishar</color>, pick up <color='yellow'>183</color> <color='yellow'>Thermal Insulations</color> for a light shipment to Gunstellar in <color='cyan'>Adrenal</color>



<Station Ships>
RF-1 Assimilator / Escort    (Recon)
SC-1 Bishop / Utility    (Support)
BC-1 Alpharis Predator / Escort    (Battle)
BE-1 Gabriel / Escort    (Battle)
BE-1 Gabriel / Escort    (Battle)
