[s:30][c:yellow]Astrox Security Patrol[/c][/s]
Headquarters
Akweliile Kinastop
Law
[c:lime]Dock fee 100[/c]
Timestamp: 25283.74
<Station Services>

[s:20][c:cyan]STATION ECONOMY[/c][/s]
[c:lime]SUPPLY[/c]
Basic 20mm
Advanced 20mm
Prototype 20mm
Basic 60mm
Advanced 60mm
Prototype 60mm
Basic Missile 
Advanced Missile
Prototype Missile 
Basic Torpedo 
Advanced Torpedo 
Prototype Torpedo 
[c:orange]DEMAND[/c]
Candy Cane
Ornament
Wrapped Box
Active Scanner

[s:20][c:cyan]SERVICES[/c][/s]
Lounge
Market
Refinery
Ship Garage
University
Ship Hangar
Storage
Fabricator
Mission Contracts
Offices


<Station Market Orders>
[c:red]SELL Order[/c] Market Stock: (2) Items 
 (90) x Prototype Missile 
 (202) x Prototype 60mm
Buy items for [c:lime]64,339 discount.[/c]
[c:red]SELL Order[/c] Market Production: (2) Items 
 (243) x Basic 60mm
 (489) x Advanced Missile
Buy items for [c:lime]85,203 discount.[/c]
[c:red]SELL Order[/c] Market Surplus: (3) Items 
 (325) x Prototype 20mm
 (253) x Basic Torpedo 
 (379) x Advanced Missile
Buy items for [c:lime]108,498 discount.[/c]
[c:green]BUY Order[/c] Market Demands: (2) Items 
 (173) x Wrapped Box
 (161) x Candy Cane
Fulfill order for [c:lime]700 profit.[/c]
[c:green]BUY Order[/c] Market Needs Goods: (3) Items 
 (100) x Ornament
 (109) x Wrapped Box
 (117) x Ornament
Fulfill order for [c:lime]2,678 profit.[/c]


<Station Market Items>
Visit station market to update prices.
Adamyte Ore  231 - z7
Lokken Ore  52 - z40
Magnetic Quartz  487 - z3
Mechanical Belts  311 - z68
Mechanical Switch  10 - z60
Media Recordings  22 - z1,845
Medium Combat Drone  73 - z14,086
Medium Repair Drone  42 - z18,436
Medium Salvage Drone  36 - z13,636
Medium Shield Bomb  77 - z22,655
Metal Brackets  212 - z28
Metal Fragment  62 - z120
Metal Valve  33 - z23
Micro Leech Drone  21 - z10,336
Motion Sensor  257 - z158
Musical Instruments  25 - z2,068
Nitrogen  17 - z7
Noodles  13 - z15,669
Nuts And Bolts  196 - z7
Office Furniture  29 - z803
Oil  304 - z15
Optical Interface  16 - z127
Ornament  6 - z8
Oxygen  530 - z2
Plastix Strands  258 - z7
Premium Afterburner  30 - z193,450
Premium Drone Command Bay  14 - z239,700
Premium Energy Generator  32 - z268,590
Premium Mass Reduction  13 - z139,668
Premium Railgun (Doc)  62 - z1,763,047
Premium Shield Booster  35 - z191,813
Premium Shield Generator  19 - z271,958
Premium Shield Generator (Doc)  33 - z1,967,490
Premium Thruster  20 - z157,763
Protein Bar  9 - z7,413
Prototype 20mm  43 - z87
Prototype 60mm  19 - z142
Prototype 60mm (Doc)  39 - z292,266
Prototype Heavy Cannon (Doc)  131 - z4,905,379
Prototype Missile   74 - z484
Prototype Rocket Launcher (Doc)  113 - z3,776,652
Prototype Thruster (Doc)  34 - z4,350,780
Prototype Torpedo   143 - z1,015
Quazor Ore  281 - z17
Recon Scanner Drone  75 - z12,886
Salt Crystal  559 - z2
Scrap Part  352 - z27
Sensor Array (Doc)  22 - z30,718
Servo Controls (Doc)  2 - z89,746
Silicon  128 - z6
Small Heatsink  221 - z173
Small Life Support Pack  43 - z3,795
Small Mining Drone  7 - z8,034
Small Motor  73 - z356
Small Pump  92 - z287
Sporting Equipment  28 - z1,144
Spotlight  10 - z7,130
Steelium Beam  167 - z14
Steelium Beam (Doc)  24 - z108
Steelium Pipes  316 - z22
Temperature Genie  9 - z26,563
Thermal Controller  13 - z4,193
Titan Defense Drone  53 - z237,266
Titan Mining Drone  25 - z299,766
Titan Salvage Drone  49 - z314,766
Tractor Beam  21 - z10,487
Undamaged Part  137 - z53
Waste Burner  15 - z27,352
Waste Processor  14 - z19,703
Water  461 - z2
Wrapped Box  15 - z17


<Station University Skills>
Miner Cycle Mechanics
Ship Gyroscopic Control
Ship Afterburner Systems
Ship Shield Regeneration
Refinery Mechanic


<Station Missions>
[c:lime]TRANSPORT[/c]
Head to Rendo Labs in <color='cyan'>Entropy</color>, pick up <color='yellow'>32</color> <color='yellow'>Micro Computers</color> for a light shipment to OmniTrust in <color='cyan'>Ponze</color>

[c:lime]COLLECT[/c]
Collect a light shipment of <color='yellow'>Large Motors</color> and return to Biomate University in <color='cyan'>Void Starcross</color>

[c:lime]HARVEST[/c]
Excavate special <color='yellow'>Special Adamyte Ore</color> in <color='cyan'>Lins</color> and return with <color='yellow'>117</color> to Lammassu Financial in <color='cyan'>Void Starcross</color>

[c:lime]TRANSPORT[/c]
Head to Crystalis Broadcasting in <color='cyan'>Jermicus</color>, pick up <color='yellow'>4</color> <color='yellow'>Improved Explosive Armors</color> for a light shipment to Oak Industries in <color='cyan'>Dorando Corridor</color>



<Station Ships>
EE-1 Mining Shuttle / Shuttle    (Excavation)
SCA-1 Demi / Battlecruiser    (Support)
SE-1 Prophet / Frigate    (Assault)
