// PLAYER OPTIONS FILE FOR ASTROX IMPERIUM

//GRAPHICS OPTIONS
OPTION_ui_scale;<UI_SCALE>
WORLD_OPTIONS_merc_faction_hire_modifier;1.0
WORLD_OPTIONS_merc_takedmg_modifier;1.0
WORLD_OPTIONS_raider_spawn_timer;500.0
WORLD_OPTIONS_raider_speed;1.0
WORLD_OPTIONS_raider_attack;1.0
WORLD_OPTIONS_raider_defense;1.10
WORLD_OPTIONS_raider_takedmg_modifier;1.0
WORLD_OPTIONS_dock_fee_modifier;1.0
WORLD_OPTIONS_gate_fee_modifier;1.0
WORLD_OPTIONS_economic_gen_rate;1.0
WORLD_OPTIONS_fraction_drop_per_abort;0.025
WORLD_OPTIONS_station_refinery_speed;1.0
WORLD_OPTIONS_station_fabricator_speed;1.0
WORLD_OPTIONS_station_university_speed;1.0
WORLD_OPTIONS_ship_shield_recharge_rate;1.0
WORLD_OPTIONS_ship_energy_recharge_rate;1.0
WORLD_OPTIONS_ship_takedmg_modifier;1.0
WORLD_OPTIONS_npc_takedmg_modifier;1.0
WORLD_OPTIONS_turret_accuracy_modifier;1.0
WORLD_OPTIONS_critical_hit_modifier;2.0
WORLD_OPTIONS_critical_hit_chance;2.0
WORLD_OPTIONS_merc_level_progression;0.95
WORLD_OPTIONS_interior_walk_speed;1.0
WORLD_OPTIONS_afterburner_drain_rate;20
WORLD_OPTIONS_show_unexplored_sectors;false
WORLD_OPTIONS_max_officer_table;0
WORLD_OPTIONS_galaxy_map_max_distance;20000.0
WORLD_OPTIONS_galaxy_map_auto;true
WORLD_OPTIONS_target_framerate;60
WORLD_OPTIONS_follow_cam;false
WORLD_OPTIONS_wormhole_chance;0.5
WORLD_OPTIONS_gate_warptime_modifier;1.0
WORLD_OPTIONS_drive_warptime_modifier;1.5
WORLD_OPTIONS_gate_charge_modifier;1.0
WORLD_OPTIONS_drive_charge_modifier;2.5
WORLD_OPTIONS_warp_wait_time_max;120.0
WORLD_OPTIONS_warp_charge_time_max;12.0
WORLD_OPTIONS_warp_fx;true
WORLD_OPTIONS_hull_ls_drain;True
WORLD_OPTIONS_ship_scale;1.0
WORLD_OPTIONS_ship_scale_speed;1.0

// HOTKEYS
KEY_OPTIONS_forward;W
KEY_OPTIONS_left;A
KEY_OPTIONS_right;D
KEY_OPTIONS_reverse;S
KEY_OPTIONS_lshift;LeftShift
KEY_OPTIONS_action;C
KEY_OPTIONS_clear_all_targets;H
KEY_OPTIONS_autopilot_toggle;E
KEY_OPTIONS_autotarget_toggle;Y
KEY_OPTIONS_autodock_toggle;U
KEY_OPTIONS_autowarp_toggle;I
KEY_OPTIONS_autoscan_toggle;O
KEY_OPTIONS_options_toggle;Escape
KEY_OPTIONS_pilot_toggle;L
KEY_OPTIONS_journal_toggle;N
KEY_OPTIONS_map_toggle;M
KEY_OPTIONS_gps_toggle;G
KEY_OPTIONS_auto_afterburner;CapsLock
KEY_OPTIONS_system_toggle;V
KEY_OPTIONS_cargo_toggle;Tab
KEY_OPTIONS_targeting_toggle;T
KEY_OPTIONS_stats_toggle;Z
KEY_OPTIONS_autopilot_panel_toggle;R
KEY_OPTIONS_camera_slowzoom_in;Equals
KEY_OPTIONS_camera_slowzoom_out;Minus
KEY_OPTIONS_scan;Q
KEY_OPTIONS_alt_camera_view;LeftAlt
KEY_OPTIONS_tactical_overlay_toggle;Space
KEY_OPTIONS_fleet_toggle;F
KEY_OPTIONS_ship_toggle;J
KEY_OPTIONS_ls_toggle;K
KEY_OPTIONS_camera_fov;Keypad7
KEY_OPTIONS_camera_lock;Keypad8
KEY_OPTIONS_camera_release;Keypad5
KEY_OPTIONS_camera_ui;Keypad9
KEY_OPTIONS_allmodules_on;Z
KEY_OPTIONS_allmodules_off;X
KEY_OPTIONS_friendly_fire;F
KEY_OPTIONS_allmodules_target;C
KEY_OPTIONS_drones_launch;B
KEY_OPTIONS_drones_dock;V
KEY_OPTIONS_lcontrol;LeftControl
KEY_OPTIONS_lalt;LeftAlt
KEY_OPTIONS_lbracket;LeftBracket
KEY_OPTIONS_rbracket;RightBracket
KEY_OPTIONS_toggle_panels;Backslash
KEY_OPTIONS_sort_targets;Period
KEY_OPTIONS_drone_group_1;F5
KEY_OPTIONS_drone_group_2;F6
KEY_OPTIONS_drone_group_3;F7
KEY_OPTIONS_drone_group_4;F8
KEY_OPTIONS_drone_group_5;F9
KEY_OPTIONS_drone_group_6;F10
