// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Holosynth Industries
STATION;type;Scientific Analysis Facility
STATION;owner;Enolindo Yelbo
STATION;faction;Alpha
STATION;material;station_material_Alpha.png
STATION;color;1 , .46, .19, 1
STATION;level;5
STATION;icon;ad_image_5.png
STATION;filename;sector_17_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;4-4-1-4-6-3-5-0-2-5-3-4-0-4-9-2-2-1-7-5-2-2-90
STATION;interior_seed;3-1-30-5
// SERVICES;servicename;bool
SERVICES;lounge;False
SERVICES;market;True
SERVICES;refinery;False
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;False
SERVICES;contracts;True
SERVICES;admin;True

// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Spa Treatment;0.15,0.0;18500;Rest and Relaxation;entertain_spa.png;Send your crew to the spa, let them rest and relax for awhile. 15% Morale Boost.
ENTERTAINMENT;Evening of Drinks;0.05,0.0;1500;Alcholic Drinks;entertain_bar.png;Pick up the tab for an evening of drinks for your crew, they earned it. 5% Morale Boost.
ENTERTAINMENT;Deathmatch League;0.15,0.08;68500;Sport Fighting Event;entertain_fight.png;Tickets to the Deathmatch League, where your entire fleet will enjoy a evening of bloodsport. 15% Morale , 8% Loyalty bonus.
ENTERTAINMENT;StarLuck Casino;0.05,0.05;24000;Gambling;entertain_casino.png;A weekend package to the local casino for your entire crew, complete with pocket money. 5% Morale Boost, 5% Loyalty Boost
ENTERTAINMENT;BioSynth Wildlife Park;0.05,0.05;26000;Rest and Relaxation;entertain_park.png;A weekend package to the local wildlife BioSynth park for your entire crew, included petting zoo. 5% Morale Boost, 5% Loyalty Boost
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;5;1.52;npc_ship_data_(recon_escort_1).txt
MERC;2;1.93;npc_ship_data_(battle_shuttle_1).txt
MERC;4;1.80;npc_ship_data_(support_shuttle_1).txt
MERC;3;1.16;npc_ship_data_(battle_frigate_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
BUYORDER;Market Demands: (1) Items ;2x240;10952;76479.86
ITEM;729;56;0.76;14149.7
ITEM;693;80;1.16;12290.33
ITEM;744;73;1.19;12290.33
ITEM;663;3;0.85;12290.33
ITEM;623;4;0.93;40063.73
ITEM;640;5;1.13;40063.73
ITEM;601;19;0.87;40063.73
ITEM;643;3;0.59;40063.73
ITEM;644;15;0.77;40063.73
ITEM;624;21;0.76;40063.73
ITEM;620;12;0.76;40063.73
ITEM;602;24;0.77;40063.73
ITEM;641;15;0.91;40063.73
ITEM;664;16;1.09;40063.73
ITEM;600;20;0.95;4093.829
ITEM;661;6;1.09;4093.829
ITEM;622;22;0.84;4093.829
ITEM;642;9;0.87;4093.829
ITEM;621;24;0.65;4093.829
ITEM;603;24;0.87;4093.829
ITEM;660;3;1.14;4093.829
ITEM;662;9;0.62;4093.829
ITEM;604;12;1.28;4093.829
ITEM;305;47;0.52;4093.829
ITEM;313;21;1.18;4093.829
ITEM;303;948;0.97;4093.829
ITEM;325;40;0.55;9.532982
ITEM;405;46;1.07;28.94608
ITEM;404;12;1.11;28.94608
ITEM;311;25;1.07;28.94608
ITEM;310;11;1.00;49.22655
ITEM;407;9;0.61;49.22655
ITEM;403;10;1.08;49.22655
ITEM;321;6;0.72;49.22655
ITEM;304;31;0.65;49.22655
ITEM;300;37;1.10;49.22655
ITEM;322;34;1.04;49.22655
ITEM;330;1;0.62;49.22655
ITEM;301;755;0.99;49.22655
ITEM;333;21;1.08;49.22655
ITEM;332;44;0.70;49.22655
ITEM;408;951;0.92;49.22655
ITEM;320;924;0.61;49.22655
ITEM;406;896;0.72;49.22655
ITEM;323;37;1.16;49.22655
ITEM;331;581;0.58;49.22655
ITEM;22;187;0.63;49.22655
ITEM;24;195;0.62;49.22655
ITEM;4;5217;1.09;112.0332
ITEM;20;37;0.56;112.0332
ITEM;1;455;1.07;18.72013
ITEM;2;333;0.83;18.72013
ITEM;3;20;0.74;18.72013
ITEM;21;3006;1.16;18.72013
ITEM;23;233;1.14;704.4682
ITEM;5;474;0.93;704.4682
ITEM;103;683;0.59;704.4682
ITEM;109;523;1.11;704.4682
ITEM;118;851;0.46;704.4682
ITEM;105;249;0.76;704.4682
ITEM;104;239;1.16;704.4682
ITEM;108;408;1.07;704.4682
ITEM;114;661;1.01;704.4682
ITEM;110;254;1.09;704.4682
ITEM;100;198;0.75;704.4682
ITEM;113;633;0.65;3.174833
ITEM;2000;221;0.73;10.51244
ITEM;101;834;0.70;10.51244
ITEM;102;424;1.21;10.51244
ITEM;107;351;0.60;10.51244
ITEM;106;511;1.11;10.51244
ITEM;204;282;0.56;10.51244
ITEM;209;275;1.02;10.51244
ITEM;155;67;1.17;10.51244
ITEM;153;105;0.84;10.51244
ITEM;2004;149;0.83;10.51244
ITEM;154;259;0.78;10.51244
ITEM;158;449;0.58;10.51244
ITEM;170;21;1.17;10.51244
ITEM;161;248;0.64;10.51244
ITEM;214;54;0.85;10.51244
ITEM;202;487;1.04;75.59019
ITEM;2005;402;0.77;75.59019
ITEM;160;499;0.61;12.03569
ITEM;2001;395;1.17;124.6958
ITEM;2002;407;0.54;124.6958
ITEM;201;251;0.72;44.75892
ITEM;2008;170;0.75;44.75892
ITEM;2003;25;0.74;44.75892
ITEM;2006;172;0.81;44.75892
ITEM;2009;96;0.61;44.75892
ITEM;151;296;0.95;44.75892
ITEM;2007;497;0.76;44.75892
ITEM;218;2;0.59;44.75892
ITEM;217;344;0.93;44.75892
ITEM;159;260;1.05;44.75892
ITEM;215;98;1.11;44.75892
ITEM;150;71;0.94;44.75892
ITEM;203;149;0.75;44.75892
ITEM;2210;45;0.60;44.75892
ITEM;2171;34;1.01;44.75892
ITEM;2214;37;0.52;214348.8
ITEM;2458;30;1.11;214348.8
ITEM;2429;12;0.71;214348.8
ITEM;2203;7;1.19;214348.8
ITEM;2462;11;0.93;214348.8
ITEM;2303;2;1.16;5058664
ITEM;2406;41;0.74;366.7072
ITEM;2327;32;0.64;484664.7
ITEM;2438;41;0.64;158.7796
ITEM;2435;39;0.49;239.2623
ITEM;2459;3;1.15;239.2623
ITEM;2397;51;1.10;239.2623
ITEM;2441;12;0.70;239.2623
ITEM;2333;43;0.79;2874924
ITEM;2223;36;1.10;2874924
ITEM;2253;39;1.07;2874924
ITEM;2289;38;1.18;2874924
ITEM;2465;38;1.08;2874924
ITEM;2291;16;1.06;2874924
ITEM;2162;36;0.90;2874924
ITEM;2326;41;0.98;2874924
ITEM;2455;11;0.69;2874924
ITEM;2468;9;0.52;2874924
ITEM;2386;2;0.91;2874924
</MARKET>
// SKILLS;Skill_id;Price_modifier
<SKILLS>
SKILL;226;1.00
SKILL;230;0.66
SKILL;32;1.44
SKILL;43;1.59
</SKILLS>
// MISSION , dbid , timer, id, data, title, factionid
<MISSIONS>
</MISSIONS>
// SHIP HANGAR;count;Price_modifier;Ship_filename
<HANGAR>
SHIP;1;1.06;ship_data_(pirate_carrier_1).txt
SHIP;2;0.93;ship_data_(support_escort_1).txt
SHIP;3;0.93;ship_data_(battle_cruiser_1).txt
SHIP;4;1.05;ship_data_(recon_escort_1).txt
SHIP;5;0.93;ship_data_(transport_frigate_1).txt
SHIP;6;0.91;ship_data_(pirate_shuttle_1).txt
SHIP;7;1.01;ship_data_(support_utility_1).txt
</HANGAR>
// STORAGE;item_id;Qty;0
<STORAGE>
