// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Cosmic Jay's
STATION;type;Enterprise Hub
STATION;owner;Gillalas Jalisjidyan
STATION;faction;Alpha
STATION;material;station_material_Alpha.png
STATION;color;1 , .46, .19, 1
STATION;level;2
STATION;icon;ad_image_19.png
STATION;filename;sector_26_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;3-8-1-1-3-1-7-0-4-7-0-1-0-2-1-1-4-90
STATION;interior_seed;4-1-30-3
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;False
SERVICES;garage;False
SERVICES;university;False
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;True
SERVICES;admin;True

// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Karaoke Night;0.15,0.05;15000;Musical Entertainment;entertain_show.png;Your fleet is treated to a night of karaoke at the local music tavern. 15% Morale , 5% Loyalty bonus.
ENTERTAINMENT;StarLuck Casino;0.05,0.05;24000;Gambling;entertain_casino.png;A weekend package to the local casino for your entire crew, complete with pocket money. 5% Morale Boost, 5% Loyalty Boost
ENTERTAINMENT;Evening of Drinks;0.05,0.0;1500;Alcholic Drinks;entertain_bar.png;Pick up the tab for an evening of drinks for your crew, they earned it. 5% Morale Boost.
ENTERTAINMENT;Astrox Opera House;0.26,0.07;51000;Musical Entertainment;entertain_opera.png;Provide a private opera concert for your entire crew at the famous 'Astrox Opera House', drinks and food included. 26% Morale , 7% Loyalty bonus.
ENTERTAINMENT;Bottle of Whiskey;0.025,0.0;850;Whiskey;entertain_bar.png;Purchase a bottle of whiskey for each of your fleet members. 2.5% Morale bonus.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;7;1.67;npc_ship_data_(recon_utility_1).txt
MERC;8;1.93;npc_ship_data_(pirate_frigate_1).txt
MERC;3;0.77;npc_ship_data_(pirate_carrier_1).txt
MERC;2;1.50;npc_ship_data_(transport_shuttle_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
BUYORDER;Purchase Request (1) Items ;155x22;686;102832.50
ITEM;751;4;0.80;7683.453
ITEM;752;16;1.14;7683.453
ITEM;726;19;1.21;7683.453
ITEM;678;29;0.80;7683.453
ITEM;746;5;1.11;7683.453
ITEM;727;20;1.02;13288.78
ITEM;723;16;0.64;13288.78
ITEM;753;10;0.84;13288.78
ITEM;679;36;0.96;13288.78
ITEM;759;0;0.51;13288.78
ITEM;722;7;1.08;13288.78
ITEM;702;24;1.17;13288.78
ITEM;738;16;0.78;13288.78
ITEM;600;5;1.15;13288.78
ITEM;620;0;0.84;13288.78
ITEM;661;9;0.57;13288.78
ITEM;660;4;1.17;13288.78
ITEM;601;1;1.04;13288.78
ITEM;621;2;0.93;13288.78
ITEM;640;9;1.18;13288.78
ITEM;641;5;1.00;13288.78
ITEM;302;926;0.76;13288.78
ITEM;408;11;1.02;13288.78
ITEM;405;6;0.85;13288.78
ITEM;301;265;1.15;13288.78
ITEM;304;1;1.12;13288.78
ITEM;303;68;0.65;13288.78
ITEM;403;0;0.65;13288.78
ITEM;300;223;0.97;13288.78
ITEM;406;19;1.08;13288.78
ITEM;404;0;0.55;10.4085
ITEM;407;2;1.12;428.4432
ITEM;305;773;1.22;428.4432
ITEM;1;101;0.67;10.72075
ITEM;21;32;0.61;10.72075
ITEM;20;151;0.85;10.72075
ITEM;2;153;1.19;10.72075
ITEM;104;228;1.23;10.72075
ITEM;103;0;0.87;10.72075
ITEM;102;31;1.29;2.886284
ITEM;101;63;0.55;2.886284
ITEM;100;108;1.09;0.479747
ITEM;114;8;1.12;0.479747
ITEM;157;0;0.67;0.479747
ITEM;150;322;0.90;0.479747
ITEM;167;87;0.67;0.479747
ITEM;162;13;0.77;0.479747
ITEM;151;46;1.24;13.92869
ITEM;159;30;0.95;47.20025
ITEM;155;98;0.85;47.20025
ITEM;153;97;0.68;47.20025
ITEM;161;173;0.79;47.20025
ITEM;164;104;0.56;47.20025
ITEM;169;139;0.73;47.20025
ITEM;156;198;0.76;47.20025
ITEM;163;15;1.21;47.20025
ITEM;158;0;1.00;47.20025
ITEM;154;72;0.72;47.20025
ITEM;165;48;0.75;47.20025
ITEM;152;0;0.81;8.379786
ITEM;168;26;1.01;8.379786
ITEM;2416;12;0.55;8.379786
ITEM;2556;0;1.17;75068.74
ITEM;2344;3;1.15;75068.74
ITEM;2120;16;0.72;75068.74
ITEM;2101;13;1.20;75068.74
ITEM;2130;9;1.03;75068.74
ITEM;2551;12;1.10;75068.74
ITEM;2440;9;0.56;239.1269
ITEM;2345;13;0.51;239.1269
ITEM;2269;3;0.71;239.1269
ITEM;2210;14;0.55;239.1269
ITEM;2241;2;1.06;239.1269
ITEM;2253;11;0.98;239.1269
ITEM;2361;6;1.04;239.1269
ITEM;2140;6;0.60;239.1269
ITEM;2430;19;1.03;239.1269
ITEM;2190;12;0.61;239.1269
</MARKET>
// SKILLS;Skill_id;Price_modifier
<SKILLS>
SKILL;25;1.35
SKILL;72;1.92
SKILL;77;1.02
SKILL;230;1.20
</SKILLS>
// MISSION , dbid , timer, id, data, title, factionid
<MISSIONS>
</MISSIONS>
// SHIP HANGAR;count;Price_modifier;Ship_filename
<HANGAR>
SHIP;1;1.455899;ship_data_(excavation_frigate_2).txt
SHIP;1;1.02;ship_data_(battle_escort_1).txt
SHIP;2;0.95;ship_data_(battle_escort_1).txt
SHIP;3;1.01;ship_data_(support_utility_1).txt
SHIP;4;1.10;ship_data_(excavation_utility_1).txt
SHIP;5;1.00;ship_data_(transport_shuttle_1).txt
SHIP;6;0.93;ship_data_(support_escort_1).txt
</HANGAR>
// STORAGE;item_id;Qty;0
<STORAGE>
