// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;1
STATION;name;Proctors Center
STATION;type;Patrol Annex Station
STATION;owner;Kandace
STATION;faction;Law
STATION;material;station_material_Law.png
STATION;color; 0.0 , 0.0 , 1.0 , 1.0
STATION;level;10
STATION;icon;proctors.png
STATION;filename;sector_0_station_5.txt
STATION;max_hp;25000
STATION;dockfee;25
STATION;lease;40
STATION;seed;3-4-0-1-2-0-2-1-2-0-0-4-1-3-2-1-2-1-1-2-1-3-0
STATION;interior_seed;3-1-15-1
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;44974.16
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;False
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;True
SERVICES;admin;True
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;BioSynth Wildlife Park;0.05,0.05;26000;Rest and Relaxation;entertain_park.png;A weekend package to the local wildlife BioSynth park for your entire crew, included petting zoo. 5% Morale Boost, 5% Loyalty Boost
ENTERTAINMENT;Live Music Concert;0.20,0.07;25000;Musical Entertainment;entertain_show.png;Your crew is treated to an 'all expenses paid' night at a music venue of their choosing. 20% Morale , 7% Loyalty bonus.
ENTERTAINMENT;Astrox Opera House;0.26,0.07;51000;Musical Entertainment;entertain_opera.png;Provide a private opera concert for your entire crew at the famous 'Astrox Opera House', drinks and food included. 26% Morale , 7% Loyalty bonus.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;1;1.63;npc_ship_data_(battle_shuttle_1).txt
MERC;3;1.63;npc_ship_data_(battle_escort_1).txt
MERC;9;1.93;npc_ship_data_(battle_utility_1).txt
MERC;12;1.23;npc_ship_data_(battle_utility_2).txt
MERC;15;1.47;npc_ship_data_(battle_frigate_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
BUYORDER;Market Shortage: (3) Items ;1x504,1x190,2x686;45808;140838.70
ITEM;1580;87;0.72;3339.224
ITEM;620;59;1.03;3339.224
ITEM;312;3273;0.74;47.63796
ITEM;2353;108;0.41;13429.18
ITEM;1540;109;0.93;13429.18
ITEM;2284;46;0.53;13429.18
ITEM;60;6354;0.84;36.80363
ITEM;2359;72;0.68;26687.37
ITEM;1702;48;1.09;2987.449
ITEM;1700;117;0.97;7200.74
ITEM;1615;52;0.76;1585.086
ITEM;2324;85;0.52;11994.3
ITEM;201;862;0.61;38.65596
ITEM;2382;46;0.59;2824402
ITEM;2056;1328;0.75;3161.083
ITEM;208;1161;0.63;74.90876
ITEM;8;16583;0.94;623.0996
ITEM;115;2162;0.37;7.219058
ITEM;664;15;0.41;38907.8
ITEM;665;22;0.52;98418.63
ITEM;668;20;0.97;684558.4
ITEM;1110;90;1.05;944.3182
ITEM;1119;75;0.77;944.3182
ITEM;1111;81;0.94;1588.779
ITEM;2178;86;0.63;1267871
ITEM;727;161;0.44;4952.273
ITEM;311;3509;0.45;4952.273
ITEM;729;183;0.49;5735.339
ITEM;116;1520;0.71;64.00969
ITEM;109;1521;1.07;4.891313
ITEM;353;3450;0.55;4.891313
ITEM;406;1730;0.90;4.891313
ITEM;403;3602;0.70;13.62689
ITEM;2452;33;0.45;477.1613
ITEM;101;2062;0.79;0.5098865
ITEM;168;1517;0.70;32.46078
ITEM;623;63;0.47;18418.85
ITEM;606;25;1.01;353771
ITEM;110;1833;0.66;353771
ITEM;605;59;0.29;43789.25
ITEM;603;60;0.61;25273.03
ITEM;325;3979;0.49;8.812272
ITEM;404;3236;0.62;12.96445
ITEM;200;1220;0.83;44.65985
ITEM;300;3379;0.99;54.90225
ITEM;1780;126;0.56;4469.135
ITEM;301;3455;0.58;66.13869
ITEM;2030;1388;0.71;66.13869
ITEM;332;4593;0.49;26.61587
ITEM;2031;1068;0.46;124.4215
ITEM;28;18623;0.71;7025.545
ITEM;2651;8711;0.58;310.4283
ITEM;666;63;0.91;312678.1
ITEM;661;28;1.09;9811.801
ITEM;108;1152;1.01;13.76281
ITEM;2129;9749;1.00;106.96
ITEM;63;4793;1.04;186.5323
ITEM;628;41;0.50;312219
ITEM;660;40;0.81;312219
ITEM;112;1208;0.79;19.20186
ITEM;2470;44;0.84;1889.587
ITEM;7;14936;0.97;400.0518
ITEM;643;56;1.14;400.0518
ITEM;2501;107;0.43;3559.609
ITEM;2037;996;1.06;1887.327
ITEM;11;18526;0.68;54.41538
ITEM;24;17288;0.95;1397.745
ITEM;738;106;0.90;1397.745
ITEM;702;267;0.90;3974.655
ITEM;27;18366;0.77;3974.655
ITEM;322;3389;1.00;3974.655
ITEM;2111;10084;0.81;29.59543
ITEM;2114;8548;0.51;29.06806
ITEM;204;762;0.67;58.76885
ITEM;1120;103;0.41;430.7448
ITEM;1129;103;0.92;541875.8
ITEM;2187;78;0.99;1759098
ITEM;1128;116;0.58;1759098
ITEM;343;2350;0.64;73.11897
ITEM;341;4219;1.01;69.88865
ITEM;2039;420;1.05;3323.046
ITEM;2112;10767;0.37;13.24336
ITEM;2401;34;0.57;13.24336
ITEM;669;32;0.70;732675.8
ITEM;2040;955;0.49;732675.8
ITEM;62;8510;1.14;144.5574
ITEM;324;4445;0.98;44.46631
ITEM;735;38;0.67;1421186
ITEM;2006;885;1.01;1421186
ITEM;123;2458;0.45;53.58677
ITEM;313;3363;0.41;60.30346
ITEM;2;9105;0.96;29.86102
ITEM;604;41;0.34;29936.53
ITEM;405;2692;0.53;29936.53
ITEM;2042;480;0.45;263.9694
ITEM;648;61;0.83;575290.6
ITEM;602;25;1.04;16377.67
ITEM;2007;591;1.13;431.1141
ITEM;2473;86;0.95;4245.505
ITEM;681;186;0.99;128533.6
ITEM;743;217;0.45;56094.22
ITEM;748;114;0.76;107109.8
ITEM;731;68;1.08;160078.3
ITEM;753;131;0.98;160078.3
ITEM;671;144;0.88;216322.8
ITEM;1462;112;1.01;1315515
ITEM;29;12480;0.87;1315515
ITEM;102;1710;0.69;1.456104
ITEM;627;42;0.57;242004.1
ITEM;331;3665;0.78;96.35562
ITEM;646;27;1.00;347383.3
ITEM;2650;5484;1.04;506.0986
ITEM;2275;44;0.72;506.0986
ITEM;741;133;0.66;24955.58
ITEM;746;148;0.73;28271.62
ITEM;1751;33;0.25;1411.453
ITEM;1511;98;0.54;5307.652
ITEM;1651;54;0.56;6154.803
ITEM;621;12;0.93;8239.558
ITEM;1541;63;0.62;1341.082
ITEM;730;196;0.74;28420.75
ITEM;757;163;0.85;33540.52
ITEM;305;2517;0.66;81.55872
ITEM;1171;109;1.05;5445.803
ITEM;1172;133;0.95;9734.137
ITEM;2045;1261;0.47;816.2519
ITEM;105;2260;0.59;4.861846
ITEM;2010;1210;0.39;37.85885
ITEM;2011;722;0.91;109.0371
ITEM;20;17763;0.54;42.29147
ITEM;41;4465;0.60;42.29147
ITEM;51;8263;1.03;32.90359
ITEM;2119;8266;1.09;32.90359
ITEM;1008;60;0.49;32.90359
ITEM;304;3889;0.41;41.01061
ITEM;742;107;0.47;41.01061
ITEM;747;142;0.92;81257.95
ITEM;2012;1120;0.88;81257.95
ITEM;677;76;1.05;202102.8
ITEM;733;119;0.96;85520.3
ITEM;211;1237;0.76;54.35792
ITEM;2458;37;0.38;274.4996
ITEM;758;147;0.85;274.4996
ITEM;712;199;0.55;66471.74
ITEM;158;1014;0.39;66471.74
ITEM;4;8227;0.98;102.4927
ITEM;104;1165;0.59;1.301001
ITEM;350;3667;1.06;36.21038
ITEM;320;4564;1.00;18.0037
ITEM;352;4080;0.97;187.9859
ITEM;672;68;0.56;95604.53
ITEM;745;188;0.54;95604.53
ITEM;732;85;0.66;8321.284
ITEM;750;230;0.86;11261.33
ITEM;756;175;0.87;11261.33
ITEM;678;84;0.91;11261.33
ITEM;670;141;1.06;11261.33
ITEM;711;187;0.94;20888.88
ITEM;2461;88;0.39;422.5655
ITEM;157;1205;0.90;34.12349
ITEM;23;17568;0.93;573.9018
ITEM;160;878;0.97;21.69579
ITEM;728;250;0.55;6660.057
ITEM;25;16733;0.60;1567.407
ITEM;212;1321;0.99;77.89685
ITEM;321;3452;0.54;82.14201
ITEM;121;2068;0.71;30.58722
ITEM;106;1007;0.96;8.715572
ITEM;601;46;1.13;8.715572
ITEM;1028;65;0.51;258525.8
ITEM;303;3471;0.37;21.939
ITEM;342;4282;0.59;10.99319
ITEM;107;1127;0.82;10.99319
ITEM;644;21;0.41;10.99319
ITEM;206;1394;0.90;97.38203
ITEM;2222;14;0.43;68000.59
ITEM;1202;86;0.41;10914.44
ITEM;407;3265;0.75;277.3321
ITEM;103;913;1.04;277.3321
ITEM;330;3418;1.00;73.24879
ITEM;607;49;1.00;464367
ITEM;6;16839;0.96;262.4349
ITEM;1160;120;0.37;735.2466
ITEM;1164;62;0.38;10973.06
ITEM;1165;59;0.56;40229.26
ITEM;2205;9;1.11;1064090
ITEM;118;1511;0.47;1.978126
ITEM;170;493;0.47;1.978126
ITEM;1523;69;1.04;35373.17
ITEM;1753;30;0.25;22954.02
ITEM;1573;45;0.65;22954.02
ITEM;1513;64;1.07;22954.02
ITEM;2272;13;0.58;895494.6
ITEM;1543;61;0.52;895494.6
ITEM;1563;121;0.63;27324.12
ITEM;213;824;0.59;46.96109
ITEM;2460;40;0.80;815.3792
ITEM;120;1563;0.85;188.5751
ITEM;600;30;0.81;3518.139
ITEM;2117;5726;0.57;125.9495
ITEM;2410;102;0.89;2544.446
ITEM;1624;59;0.97;2544.446
ITEM;2283;10;0.60;2544.446
ITEM;1754;20;0.25;2544.446
ITEM;1772;67;1.20;2544.446
ITEM;2374;47;0.52;48649.54
ITEM;1584;108;0.55;323341
ITEM;2273;49;0.98;8198295
ITEM;2328;26;0.52;8198295
ITEM;1604;118;0.88;211449.2
ITEM;2196;49;0.68;1059533
ITEM;1101;84;0.86;675.834
ITEM;1102;50;0.81;1196.109
ITEM;1013;56;0.35;1287.504
ITEM;3;3802;0.98;1287.504
ITEM;2049;603;0.62;1287.504
ITEM;43;8120;0.92;27.57986
ITEM;53;8154;0.41;27.57986
ITEM;2139;65;0.47;4719077
ITEM;1055;89;0.57;4719077
ITEM;1066;91;0.36;135698.4
ITEM;726;115;0.58;7108.462
ITEM;2454;9;0.89;1193.416
ITEM;114;1700;0.81;1.482606
ITEM;2249;68;0.44;1.015163E+07
ITEM;1401;74;1.05;9461.18
ITEM;1405;61;0.73;109817.4
ITEM;21;15372;0.55;87.82213
ITEM;2050;651;0.91;87.82213
ITEM;113;1269;1.02;5.593742
ITEM;119;1726;0.70;89.37377
ITEM;721;83;1.04;5606.148
ITEM;216;948;0.32;34.77342
ITEM;693;201;1.00;10735.88
ITEM;703;79;0.94;10735.88
ITEM;2017;1031;0.62;289.4767
ITEM;720;69;1.04;5628.618
ITEM;217;850;1.09;184.5177
ITEM;2464;10;0.81;184.5177
ITEM;755;153;0.52;2500.12
ITEM;2441;73;0.96;589.1361
ITEM;725;242;0.63;7905.011
ITEM;710;163;0.54;2159.926
ITEM;626;46;0.71;234574.9
ITEM;608;29;0.93;234574.9
ITEM;323;1737;1.03;234574.9
ITEM;117;1086;0.63;29.17543
ITEM;156;831;0.51;13.49737
ITEM;609;34;0.77;814981.7
ITEM;625;53;0.46;84126.8
ITEM;1075;51;0.48;30910.12
ITEM;642;63;0.33;3870.029
ITEM;340;3483;0.66;41.96328
ITEM;640;48;0.39;1396.571
ITEM;645;25;1.01;217544.6
ITEM;2081;867;0.50;217544.6
ITEM;647;41;0.93;430308.7
ITEM;749;106;0.47;430308.7
ITEM;734;130;0.55;110137.8
ITEM;124;1416;0.69;59.53554
ITEM;2021;792;1.08;196.198
ITEM;5;17997;0.99;169.9832
ITEM;75;8981;1.07;121.3357
ITEM;76;10703;0.86;131.307
ITEM;77;9547;1.04;221.0104
ITEM;2121;6953;0.73;333.5362
ITEM;2122;4304;1.10;333.5362
ITEM;2123;10816;1.06;816.1939
ITEM;2125;10656;0.42;412.6686
ITEM;2127;11487;0.33;18.51748
ITEM;2130;11437;0.41;46.22415
ITEM;333;3197;1.10;327.0175
ITEM;22;18204;1.12;355.8953
ITEM;122;1938;0.44;88.15145
ITEM;2113;6941;0.81;42.24877
ITEM;2116;6859;0.74;42.24877
ITEM;624;46;0.83;42.24877
ITEM;2108;49;0.54;42.24877
ITEM;1024;91;0.43;91352.81
ITEM;663;61;1.00;44773.73
ITEM;662;24;0.66;9692.676
ITEM;100;928;1.04;0.4692225
ITEM;2082;465;1.07;5599.129
ITEM;26;23800;0.77;4022.456
ITEM;408;4333;0.60;2589.159
ITEM;2255;65;0.47;8100327
ITEM;1217;81;0.81;3510759
ITEM;9;12123;1.03;1078.284
ITEM;10;11378;0.97;1616.983
</MARKET>
// SKILLS;Skill_id;Price_modifier
<SKILLS>
SKILL;66;1.00
SKILL;67;1.00
SKILL;68;1.00
SKILL;23;0.81
SKILL;234;0.88
SKILL;46;1.75
SKILL;22;1.95
SKILL;74;1.32
SKILL;34;0.84
SKILL;223;1.00
</SKILLS>
// MISSION , dbid , timer, id, data, title, factionid
<MISSIONS>
MISSION;12;120;923258;DELIVERY#4#1710#sector_0_station_0.txt#sector_0_station_2.txt#null#null#null#null;Light delivery of <color='yellow'>4</color> <color='yellow'>Basic Laser Impact Mods</color> to Biomate University Station in <color='cyan'>Void Starcross</color>;15;<i>Tadwho Bazlei</i> from StarGypsy Warehouse Station has commissioned a delivery . He has required a small transport delivery of <color='yellow'>4</color> <color='yellow'>Basic Laser Impact Mods</color>. Set your GPS autopilot to <color='cyan'>Void Starcross</color> and deliver these <color='yellow'>Basic Laser Impact Mods</color> to Biomate University immediately.;8815;1075
MISSION;153;150;770688;FABRICATE#38#2471#sector_0_station_1.txt#sector_95_station_1.txt#null#null#null#null;Produce a medium shipment of <color='yellow'>38</color> <color='yellow'>Electronic Switchs</color> in <color='cyan'>Void Starcross</color> at the Lammassu Financial station fabricator;15;Acrondia Hub Station has contacted our client informing them of some medium cargo that remains missing by a former employee, <i>Bastrest Ajbeah</i> of the Law Faction. <color='yellow'>38</color> <color='yellow'>Electronic Switchs</color> production run in <color='cyan'>Void Starcross</color>, at the Lammassu Financial fabricator.;12880;2800
MISSION;132;140;230408;SALVAGE#11#22#sector_15.txt#sector_78_station_0.txt#null#null#null#null;Dismantle <color='yellow'>Special Undamaged Part</color> in <color='cyan'>Jermicus</color> and return with <color='yellow'>11</color> to Tella's in <color='cyan'>Bitcola</color>;17;<i>Kolvel Qefe</i> has discovered a light cache of <color='yellow'>Special Undamaged Part</color> in <color='cyan'>Jermicus</color>. He is currently unable to dismantle the <color='yellow'>Special Undamaged Part</color>, and has requested a pilot to head over and salvage the <color='yellow'>11</color> <color='yellow'>Special Undamaged Part</color>. Once complete, head over and meet <i>Kolvel Qefe</i> at the Tella's station located in the <color='cyan'>Bitcola</color>.;11529;2625
MISSION;41;120;583980;SCAN_PILOT#sector_14_station_0.txt#sector_3.txt#Mr. Yantim Horegomi#npc_ship_data_(support_utility_2)#23#null#null#null;Find <color='yellow'><i>Mr. Yantim Horegomi</i></color> in <color='cyan'>Starfort Ramos</color>, scan their ship, and return to Imperium Republica  in <color='cyan'>Gate of Alpharis</color>;17;<color='yellow'><i>Mr. Yantim Horegomi</i></color> has recently been paroled for a capital crime, and their parole officer has received information about a possible raid in <color='cyan'>Starfort Ramos</color>. Head to <color='cyan'>Starfort Ramos</color> and perform a scan of <color='yellow'><i>Mr. Yantim Horegomi</i></color>'s ship and return to Imperium Republica  in <color='cyan'>Gate of Alpharis</color> with the scan data for review.;10163;1700
MISSION;141;120;468951;REFINE#27#4#sector_0_station_0.txt#sector_103_station_0.txt#null#null#null#null;Refine a light container of <color='yellow'>27</color> <color='yellow'>Lokken Ores</color> at the Biomate University station in <color='cyan'>Void Starcross</color>;15;The Law Faction has commissioned a refinery liaison, <i>Yiteno Youqu</i> at Temple of the Void. After an audit, <color='yellow'>27</color> items of <color='yellow'>Lokken Ores</color> were left unused. Head on over to <color='cyan'>Void Starcross</color> and refine these <color='yellow'>Lokken Ores</color> at the Biomate University refinery.;19520;6250
MISSION;80;120;563470;RECOVER#23#2029#sector_58.txt#sector_0_station_1.txt#null#null#null#null;Recover a light quantity of <color='yellow'>23</color> <color='yellow'>Basic Computers</color> in <color='cyan'>Lins</color>, and return to Lammassu Financial in <color='cyan'>Void Starcross</color>;16;The Enforcement faction has lost track of a light crate somewhere in the <color='cyan'>Lins</color> system. Head over there and recover the crate containing <color='yellow'>23</color> units of <color='yellow'>Basic Computers</color>, and dock at the Lammassu Financial in the <color='cyan'>Void Starcross</color> sector. <i>Xenyou Jidles</i> has been instructed to wait for the lost cargo at the Lammassu Financial station.;11529;2625
MISSION;60;140;713609;HARVEST#57#8#sector_81.txt#sector_0_station_4.txt#null#null#null#null;Harvest <color='yellow'>Special Belasite Ore</color> in <color='cyan'>Ferrelis Cove</color> and return with <color='yellow'>57</color> ore to Starbase Corporate Center in <color='cyan'>Void Starcross</color>;15;A local prospector, <i>Daevis Fardaleei</i> of the Law faction has located a light quantity of special <color='yellow'>Special Belasite Ore</color> in the <color='cyan'>Ferrelis Cove</color> sector. Head over there and harvest all of the special <color='yellow'>Special Belasite Ore</color>, and meet <i>Daevis Fardaleei</i> back at Starbase Corporate Center station located in the <color='cyan'>Void Starcross</color>.;12493;4000
MISSION;11;120;748827;DELIVERY#46#2016#sector_35_station_0.txt#sector_77_station_0.txt#null#null#null#null;Deliver light container of <color='yellow'>46</color> <color='yellow'>Small Electronics</color> to Astrox Security Patrol Station in <color='cyan'>Felishar</color>;16;The Enforcement Faction has commissioned a transport liaison, <i>Buebid Ribsiv</i> at Lacuna Bandits. After an audit, <color='yellow'>46</color> items of <color='yellow'>Small Electronics</color> were left un accounted for. Head on over to <color='cyan'>Felishar</color> and deliver these <color='yellow'>Small Electronics</color> to Astrox Security Patrol.;10800;3000
MISSION;111;600;810483;KILL_RAIDERS#sector_15_station_0.txt#sector_79.txt#4#10#npc_ship_data_(pirate_shuttle_1)#npc_ship_data_(recon_escort_1)#npc_ship_data_(support_escort_1)#npc_ship_data_(excavation_escort_1);Kill <color='yellow'>4 Raiders</color> level 10 in <color='cyan'>Dragon Sea</color>. Return to Crystalis Broadcasting in <color='cyan'>Jermicus</color>;16;A medium group of thugs decided to set up camp in the <color='cyan'>Dragon Sea</color> system. <i>Daledo Nostratajwe</i>, who has recently been elected as Overseer of <color='cyan'>Dragon Sea</color> by the Enforcements, has requesting this contract to maintain in good standing with his constituents. Wipe out the level 10 and return to the Crystalis Broadcasting station.;61084;10800
MISSION;124;180;626461;CHAT_PILOT#sector_3_station_0.txt#sector_81.txt#Officer Kolsip Deezoba#npc_ship_data_(battle_escort_2)#13#missions_arrest_escort.txt#0#null;Arrest <color='yellow'><i>Officer Kolsip Deezoba</i></color> over an outstanding warrant in <color='cyan'>Ferrelis Cove</color> and return to Daemon Ammunitions in <color='cyan'>Starfort Ramos</color>;15;<i>Opnuh Vednalia</i> of the Law faction has sent out a warrent for the arrest of <color='yellow'><i>Officer Kolsip Deezoba</i></color>. Last known sighting of <color='yellow'><i>Officer Kolsip Deezoba</i></color> was in the area of <color='cyan'>Ferrelis Cove</color>. Bring them back alive to the Daemon Ammunitions in the <color='cyan'>Starfort Ramos</color> system to complete this contract.;29426;9000
MISSION;83;150;226503;RECOVER#167#2003#sector_95.txt#sector_56_station_0.txt#null#null#null#null;Reclaim a medium shipment <color='yellow'>crate</color> in <color='cyan'>Temple Gates</color>, recover <color='yellow'>167</color> <color='yellow'>Copperi Plates</color> and bring back to Transporteers in <color='cyan'>Hunu</color>;15;A medium shipping crate has come up missing from a mining operation move in <color='cyan'>Temple Gates</color>. <i>Xaea Resciemel</i> is looking for an able pilot to scoop up the shipment of <color='yellow'>167</color> <color='yellow'>Copperi Plates</color>. Once the crate has been recovered, take it to the Transporteers station located in the <color='cyan'>Hunu</color> where <i>Xaea Resciemel</i> will be waiting with your payment.;13481;2125
MISSION;131;140;574201;SALVAGE#5#24#sector_79.txt#sector_35_station_0.txt#null#null#null#null;Salvage <color='yellow'>Special Electronic Fragment</color> in <color='cyan'>Dragon Sea</color> and return with <color='yellow'>5</color> to Astrox Security Patrol in <color='cyan'>Felishar</color>;15;While collecting some junk in the <color='cyan'>Dragon Sea</color> system, <i>Paeyel Ueast</i> discovered a light haul of <color='yellow'>5</color> <color='yellow'>Special Electronic Fragment</color>. Unable to collect the material alone, <i>Paeyel Ueast</i> has requested that a capable pilot salvage the <color='yellow'>Special Electronic Fragment</color> and drop it off at the Astrox Security Patrol station located in the <color='cyan'>Felishar</color>.;11126;2400
</MISSIONS>
// SHIP HANGAR;count;Price_modifier;Ship_filename
<HANGAR>
SHIP;1;1.0;ship_data_(battle_shuttle_1).txt
SHIP;1;1.0;ship_data_(battle_escort_1).txt
SHIP;1;1.0;ship_data_(battle_escort_2).txt
SHIP;4;1.0;ship_data_(battle_utility_1).txt
SHIP;4;1.0;ship_data_(battle_utility_2).txt
SHIP;4;1.0;ship_data_(battle_frigate_1).txt
</HANGAR>
// OFFICES;office_name;npc_name;faction_id;faction_req;level;img;scripting_file;scripting_id;
<OFFICE>
OFFICE;(Tutorial Office) Camera Basics;Ratamaq Guru;1;0.0;26;station.png;male_2.png;accessory_18.png;tutorial_camera_basics.txt;2
OFFICE;(Tutorial Office) Navigation Basics;Arji Darn;1;0.0;26;station.png;male_3.png;accessory_18.png;tutorial_navigation_basics.txt;2
OFFICE;(Tutorial Office) Life Support Basics;Carter Burke;1;0.0;26;station.png;male_4.png;accessory_19.png;tutorial_life_support.txt;2
OFFICE;(Tutorial Office) Basic Drones;Daniel Traek;1;0.0;43;station.png;male_4.png;accessory_17.png;tutorial_drones.txt;2
</OFFICE>
// STORAGE;item_id;Qty;0
<STORAGE>

