// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Blargg's
STATION;type;Patrol Annex Station
STATION;owner;Eligentis Faruk
STATION;faction;Law
STATION;material;station_material_Law.png
STATION;color;0 , .60 , 1 , 1
STATION;level;3
STATION;icon;ad_image_17.png
STATION;filename;sector_36_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;4-2-0-2-3-0-0-1-2-7-3-6-0-6-8-0-4-1-6-4-0-7-0
STATION;interior_seed;5-6-15-7
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;True
SERVICES;admin;False

// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Private Concert;0.25,0.09;50000;Musical Entertainment;entertain_show.png;Provide a private concert for your entire crew, drinks and food included. 25% Morale , 9% Loyalty bonus.
ENTERTAINMENT;BioSynth Wildlife Park;0.05,0.05;26000;Rest and Relaxation;entertain_park.png;A weekend package to the local wildlife BioSynth park for your entire crew, included petting zoo. 5% Morale Boost, 5% Loyalty Boost
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;5;1.85;npc_ship_data_(transport_utility_1).txt
MERC;4;0.93;npc_ship_data_(battle_carrier_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
BUYORDER;Purchasing (3) Items ;115x62,1615x11,1616x7;37550;98208.86
ITEM;1511;17;0.97;2359.121
ITEM;52;65;0.82;33.24988
ITEM;2652;93;1.03;703.769
ITEM;2120;38;1.03;375.7336
ITEM;50;6;1.21;27.16295
ITEM;2131;19;0.62;27.16295
ITEM;2121;118;1.20;27.16295
ITEM;2114;12;0.88;27.16295
ITEM;2111;101;1.04;27.16295
ITEM;62;147;0.67;27.16295
ITEM;40;92;1.03;13.6491
ITEM;43;117;0.77;13.6491
ITEM;2113;83;0.83;13.6491
ITEM;60;142;0.97;43.33755
ITEM;2112;129;0.84;43.33755
ITEM;41;122;1.05;43.33755
ITEM;2125;35;1.00;43.33755
ITEM;733;8;0.75;64308.14
ITEM;703;12;0.66;64308.14
ITEM;701;15;0.98;64308.14
ITEM;672;27;0.79;64308.14
ITEM;752;11;0.99;64308.14
ITEM;676;15;0.74;64308.14
ITEM;702;37;0.73;3126.557
ITEM;759;10;1.19;178681.9
ITEM;726;27;1.05;178681.9
ITEM;744;33;0.96;213016.6
ITEM;722;21;0.79;213016.6
ITEM;670;4;0.52;213016.6
ITEM;691;20;0.78;213016.6
ITEM;674;21;0.56;213016.6
ITEM;712;11;1.16;157814.8
ITEM;746;12;0.63;157814.8
ITEM;692;20;1.04;157814.8
ITEM;711;12;1.14;157814.8
ITEM;755;11;0.99;5296.263
ITEM;731;28;0.82;117533.5
ITEM;641;4;0.98;8764.919
ITEM;602;6;0.97;15212.86
ITEM;622;14;1.17;15212.86
ITEM;601;4;0.73;15212.86
ITEM;620;1;0.78;15212.86
ITEM;621;6;1.10;9935.169
ITEM;661;7;1.12;9935.169
ITEM;600;5;0.74;9935.169
ITEM;660;12;1.00;4460.944
ITEM;642;3;1.08;4460.944
ITEM;640;13;0.61;4460.944
ITEM;662;4;0.88;4460.944
ITEM;304;8;1.03;126.8542
ITEM;406;28;0.71;126.8542
ITEM;405;19;0.63;16.269
ITEM;408;18;0.68;3014.096
ITEM;302;18;1.15;58.99408
ITEM;300;24;0.52;58.99408
ITEM;312;14;1.05;70.97348
ITEM;301;7;0.74;87.9397
ITEM;313;6;0.66;108.3405
ITEM;407;20;1.02;393.2832
ITEM;303;3;0.98;393.2832
ITEM;305;10;0.83;105.9755
ITEM;404;17;0.82;105.9755
ITEM;403;16;1.27;26.67956
ITEM;310;9;1.10;56.12815
ITEM;311;24;0.76;56.12815
ITEM;20;210;0.85;56.12815
ITEM;2;103;0.77;56.12815
ITEM;1;39;1.19;56.12815
ITEM;22;38;0.66;56.12815
ITEM;3;149;1.04;60.64763
ITEM;21;59;1.13;60.64763
ITEM;102;36;0.60;60.64763
ITEM;101;14;0.59;60.64763
ITEM;104;168;1.11;2.713145
ITEM;100;54;1.06;0.4792648
ITEM;113;306;0.68;3.510293
ITEM;118;111;1.17;3.510293
ITEM;103;98;0.74;0.5800211
ITEM;109;110;0.76;0.5800211
ITEM;114;44;0.99;1.851067
ITEM;166;122;0.68;42.98072
ITEM;164;20;0.67;42.98072
ITEM;167;67;1.22;42.98072
ITEM;200;69;1.07;59.89663
ITEM;165;69;0.83;59.89663
ITEM;153;156;0.87;59.89663
ITEM;152;64;0.79;59.89663
ITEM;204;132;0.67;58.55417
ITEM;202;114;0.79;56.90838
ITEM;159;81;0.79;56.90838
ITEM;154;138;0.83;33.56582
ITEM;168;85;0.98;33.56582
ITEM;163;115;1.02;33.56582
ITEM;156;60;0.91;33.56582
ITEM;201;81;1.01;33.56582
ITEM;157;65;1.06;40.91721
ITEM;203;109;1.12;96.82307
ITEM;206;25;0.68;70.74589
ITEM;158;146;1.15;47.53484
ITEM;208;39;0.86;108.5414
ITEM;161;21;0.67;108.5414
ITEM;170;98;0.99;108.5414
ITEM;400;265;0.91;108.5414
ITEM;205;103;0.61;108.5414
ITEM;155;96;0.68;12.73616
ITEM;150;31;0.97;12.73616
ITEM;160;47;0.93;20.73203
ITEM;151;104;1.15;20.73203
ITEM;162;57;1.10;20.73203
ITEM;207;140;0.99;113.1696
ITEM;2210;24;0.95;113.1696
ITEM;2346;24;0.99;497574.2
ITEM;2160;27;0.64;497574.2
ITEM;2309;7;0.97;17379.2
ITEM;2111;25;0.92;17379.2
ITEM;2388;8;0.96;273.8884
ITEM;2270;1;0.99;128644.5
ITEM;2385;6;0.60;128644.5
ITEM;2201;19;0.74;41070
ITEM;2326;3;0.58;111590.8
ITEM;2301;6;1.01;218434.2
ITEM;2363;16;1.01;218434.2
ITEM;2190;9;0.72;218434.2
ITEM;2321;26;1.10;149255.2
ITEM;2281;21;0.81;149255.2
ITEM;2315;26;0.80;21675.23
ITEM;2444;29;1.11;21675.23
ITEM;2192;9;0.65;21675.23
ITEM;2152;12;0.63;21675.23
ITEM;2334;12;0.55;21675.23
</MARKET>
// SKILLS;Skill_id;Price_modifier
<SKILLS>
SKILL;212;1.69
SKILL;230;1.68
SKILL;224;1.51
SKILL;220;0.75
SKILL;57;1.84
SKILL;228;1.60
SKILL;41;1.29
SKILL;43;1.85
SKILL;74;1.28
SKILL;227;0.78
</SKILLS>
// MISSION , dbid , timer, id, data, title, factionid
<MISSIONS>
</MISSIONS>
// SHIP HANGAR;count;Price_modifier;Ship_filename
<HANGAR>
SHIP;1;0.97;ship_data_(excavation_frigate_1).txt
SHIP;2;1.04;ship_data_(recon_utility_1).txt
SHIP;3;1.01;ship_data_(transport_shuttle_1).txt
SHIP;4;0.98;ship_data_(support_escort_1).txt
SHIP;5;0.97;ship_data_(recon_carrier_1).txt
SHIP;6;1.01;ship_data_(transport_shuttle_1).txt
SHIP;7;1.02;ship_data_(support_carrier_1).txt
SHIP;8;0.91;ship_data_(support_cruiser_1).txt
</HANGAR>
// STORAGE;item_id;Qty;0
<STORAGE>
