// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Daemon Ammunitions
STATION;type;Ordinance Storage Facility
STATION;owner;Bella Mazu
STATION;faction;Labor
STATION;material;station_material_Labor.png
STATION;color;1 , .80 , .7 , 1
STATION;level;3
STATION;icon;daemon_ammunition.png
STATION;filename;sector_3_station_0.txt
STATION;max_hp;25000
STATION;hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;3-7-1-4-2-0-2-0-6-5-2-2-1-2-9-3-6-90
STATION;interior_seed;3-1-30-8
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;50262.46
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;True
SERVICES;admin;False
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Evening of Drinks;0.05,0.0;1500;Alcholic Drinks;entertain_bar.png;Pick up the tab for an evening of drinks for your crew, they earned it. 5% Morale Boost.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;5;1.27;npc_ship_data_(recon_shuttle_1).txt
MERC;1;1.69;npc_ship_data_(battle_carrier_1).txt
MERC;2;0.96;npc_ship_data_(transport_utility_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
BUYORDER;Market Out of Stock: (1) Items ;340x540;54096.00;71386.20
ITEM;114;337;0.65;1.14
ITEM;1401;3;1.14;10330.88
ITEM;21;74;0.55;88.62
ITEM;113;114;1.11;6.12
ITEM;722;25;0.89;4698.53
ITEM;216;46;0.73;101.31
ITEM;693;23;0.76;7837.05
ITEM;217;46;0.75;120.90
ITEM;215;40;0.74;98.38
ITEM;755;34;1.06;5718.53
ITEM;725;1;0.79;10246.31
ITEM;1450;26;0.94;4165.44
ITEM;156;243;1.23;37.17
ITEM;1054;9;1.02;2328.37
ITEM;1059;17;0.98;4452.75
ITEM;642;1;1.11;17554.03
ITEM;340;11;1.05;88.89
ITEM;640;6;1.00;4465.44
ITEM;162;295;0.81;18.21
ITEM;202;115;0.98;72.73
ITEM;749;47;0.66;138271.90
ITEM;734;54;0.96;213271.90
ITEM;754;46;0.87;190771.90
ITEM;76;44;1.03;161.54
ITEM;77;145;0.55;104.48
ITEM;2418;7;1.01;2555.74
ITEM;2120;42;1.23;455.30
ITEM;2121;-99;1.24;601.56
ITEM;2121;127;0.93;436.98
ITEM;2123;37;0.99;755.48
ITEM;2127;2500;0.25;11.90
ITEM;2130;2500;0.25;21.48
ITEM;2130;-99;1.22;167.07
ITEM;22;55;0.54;151.58
ITEM;2113;42;0.74;38.18
ITEM;2116;2500;0.25;14.39
ITEM;662;3;1.21;19304.03
ITEM;100;136;0.56;0.23
ITEM;408;18;1.16;5508.70
ITEM;2253;20;1.11;746297.10
</MARKET>
// SKILLS;Skill_id;Price_modifier
<SKILLS>
SKILL;34;1.23
SKILL;44;0.58
SKILL;226;1.55
SKILL;73;1.32
SKILL;60;0.99
SKILL;47;0.70
</SKILLS>
// MISSION , dbid , timer, id, data, title, factionid
<MISSIONS>
MISSION;120;120;867851;CHAT_PILOT#sector_0_station_4.txt#sector_13.txt#Overseer Ronyi Amastu#npc_ship_data_(excavation_escort_1_startship)#2#missions_debt_collection.txt#0#null;Collect a small debt from <color='yellow'><i>Overseer Ronyi Amastu</i></color> in <color='cyan'>Jala</color> and return to Starbase Corporate Center in <color='cyan'>Void Starcross</color>;12;<i>Janzeno Welibid</i> has requested that debt be collected from <color='yellow'><i>Overseer Ronyi Amastu</i></color>. After 3 payments to the Labor faction for transport fines, <color='yellow'><i>Overseer Ronyi Amastu</i></color> has refused to make any further payments. Last known sighting of <color='yellow'><i>Overseer Ronyi Amastu</i></color> was in the vicinity of the <color='cyan'>Jala</color> system. Have a chat with them, collect the debt, and return to the Starbase Corporate Center in the <color='cyan'>Void Starcross</color> system to deliver the payment.;12859;3100
MISSION;61;140;745749;HARVEST#105#1#sector_77.txt#sector_56_station_1.txt#null#null#null#null;Mine <color='yellow'>Special Adamyte Ore</color> in <color='cyan'>Ballast Crow</color> and return with <color='yellow'>105</color> to ValueStar in <color='cyan'>Hunu</color>;12;While collecting some junk in the <color='cyan'>Ballast Crow</color> system, <i>Ceeba Fefi</i> discovered a light haul of <color='yellow'>105</color> <color='yellow'>Special Adamyte Ore</color>. Unable to collect the material alone, <i>Ceeba Fefi</i> has requested that a capable pilot harvest the <color='yellow'>Special Adamyte Ore</color> and drop it off at the ValueStar station located in the <color='cyan'>Hunu</color>.;8089;2550
MISSION;80;120;212071;RECOVER#2#1562#sector_81.txt#sector_101_station_0.txt#null#null#null#null;Recover a light quantity of <color='yellow'>2</color> <color='yellow'>Advanced Shield Generators</color> in <color='cyan'>Ferrelis Cove</color>, and return to Vo Industries in <color='cyan'>Brimstone</color>;12;The Labor faction has lost track of a light crate somewhere in the <color='cyan'>Ferrelis Cove</color> system. Head over there and recover the crate containing <color='yellow'>2</color> units of <color='yellow'>Advanced Shield Generators</color>, and dock at the Vo Industries in the <color='cyan'>Brimstone</color> sector. <i>Eiyo Gaya</i> has been instructed to wait for the lost cargo at the Vo Industries station.;13125;5250
MISSION;61;140;849379;HARVEST#98#10#sector_9.txt#sector_14_station_1.txt#null#null#null#null;Mine <color='yellow'>Special Zai Ore</color> in <color='cyan'>Forges of Mintar</color> and return with <color='yellow'>98</color> to Horizons in <color='cyan'>Gate of Alpharis</color>;12;While collecting some junk in the <color='cyan'>Forges of Mintar</color> system, <i>Opnostra Melatebac</i> discovered a light haul of <color='yellow'>98</color> <color='yellow'>Special Zai Ore</color>. Unable to collect the material alone, <i>Opnostra Melatebac</i> has requested that a capable pilot harvest the <color='yellow'>Special Zai Ore</color> and drop it off at the Horizons station located in the <color='cyan'>Gate of Alpharis</color>.;14518;4250
MISSION;42;120;322983;SCAN_PILOT#sector_35_station_0.txt#sector_58.txt#Enforcer Vela Rissad#npc_ship_data_(transport_cruiser_1)#20#null#null#null;Track down and scan <color='yellow'><i>Enforcer Vela Rissad</i></color> in <color='cyan'>Lins</color> and return to Astrox Security Patrol in <color='cyan'>Felishar</color>;14;Extractors faction has requested that we verify the whereabouts of a <color='yellow'><i>Enforcer Vela Rissad</i></color>. After a recent ban order from the high court minister <i>Pajanco Yimi</i>, <color='cyan'>Lins</color> officials are worried that <color='yellow'><i>Enforcer Vela Rissad</i></color> might cause problems for the local merchants. Scan <color='yellow'><i>Enforcer Vela Rissad</i></color>'s ship and return to Astrox Security Patrol in <color='cyan'>Felishar</color> with the scan record.;14671;3700
MISSION;126;120;736467;CHAT_PILOT#sector_0_station_5.txt#sector_95.txt#Senator Dakile Restaf#npc_ship_data_(support_frigate_2)#14#missions_transfer_pilot.txt#0#null;Transfer payment to <color='yellow'><i>Senator Dakile Restaf</i></color> in <color='cyan'>Temple Gates</color> and return with signature to Proctors Center in <color='cyan'>Void Starcross</color>;12;<i>Veslei Mibruda</i> has a bonus payment for <color='yellow'><i>Senator Dakile Restaf</i></color>. The Labor faction has recognized <color='yellow'><i>Senator Dakile Restaf</i></color> and has award a bonus payment. <color='yellow'><i>Senator Dakile Restaf</i></color> was last working in the <color='cyan'>Temple Gates</color> system. Find them, deliver this envelope, and return to the Proctors Center in the <color='cyan'>Void Starcross</color> system with a signature.;22692;4650
MISSION;71;180;294553;ESCORT#sector_0_station_2.txt#sector_103_station_0.txt#Miner Lasrib Hintaj#npc_ship_data_(battle_shuttle_1)#13#null#null#null;<color='yellow'><i>Miner Lasrib Hintaj</i></color> requests an escort from StarGypsy Warehouse in <color='cyan'>Void Starcross</color> to Temple of the Void in <color='cyan'>Vindicati</color>;13;The Astrox Security Patrol has posted a contract for the safe delivery of a <color='yellow'><i>Miner Lasrib Hintaj</i></color>, wanted for questioning in a non-violent incident a few cycles ago in the <color='cyan'>Void Starcross</color> system. Escort <color='yellow'><i>Miner Lasrib Hintaj</i></color> from StarGypsy Warehouse to Temple of the Void in the <color='cyan'>Vindicati</color> system.;11550;4125
MISSION;31;240;659719;TRANSPORT#8#10#sector_0_station_0.txt#sector_99_station_0.txt#null#null#null#null;Head to Biomate University in <color='cyan'>Void Starcross</color>, pick up <color='yellow'>8</color> <color='yellow'>Zai Ores</color> for a light shipment to Ferce Hub in <color='cyan'>Semja</color>;12;The Labor faction advisor <i>Buehom Doeyikadd</i> has placed a light shipment transport order to move <color='yellow'>8</color> <color='yellow'>Zai Ores</color> from the Biomate University storage in <color='cyan'>Void Starcross</color>, to the Ferce Hub in <color='cyan'>Semja</color>.;13000;4000
</MISSIONS>
// SHIP HANGAR;count;Price_modifier;Ship_filename
<HANGAR>
SHIP;1;1.01;ship_data_(transport_frigate_1).txt
SHIP;2;0.99;ship_data_(battle_shuttle_1).txt
SHIP;3;1.00;ship_data_(transport_shuttle_1).txt
</HANGAR>
// STORAGE;item_id;Qty;0
<STORAGE>

