// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Communications Hub
STATION;type;Base
STATION;owner;Mastei Gorebira
STATION;faction;Trade
STATION;material;station_material_Trade.png
STATION;color;.70 , 1, .23 , 1
STATION;level;1
STATION;icon;xellon.png
STATION;filename;sector_66_station_0.txt
STATION;max_hp;25000
STATION;hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;3-1-0-1-5-2-7-1-1-3-2-6-0-5-5-2-7-90
STATION;interior_seed;5-1-45-8
// SERVICES;servicename;bool
SERVICES;lounge;False
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;False
SERVICES;university;False
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;False
SERVICES;contracts;False
SERVICES;admin;False

// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Astrox Opera House;0.26,0.07;51000;Musical Entertainment;entertain_opera.png;Provide a private opera concert for your entire crew at the famous 'Astrox Opera House', drinks and food included. 26% Morale , 7% Loyalty bonus.
ENTERTAINMENT;Private Party;0.10,0.0;2700;Party;entertain_bar.png;Throw a private party at the local station pub for your entire fleet. 10% Morale Boost.
ENTERTAINMENT;Pod Racing event;0.25,0.0;40000;Sport Racing Event;entertain_race.png;All expense paid trip to the weekly 'Astrox Pod Racing' (APR) event. 25% Morale Boost.
ENTERTAINMENT;Spa Treatment;0.15,0.0;18500;Rest and Relaxation;entertain_spa.png;Send your crew to the spa, let them rest and relax for awhile. 15% Morale Boost.
ENTERTAINMENT;Karaoke Night;0.15,0.05;15000;Musical Entertainment;entertain_show.png;Your fleet is treated to a night of karaoke at the local music tavern. 15% Morale , 5% Loyalty bonus.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;3;1.83;npc_ship_data_(recon_escort_1).txt
MERC;1;1.83;npc_ship_data_(excavation_shuttle_1).txt
MERC;3;1.58;npc_ship_data_(battle_cruiser_1).txt
MERC;8;0.50;npc_ship_data_(transport_cruiser_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
SELLORDER;Selling: (2) Items ;324x57,1171x9;76394;119020.90
ITEM;679;14;0.69;61.77713
ITEM;735;15;0.83;61.77713
ITEM;693;19;0.70;61.77713
ITEM;728;10;0.85;10746.52
ITEM;677;15;0.70;10746.52
ITEM;712;2;0.77;10746.52
ITEM;732;14;0.73;8908.896
ITEM;660;3;1.10;8908.896
ITEM;640;1;0.73;8908.896
ITEM;600;3;0.61;2347.342
ITEM;620;3;0.84;2347.342
ITEM;407;6;0.74;325.5971
ITEM;302;3;0.86;40.87511
ITEM;301;9;0.86;40.87511
ITEM;403;7;0.84;40.87511
ITEM;404;5;1.20;40.87511
ITEM;405;8;0.71;40.87511
ITEM;300;8;1.22;40.87511
ITEM;406;9;0.65;19.89266
ITEM;408;9;0.70;3693.867
ITEM;1;90;1.10;3693.867
ITEM;20;59;0.93;3693.867
ITEM;100;35;1.02;3693.867
ITEM;103;35;0.62;3693.867
ITEM;101;9;1.00;3693.867
ITEM;151;60;0.94;10.04368
ITEM;153;58;1.03;10.04368
ITEM;155;68;1.05;10.04368
ITEM;157;8;0.88;10.04368
ITEM;150;12;0.85;10.04368
ITEM;156;16;0.82;10.04368
ITEM;164;62;0.81;15.33096
ITEM;158;32;0.97;15.33096
ITEM;168;47;0.64;15.33096
ITEM;152;34;0.89;15.33096
ITEM;2428;5;0.67;78.33994
ITEM;2160;2;0.82;78.33994
ITEM;2556;9;0.82;78.33994
ITEM;2304;4;0.66;34388.83
ITEM;2180;6;0.76;10371.46
ITEM;2253;9;0.58;10371.46
ITEM;2220;5;0.64;27126.15
ITEM;2264;3;1.01;12326.72
ITEM;2431;8;0.77;12326.72
ITEM;2339;1;0.61;35856.82
ITEM;2426;9;0.71;35856.82
ITEM;2279;5;1.14;35856.82
ITEM;2200;5;0.53;13077.88
ITEM;2385;3;1.02;78.91486
ITEM;2434;5;0.70;78.91486
ITEM;2294;6;0.84;78.91486
ITEM;2250;3;1.09;627577.3
ITEM;2324;4;0.98;24501.07
ITEM;2269;2;1.17;24501.07
</MARKET>
// SKILLS;Skill_id;Price_modifier
<SKILLS>
SKILL;34;0.87
SKILL;56;1.09
SKILL;228;0.83
SKILL;56;0.86
SKILL;31;1.91
SKILL;61;1.68
SKILL;31;0.98
SKILL;232;1.80
SKILL;36;0.91
</SKILLS>
// MISSION , dbid , timer, id, data, title, factionid
<MISSIONS>
</MISSIONS>
// SHIP HANGAR;count;Price_modifier;Ship_filename
<HANGAR>
SHIP;1;0.91;ship_data_(battle_carrier_1).txt
SHIP;2;0.93;ship_data_(recon_cruiser_1).txt
SHIP;3;0.92;ship_data_(support_cruiser_1).txt
SHIP;4;0.93;ship_data_(recon_cruiser_1).txt
SHIP;5;0.92;ship_data_(pirate_escort_1).txt
SHIP;6;0.97;ship_data_(battle_shuttle_1).txt
SHIP;7;1.08;ship_data_(pirate_cruiser_1).txt
</HANGAR>
// STORAGE;item_id;Qty;0
<STORAGE>
