// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Psybermind
STATION;type;Private Prison
STATION;owner;Mecee Zahorewe
STATION;faction;Law
STATION;material;station_material_Law.png
STATION;color;0 , .60 , 1 , 1
STATION;level;5
STATION;icon;psybermind.png
STATION;filename;sector_51_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;4-4-1-7-0-2-7-0-3-2-0-9-1-7-6-0-4-1-4-1-0-9-90
STATION;interior_seed;3-8-45-9
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;True
SERVICES;university;False
SERVICES;hangar;False
SERVICES;storage;True
SERVICES;fabricator;False
SERVICES;contracts;False
SERVICES;admin;True

// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Deathmatch League;0.15,0.08;68500;Sport Fighting Event;entertain_fight.png;Tickets to the Deathmatch League, where your entire fleet will enjoy a evening of bloodsport. 15% Morale , 8% Loyalty bonus.
ENTERTAINMENT;Spa Treatment;0.15,0.0;18500;Rest and Relaxation;entertain_spa.png;Send your crew to the spa, let them rest and relax for awhile. 15% Morale Boost.
ENTERTAINMENT;Evening of Drinks;0.05,0.0;1500;Alcholic Drinks;entertain_bar.png;Pick up the tab for an evening of drinks for your crew, they earned it. 5% Morale Boost.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;6;1.39;npc_ship_data_(excavation_frigate_1).txt
MERC;3;0.73;npc_ship_data_(support_frigate_1).txt
MERC;1;1.51;npc_ship_data_(recon_frigate_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
SELLORDER;Looking to Sell (1) Items ;123x677;84666;150042.00
ITEM;2123;1;0.72;205.9133
ITEM;76;92;1.05;205.9133
ITEM;2118;21;0.97;205.9133
ITEM;60;2149;0.61;205.9133
ITEM;2126;1914;1.00;205.9133
ITEM;2124;2441;1.00;205.9133
ITEM;50;15;1.28;28.84307
ITEM;2117;128;1.03;28.84307
ITEM;2122;185;1.22;28.84307
ITEM;77;101;1.10;28.84307
ITEM;61;2063;1.18;96.93098
ITEM;43;223;0.83;96.93098
ITEM;2119;211;0.74;96.93098
ITEM;2131;128;0.86;96.93098
ITEM;2650;139;0.87;96.93098
ITEM;70;2410;0.61;96.93098
ITEM;2114;202;0.94;96.93098
ITEM;2113;17;0.92;96.93098
ITEM;75;2543;0.72;77.06315
ITEM;2115;1975;0.66;77.06315
ITEM;2128;68;0.64;77.06315
ITEM;702;96;0.68;77.06315
ITEM;735;41;0.70;1483140
ITEM;751;70;0.51;1483140
ITEM;754;71;0.80;172841.8
ITEM;728;34;0.64;172841.8
ITEM;732;44;1.20;16447.09
ITEM;747;62;1.28;117002.8
ITEM;712;111;1.19;117002.8
ITEM;690;77;0.56;117002.8
ITEM;753;71;0.70;117002.8
ITEM;741;36;1.24;117002.8
ITEM;730;27;0.59;117002.8
ITEM;670;89;0.61;61021.24
ITEM;748;66;0.70;61021.24
ITEM;727;106;0.96;61021.24
ITEM;737;36;0.87;61021.24
ITEM;758;49;1.15;61021.24
ITEM;700;31;0.66;61021.24
ITEM;749;54;0.76;61021.24
ITEM;734;35;1.00;222958.1
ITEM;674;67;1.21;222958.1
ITEM;662;22;0.81;12336.15
ITEM;602;18;0.76;11480.2
ITEM;620;20;1.15;11480.2
ITEM;644;19;0.55;11480.2
ITEM;601;8;0.69;11480.2
ITEM;622;24;1.05;11480.2
ITEM;663;2;1.07;11480.2
ITEM;661;10;1.08;11480.2
ITEM;643;19;0.71;11480.2
ITEM;642;6;1.00;15685.17
ITEM;640;10;0.89;15685.17
ITEM;660;13;0.56;15685.17
ITEM;600;5;1.17;15685.17
ITEM;621;7;1.06;15685.17
ITEM;641;16;1.10;15685.17
ITEM;623;5;1.15;15685.17
ITEM;603;17;0.69;15685.17
ITEM;604;10;1.09;15685.17
ITEM;664;19;0.82;15685.17
ITEM;624;9;0.78;15685.17
ITEM;331;15;1.19;15685.17
ITEM;333;620;1.16;15685.17
ITEM;323;586;0.66;20.97958
ITEM;408;8;0.88;4064.135
ITEM;312;45;1.02;68.52436
ITEM;404;17;0.78;68.52436
ITEM;322;1451;0.83;155.661
ITEM;302;17;0.84;155.661
ITEM;324;942;0.87;38.84706
ITEM;311;2;1.07;38.84706
ITEM;300;23;0.86;46.90403
ITEM;330;852;0.86;46.90403
ITEM;403;37;0.72;46.90403
ITEM;325;47;0.64;46.90403
ITEM;332;33;0.68;46.90403
ITEM;321;978;1.10;46.90403
ITEM;304;15;1.18;147.2554
ITEM;303;40;1.15;147.2554
ITEM;407;13;0.74;273.7602
ITEM;406;907;1.09;273.7602
ITEM;301;26;0.88;107.0886
ITEM;310;42;1.12;107.0886
ITEM;305;1;1.08;107.0886
ITEM;320;18;1.07;107.0886
ITEM;405;28;0.63;107.0886
ITEM;23;320;0.84;107.0886
ITEM;1;458;0.81;107.0886
ITEM;20;215;0.70;72.31829
ITEM;22;5232;1.14;72.31829
ITEM;24;232;0.92;72.31829
ITEM;3;66;0.94;43.46546
ITEM;2;4692;0.74;43.46546
ITEM;21;5142;0.98;43.46546
ITEM;4;114;1.19;43.46546
ITEM;5;411;0.79;43.46546
ITEM;118;344;0.62;43.46546
ITEM;109;474;0.99;43.46546
ITEM;104;170;0.66;43.46546
ITEM;113;511;0.97;43.46546
ITEM;108;397;0.66;43.46546
ITEM;102;76;0.55;43.46546
ITEM;114;560;0.78;1.421788
ITEM;103;589;0.96;1.421788
ITEM;100;779;0.67;0.2843655
ITEM;107;115;0.62;5.483035
ITEM;2000;712;0.85;5.483035
ITEM;105;828;1.28;11.69915
ITEM;110;465;0.68;11.69915
ITEM;106;404;0.86;7.648017
ITEM;101;731;1.29;0.889947
ITEM;2003;360;1.22;0.889947
ITEM;150;270;0.64;0.889947
ITEM;211;77;0.87;63.98648
ITEM;202;125;1.11;83.30643
ITEM;214;239;1.06;83.30643
ITEM;152;99;1.10;83.30643
ITEM;2009;264;1.10;83.30643
ITEM;164;323;0.96;83.30643
ITEM;200;403;0.54;83.30643
ITEM;213;593;0.64;83.30643
ITEM;2006;382;0.88;83.30643
ITEM;167;441;0.80;83.30643
ITEM;2005;482;1.05;83.30643
ITEM;205;229;0.72;83.30643
ITEM;2001;308;0.97;83.30643
ITEM;207;233;0.75;83.30643
ITEM;204;347;0.86;83.30643
ITEM;169;563;0.92;83.30643
ITEM;206;646;0.78;83.30643
ITEM;218;463;1.09;83.30643
ITEM;212;16;0.85;83.30643
ITEM;215;128;0.98;83.30643
ITEM;160;545;1.18;83.30643
ITEM;163;296;1.02;83.30643
ITEM;162;88;1.20;83.30643
ITEM;219;257;1.20;83.30643
ITEM;2296;20;0.82;83.30643
ITEM;2253;26;0.78;83.30643
ITEM;2316;6;1.05;83.30643
ITEM;2102;28;0.74;37919.44
ITEM;2258;36;1.28;37919.44
ITEM;2111;46;0.69;37919.44
ITEM;2429;20;0.80;37919.44
ITEM;2449;29;1.02;37919.44
ITEM;2385;31;0.80;61.92091
ITEM;2438;46;1.13;61.92091
ITEM;2444;33;0.83;61.92091
ITEM;2342;15;0.99;2042052
ITEM;2348;43;1.07;1.126449E+07
ITEM;2445;38;0.92;1.126449E+07
ITEM;2418;12;0.91;1.126449E+07
ITEM;2315;35;0.88;1.126449E+07
ITEM;2373;49;0.62;1.126449E+07
ITEM;2456;29;0.94;1.126449E+07
ITEM;2361;11;1.18;1.126449E+07
ITEM;2354;25;0.68;25551.97
ITEM;2314;45;0.81;9964.923
ITEM;2447;49;1.09;9964.923
ITEM;2134;27;1.13;9964.923
</MARKET>
// SKILLS;Skill_id;Price_modifier
<SKILLS>
SKILL;37;1.38
SKILL;4;1.71
SKILL;47;1.10
SKILL;43;1.18
SKILL;33;1.82
SKILL;16;1.38
SKILL;230;1.26
SKILL;47;0.58
SKILL;36;0.56
SKILL;46;0.79
</SKILLS>
// MISSION , dbid , timer, id, data, title, factionid
<MISSIONS>
</MISSIONS>
// SHIP HANGAR;count;Price_modifier;Ship_filename
<HANGAR>
SHIP;1;0.99;ship_data_(transport_frigate_1).txt
SHIP;2;1.10;ship_data_(support_frigate_1).txt
SHIP;3;1.04;ship_data_(pirate_cruiser_1).txt
SHIP;4;0.90;ship_data_(transport_utility_1).txt
</HANGAR>
// STORAGE;item_id;Qty;0
<STORAGE>
