// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Cecil
STATION;type;Private Jobsite
STATION;owner;Beckak Vajweli
STATION;faction;Temple
STATION;material;station_material_Temple.png
STATION;color;.60 , .20 , .80 , 1
STATION;level;9
STATION;icon;cecil.png
STATION;filename;sector_104_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;4-9-0-2-0-1-7-0-3-7-0-1-0-2-2-3-6-0-1-5-3-2-0
STATION;interior_seed;3-8-15-7
// SERVICES;servicename;bool
SERVICES;lounge;False
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;True
SERVICES;university;False
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;False
SERVICES;contracts;True
SERVICES;admin;True

// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Evening of Drinks;0.05,0.0;1500;Alcholic Drinks;entertain_bar.png;Pick up the tab for an evening of drinks for your crew, they earned it. 5% Morale Boost.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;9;0.65;npc_ship_data_(recon_utility_1).txt
MERC;5;1.93;npc_ship_data_(pirate_cruiser_1).txt
MERC;9;1.00;npc_ship_data_(battle_escort_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
BUYORDER;Market Demands: (3) Items ;300x578,300x859,302x621;256986;147294.90
ITEM;1584;34;1.00;656861.9
ITEM;1622;27;1.15;656861.9
ITEM;1615;58;0.93;656861.9
ITEM;1775;22;0.96;656861.9
ITEM;1600;20;0.99;656861.9
ITEM;1560;10;1.22;656861.9
ITEM;1524;38;0.51;656861.9
ITEM;1752;80;1.09;656861.9
ITEM;1590;53;1.26;1945.8
ITEM;1731;82;0.69;2272.649
ITEM;1511;33;0.59;2272.649
ITEM;1780;61;1.16;10411.12
ITEM;1771;72;0.70;10411.12
ITEM;1618;61;0.93;66273.13
ITEM;1751;26;0.91;7954.357
ITEM;1631;52;1.14;7954.357
ITEM;1581;66;1.10;7954.357
ITEM;1710;37;1.19;7954.357
ITEM;1542;29;1.15;7954.357
ITEM;1644;11;0.62;7954.357
ITEM;1541;80;0.57;7954.357
ITEM;1753;74;0.64;7954.357
ITEM;1513;72;1.07;152073.7
ITEM;1720;73;1.05;152073.7
ITEM;52;99;0.91;152073.7
ITEM;53;383;1.20;152073.7
ITEM;40;2210;1.24;152073.7
ITEM;2650;310;1.09;152073.7
ITEM;62;377;0.62;72.4034
ITEM;2129;264;1.03;72.4034
ITEM;61;0;0.84;72.4034
ITEM;2121;129;0.65;72.4034
ITEM;2112;7;0.51;72.4034
ITEM;2113;2517;1.14;72.4034
ITEM;2120;1940;1.22;72.4034
ITEM;2128;19;0.71;72.4034
ITEM;2116;149;0.76;72.4034
ITEM;2123;0;0.59;72.4034
ITEM;70;0;0.70;72.4034
ITEM;2117;1799;0.60;72.4034
ITEM;2130;1666;0.54;72.4034
ITEM;51;86;0.81;72.4034
ITEM;2122;0;1.16;72.4034
ITEM;2131;141;1.07;72.4034
ITEM;2124;0;0.64;72.4034
ITEM;2111;443;0.73;72.4034
ITEM;63;63;1.20;72.4034
ITEM;43;1739;0.61;72.4034
ITEM;75;241;1.14;72.4034
ITEM;76;403;0.99;72.4034
ITEM;2127;381;0.65;45.77558
ITEM;2126;175;0.75;45.77558
ITEM;2114;138;0.58;33.59958
ITEM;77;447;0.49;33.59958
ITEM;681;150;0.76;33.59958
ITEM;735;72;0.72;33.59958
ITEM;674;128;0.68;33.59958
ITEM;675;165;1.23;327957.9
ITEM;738;35;0.65;327957.9
ITEM;756;152;0.84;327957.9
ITEM;758;123;0.55;44818.52
ITEM;754;100;0.72;44818.52
ITEM;757;0;1.11;44818.52
ITEM;752;36;1.24;44818.52
ITEM;747;125;1.19;108571.9
ITEM;676;66;0.84;108571.9
ITEM;731;0;0.59;108571.9
ITEM;751;164;0.64;108571.9
ITEM;691;105;1.08;108571.9
ITEM;700;67;1.20;108571.9
ITEM;721;113;1.07;108571.9
ITEM;741;90;1.04;41919.69
ITEM;692;128;0.77;10648.63
ITEM;746;0;0.53;10648.63
ITEM;745;9;0.85;10648.63
ITEM;703;102;1.18;10648.63
ITEM;732;81;0.75;10648.63
ITEM;728;146;0.75;10648.63
ITEM;702;147;0.89;10648.63
ITEM;671;41;1.23;10648.63
ITEM;730;188;0.58;10648.63
ITEM;690;161;1.13;15454.3
ITEM;748;12;0.55;15454.3
ITEM;744;125;1.00;15454.3
ITEM;737;67;0.77;332325.6
ITEM;753;129;0.50;332325.6
ITEM;749;138;0.77;332325.6
ITEM;740;59;1.01;332325.6
ITEM;733;132;0.99;88851.47
ITEM;693;106;0.60;88851.47
ITEM;722;162;0.59;88851.47
ITEM;680;140;0.66;88851.47
ITEM;620;37;0.74;88851.47
ITEM;644;2;0.85;96702.11
ITEM;667;8;1.11;96702.11
ITEM;643;44;1.19;96702.11
ITEM;622;18;1.23;96702.11
ITEM;664;40;0.96;110711.1
ITEM;602;24;0.57;110711.1
ITEM;642;8;1.16;18446.03
ITEM;603;40;1.00;18446.03
ITEM;626;1;1.00;18446.03
ITEM;628;42;0.93;18446.03
ITEM;607;0;1.15;18446.03
ITEM;647;20;1.19;18446.03
ITEM;665;17;0.67;18446.03
ITEM;600;19;1.12;18446.03
ITEM;641;40;1.06;18446.03
ITEM;623;13;0.88;18446.03
ITEM;605;27;0.69;18446.03
ITEM;661;1;0.89;18446.03
ITEM;645;32;0.54;18446.03
ITEM;646;8;1.16;18446.03
ITEM;640;28;0.79;18446.03
ITEM;621;21;0.97;8672.569
ITEM;648;10;0.98;8672.569
ITEM;601;6;1.24;8672.569
ITEM;606;20;0.96;8672.569
ITEM;625;33;0.83;174139
ITEM;662;23;0.60;174139
ITEM;663;6;1.04;174139
ITEM;604;11;0.52;174139
ITEM;608;0;1.16;174139
ITEM;666;12;1.12;174139
ITEM;624;44;1.01;174139
ITEM;627;31;1.21;174139
ITEM;668;41;0.57;365280.6
ITEM;660;23;1.12;365280.6
ITEM;333;713;1.10;365280.6
ITEM;332;14;0.57;365280.6
ITEM;341;72;0.72;365280.6
ITEM;302;649;0.69;365280.6
ITEM;303;0;0.90;365280.6
ITEM;331;73;0.95;365280.6
ITEM;310;0;0.55;365280.6
ITEM;343;0;1.05;365280.6
ITEM;311;966;0.80;50.38508
ITEM;340;0;1.19;50.38508
ITEM;352;966;0.90;50.38508
ITEM;321;0;0.69;50.38508
ITEM;300;16;0.57;35.92032
ITEM;408;37;1.16;35.92032
ITEM;330;58;0.54;35.92032
ITEM;304;16;0.67;35.92032
ITEM;403;28;0.51;35.92032
ITEM;301;76;0.54;35.92032
ITEM;350;74;1.23;35.92032
ITEM;405;0;1.20;35.92032
ITEM;312;72;1.02;68.40605
ITEM;322;0;1.08;208.3003
ITEM;407;18;1.19;208.3003
ITEM;305;61;0.65;79.6629
ITEM;320;0;1.15;79.6629
ITEM;324;22;0.97;79.6629
ITEM;342;4;0.69;13.46659
ITEM;325;83;1.19;13.46659
ITEM;404;82;1.27;29.03963
ITEM;351;2;0.85;29.03963
ITEM;313;76;0.61;98.37089
ITEM;323;23;0.86;98.37089
ITEM;353;65;1.01;46.08865
ITEM;406;19;1.16;46.08865
ITEM;21;825;1.15;46.08865
ITEM;11;627;0.91;46.08865
ITEM;7;647;0.77;248.1343
ITEM;27;306;0.89;7082.522
ITEM;2;4970;0.66;7082.522
ITEM;4;725;0.78;7082.522
ITEM;3;4880;0.85;7082.522
ITEM;28;702;0.72;7194.703
ITEM;24;485;1.01;7194.703
ITEM;8;342;1.20;7194.703
ITEM;20;107;0.66;54.9726
ITEM;5;401;1.23;172.2026
ITEM;22;0;0.80;172.2026
ITEM;1;4656;0.98;172.2026
ITEM;26;0;0.57;172.2026
ITEM;9;335;1.24;1055.095
ITEM;6;638;0.52;1055.095
ITEM;23;545;0.90;1055.095
ITEM;25;447;0.84;1055.095
ITEM;108;522;1.11;1055.095
ITEM;121;139;0.61;1055.095
ITEM;2000;1167;1.18;1055.095
ITEM;103;721;1.00;1055.095
ITEM;123;831;0.89;1055.095
ITEM;114;108;0.60;1055.095
ITEM;124;518;0.56;46.69382
ITEM;101;231;1.17;46.69382
ITEM;112;1227;0.59;46.69382
ITEM;109;60;1.18;46.69382
ITEM;118;1015;0.58;2.640873
ITEM;115;276;0.86;2.640873
ITEM;110;20;0.67;2.640873
ITEM;111;359;1.08;2.640873
ITEM;100;1271;0.89;2.640873
ITEM;104;1128;0.86;2.640873
ITEM;119;462;0.99;2.640873
ITEM;102;557;1.09;2.640873
ITEM;107;32;1.24;2.640873
ITEM;117;569;0.63;2.640873
ITEM;116;1068;0.72;2.640873
ITEM;113;331;0.64;2.640873
ITEM;106;449;0.52;2.640873
ITEM;105;682;1.00;2.640873
ITEM;214;937;1.10;2.640873
ITEM;219;413;0.45;2.640873
ITEM;2019;313;1.07;2.640873
ITEM;2001;25;0.93;2.640873
ITEM;2031;0;0.55;2.640873
ITEM;2024;359;1.03;2.640873
ITEM;218;406;0.72;2.640873
ITEM;2025;715;0.74;2.640873
ITEM;152;524;0.89;2.640873
ITEM;2023;182;1.02;2.640873
ITEM;216;507;1.06;2.640873
ITEM;169;230;0.94;79.49466
ITEM;202;270;0.94;79.49466
ITEM;2006;737;0.70;79.49466
ITEM;2048;488;0.57;2097.099
ITEM;2008;0;1.00;2097.099
ITEM;2028;110;0.59;2097.099
ITEM;2009;146;0.60;274.9995
ITEM;2042;589;0.80;274.9995
ITEM;2037;312;0.70;274.9995
ITEM;217;417;0.82;274.9995
ITEM;165;424;0.91;53.51351
ITEM;154;9;1.14;53.51351
ITEM;2011;539;0.77;53.51351
ITEM;213;725;0.65;53.51351
ITEM;2046;438;0.66;53.51351
ITEM;163;182;0.82;53.51351
ITEM;2026;798;0.60;53.51351
ITEM;200;114;0.74;53.51351
ITEM;2014;284;0.70;53.51351
ITEM;401;173;0.80;53.51351
ITEM;153;583;1.04;11.6428
ITEM;2020;331;1.03;11.6428
ITEM;2018;289;0.72;11.6428
ITEM;2016;63;0.76;277.545
ITEM;2022;581;1.05;277.545
ITEM;211;21;0.77;277.545
ITEM;2041;739;1.03;277.545
ITEM;2036;722;0.83;277.545
ITEM;2003;77;0.81;277.545
ITEM;2004;749;1.24;277.545
ITEM;161;700;0.58;277.545
ITEM;159;472;1.21;277.545
ITEM;2240;9;1.24;277.545
ITEM;2170;16;0.55;277.545
ITEM;2460;73;0.88;277.545
ITEM;2419;68;0.80;277.545
ITEM;2133;61;0.71;277.545
ITEM;2558;87;0.83;390248.8
ITEM;2505;37;1.24;390248.8
ITEM;2341;60;1.17;390248.8
ITEM;2271;43;1.14;390248.8
ITEM;2375;31;1.14;390248.8
ITEM;2370;14;0.73;390248.8
ITEM;2323;81;0.79;2127228
ITEM;2245;3;1.02;1922782
ITEM;2359;48;0.51;1922782
ITEM;2192;62;1.02;107111.4
ITEM;2269;85;0.62;35284.54
ITEM;2473;32;0.97;35284.54
ITEM;2379;44;0.95;35284.54
ITEM;2454;84;0.74;35284.54
ITEM;2122;47;0.69;35284.54
ITEM;2489;63;0.67;35284.54
ITEM;2299;26;0.51;35284.54
ITEM;2208;62;0.91;35284.54
ITEM;2180;60;0.93;35284.54
ITEM;2210;81;0.60;17388.96
ITEM;2421;67;0.66;17388.96
ITEM;2330;8;0.98;17388.96
ITEM;2433;41;0.83;17388.96
ITEM;2440;70;0.65;303.8869
ITEM;2485;24;1.24;303.8869
ITEM;2439;17;0.78;303.8869
ITEM;2540;87;1.02;303.8869
ITEM;2560;59;0.75;1279442
ITEM;2553;80;0.59;1279442
ITEM;2292;77;0.89;1279442
</MARKET>
// SKILLS;Skill_id;Price_modifier
<SKILLS>
SKILL;3;1.20
SKILL;55;1.85
SKILL;25;1.85
SKILL;212;0.90
</SKILLS>
// MISSION , dbid , timer, id, data, title, factionid
<MISSIONS>
</MISSIONS>
// SHIP HANGAR;count;Price_modifier;Ship_filename
<HANGAR>
SHIP;1;1.07;ship_data_(pirate_carrier_1).txt
SHIP;2;0.96;ship_data_(pirate_cruiser_1).txt
SHIP;3;1.05;ship_data_(recon_shuttle_1).txt
</HANGAR>
// STORAGE;item_id;Qty;0
<STORAGE>
