// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Genistar
STATION;type;Deep Space Array
STATION;owner;Couue Atelow
STATION;faction;Pirate
STATION;material;station_material_Pirate.png
STATION;color;1 , .1 , .1 , 1
STATION;level;1
STATION;icon;genistar.png
STATION;filename;sector_80_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;2-9-1-4-1-1-5-0-6-3-0-1-90
STATION;interior_seed;5-9-45-1
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;32875.45
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;False
SERVICES;garage;True
SERVICES;university;False
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;True
SERVICES;admin;False
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Spa Treatment;0.15,0.0;18500;Rest and Relaxation;entertain_spa.png;Send your crew to the spa, let them rest and relax for awhile. 15% Morale Boost.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;8;0.93;npc_ship_data_(pirate_frigate_1).txt
MERC;9;0.76;npc_ship_data_(battle_shuttle_1).txt
MERC;6;1.49;npc_ship_data_(recon_escort_1).txt
MERC;6;1.66;npc_ship_data_(pirate_carrier_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
BUYORDER;Market Items Req: (3) Items ;325x559,320x243,324x702;85314;75288.42
ITEM;2289;5;0.53;9615.375
ITEM;1560;2;1.21;9615.375
ITEM;1610;8;0.72;9615.375
ITEM;2319;6;0.91;9615.375
ITEM;1500;1;0.77;9615.375
ITEM;2264;3;0.83;9615.375
ITEM;1590;2;1.15;9615.375
ITEM;1110;9;0.78;676.2177
ITEM;2170;8;0.81;8471.984
ITEM;406;4;1.15;32.42424
ITEM;403;7;0.64;32.42424
ITEM;101;145;0.90;32.42424
ITEM;168;56;0.70;32.42424
ITEM;606;26;0.72;32.42424
ITEM;605;5;0.43;32.42424
ITEM;603;5;0.25;32.42424
ITEM;325;0;2.50;32.42424
ITEM;404;1;1.24;32.42424
ITEM;300;3;0.54;32.42424
ITEM;301;1;1.12;140.2134
ITEM;2030;25;0.74;140.2134
ITEM;2031;150;0.25;140.2134
ITEM;2032;30;0.69;140.2134
ITEM;2033;150;0.25;140.2134
ITEM;2126;6;0.66;140.2134
ITEM;63;41;0.77;140.2134
ITEM;660;2;0.91;140.2134
ITEM;2034;44;0.70;420.4739
ITEM;2035;25;0.70;420.4739
ITEM;2036;129;0.44;420.4739
ITEM;2037;150;0.25;420.4739
ITEM;2118;17;0.77;420.4739
ITEM;322;0;2.50;420.4739
ITEM;151;76;0.93;420.4739
ITEM;2038;43;0.77;420.4739
ITEM;1120;7;0.82;420.4739
ITEM;2039;128;0.28;420.4739
ITEM;2115;12;1.10;420.4739
ITEM;324;0;2.50;420.4739
ITEM;1001;6;0.79;420.4739
ITEM;2110;2;0.83;420.4739
ITEM;1003;3;0.92;420.4739
ITEM;1002;1;0.78;420.4739
ITEM;604;28;0.68;74001.41
ITEM;405;1;0.94;74001.41
ITEM;602;31;0.77;74001.41
ITEM;681;15;1.22;74001.41
ITEM;748;2;1.04;153141.5
ITEM;731;8;0.91;131773.9
ITEM;746;5;1.13;131773.9
ITEM;1170;5;1.08;131773.9
ITEM;2210;4;0.66;131773.9
ITEM;20;80;0.85;73.03692
ITEM;41;1;0.94;17.33318
ITEM;51;35;1.13;17.33318
ITEM;2119;1;0.72;17.33318
ITEM;742;1;0.98;17.33318
ITEM;692;16;0.91;17.33318
ITEM;1460;5;0.87;17.33318
ITEM;158;89;1.16;17.33318
ITEM;2434;6;0.75;17.33318
ITEM;155;87;0.54;17.33318
ITEM;320;19;1.05;17.33318
ITEM;672;17;1.16;221587
ITEM;157;95;1.11;221587
ITEM;321;0;2.50;221587
ITEM;601;35;0.78;221587
ITEM;150;96;0.82;221587
ITEM;1200;2;1.21;4955.08
ITEM;407;2;0.95;4955.08
ITEM;103;79;0.81;4955.08
ITEM;607;5;0.72;4955.08
ITEM;1160;3;0.94;2278.96
ITEM;600;5;0.25;2278.96
ITEM;1150;7;0.64;1317.989
ITEM;1100;8;1.20;547.9296
ITEM;43;6;0.87;25.50792
ITEM;1050;7;0.54;25.50792
ITEM;164;27;0.76;25.50792
ITEM;1400;6;0.70;25.50792
ITEM;2240;6;0.69;25.50792
ITEM;723;9;0.56;2736.538
ITEM;2550;1;0.80;2736.538
ITEM;755;4;0.88;2736.538
ITEM;608;5;0.75;2736.538
ITEM;323;0;2.50;2736.538
ITEM;152;86;0.94;10.28379
ITEM;156;34;0.74;10.28379
ITEM;609;32;0.70;10.28379
ITEM;1054;5;0.65;10.28379
ITEM;2150;7;0.91;10.28379
ITEM;640;1;0.70;10.28379
ITEM;749;1;0.74;158295.7
ITEM;760;7;0.64;158295.7
ITEM;2125;17;0.68;158295.7
ITEM;2127;47;1.22;158295.7
ITEM;100;67;0.98;158295.7
ITEM;408;7;0.82;158295.7
ITEM;1470;9;0.71;158295.7
</MARKET>
// SKILLS;Skill_id;Price_modifier
<SKILLS>
SKILL;26;0.81
SKILL;59;1.21
SKILL;31;1.89
SKILL;15;1.47
SKILL;13;0.98
</SKILLS>
// MISSION , dbid , timer, id, data, title, factionid
<MISSIONS>
MISSION;60;140;896588;HARVEST#70#1#sector_3.txt#sector_56_station_0.txt#null#null#null#null;Harvest <color='yellow'>Special Adamyte Ore</color> in <color='cyan'>Starfort Ramos</color> and return with <color='yellow'>70</color> ore to Transporteers in <color='cyan'>Hunu</color>;6;A local prospector, <i>Velwo Wenbacweli</i> of the Pirate faction has located a light quantity of special <color='yellow'>Special Adamyte Ore</color> in the <color='cyan'>Starfort Ramos</color> sector. Head over there and harvest all of the special <color='yellow'>Special Adamyte Ore</color>, and meet <i>Velwo Wenbacweli</i> back at Transporteers station located in the <color='cyan'>Hunu</color>.;9280;4000
MISSION;140;120;505803;REFINE#3#24#sector_15_station_0.txt#sector_35_station_0.txt#null#null#null#null;Dock at the Crystalis Broadcasting station refinery in <color='cyan'>Jermicus</color> and process a light shipment of <color='yellow'>3</color> <color='yellow'>Electronic Fragments</color>;7;<i>Jancoya Zerastuo</i> runs a Outlaw shipping company at Astrox Security Patrol. After having some issues with a transport ship, <color='yellow'>3</color> items of <color='yellow'>Electronic Fragments</color> were left behind. Head on over to <color='cyan'>Jermicus</color> and refine these <color='yellow'>Electronic Fragments</color> at the Crystalis Broadcasting refinery.;14225;4400
MISSION;40;120;859805;SCAN_PILOT#sector_35_station_0.txt#sector_95.txt#Entertainer Ronvis Oivis#npc_ship_data_(battle_frigate_2)#22#null#null#null;Locate and scan <color='yellow'><i>Entertainer Ronvis Oivis</i></color> in <color='cyan'>Temple Gates</color> and return to Astrox Security Patrol in <color='cyan'>Felishar</color>;7;<i>Paese Wenbac</i> has requested a location verification on a recent employee. <color='yellow'><i>Entertainer Ronvis Oivis</i></color> is supposed to be running a survey in <color='cyan'>Temple Gates</color>. Please verify the location of this pilot by scanning their ship and return to Astrox Security Patrol in <color='cyan'>Felishar</color>.;10968;3875
MISSION;61;140;866829;HARVEST#110#3#sector_38.txt#sector_3_station_0.txt#null#null#null#null;Mine <color='yellow'>Special Quazor Ore</color> in <color='cyan'>Equalias Val</color> and return with <color='yellow'>110</color> to Daemon Ammunitions in <color='cyan'>Starfort Ramos</color>;7;While collecting some junk in the <color='cyan'>Equalias Val</color> system, <i>Bembem Eifu</i> discovered a light haul of <color='yellow'>110</color> <color='yellow'>Special Quazor Ore</color>. Unable to collect the material alone, <i>Bembem Eifu</i> has requested that a capable pilot harvest the <color='yellow'>Special Quazor Ore</color> and drop it off at the Daemon Ammunitions station located in the <color='cyan'>Starfort Ramos</color>.;13066;5100
MISSION;11;120;764577;DELIVERY#6#7#sector_35_station_0.txt#sector_0_station_2.txt#null#null#null#null;Deliver light container of <color='yellow'>6</color> <color='yellow'>Dynex Ores</color> to Astrox Security Patrol Station in <color='cyan'>Felishar</color>;7;The Outlaw Faction has commissioned a transport liaison, <i>Lomqi Bohore</i> at StarGypsy Warehouse. After an audit, <color='yellow'>6</color> items of <color='yellow'>Dynex Ores</color> were left un accounted for. Head on over to <color='cyan'>Felishar</color> and deliver these <color='yellow'>Dynex Ores</color> to Astrox Security Patrol.;8600;2000
MISSION;81;120;454652;RECOVER#1#27#sector_16.txt#sector_57_station_0.txt#null#null#null#null;Locate a light <color='yellow'>Crate</color> in the <color='cyan'>Entropy</color> sector, recover the <color='yellow'>1</color> <color='yellow'>Engine Component</color> and return to OmniTrust in <color='cyan'>Ponze</color>;6;<i>Buefou Genbac</i> has lost track of a shipment crate from his last haul. It has been reported found in <color='cyan'>Entropy</color>. In an effort to save time, <i>Buefou Genbac</i> has sub-contracted the task of returning the light shipment to OmniTrust in <color='cyan'>Ponze</color>. The Pirate faction is aware of the situation and has sent a representative to OmniTrust.;14411;5625
MISSION;30;240;642709;TRANSPORT#87#166#sector_95_station_0.txt#sector_14_station_1.txt#null#null#null#null;Transport a light shipment of <color='yellow'>87</color> <color='yellow'>Mechanical Belts</color> from Star Shepards Hub in <color='cyan'>Temple Gates</color> to Horizons in <color='cyan'>Gate of Alpharis</color>;6;Transport manager <i>Pastdes Oixad</i> has requested a transport of a light shipment of <color='yellow'>87</color> <color='yellow'>Mechanical Belts</color>. They need to be picked up at the storage facility at Star Shepards Hub in <color='cyan'>Temple Gates</color>, and transported to Horizons in <color='cyan'>Gate of Alpharis</color>. <i>Pastdes Oixad</i> will be waiting at Horizons to receive the shipment. ;9120;2850
MISSION;130;140;704553;SALVAGE#4#20#sector_96.txt#sector_99_station_0.txt#null#null#null#null;Salvage <color='yellow'>Special Junk Part</color> in <color='cyan'>Arch of Mori</color> and return with <color='yellow'>4</color> to Ferce Hub in <color='cyan'>Semja</color>;6;A local prospector, <i>Yitpa Mosriswo</i> of the Pirate faction has located a light quantity of special <color='yellow'>Special Junk Part</color> in the <color='cyan'>Arch of Mori</color> sector. Head over there and salvage all of the special <color='yellow'>Special Junk Part</color>, and meet <i>Yitpa Mosriswo</i> back at Ferce Hub station located in the <color='cyan'>Semja</color>.;11529;4500
MISSION;62;140;428768;HARVEST#104#3#sector_38.txt#sector_56_station_1.txt#null#null#null#null;Excavate <color='yellow'>Special Quazor Ore</color> in <color='cyan'>Equalias Val</color> and return with <color='yellow'>104</color> to ValueStar in <color='cyan'>Hunu</color>;6;<i>Nodes Nineemi</i> has discovered a light deposit of <color='yellow'>Special Quazor Ore</color> in <color='cyan'>Equalias Val</color>. He is currently unable to mine the <color='yellow'>Special Quazor Ore</color>, and has requested a pilot to head over and harvest the <color='yellow'>104</color> <color='yellow'>Special Quazor Ore</color>. Once complete, head over and meet <i>Nodes Nineemi</i> at the ValueStar station located in the <color='cyan'>Hunu</color>.;14219;5550
MISSION;153;150;103084;FABRICATE#31#2459#sector_78_station_0.txt#sector_95_station_1.txt#null#null#null#null;Produce a medium shipment of <color='yellow'>31</color> <color='yellow'>Motion Sensors</color> in <color='cyan'>Bitcola</color> at the Tella's station fabricator;8;Acrondia Hub Station has contacted our client informing them of some medium cargo that remains missing by a former employee, <i>Caport Vozoan</i> of the Sovereign Faction. <color='yellow'>31</color> <color='yellow'>Motion Sensors</color> production run in <color='cyan'>Bitcola</color>, at the Tella's fabricator.;14840;5600
MISSION;40;120;273403;SCAN_PILOT#sector_56_station_1.txt#sector_0.txt#Sir Peisiv Xuluo#npc_ship_data_(transport_frigate_1)#4#null#null#null;Locate and scan <color='yellow'><i>Sir Peisiv Xuluo</i></color> in <color='cyan'>Void Starcross</color> and return to ValueStar in <color='cyan'>Hunu</color>;6;<i>Fonbar Nineilsdo</i> has requested a location verification on a recent employee. <color='yellow'><i>Sir Peisiv Xuluo</i></color> is supposed to be running a survey in <color='cyan'>Void Starcross</color>. Please verify the location of this pilot by scanning their ship and return to ValueStar in <color='cyan'>Hunu</color>.;8215;3100
MISSION;121;120;432468;CHAT_PILOT#sector_3_station_0.txt#sector_0.txt#Sir Qocee Jalisao#npc_ship_data_(support_frigate_1)#18#missions_debt_collection.txt#0#null;Chat with <color='yellow'><i>Sir Qocee Jalisao</i></color> about his debt in <color='cyan'>Void Starcross</color> and return to Daemon Ammunitions in <color='cyan'>Starfort Ramos</color>;6;<i>Lesdie Laresza</i> has requested that debt be collected from <color='yellow'><i>Sir Qocee Jalisao</i></color>. After 3 payments to the Pirate faction for transport fines, <color='yellow'><i>Sir Qocee Jalisao</i></color> has refused to make any further payments. Last known sighting of <color='yellow'><i>Sir Qocee Jalisao</i></color> was in the vicinity of the <color='cyan'>Void Starcross</color> system. Have a chat with them, collect the debt, and return to the Daemon Ammunitions in the <color='cyan'>Starfort Ramos</color> system to deliver the payment.;17225;6500
MISSION;81;120;516286;RECOVER#1#1017#sector_78.txt#sector_56_station_0.txt#null#null#null#null;Locate a light <color='yellow'>Crate</color> in the <color='cyan'>Bitcola</color> sector, recover the <color='yellow'>1</color> <color='yellow'>Acrondia 60mm Dual Howitzer</color> and return to Transporteers in <color='cyan'>Hunu</color>;7;<i>Tadfae Sivjangale</i> has lost track of a shipment crate from his last haul. It has been reported found in <color='cyan'>Bitcola</color>. In an effort to save time, <i>Tadfae Sivjangale</i> has sub-contracted the task of returning the light shipment to Transporteers in <color='cyan'>Hunu</color>. The Outlaw faction is aware of the situation and has sent a representative to Transporteers.;12124;3750
MISSION;71;180;699770;ESCORT#sector_95_station_1.txt#sector_0_station_5.txt#Professor Ueto Whimahin#npc_ship_data_(kj_escort_1)#6#null#null#null;<color='yellow'><i>Professor Ueto Whimahin</i></color> requests an escort from Acrondia Hub in <color='cyan'>Temple Gates</color> to Proctors Center in <color='cyan'>Void Starcross</color>;7;The Astrox Security Patrol has posted a contract for the safe delivery of a <color='yellow'><i>Professor Ueto Whimahin</i></color>, wanted for questioning in a non-violent incident a few cycles ago in the <color='cyan'>Temple Gates</color> system. Escort <color='yellow'><i>Professor Ueto Whimahin</i></color> from Acrondia Hub to Proctors Center in the <color='cyan'>Void Starcross</color> system.;7095;1650
MISSION;121;120;215786;CHAT_PILOT#sector_0_station_5.txt#sector_79.txt#Entertainer Oazeno Johsoue#npc_ship_data_(kj_shuttle_2)#24#missions_debt_collection.txt#0#null;Chat with <color='yellow'><i>Entertainer Oazeno Johsoue</i></color> about his debt in <color='cyan'>Dragon Sea</color> and return to Proctors Center in <color='cyan'>Void Starcross</color>;7;<i>Sivsev Bastyandie</i> has requested that debt be collected from <color='yellow'><i>Entertainer Oazeno Johsoue</i></color>. After 3 payments to the Outlaw faction for transport fines, <color='yellow'><i>Entertainer Oazeno Johsoue</i></color> has refused to make any further payments. Last known sighting of <color='yellow'><i>Entertainer Oazeno Johsoue</i></color> was in the vicinity of the <color='cyan'>Dragon Sea</color> system. Have a chat with them, collect the debt, and return to the Proctors Center in the <color='cyan'>Void Starcross</color> system to deliver the payment.;17050;3250
MISSION;43;150;785858;SCAN_PILOT#sector_0_station_4.txt#sector_3.txt#Professor Astreno Viheabaz#npc_ship_data_(support_escort_2)#15#null#null#null;Recon <color='yellow'><i>Professor Astreno Viheabaz</i></color> in <color='cyan'>Starfort Ramos</color> and return to Starbase Corporate Center in <color='cyan'>Void Starcross</color>;6;<i>Bunfou Bidbinokin</i> is currently under contract to provide scan data records for a <color='yellow'><i>Professor Astreno Viheabaz</i></color> located in the <color='cyan'>Starfort Ramos</color>. After a recent injury, He has decided to sub-contract this task while in recovery. Head over to Starbase Corporate Center in <color='cyan'>Void Starcross</color> with the scan data for <color='yellow'><i>Professor Astreno Viheabaz</i></color> in <color='cyan'>Starfort Ramos</color>.;14506;5125
MISSION;82;120;587331;RECOVER#20#332#sector_35.txt#sector_78_station_0.txt#null#null#null#null;Retrieve a light cache of <color='yellow'>20</color> <color='yellow'>Communication Devices</color> from a <color='yellow'>crate</color> in <color='cyan'>Felishar</color> sector, drop at Tella's in <color='cyan'>Bitcola</color>;6;After a skirmish in <color='cyan'>Felishar</color>, the Pirate's <i>Sawbar Borfae</i> cannot account for a light shipment of <color='yellow'>Communication Devices</color> he was transporting before the attack. Head out to the <color='cyan'>Felishar</color> sector and look for the crate. When found, take the contents of the crate back to the Tella's station in the <color='cyan'>Bitcola</color> sector.;11600;5000
MISSION;130;140;792349;SALVAGE#3#20#sector_3.txt#sector_56_station_0.txt#null#null#null#null;Salvage <color='yellow'>Special Junk Part</color> in <color='cyan'>Starfort Ramos</color> and return with <color='yellow'>3</color> to Transporteers in <color='cyan'>Hunu</color>;7;A local prospector, <i>Cievis Restlockiero</i> of the Outlaw faction has located a light quantity of special <color='yellow'>Special Junk Part</color> in the <color='cyan'>Starfort Ramos</color> sector. Head over there and salvage all of the special <color='yellow'>Special Junk Part</color>, and meet <i>Cievis Restlockiero</i> back at Transporteers station located in the <color='cyan'>Hunu</color>.;9150;3750
MISSION;30;240;309505;TRANSPORT#3#1582#sector_3_station_0.txt#sector_56_station_1.txt#null#null#null#null;Transport a light shipment of <color='yellow'>3</color> <color='yellow'>Advanced Energy Generators</color> from Daemon Ammunitions in <color='cyan'>Starfort Ramos</color> to ValueStar in <color='cyan'>Hunu</color>;6;Transport manager <i>Xenmos Bueop</i> has requested a transport of a light shipment of <color='yellow'>3</color> <color='yellow'>Advanced Energy Generators</color>. They need to be picked up at the storage facility at Daemon Ammunitions in <color='cyan'>Starfort Ramos</color>, and transported to ValueStar in <color='cyan'>Hunu</color>. <i>Xenmos Bueop</i> will be waiting at ValueStar to receive the shipment. ;9690;2850
MISSION;13;150;392468;DELIVERY#2#1058#sector_14_station_1.txt#sector_0_station_1.txt#null#null#null#null;Take medium shipment of <color='yellow'>2</color> <color='yellow'>Assault x7 Launchers</color> and deliver to <color='cyan'>Gate of Alpharis</color> and dock at Horizons Station;6;Lammassu Financial Station has contacted our client informing them of some medium cargo that remains unclaimed by a former employee, <i>Bunuo Anleatu</i> of the Pirate Faction. <color='yellow'>2</color> <color='yellow'>Assault x7 Launchers</color> need to be delivered to <color='cyan'>Gate of Alpharis</color>, Horizons Station.;11270;2300
MISSION;40;120;811932;SCAN_PILOT#sector_56_station_0.txt#sector_95.txt#Bishop Witxe Dierast#npc_ship_data_(recon_cruiser_1)#11#null#null#null;Locate and scan <color='yellow'><i>Bishop Witxe Dierast</i></color> in <color='cyan'>Temple Gates</color> and return to Transporteers in <color='cyan'>Hunu</color>;6;<i>Ilsils Yanrest</i> has requested a location verification on a recent employee. <color='yellow'><i>Bishop Witxe Dierast</i></color> is supposed to be running a survey in <color='cyan'>Temple Gates</color>. Please verify the location of this pilot by scanning their ship and return to Transporteers in <color='cyan'>Hunu</color>.;12102;3875
</MISSIONS>
// SHIP HANGAR;count;Price_modifier;Ship_filename
<HANGAR>
SHIP;1;0.98;ship_data_(excavation_escort_1).txt
SHIP;2;1.08;ship_data_(battle_utility_1).txt
SHIP;3;1.08;ship_data_(recon_shuttle_1).txt
SHIP;4;0.94;ship_data_(pirate_frigate_1).txt
SHIP;5;0.91;ship_data_(transport_escort_1).txt
SHIP;6;1.02;ship_data_(recon_escort_1).txt
</HANGAR>
// STORAGE;item_id;Qty;0
<STORAGE>

