// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Astrox Security Patrol
STATION;type;Training Post
STATION;owner;Bidres Oisedar
STATION;faction;Law
STATION;material;station_material_Law.png
STATION;color;0 , .60 , 1 , 1
STATION;level;8
STATION;icon;asp.png
STATION;filename;sector_50_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;2-6-0-4-8-0-3-1-4-5-2-5-0
STATION;interior_seed;5-7-15-3
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;False
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;False
SERVICES;contracts;False
SERVICES;admin;False

// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Pod Racing event;0.25,0.0;40000;Sport Racing Event;entertain_race.png;All expense paid trip to the weekly 'Astrox Pod Racing' (APR) event. 25% Morale Boost.
ENTERTAINMENT;Private Concert;0.25,0.09;50000;Musical Entertainment;entertain_show.png;Provide a private concert for your entire crew, drinks and food included. 25% Morale , 9% Loyalty bonus.
ENTERTAINMENT;Bottle of Whiskey;0.025,0.0;850;Whiskey;entertain_bar.png;Purchase a bottle of whiskey for each of your fleet members. 2.5% Morale bonus.
ENTERTAINMENT;Private Party;0.10,0.0;2700;Party;entertain_bar.png;Throw a private party at the local station pub for your entire fleet. 10% Morale Boost.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;4;0.97;npc_ship_data_(recon_frigate_1).txt
MERC;5;1.42;npc_ship_data_(battle_shuttle_1).txt
MERC;4;0.86;npc_ship_data_(pirate_utility_1).txt
MERC;8;1.38;npc_ship_data_(transport_carrier_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
BUYORDER;Purchasing (1) Items ;405x1534;42238;102946.90
ITEM;2001;31;0.61;60.93053
ITEM;2187;12;1.08;60.93053
ITEM;2364;67;1.13;60.93053
ITEM;2144;58;0.69;60.93053
ITEM;2192;26;0.86;60.93053
ITEM;2380;12;0.57;54804.02
ITEM;2462;43;0.61;54804.02
ITEM;2344;51;1.07;54804.02
ITEM;2553;41;0.70;54804.02
ITEM;2284;4;0.78;9074.424
ITEM;2269;13;0.98;9074.424
ITEM;2102;12;0.99;9074.424
ITEM;2145;60;0.80;9074.424
ITEM;2137;19;0.66;9074.424
ITEM;2181;73;0.66;9074.424
ITEM;2142;22;0.88;9074.424
ITEM;2503;12;1.04;9074.424
ITEM;2402;34;0.62;9074.424
ITEM;2492;64;0.81;9074.424
ITEM;2106;24;1.09;9074.424
ITEM;2195;78;1.21;9074.424
ITEM;2560;42;1.15;9074.424
ITEM;2338;5;1.08;9074.424
ITEM;2488;18;1.19;9074.424
ITEM;2530;30;0.99;30812.06
ITEM;2482;4;0.64;30812.06
ITEM;2300;79;0.80;30812.06
ITEM;2212;36;0.88;30812.06
ITEM;2388;11;0.58;30812.06
ITEM;2225;76;1.21;30812.06
ITEM;2423;69;0.74;30812.06
</MARKET>
// SKILLS;Skill_id;Price_modifier
<SKILLS>
SKILL;60;0.86
SKILL;230;0.85
SKILL;41;1.15
SKILL;11;0.62
SKILL;223;1.75
SKILL;25;1.74
SKILL;2;1.32
</SKILLS>
// MISSION , dbid , timer, id, data, title, factionid
<MISSIONS>
</MISSIONS>
// SHIP HANGAR;count;Price_modifier;Ship_filename
<HANGAR>
SHIP;1;1.09;ship_data_(battle_escort_1).txt
SHIP;2;1.06;ship_data_(battle_utility_1).txt
SHIP;3;0.93;ship_data_(support_cruiser_1).txt
SHIP;4;0.91;ship_data_(excavation_shuttle_1).txt
</HANGAR>
// STORAGE;item_id;Qty;0
<STORAGE>
