// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Inovex
STATION;type;Fabrication Plant
STATION;owner;Paxon Sipleskol
STATION;faction;Trade
STATION;material;station_material_Trade.png
STATION;color;.70 , 1, .23 , 1
STATION;level;6
STATION;icon;inovex.png
STATION;filename;sector_71_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;3-1-1-2-8-0-7-1-7-7-3-3-1-6-7-2-7-0
STATION;interior_seed;3-4-0-8
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;False
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;False
SERVICES;storage;False
SERVICES;fabricator;True
SERVICES;contracts;True
SERVICES;admin;False

// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Deathmatch League;0.15,0.08;68500;Sport Fighting Event;entertain_fight.png;Tickets to the Deathmatch League, where your entire fleet will enjoy a evening of bloodsport. 15% Morale , 8% Loyalty bonus.
ENTERTAINMENT;Private Concert;0.25,0.09;50000;Musical Entertainment;entertain_show.png;Provide a private concert for your entire crew, drinks and food included. 25% Morale , 9% Loyalty bonus.
ENTERTAINMENT;Astrox Opera House;0.26,0.07;51000;Musical Entertainment;entertain_opera.png;Provide a private opera concert for your entire crew at the famous 'Astrox Opera House', drinks and food included. 26% Morale , 7% Loyalty bonus.
ENTERTAINMENT;Karaoke Night;0.15,0.05;15000;Musical Entertainment;entertain_show.png;Your fleet is treated to a night of karaoke at the local music tavern. 15% Morale , 5% Loyalty bonus.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;2;1.76;npc_ship_data_(pirate_carrier_1).txt
MERC;4;1.70;npc_ship_data_(battle_cruiser_1).txt
MERC;5;1.75;npc_ship_data_(transport_utility_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
SELLORDER;Market Stock: (1) Items ;2042x198;152696;44566.55
ITEM;1650;39;1.15;6457.139
ITEM;1531;50;1.06;6457.139
ITEM;1766;35;0.60;6457.139
ITEM;1544;36;0.78;163374.1
ITEM;62;90;0.87;163374.1
ITEM;2651;19;0.63;163374.1
ITEM;42;130;0.82;163374.1
ITEM;2118;273;1.15;163374.1
ITEM;2112;79;1.17;163374.1
ITEM;2115;19;0.66;163374.1
ITEM;70;234;0.87;163374.1
ITEM;2116;297;0.87;74.17232
ITEM;2650;293;1.20;74.17232
ITEM;2111;2;0.88;74.17232
ITEM;2124;195;0.94;852.1374
ITEM;2123;192;1.02;852.1374
ITEM;2125;79;1.23;852.1374
ITEM;2652;56;0.97;852.1374
ITEM;75;209;1.08;852.1374
ITEM;52;31;1.16;852.1374
ITEM;2131;29;1.26;202.3161
ITEM;50;244;0.96;20.32908
ITEM;2129;130;0.91;20.32908
ITEM;53;115;1.06;20.32908
ITEM;2114;173;0.71;20.32908
ITEM;51;134;0.80;20.32908
ITEM;60;59;1.02;20.32908
ITEM;77;275;0.59;20.32908
ITEM;2120;13;0.57;20.32908
ITEM;2127;22;1.00;20.32908
ITEM;2119;217;1.06;20.32908
ITEM;730;103;0.65;23254.1
ITEM;759;42;0.86;23254.1
ITEM;747;86;1.04;23254.1
ITEM;720;95;1.16;6118.171
ITEM;702;82;0.71;6118.171
ITEM;746;28;0.64;22533.65
ITEM;736;102;0.88;22533.65
ITEM;741;74;1.19;47501.88
ITEM;751;27;0.60;47501.88
ITEM;726;105;0.76;47501.88
ITEM;742;35;1.25;47501.88
ITEM;680;89;0.86;47501.88
ITEM;733;90;0.91;47501.88
ITEM;737;28;0.99;47501.88
ITEM;671;60;1.02;47501.88
ITEM;722;96;0.88;47501.88
ITEM;690;19;1.04;47501.88
ITEM;753;93;0.57;47501.88
ITEM;750;55;0.72;8699.479
ITEM;740;90;1.17;15501.95
ITEM;743;111;1.07;154355
ITEM;744;84;0.71;143894.8
ITEM;674;45;1.10;143894.8
ITEM;681;91;1.00;143894.8
ITEM;752;49;1.13;143894.8
ITEM;677;19;0.53;143894.8
ITEM;701;93;0.59;2252.319
ITEM;738;94;0.78;2252.319
ITEM;692;62;0.80;2252.319
ITEM;676;85;1.02;2252.319
ITEM;757;105;1.21;2252.319
ITEM;601;17;1.00;2252.319
ITEM;620;28;1.04;2252.319
ITEM;622;6;1.11;2252.319
ITEM;662;17;0.77;11064.22
ITEM;643;21;0.61;11064.22
ITEM;603;4;0.66;25881.62
ITEM;640;2;0.60;25881.62
ITEM;604;28;0.61;25881.62
ITEM;661;4;1.15;10113.43
ITEM;600;20;1.20;10113.43
ITEM;645;1;1.09;10113.43
ITEM;625;23;0.73;10113.43
ITEM;664;14;0.91;99817.7
ITEM;642;23;0.80;99817.7
ITEM;660;13;0.79;3241.773
ITEM;641;16;0.70;3241.773
ITEM;605;27;1.07;3241.773
ITEM;644;20;0.51;3241.773
ITEM;624;2;0.54;52634.21
ITEM;623;20;0.97;41752.97
ITEM;621;23;1.24;41752.97
ITEM;602;6;1.06;41752.97
ITEM;663;25;0.58;41752.97
ITEM;665;13;0.89;41752.97
ITEM;333;3;0.89;41752.97
ITEM;343;1;0.94;41752.97
ITEM;312;34;1.03;41752.97
ITEM;403;44;1.22;24.95278
ITEM;342;55;0.57;24.95278
ITEM;405;46;1.00;24.95278
ITEM;313;3;1.08;24.95278
ITEM;311;35;0.82;24.95278
ITEM;325;41;1.02;24.95278
ITEM;330;38;0.94;24.95278
ITEM;324;24;1.11;24.95278
ITEM;323;11;0.92;29.73422
ITEM;300;11;0.94;29.73422
ITEM;301;34;0.71;29.73422
ITEM;404;11;0.83;29.73422
ITEM;304;19;1.23;29.73422
ITEM;322;15;0.58;29.73422
ITEM;331;25;0.81;29.73422
ITEM;332;48;0.57;29.73422
ITEM;406;25;1.09;29.5677
ITEM;303;31;1.06;29.5677
ITEM;408;12;1.17;29.5677
ITEM;305;9;0.56;29.5677
ITEM;340;54;0.91;29.5677
ITEM;407;11;1.04;29.5677
ITEM;321;41;0.53;29.5677
ITEM;302;55;0.67;29.5677
ITEM;310;23;1.02;29.5677
ITEM;320;52;0.86;29.5677
ITEM;341;37;0.91;29.5677
ITEM;2;71;0.84;29.5677
ITEM;21;98;1.09;29.5677
ITEM;20;113;1.09;29.5677
ITEM;23;225;0.91;541.9764
ITEM;1;129;0.74;541.9764
ITEM;6;69;0.52;541.9764
ITEM;25;32;0.77;541.9764
ITEM;3;391;0.73;541.9764
ITEM;22;402;0.86;541.9764
ITEM;4;132;0.77;541.9764
ITEM;5;495;0.96;541.9764
ITEM;24;414;0.67;541.9764
ITEM;114;543;0.72;541.9764
ITEM;103;801;1.12;0.9039254
ITEM;105;519;0.92;0.9039254
ITEM;118;251;0.87;0.9039254
ITEM;2000;390;0.83;0.9039254
ITEM;101;701;0.73;0.9039254
ITEM;111;430;0.96;0.9039254
ITEM;113;126;0.71;0.9039254
ITEM;109;291;0.54;0.9039254
ITEM;108;190;0.75;0.9039254
ITEM;110;803;0.88;0.9039254
ITEM;107;286;1.02;0.9039254
ITEM;106;385;0.65;0.9039254
ITEM;104;652;1.01;2.364877
ITEM;112;557;1.02;2.364877
ITEM;100;319;1.25;0.5540877
ITEM;115;194;1.16;28.16796
ITEM;102;165;0.55;28.16796
ITEM;213;227;0.69;28.16796
ITEM;2004;49;0.91;165.2315
ITEM;2019;199;0.89;165.2315
ITEM;160;180;0.97;20.89191
ITEM;205;52;0.50;20.89191
ITEM;2006;505;1.16;20.89191
ITEM;2010;582;0.73;20.89191
ITEM;210;284;1.08;20.89191
ITEM;2012;128;0.69;20.89191
ITEM;2001;362;1.15;20.89191
ITEM;154;426;0.95;20.89191
ITEM;162;256;1.13;20.89191
ITEM;2008;546;1.14;20.89191
ITEM;2018;382;1.00;20.89191
ITEM;164;503;1.16;20.89191
ITEM;150;396;0.71;20.89191
ITEM;167;574;0.89;65.1974
ITEM;156;73;0.96;65.1974
ITEM;2017;528;0.60;65.1974
ITEM;400;396;0.80;866.8814
ITEM;217;7;0.81;125.9931
ITEM;202;175;0.55;125.9931
ITEM;169;532;0.92;125.9931
ITEM;216;562;1.29;186.9177
ITEM;204;250;0.52;39.86675
ITEM;200;214;0.94;39.86675
ITEM;159;201;0.58;39.86675
ITEM;163;375;1.07;39.86675
ITEM;157;423;1.19;45.20078
ITEM;209;54;0.58;45.20078
ITEM;2011;467;1.22;45.20078
ITEM;2002;59;1.12;45.20078
ITEM;2165;33;0.61;45.20078
ITEM;2281;34;1.16;232003.8
ITEM;2466;13;0.52;467.8634
ITEM;2300;27;0.54;467.8634
ITEM;2180;2;0.52;467.8634
ITEM;2381;28;0.96;467.8634
ITEM;2333;20;1.03;467.8634
ITEM;2476;19;1.01;467.8634
ITEM;2270;50;0.73;467.8634
ITEM;2559;3;0.83;467.8634
ITEM;2258;37;1.02;467.8634
ITEM;2283;1;0.70;467.8634
ITEM;2155;21;0.52;467.8634
ITEM;2174;26;0.63;467.8634
ITEM;2438;27;0.70;467.8634
ITEM;2428;22;0.59;467.8634
ITEM;2564;48;0.77;114509.5
ITEM;2467;17;1.07;114509.5
ITEM;2104;53;0.93;114509.5
ITEM;2245;59;1.24;114509.5
ITEM;2141;59;0.96;114509.5
ITEM;2535;2;1.21;114509.5
ITEM;2443;26;0.66;114509.5
ITEM;2302;57;0.95;114509.5
ITEM;2256;40;1.15;114509.5
</MARKET>
// SKILLS;Skill_id;Price_modifier
<SKILLS>
SKILL;44;0.58
SKILL;35;1.33
SKILL;27;1.94
SKILL;225;0.91
SKILL;43;1.53
</SKILLS>
// MISSION , dbid , timer, id, data, title, factionid
<MISSIONS>
</MISSIONS>
// SHIP HANGAR;count;Price_modifier;Ship_filename
<HANGAR>
SHIP;1;1.07;ship_data_(excavation_escort_1).txt
SHIP;2;0.91;ship_data_(transport_shuttle_1).txt
SHIP;3;1.02;ship_data_(battle_shuttle_1).txt
SHIP;4;0.98;ship_data_(pirate_carrier_1).txt
SHIP;5;1.07;ship_data_(support_escort_1).txt
SHIP;6;0.95;ship_data_(battle_utility_1).txt
</HANGAR>
// STORAGE;item_id;Qty;0
<STORAGE>
