// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Fellacore Research Center
STATION;type;Mass Research Lab
STATION;owner;Jacelor King
STATION;faction;Temple
STATION;material;station_material_Temple.png
STATION;color;.60 , .20 , .80 , 1
STATION;level;1
STATION;icon;fellacore_research.png
STATION;filename;sector_100_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;4
STATION;seed;2-3-0-7-1-0-4-0-1-7-1-4-0
STATION;interior_seed;4-0-15-5
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;73208.15
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;False
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;False
SERVICES;admin;False

// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Deathmatch League;0.15,0.08;68500;Sport Fighting Event;entertain_fight.png;Tickets to the Deathmatch League, where your entire fleet will enjoy a evening of bloodsport. 15% Morale , 8% Loyalty bonus.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;5;2;npc_ship_data_(battle_escort_1).txt
MERC;4;1.42;npc_ship_data_(transport_cruiser_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
BUYORDER;Market Out of Stock: (3) Items ;150x1077,164x1041,153x411;55564;140968.00
MISSION;152;120;477732;FABRICATE#19#2478#sector_80_station_0.txt#sector_0_station_5.txt#null#null#null#null;Manufacture <color='yellow'>19</color> <color='yellow'>Large Heatsinks</color> at Genistar station fabricator in <color='cyan'>Blades of Dandrow</color>;9;<i>Pived Welidee</i> from Proctors Center Station has commissioned a production run . He has required a small manufacturing run of <color='yellow'>19</color> <color='yellow'>Large Heatsinks</color>. Set your GPS autopilot to <color='cyan'>Blades of Dandrow</color> and produce these <color='yellow'>Large Heatsinks</color> on site at the Genistar immediately.;18815;5300
MISSION;85;150;102381;RECOVER#3#1115#sector_101.txt#sector_9_station_0.txt#null#null#null#null;Find and recover a medium <color='yellow'>crate</color> in <color='cyan'>Brimstone</color> for <i>Vesgen Yithin</i>, gether <color='yellow'>3</color> <color='yellow'>Blaster x6 Lasers</color> and bring back to Foodmaid Hub in <color='cyan'>Forges of Mintar</color>;9;<i>Vesgen Yithin</i> has requested a recovery contract for a medium sized shipping crate. After a recent accident in the <color='cyan'>Brimstone</color> sector, <i>Vesgen Yithin</i>'s sister was not able to recover the crate, as the injuries she sustained were quite serious. Recover the crate and deliver the <color='yellow'>Blaster x6 Lasers</color> to the Foodmaid Hub station in the <color='cyan'>Forges of Mintar</color> sector.;19124;3563
MISSION;12;120;190015;DELIVERY#4#1617#sector_0_station_4.txt#sector_3_station_0.txt#null#null#null#null;Light delivery of <color='yellow'>4</color> <color='yellow'>Advanced Scan Boosters</color> to Starbase Corporate Center Station in <color='cyan'>Void Starcross</color>;9;<i>Tadga Tafhas</i> from Daemon Ammunitions Station has commissioned a delivery . He has required a small transport delivery of <color='yellow'>4</color> <color='yellow'>Advanced Scan Boosters</color>. Set your GPS autopilot to <color='cyan'>Void Starcross</color> and deliver these <color='yellow'>Advanced Scan Boosters</color> to Starbase Corporate Center immediately.;13115;2150
MISSION;40;120;904522;SCAN_PILOT#sector_35_station_0.txt#sector_102.txt#Enforcer Whonuh Falom#npc_ship_data_(transport_utility_2)#14#null#null#null;Locate and scan <color='yellow'><i>Enforcer Whonuh Falom</i></color> in <color='cyan'>Lightless</color> and return to Astrox Security Patrol in <color='cyan'>Felishar</color>;10;<i>Tafport Portxullom</i> has requested a location verification on a recent employee. <color='yellow'><i>Enforcer Whonuh Falom</i></color> is supposed to be running a survey in <color='cyan'>Lightless</color>. Please verify the location of this pilot by scanning their ship and return to Astrox Security Patrol in <color='cyan'>Felishar</color>.;10230;2325
MISSION;14;150;800156;DELIVERY#8#1779#sector_95_station_1.txt#sector_0_station_4.txt#null#null#null#null;Move medium crate of <color='yellow'>8</color> <color='yellow'>Cloak Boosters</color> to <color='cyan'>Temple Gates</color> and deliver to Acrondia Hub;9;Temple Manufacturing facilities have requested a medium shipment of <color='yellow'>8</color> <color='yellow'>Cloak Boosters</color>. <i>Fonalia Resxiwa</i> will meet you at the Acrondia Hub Station in <color='cyan'>Temple Gates</color> to sign for the delivery.;15250;2500
MISSION;131;140;367741;SALVAGE#8#26#sector_103.txt#sector_14_station_0.txt#null#null#null#null;Salvage <color='yellow'>Special Weapons Component</color> in <color='cyan'>Vindicati</color> and return with <color='yellow'>8</color> to Imperium Republica  in <color='cyan'>Gate of Alpharis</color>;9;While collecting some junk in the <color='cyan'>Vindicati</color> system, <i>Xadwha Moscae</i> discovered a light haul of <color='yellow'>8</color> <color='yellow'>Special Weapons Component</color>. Unable to collect the material alone, <i>Xadwha Moscae</i> has requested that a capable pilot salvage the <color='yellow'>Special Weapons Component</color> and drop it off at the Imperium Republica  station located in the <color='cyan'>Gate of Alpharis</color>.;13859;3200
MISSION;154;150;207266;FABRICATE#67#2426#sector_16_station_0.txt#sector_95_station_1.txt#null#null#null#null;Manufacture a medium crate of <color='yellow'>67</color> <color='yellow'>Nuts And Bolts</color> in <color='cyan'>Entropy</color> at the Rendo Labs fabricator;11;Orthodox Manufacturing facilities have requested a medium production run of <color='yellow'>67</color> <color='yellow'>Nuts And Bolts</color>. <i>Farjo Deetel</i> will meet you at the Rendo Labs Station fabricator in <color='cyan'>Entropy</color> to sign for the product.;21300;6000
MISSION;142;120;136124;REFINE#20#6#sector_14_station_0.txt#sector_0_station_2.txt#null#null#null#null;Refine <color='yellow'>20</color> <color='yellow'>Plasite Ores</color> at Imperium Republica  station refinery in <color='cyan'>Gate of Alpharis</color>;9;<i>Ahbac Famikadd</i> from StarGypsy Warehouse Station has commissioned a refinery run . He has required a small batch of <color='yellow'>20</color> <color='yellow'>Plasite Ores</color> to be processed. Set your GPS autopilot to <color='cyan'>Gate of Alpharis</color> and refine these <color='yellow'>Plasite Ores</color> to Imperium Republica  refinery immediately.;16165;2650
// SHIP HANGAR;count;Price_modifier;Ship_filename
<HANGAR>
SHIP;1;0.92;ship_data_(recon_utility_1).txt
SHIP;2;0.92;ship_data_(transport_utility_3).txt
SHIP;3;0.99;ship_data_(excavation_escort_1).txt
SHIP;5;0.98;ship_data_(battle_escort_1).txt
</HANGAR>
// STORAGE;item_id;Qty;0
<STORAGE>



