// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Legistron
STATION;type;Reclamation Center
STATION;owner;Akno Vakjanco
STATION;faction;Law
STATION;material;station_material_Law.png
STATION;color;0 , .60 , 1 , 1
STATION;level;9
STATION;icon;legistron.png
STATION;filename;sector_40_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;3-9-1-1-3-1-0-1-2-6-2-7-1-3-0-2-7-0
STATION;interior_seed;3-6-45-2
// SERVICES;servicename;bool
SERVICES;lounge;False
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;True
SERVICES;university;False
SERVICES;hangar;False
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;False
SERVICES;admin;True

// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Private Party;0.10,0.0;2700;Party;entertain_bar.png;Throw a private party at the local station pub for your entire fleet. 10% Morale Boost.
ENTERTAINMENT;Deathmatch League;0.15,0.08;68500;Sport Fighting Event;entertain_fight.png;Tickets to the Deathmatch League, where your entire fleet will enjoy a evening of bloodsport. 15% Morale , 8% Loyalty bonus.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;9;0.69;npc_ship_data_(battle_utility_1).txt
MERC;2;1.15;npc_ship_data_(excavation_escort_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
SELLORDER;For Sale: (1) Items ;1161x15;109159;68948.34
ITEM;6;285;0.83;220.5884
ITEM;23;86;0.89;220.5884
ITEM;28;117;0.92;9508.433
ITEM;25;261;1.06;9508.433
ITEM;21;706;0.63;9508.433
ITEM;2;791;0.93;9508.433
ITEM;7;594;0.55;9508.433
ITEM;24;878;1.03;1528.7
ITEM;26;472;1.21;1528.7
ITEM;22;511;0.60;172.1308
ITEM;3;520;0.70;172.1308
ITEM;11;373;0.82;67.94689
ITEM;4;264;0.69;67.94689
ITEM;9;266;0.97;999.9955
ITEM;108;1090;0.57;999.9955
ITEM;107;1120;0.57;4.951137
ITEM;103;429;0.75;4.951137
ITEM;116;638;1.24;4.951137
ITEM;102;629;0.81;1.766942
ITEM;123;403;1.18;1.766942
ITEM;111;409;0.57;11.8362
ITEM;2000;434;0.98;11.8362
ITEM;114;1031;1.05;1.974248
ITEM;121;1243;0.80;1.974248
ITEM;104;214;0.91;2.162837
ITEM;110;1076;1.10;16.76544
ITEM;105;1190;1.14;16.76544
ITEM;112;695;0.55;16.76544
ITEM;124;101;0.63;16.76544
ITEM;113;523;1.03;5.643385
ITEM;109;37;0.98;5.643385
ITEM;117;1092;1.04;5.643385
ITEM;106;483;0.87;7.817168
ITEM;101;933;0.76;7.817168
ITEM;100;683;1.20;7.817168
ITEM;118;1243;0.54;7.817168
ITEM;119;1032;0.93;7.817168
ITEM;115;1070;0.66;15.2682
ITEM;2004;297;0.82;15.2682
ITEM;2021;498;0.65;109.164
ITEM;2001;261;0.54;52.83425
ITEM;2043;322;1.14;52.83425
ITEM;161;852;0.85;19.7464
ITEM;2044;112;1.07;1029.518
ITEM;219;609;0.70;1029.518
ITEM;2045;84;0.81;1029.518
ITEM;2037;29;0.51;1029.518
ITEM;2046;126;0.58;1029.518
ITEM;2031;90;1.17;1029.518
ITEM;208;358;0.88;1029.518
ITEM;168;97;1.19;59.59833
ITEM;203;708;0.60;47.24384
ITEM;202;92;0.75;53.74767
ITEM;155;771;1.18;53.74767
ITEM;2047;516;0.84;53.74767
ITEM;2048;824;0.61;2246.237
ITEM;167;567;0.93;71.54483
ITEM;2038;587;1.11;71.54483
ITEM;162;152;0.81;18.19237
ITEM;152;320;0.86;18.19237
ITEM;2032;606;0.98;447.0878
ITEM;170;707;1.06;48.77711
ITEM;156;835;0.94;48.77711
ITEM;2010;598;0.73;83.20547
ITEM;2019;609;0.71;83.20547
ITEM;2013;460;0.66;95.17875
ITEM;207;754;0.74;95.17875
ITEM;2027;174;1.03;95.17875
ITEM;206;772;1.06;117.1709
ITEM;2009;876;1.13;117.1709
ITEM;211;372;0.60;41.39338
ITEM;2024;718;1.03;713.5945
ITEM;2015;647;0.95;327.7579
ITEM;2012;439;1.19;327.7579
ITEM;214;351;1.20;327.7579
ITEM;169;99;0.59;327.7579
ITEM;2025;834;1.24;327.7579
ITEM;2022;560;0.57;327.7579
ITEM;163;227;0.66;327.7579
ITEM;2030;55;0.74;327.7579
ITEM;2033;352;0.68;327.7579
ITEM;212;705;0.95;74.36487
ITEM;2466;76;0.92;74.36487
ITEM;2201;5;1.05;74.36487
ITEM;2182;40;1.21;74.36487
ITEM;2113;87;1.08;59.00276
ITEM;2392;54;1.02;59.00276
ITEM;2147;62;1.12;3580991
ITEM;2386;26;1.08;3580991
ITEM;2431;57;1.11;3580991
ITEM;2258;75;0.55;3580991
ITEM;2328;44;1.17;5124876
ITEM;2270;72;1.13;5124876
ITEM;2297;16;0.89;493781
ITEM;2120;87;0.86;305.3905
ITEM;2387;65;1.18;305.3905
ITEM;2111;61;1.12;42.19247
ITEM;2340;10;0.93;42.19247
ITEM;2477;64;1.14;42.19247
ITEM;2373;55;1.06;112192.1
ITEM;2285;67;0.60;15440.29
ITEM;2408;52;0.82;15440.29
ITEM;2400;20;1.11;857.0623
ITEM;2548;23;0.80;1369432
ITEM;2131;57;1.19;1369432
ITEM;2510;61;0.65;1369432
ITEM;2414;3;0.77;1369432
ITEM;2287;59;0.78;410649.3
ITEM;2412;53;1.17;5615.408
ITEM;2217;12;1.13;4561985
ITEM;2207;14;1.19;4595889
ITEM;2298;13;0.97;4595889
ITEM;2350;51;0.67;26227.57
ITEM;2319;74;1.25;16935.6
</MARKET>
// SKILLS;Skill_id;Price_modifier
<SKILLS>
SKILL;63;0.54
SKILL;32;1.72
SKILL;6;1.49
SKILL;55;1.93
SKILL;210;1.09
SKILL;17;1.85
SKILL;42;1.42
SKILL;32;0.83
SKILL;225;1.06
</SKILLS>
// MISSION , dbid , timer, id, data, title, factionid
<MISSIONS>
</MISSIONS>
// SHIP HANGAR;count;Price_modifier;Ship_filename
<HANGAR>
SHIP;1;1.08;ship_data_(recon_frigate_1).txt
SHIP;2;1.07;ship_data_(transport_utility_1).txt
SHIP;3;0.91;ship_data_(support_cruiser_1).txt
SHIP;4;1.10;ship_data_(transport_frigate_1).txt
SHIP;5;1.03;ship_data_(excavation_escort_1).txt
SHIP;6;0.97;ship_data_(recon_dreadnought_1).txt
</HANGAR>
// STORAGE;item_id;Qty;0
<STORAGE>
