// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Transporteers
STATION;type;Auction Facility
STATION;owner;Ribres Borxaxon
STATION;faction;Trade
STATION;material;station_material_Trade.png
STATION;color;.70 , 1, .23 , 1
STATION;level;8
STATION;icon;transporteers.png
STATION;filename;sector_56_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;2-9-1-2-0-3-0-0-4-2-1-0-90
STATION;interior_seed;4-7-30-7
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;85814.72
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;False
SERVICES;contracts;True
SERVICES;admin;False
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Deathmatch League;0.15,0.08;68500;Sport Fighting Event;entertain_fight.png;Tickets to the Deathmatch League, where your entire fleet will enjoy a evening of bloodsport. 15% Morale , 8% Loyalty bonus.
ENTERTAINMENT;Live Music Concert;0.20,0.07;25000;Musical Entertainment;entertain_show.png;Your crew is treated to an 'all expenses paid' night at a music venue of their choosing. 20% Morale , 7% Loyalty bonus.
ENTERTAINMENT;Spa Treatment;0.15,0.0;18500;Rest and Relaxation;entertain_spa.png;Send your crew to the spa, let them rest and relax for awhile. 15% Morale Boost.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;8;2.00;npc_ship_data_(pirate_frigate_1).txt
MERC;4;1.99;npc_ship_data_(recon_shuttle_1).txt
MERC;6;0.76;npc_ship_data_(transport_escort_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
SELLORDER;Market Goods: (1) Items ;157x485;14592.00;78810.28
ITEM;1113;31;0.96;5174.27
ITEM;1116;66;0.80;33264.02
ITEM;311;44;0.82;49.46
ITEM;2566;25;0.65;92036.25
ITEM;116;519;1.15;106.90
ITEM;109;476;0.68;2.76
ITEM;353;41;0.71;29.08
ITEM;406;28;0.53;12.13
ITEM;403;2;0.50;8.31
ITEM;101;291;1.02;0.66
ITEM;168;315;0.86;39.74
ITEM;623;36;0.94;40065.63
ITEM;606;8;1.18;406111.80
ITEM;110;514;0.51;6.28
ITEM;605;13;0.83;165915.00
ITEM;603;4;1.15;50565.63
ITEM;325;52;1.19;24.08
ITEM;404;60;0.72;14.53
ITEM;300;14;1.01;54.20
ITEM;301;50;0.54;55.74
ITEM;2496;27;1.06;2333.68
ITEM;332;75;0.66;36.07
ITEM;2031;30;0.56;149.19
ITEM;28;0;1.18;15239.51
ITEM;2032;523;0.95;414.01
ITEM;661;12;0.88;7413.13
ITEM;2033;216;0.97;510.84
ITEM;108;1108;1.12;14.92
ITEM;2003;133;0.74;105.89
ITEM;2126;419;0.86;51.79
ITEM;2126;-99;0.92;56.10
ITEM;660;31;0.99;4256.56
ITEM;2500;46;0.63;4218.41
ITEM;112;475;0.68;15.16
ITEM;2004;432;0.79;138.99
ITEM;2470;1;0.65;1309.47
ITEM;7;286;0.90;281.69
ITEM;1477;52;0.85;106696.90
ITEM;2261;3;1.01;1568363.00
ITEM;643;31;0.92;39065.63
ITEM;11;163;0.78;60.92
ITEM;24;612;1.05;1890.97
ITEM;738;154;1.10;1153575.00
ITEM;2118;29;1.20;371.46
ITEM;27;711;1.05;10212.39
ITEM;322;50;0.65;109.52
ITEM;1021;41;0.98;7403.55
ITEM;2111;50;1.23;45.62
ITEM;151;440;1.22;13.52
ITEM;204;19;1.18;108.30
ITEM;1120;34;0.67;743.84
ITEM;1125;9;0.85;29661.73
ITEM;2187;2;1.12;1960662.00
ITEM;343;63;0.99;116.63
ITEM;341;41;0.72;44.70
ITEM;2039;298;0.96;2887.41
ITEM;2112;276;0.89;37.72
ITEM;2115;6;1.06;78.40
ITEM;324;23;0.84;35.70
ITEM;2006;317;1.16;333.66
ITEM;313;50;1.16;199.77
ITEM;2;171;1.23;30.56
ITEM;405;53;1.06;28.56
ITEM;1025;19;0.54;8347.30
ITEM;602;35;0.60;8072.97
ITEM;675;159;1.09;275880.60
ITEM;759;71;0.68;89316.56
ITEM;679;16;0.77;91540.31
ITEM;29;0;1.28;21487.37
ITEM;102;475;1.07;2.33
ITEM;627;18;1.10;499882.50
ITEM;331;53;0.91;110.91
ITEM;646;23;1.17;402211.90
ITEM;1531;50;1.13;4992.94
ITEM;741;133;0.80;29759.06
ITEM;746;96;0.97;37409.06
ITEM;1571;28;0.70;3245.00
ITEM;1511;79;0.93;9599.97
ITEM;1651;39;0.67;7180.85
ITEM;621;13;0.85;7113.13
ITEM;1541;15;0.80;1725.30
ITEM;730;59;0.58;19859.06
ITEM;751;71;0.70;25259.06
ITEM;2552;34;1.07;502908.80
ITEM;1551;43;0.75;4453.17
ITEM;2320;76;1.15;35541.57
ITEM;1501;59;0.62;1199.86
ITEM;401;582;0.77;1837.12
ITEM;1012;10;0.83;48668.40
ITEM;305;57;1.21;157.59
ITEM;1171;23;1.08;5459.61
ITEM;1173;14;1.22;25086.45
ITEM;105;1163;0.66;5.21
ITEM;2009;676;1.04;500.59
ITEM;2477;46;1.15;1637.32
ITEM;20;256;1.05;111.64
ITEM;41;218;0.93;16.54
ITEM;2119;341;0.74;264.58
ITEM;304;78;1.02;120.74
ITEM;1006;40;0.87;25742.20
ITEM;2105;38;0.65;245430.00
ITEM;742;22;0.66;52131.25
ITEM;747;117;0.79;65131.25
ITEM;677;8;0.79;140032.20
ITEM;2013;108;1.00;148.49
ITEM;733;5;0.98;84131.25
ITEM;211;170;0.92;65.24
ITEM;2014;175;1.05;258.08
ITEM;2480;9;0.78;2179.18
ITEM;752;5;1.13;99131.25
ITEM;2553;46;0.60;553575.00
ITEM;712;130;1.21;160696.90
ITEM;701;6;1.17;5156.56
ITEM;690;156;0.82;10219.69
ITEM;158;40;0.77;28.81
ITEM;4;367;0.95;76.26
ITEM;155;370;0.64;11.18
ITEM;104;588;0.80;1.79
ITEM;350;44;1.09;36.25
ITEM;320;23;0.52;7.70
ITEM;352;43;0.52;82.55
ITEM;680;147;0.80;16532.81
ITEM;672;72;0.89;157775.60
ITEM;740;98;1.18;15619.69
ITEM;674;158;1.22;140570.60
ITEM;750;83;0.96;12319.69
ITEM;756;110;0.87;10969.69
ITEM;678;5;0.77;15782.81
ITEM;157;36;0.71;24.58
ITEM;23;80;1.05;797.40
ITEM;728;91;0.97;12469.69
ITEM;2015;614;0.63;191.96
ITEM;25;110;1.05;3633.86
ITEM;321;36;1.15;189.52
ITEM;121;1198;0.70;28.35
ITEM;106;980;0.51;3.79
ITEM;601;5;1.23;10913.13
ITEM;150;29;0.50;4.12
ITEM;303;68;0.81;56.66
ITEM;342;16;1.19;24.08
ITEM;107;996;0.93;8.47
ITEM;644;35;1.23;141870.60
ITEM;206;657;1.01;106.65
ITEM;1205;27;0.93;13847.97
ITEM;407;55;0.55;177.28
ITEM;103;224;1.21;0.99
ITEM;330;37;0.98;68.82
ITEM;607;18;1.06;479082.50
ITEM;6;739;0.51;90.97
ITEM;2200;55;0.50;11923.31
ITEM;1161;67;0.53;2113.09
ITEM;1166;52;0.65;89479.69
ITEM;2207;49;0.88;3131304.00
ITEM;118;235;0.69;3.03
ITEM;170;76;0.91;39.49
ITEM;1623;60;0.69;39714.68
ITEM;1753;15;1.07;148615.20
ITEM;1573;35;1.06;75253.53
ITEM;600;29;0.87;3656.56
ITEM;2117;230;1.04;243.35
ITEM;2117;-99;0.85;192.05
ITEM;1534;68;1.19;433747.30
ITEM;2365;30;1.00;8545576.00
ITEM;1772;42;0.68;5345.92
ITEM;1767;41;0.65;5062.40
ITEM;1777;44;0.85;6952.02
ITEM;1762;31;0.82;6651.03
ITEM;1584;32;0.76;454004.80
ITEM;1544;78;1.02;224685.00
ITEM;2328;38;0.99;4082327.00
ITEM;1614;78;1.07;239417.10
ITEM;1101;38;0.87;658.18
ITEM;1104;65;1.18;6768.53
ITEM;1105;53;1.04;11626.93
ITEM;1107;45;0.68;27769.33
ITEM;1015;14;1.20;4669.78
ITEM;3;289;1.01;45.31
ITEM;43;129;0.98;28.35
ITEM;53;27;1.05;53.13
ITEM;1055;1;0.73;2483.51
ITEM;2132;28;0.71;57588.30
ITEM;726;98;1.21;16069.69
ITEM;2454;6;0.68;828.75
ITEM;164;601;0.51;8.47
ITEM;114;58;0.62;1.01
ITEM;1400;57;0.68;2977.22
ITEM;1401;5;1.17;10313.13
ITEM;2242;46;0.57;98339.25
ITEM;1403;69;0.96;45172.19
ITEM;2246;27;0.56;1567283.00
ITEM;1407;38;0.52;228787.50
ITEM;21;786;1.05;227.83
ITEM;113;1095;0.77;3.85
ITEM;721;150;1.10;5767.88
ITEM;2016;178;1.15;425.66
ITEM;703;79;1.12;4906.56
ITEM;217;120;0.70;105.53
ITEM;215;426;1.06;143.17
ITEM;755;58;0.77;3787.88
ITEM;159;356;1.07;53.74
ITEM;725;11;0.79;9769.69
ITEM;626;31;0.53;152611.90
ITEM;323;13;0.57;16.43
ITEM;117;482;0.59;25.00
ITEM;152;198;1.11;11.95
ITEM;2428;26;0.85;105.27
ITEM;156;600;0.56;13.95
ITEM;625;8;0.70;134715.00
ITEM;1064;12;1.21;10927.39
ITEM;642;22;0.68;9472.97
ITEM;340;52;1.13;74.74
ITEM;640;12;0.88;3706.56
ITEM;645;14;1.14;240315.00
ITEM;647;1;0.71;297082.50
ITEM;744;158;1.03;222828.10
ITEM;124;368;0.83;70.86
ITEM;2019;377;1.20;1168.19
ITEM;5;386;0.68;82.82
ITEM;75;19;0.63;61.86
ITEM;76;328;1.08;164.73
ITEM;77;253;0.69;130.00
ITEM;78;176;0.75;186.45
ITEM;2124;109;1.16;1078.00
ITEM;2120;364;1.21;434.31
ITEM;2121;92;1.14;531.60
ITEM;2122;57;1.22;735.83
ITEM;2123;293;1.06;788.18
ITEM;2125;310;1.02;1146.15
ITEM;2130;198;1.17;154.80
ITEM;333;23;1.20;348.22
ITEM;22;534;1.05;398.70
ITEM;2022;493;1.24;411.89
ITEM;2116;49;0.91;77.59
ITEM;624;4;1.18;135370.60
ITEM;100;112;1.13;0.50
ITEM;26;746;1.05;6948.76
ITEM;408;1;1.03;4662.46
ITEM;1470;69;0.57;26741.38
</MARKET>
// SKILLS;Skill_id;Price_modifier
<SKILLS>
SKILL;33;0.65
SKILL;24;1.37
SKILL;65;0.89
SKILL;16;0.60
SKILL;51;1.68
SKILL;229;1.16
SKILL;54;0.71
SKILL;14;1.73
SKILL;44;0.66
</SKILLS>
// MISSION , dbid , timer, id, data, title, factionid
<MISSIONS>
MISSION;111;600;407434;KILL_RAIDERS#sector_100_station_0.txt#sector_3.txt#3#10#npc_ship_data_(pirate_shuttle_1)#npc_ship_data_(recon_escort_1)#npc_ship_data_(support_escort_1)#npc_ship_data_(excavation_escort_1);Kill <color='yellow'>3 Raiders</color> level 10 in <color='cyan'>Starfort Ramos</color>. Return to Fellacore Research Center in <color='cyan'>Grace</color>;5;A medium group of thugs decided to set up camp in the <color='cyan'>Starfort Ramos</color> system. <i>Sadvaj Tijofae</i>, who has recently been elected as Overseer of <color='cyan'>Starfort Ramos</color> by the Commerces, has requesting this contract to maintain in good standing with his constituents. Wipe out the level 10 and return to the Fellacore Research Center station.;70729;10800
MISSION;133;170;714318;SALVAGE#48#27#sector_81.txt#sector_14_station_1.txt#null#null#null#null;Dismantle <color='yellow'>Special Engine Component</color> in <color='cyan'>Ferrelis Cove</color> and return to Horizons in <color='cyan'>Gate of Alpharis</color> with minimum of <color='yellow'>48</color>;3;The Trade faction has reported that a special medium load of <color='yellow'>Special Engine Component</color> has been scanned in the <color='cyan'>Ferrelis Cove</color> system. <i>Sevan Gasijid</i> is credited with the find, but His claim is currently invalid. Hurry up and salvage the <color='yellow'>Special Engine Component</color> and return to Horizons, in the <color='cyan'>Gate of Alpharis</color>.;20258;6150
MISSION;135;170;121763;SALVAGE#91#20#sector_77.txt#sector_0_station_3.txt#null#null#null#null;Return to StarShepards Headquarters in <color='cyan'>Void Starcross</color> after salvaging <color='yellow'>Special Junk Part</color> from <color='cyan'>Ballast Crow</color>. <color='yellow'>91</color> required.;3;In the <color='cyan'>Ballast Crow</color> system, scan records have revealed that <color='yellow'>91</color> special <color='yellow'>Special Junk Part</color> have been located in the sector. <i>Qepoe Tarinostra</i> has requested help from the Trade faction, and in turn, they have commissioned a contract order. Once the medium load of <color='yellow'>Special Junk Part</color> has been salvaged, bring it to StarShepards Headquarters station located in the <color='cyan'>Void Starcross</color>.;18975;4125
MISSION;85;150;746517;RECOVER#48#1600#sector_16.txt#sector_40_station_0.txt#null#null#null#null;Find and recover a medium <color='yellow'>crate</color> in <color='cyan'>Entropy</color> for <i>Dagilla Ahbarwa</i>, gether <color='yellow'>48</color> <color='yellow'>Basic Scan Emitters</color> and bring back to Legistron in <color='cyan'>Dogstar Prime</color>;3;<i>Dagilla Ahbarwa</i> has requested a recovery contract for a medium sized shipping crate. After a recent accident in the <color='cyan'>Entropy</color> sector, <i>Dagilla Ahbarwa</i>'s sister was not able to recover the crate, as the injuries she sustained were quite serious. Recover the crate and deliver the <color='yellow'>Basic Scan Emitters</color> to the Legistron station in the <color='cyan'>Dogstar Prime</color> sector.;26159;4750
MISSION;143;150;812089;REFINE#62#5#sector_99_station_0.txt#sector_61_station_0.txt#null#null#null#null;Refine medium shipment of <color='yellow'>62</color> <color='yellow'>Torim Ores</color> in <color='cyan'>Semja</color> at the Ferce Hub station refinery;4;Transporteers Hub Station has contacted our client informing them of some medium cargo that remains unclaimed by former employees, <i>Lelpa Xonro</i> of the Financial Faction. <color='yellow'>62</color> <color='yellow'>Torim Ores</color> need to be refined in <color='cyan'>Semja</color>, at the Ferce Hub Station refinery.;30402;9800
MISSION;10;120;940189;DELIVERY#1#1125#sector_0_station_1.txt#sector_0_station_3.txt#null#null#null#null;Dock at Lammassu Financial in <color='cyan'>Void Starcross</color> to deliver a light shipment of <color='yellow'>1</color> <color='yellow'>Focused x6 Laser</color>;4;<i>Mehin Aodalepi</i> runs a Financial shipping company at StarShepards Headquarters. After having some issues with a transport ship, <color='yellow'>1</color> items of <color='yellow'>Focused x6 Laser</color> were left behind. Head on over to <color='cyan'>Void Starcross</color> and deliver these <color='yellow'>Focused x6 Laser</color> to Lammassu Financial.;11210;950
MISSION;34;300;682772;TRANSPORT#11#1751#sector_60_station_0.txt#sector_56_station_1.txt#null#null#null#null;Transport a shipment of <color='yellow'>11</color> <color='yellow'>Improved Drone Command Bays</color> from Biomart in the <color='cyan'>Veloxi</color> Sector to ValueStar in <color='cyan'>Hunu</color>;5;<i>Tadgot Sivwitta</i> from the Commerce Faction has submitted a medium transport ticket for <color='yellow'>11</color> <color='yellow'>Improved Drone Command Bays</color>. Pick up location: Biomart storage facility in <color='cyan'>Veloxi</color>. Drop off location: ValueStar in <color='cyan'>Hunu</color>. Commerce members will be waiting in <color='cyan'>Hunu</color>.;20203;3600
MISSION;61;140;106798;HARVEST#94#5#sector_98.txt#sector_78_station_0.txt#null#null#null#null;Mine <color='yellow'>Special Torim Ore</color> in <color='cyan'>Shine of Mortalis</color> and return with <color='yellow'>94</color> to Tella's in <color='cyan'>Bitcola</color>;3;While collecting some junk in the <color='cyan'>Shine of Mortalis</color> system, <i>Qufer Mikin</i> discovered a light haul of <color='yellow'>94</color> <color='yellow'>Special Torim Ore</color>. Unable to collect the material alone, <i>Qufer Mikin</i> has requested that a capable pilot harvest the <color='yellow'>Special Torim Ore</color> and drop it off at the Tella's station located in the <color='cyan'>Bitcola</color>.;16385;4250
</MISSIONS>
// SHIP HANGAR;count;Price_modifier;Ship_filename
<HANGAR>
SHIP;1;1.06;ship_data_(recon_cruiser_1).txt
SHIP;2;1.10;ship_data_(transport_cruiser_1).txt
SHIP;3;0.98;ship_data_(recon_frigate_1).txt
SHIP;4;0.98;ship_data_(battle_shuttle_1).txt
SHIP;5;1.04;ship_data_(support_escort_1).txt
</HANGAR>
// STORAGE;item_id;Qty;0
<STORAGE>



