// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;1
STATION;name;Janca Refinery
STATION;type;Refinery
STATION;owner;Erovak Mastgobun
STATION;faction;Alpha
STATION;material;station_material_Alpha.png
STATION;color;1 , .46, .19, 1
STATION;level;8
STATION;icon;janca_refinery.png
STATION;filename;sector_26_station_1.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;2-0-1-2-9-3-4-1-4-1-1-4-0
STATION;interior_seed;5-8-30-0
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;True
SERVICES;university;False
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;False
SERVICES;admin;True

// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Spa Treatment;0.15,0.0;18500;Rest and Relaxation;entertain_spa.png;Send your crew to the spa, let them rest and relax for awhile. 15% Morale Boost.
ENTERTAINMENT;Deathmatch League;0.15,0.08;68500;Sport Fighting Event;entertain_fight.png;Tickets to the Deathmatch League, where your entire fleet will enjoy a evening of bloodsport. 15% Morale , 8% Loyalty bonus.
ENTERTAINMENT;Pod Racing event;0.25,0.0;40000;Sport Racing Event;entertain_race.png;All expense paid trip to the weekly 'Astrox Pod Racing' (APR) event. 25% Morale Boost.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;7;1.04;npc_ship_data_(transport_utility_1).txt
MERC;9;1.82;npc_ship_data_(pirate_utility_1).txt
MERC;1;0.79;npc_ship_data_(recon_shuttle_1).txt
MERC;2;1.05;npc_ship_data_(battle_frigate_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
BUYORDER;Market Needs Goods: (1) Items ;156x166;10691;115671.20
ITEM;690;23;0.81;10186.23
ITEM;674;153;0.87;10186.23
ITEM;677;64;1.15;10186.23
ITEM;740;133;1.12;10186.23
ITEM;747;154;1.05;10186.23
ITEM;750;123;1.17;10186.23
ITEM;727;143;1.04;10186.23
ITEM;711;75;0.62;10186.23
ITEM;746;41;0.70;10186.23
ITEM;738;158;0.62;10186.23
ITEM;680;17;0.86;10186.23
ITEM;673;18;0.65;10186.23
ITEM;758;118;1.10;10186.23
ITEM;749;83;0.78;10186.23
ITEM;722;12;1.13;10186.23
ITEM;732;64;0.57;6646.139
ITEM;736;117;0.55;6646.139
ITEM;720;42;1.09;6646.139
ITEM;726;109;1.08;6646.139
ITEM;692;37;1.22;6646.139
ITEM;733;49;0.75;6646.139
ITEM;702;95;0.92;6646.139
ITEM;703;139;0.68;2748.829
ITEM;729;128;1.33;17937.31
ITEM;751;152;1.25;17937.31
ITEM;679;95;0.64;17937.31
ITEM;734;65;1.03;17937.31
ITEM;743;1;0.62;17937.31
ITEM;681;47;1.15;17937.31
ITEM;665;8;1.23;17937.31
ITEM;640;20;0.58;2261.741
ITEM;604;20;1.00;2261.741
ITEM;623;10;0.84;35330.64
ITEM;603;37;0.87;35330.64
ITEM;663;34;1.18;35330.64
ITEM;660;4;0.51;35330.64
ITEM;621;39;0.77;35330.64
ITEM;664;11;0.93;35330.64
ITEM;627;14;0.56;35330.64
ITEM;643;2;1.02;35330.64
ITEM;625;6;1.17;35330.64
ITEM;661;32;0.54;35330.64
ITEM;644;17;1.24;35330.64
ITEM;642;17;1.21;35330.64
ITEM;641;4;0.80;35330.64
ITEM;624;4;0.61;35330.64
ITEM;600;2;0.84;35330.64
ITEM;620;9;0.60;35330.64
ITEM;626;12;0.50;35330.64
ITEM;666;33;1.06;35330.64
ITEM;646;37;0.56;35330.64
ITEM;622;27;0.91;35330.64
ITEM;601;4;1.02;35330.64
ITEM;605;36;0.96;35330.64
ITEM;607;12;0.77;35330.64
ITEM;606;28;1.21;35330.64
ITEM;647;26;0.83;35330.64
ITEM;602;22;0.81;35330.64
ITEM;312;2;1.20;35330.64
ITEM;343;55;0.84;35330.64
ITEM;351;79;1.22;35330.64
ITEM;302;6;0.94;35330.64
ITEM;310;75;0.76;35330.64
ITEM;404;43;1.01;35330.64
ITEM;332;79;0.75;35330.64
ITEM;403;77;1.03;35330.64
ITEM;304;22;1.26;154.6157
ITEM;340;30;1.05;154.6157
ITEM;300;33;0.83;154.6157
ITEM;301;64;0.57;154.6157
ITEM;341;63;0.70;154.6157
ITEM;311;18;0.75;154.6157
ITEM;325;22;1.07;154.6157
ITEM;330;32;1.07;154.6157
ITEM;321;36;1.19;154.6157
ITEM;331;54;1.07;154.6157
ITEM;350;67;1.06;154.6157
ITEM;342;11;1.04;154.6157
ITEM;305;40;0.99;154.6157
ITEM;353;11;1.09;154.6157
ITEM;352;6;1.10;154.6157
ITEM;303;53;0.67;154.6157
ITEM;408;75;0.95;4290.813
ITEM;407;7;0.55;181.1295
ITEM;333;29;0.82;181.1295
ITEM;405;23;0.64;181.1295
ITEM;406;32;0.94;181.1295
ITEM;313;20;0.92;181.1295
ITEM;320;52;1.17;181.1295
ITEM;324;2;0.50;181.1295
ITEM;22;262;0.60;181.1295
ITEM;6;432;1.25;181.1295
ITEM;1;228;1.21;181.1295
ITEM;7;256;1.33;442.4876
ITEM;24;358;1.11;1633.734
ITEM;27;20;1.08;1633.734
ITEM;5;526;0.73;1633.734
ITEM;2;309;0.78;1633.734
ITEM;25;546;1.19;1633.734
ITEM;20;97;0.96;1633.734
ITEM;11;484;1.04;1633.734
ITEM;4;36;1.05;1633.734
ITEM;21;509;1.26;226.5273
ITEM;3;473;0.84;226.5273
ITEM;8;679;0.57;226.5273
ITEM;23;257;1.17;226.5273
ITEM;26;134;0.69;226.5273
ITEM;105;473;0.97;226.5273
ITEM;114;231;1.20;2.249367
ITEM;108;854;1.02;13.54199
ITEM;103;581;1.13;13.54199
ITEM;113;974;0.60;13.54199
ITEM;117;217;0.93;44.12832
ITEM;101;427;1.29;44.12832
ITEM;118;84;0.96;44.12832
ITEM;107;1046;0.59;44.12832
ITEM;111;683;0.66;44.12832
ITEM;104;125;1.04;44.12832
ITEM;116;607;0.60;49.61052
ITEM;100;475;1.10;49.61052
ITEM;109;725;1.01;49.61052
ITEM;112;1150;0.86;49.61052
ITEM;2000;970;0.70;9.978644
ITEM;102;997;0.75;1.560302
ITEM;124;1091;0.93;1.560302
ITEM;115;1192;0.51;1.560302
ITEM;106;461;1.17;1.560302
ITEM;110;749;1.09;1.560302
ITEM;121;556;0.96;1.560302
ITEM;153;436;1.14;15.83152
ITEM;161;796;0.55;15.83152
ITEM;2004;251;0.76;15.83152
ITEM;200;58;0.84;15.83152
ITEM;2018;144;0.94;15.83152
ITEM;2029;73;1.02;15.83152
ITEM;215;781;0.65;15.83152
ITEM;2022;682;0.72;15.83152
ITEM;2033;273;0.71;15.83152
ITEM;167;792;0.78;15.83152
ITEM;212;486;0.93;15.83152
ITEM;205;310;0.72;15.83152
ITEM;214;767;0.82;85.27502
ITEM;2027;669;1.07;85.27502
ITEM;2003;736;1.06;85.27502
ITEM;2008;602;1.23;85.27502
ITEM;165;272;1.01;85.27502
ITEM;2005;537;1.18;85.27502
ITEM;216;363;0.88;121.5853
ITEM;2021;40;0.95;121.5853
ITEM;169;297;1.13;121.5853
ITEM;155;412;0.79;121.5853
ITEM;2007;80;1.20;121.5853
ITEM;2036;631;1.15;1348.54
ITEM;401;204;0.82;1348.54
ITEM;207;148;1.09;122.6494
ITEM;163;463;0.70;122.6494
ITEM;210;93;0.84;122.6494
ITEM;204;188;0.87;122.6494
ITEM;2017;793;0.63;122.6494
ITEM;206;681;1.23;122.6494
ITEM;2016;53;0.84;298.1935
ITEM;400;65;0.79;855.5828
ITEM;2301;54;1.18;855.5828
ITEM;2106;12;1.15;855.5828
ITEM;2320;21;0.64;855.5828
ITEM;2334;20;0.80;855.5828
ITEM;2566;49;1.07;855.5828
ITEM;2213;75;0.79;184158.6
ITEM;2160;64;0.70;184158.6
ITEM;2134;65;0.69;184158.6
ITEM;2201;39;1.12;184158.6
ITEM;2176;20;1.12;596900.1
ITEM;2270;35;1.27;165200.5
ITEM;2115;29;0.92;165200.5
ITEM;2490;27;0.72;165200.5
ITEM;2542;19;1.08;165200.5
ITEM;2550;33;1.09;165200.5
ITEM;2311;28;0.67;165200.5
ITEM;2324;74;0.83;165200.5
ITEM;2557;79;1.11;165200.5
ITEM;2167;77;1.12;165200.5
ITEM;2277;46;1.23;165200.5
ITEM;2112;73;0.86;165200.5
ITEM;2212;43;1.21;165200.5
ITEM;2368;23;0.60;54771
ITEM;2390;61;1.18;54771
ITEM;2216;60;0.74;54771
ITEM;2318;18;0.83;54771
ITEM;2257;65;1.05;54771
ITEM;2358;12;0.73;54771
</MARKET>
// SKILLS;Skill_id;Price_modifier
<SKILLS>
SKILL;56;1.07
SKILL;27;1.67
SKILL;76;1.75
SKILL;2;1.34
SKILL;16;1.73
SKILL;62;0.85
SKILL;62;1.89
SKILL;222;0.91
SKILL;224;1.61
</SKILLS>
// MISSION , dbid , timer, id, data, title, factionid
<MISSIONS>
</MISSIONS>
// SHIP HANGAR;count;Price_modifier;Ship_filename
<HANGAR>
SHIP;1;0.9456415;ship_data_(kj_escort_1).txt
SHIP;1;1.09;ship_data_(battle_cruiser_1).txt
SHIP;2;0.99;ship_data_(transport_frigate_1).txt
SHIP;3;0.96;ship_data_(support_carrier_1).txt
SHIP;4;1.07;ship_data_(excavation_frigate_1).txt
SHIP;5;0.95;ship_data_(pirate_shuttle_1).txt
SHIP;6;0.94;ship_data_(support_carrier_1).txt
</HANGAR>
// STORAGE;item_id;Qty;0
<STORAGE>
