// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Monarch Society
STATION;type;Organization Center
STATION;owner;Lowwogo Fonak
STATION;faction;Alpha
STATION;material;station_material_Alpha.png
STATION;color;1 , .46, .19, 1
STATION;level;4
STATION;icon;ad_image_9.png
STATION;filename;sector_22_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;2-6-0-1-6-1-8-0-5-3-2-3-0
STATION;interior_seed;5-3-30-7
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;True
SERVICES;admin;True

// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Deathmatch League;0.15,0.08;68500;Sport Fighting Event;entertain_fight.png;Tickets to the Deathmatch League, where your entire fleet will enjoy a evening of bloodsport. 15% Morale , 8% Loyalty bonus.
ENTERTAINMENT;Spa Treatment;0.15,0.0;18500;Rest and Relaxation;entertain_spa.png;Send your crew to the spa, let them rest and relax for awhile. 15% Morale Boost.
ENTERTAINMENT;Live Music Concert;0.20,0.07;25000;Musical Entertainment;entertain_show.png;Your crew is treated to an 'all expenses paid' night at a music venue of their choosing. 20% Morale , 7% Loyalty bonus.
ENTERTAINMENT;Karaoke Night;0.15,0.05;15000;Musical Entertainment;entertain_show.png;Your fleet is treated to a night of karaoke at the local music tavern. 15% Morale , 5% Loyalty bonus.
ENTERTAINMENT;Pod Racing event;0.25,0.0;40000;Sport Racing Event;entertain_race.png;All expense paid trip to the weekly 'Astrox Pod Racing' (APR) event. 25% Morale Boost.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;9;1.28;npc_ship_data_(excavation_shuttle_1).txt
MERC;2;1.93;npc_ship_data_(battle_shuttle_1).txt
MERC;7;1.92;npc_ship_data_(support_escort_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
BUYORDER;Market Needs Goods: (1) Items ;5x256;77104;107762.40
ITEM;2130;63;1.22;451.5922
ITEM;2121;107;0.89;451.5922
ITEM;2123;130;0.84;451.5922
ITEM;2113;122;1.16;451.5922
ITEM;2126;123;0.75;451.5922
ITEM;75;60;1.22;451.5922
ITEM;62;154;0.85;451.5922
ITEM;2127;119;0.65;59.38373
ITEM;2651;2;0.57;59.38373
ITEM;2122;168;0.88;59.38373
ITEM;61;60;1.21;59.38373
ITEM;53;32;0.90;56.02925
ITEM;2112;11;0.59;56.02925
ITEM;78;109;1.11;56.02925
ITEM;722;63;0.84;56.02925
ITEM;745;58;1.03;56.02925
ITEM;743;49;0.72;56.02925
ITEM;725;37;0.88;56.02925
ITEM;690;50;0.92;56.02925
ITEM;701;75;0.59;56.02925
ITEM;756;39;1.05;56.02925
ITEM;754;18;0.65;56.02925
ITEM;757;9;0.59;56.02925
ITEM;732;59;0.55;9171.82
ITEM;755;28;0.94;6000.556
ITEM;742;23;1.05;6000.556
ITEM;674;44;0.57;81812.98
ITEM;700;76;0.94;5020.353
ITEM;760;62;1.20;5020.353
ITEM;680;16;0.73;5020.353
ITEM;750;39;0.84;5020.353
ITEM;693;56;0.68;5020.353
ITEM;723;6;1.22;5020.353
ITEM;602;9;1.14;5020.353
ITEM;601;12;0.94;5020.353
ITEM;600;8;1.06;5020.353
ITEM;660;12;0.60;5020.353
ITEM;643;5;0.69;5020.353
ITEM;661;6;0.61;5020.353
ITEM;641;11;0.90;5020.353
ITEM;620;9;0.85;5020.353
ITEM;622;17;0.89;5020.353
ITEM;662;8;0.74;14005.86
ITEM;621;8;0.65;14005.86
ITEM;640;8;1.23;6473.774
ITEM;642;19;0.51;6473.774
ITEM;603;14;0.59;6473.774
ITEM;623;19;0.84;6473.774
ITEM;663;3;1.19;62864.69
ITEM;310;18;1.23;62864.69
ITEM;321;36;0.95;62864.69
ITEM;407;24;0.67;62864.69
ITEM;406;23;1.16;62864.69
ITEM;305;8;1.00;62864.69
ITEM;408;13;0.70;62864.69
ITEM;320;11;0.96;20.59296
ITEM;304;25;0.58;20.59296
ITEM;323;7;1.27;50.68087
ITEM;322;17;0.79;182.3832
ITEM;405;16;1.09;182.3832
ITEM;300;4;1.17;182.3832
ITEM;324;1;0.71;39.47367
ITEM;404;17;0.61;39.47367
ITEM;313;5;0.51;39.47367
ITEM;303;39;0.89;39.47367
ITEM;325;11;1.17;39.47367
ITEM;311;16;0.90;70.19825
ITEM;403;10;0.56;70.19825
ITEM;302;8;0.94;56.82508
ITEM;301;5;0.84;56.82508
ITEM;312;32;0.90;56.82508
ITEM;22;347;1.24;56.82508
ITEM;21;233;1.07;56.82508
ITEM;20;266;1.11;56.82508
ITEM;1;157;1.12;56.82508
ITEM;2;304;0.68;56.82508
ITEM;23;94;1.07;56.82508
ITEM;4;324;1.14;141.4559
ITEM;3;331;0.98;141.4559
ITEM;103;556;0.59;141.4559
ITEM;107;6;0.52;141.4559
ITEM;109;265;0.94;5.125816
ITEM;106;120;0.60;5.125816
ITEM;105;415;0.96;5.125816
ITEM;118;544;0.85;4.998168
ITEM;102;352;0.82;4.998168
ITEM;100;321;1.08;4.998168
ITEM;104;579;0.86;2.486518
ITEM;101;472;0.89;2.486518
ITEM;113;319;1.16;2.486518
ITEM;114;271;0.79;2.486518
ITEM;212;42;1.16;2.486518
ITEM;157;327;0.71;2.486518
ITEM;167;304;0.89;82.53949
ITEM;215;132;0.91;82.53949
ITEM;201;56;0.87;82.53949
ITEM;158;55;1.11;82.53949
ITEM;208;200;0.52;82.53949
ITEM;168;99;0.78;82.53949
ITEM;205;328;0.80;82.53949
ITEM;170;332;1.05;82.53949
ITEM;214;241;1.03;82.53949
ITEM;161;250;0.65;82.53949
ITEM;165;37;1.15;82.53949
ITEM;151;159;0.94;82.53949
ITEM;202;110;0.92;82.22598
ITEM;209;63;0.85;65.23502
ITEM;200;370;1.24;65.23502
ITEM;210;286;1.26;101.3587
ITEM;164;136;0.87;101.3587
ITEM;169;301;0.92;94.06172
ITEM;217;136;0.79;159.6586
ITEM;150;137;0.84;10.29587
ITEM;211;332;0.64;10.29587
ITEM;203;356;0.86;87.90264
ITEM;218;134;0.85;87.90264
ITEM;2312;19;0.85;87.90264
ITEM;2269;23;1.11;87.90264
ITEM;2347;8;0.77;87.90264
ITEM;2291;22;0.99;87.90264
ITEM;2558;35;0.70;87.90264
ITEM;2286;3;0.93;87.90264
ITEM;2250;21;0.79;87.90264
ITEM;2385;37;0.87;83.29216
ITEM;2329;2;1.00;20478
ITEM;2282;38;0.79;20478
ITEM;2437;37;1.03;20478
ITEM;2460;23;0.56;20478
ITEM;2439;23;0.79;20478
ITEM;2272;24;1.07;2127058
ITEM;2290;13;0.61;2127058
ITEM;2295;24;1.18;2127058
ITEM;2301;6;0.76;199400.3
ITEM;2316;10;0.95;199400.3
ITEM;2416;30;0.74;199400.3
ITEM;2200;20;0.62;199400.3
ITEM;2294;38;0.80;199400.3
</MARKET>
// SKILLS;Skill_id;Price_modifier
<SKILLS>
SKILL;11;1.60
SKILL;44;0.97
SKILL;64;1.40
SKILL;11;1.85
SKILL;44;1.62
</SKILLS>
// MISSION , dbid , timer, id, data, title, factionid
<MISSIONS>
</MISSIONS>
// SHIP HANGAR;count;Price_modifier;Ship_filename
<HANGAR>
SHIP;1;1.101127;ship_data_(battle_frigate_2).txt
SHIP;1;0.96;ship_data_(support_carrier_1).txt
SHIP;2;0.99;ship_data_(recon_cruiser_1).txt
SHIP;3;0.94;ship_data_(recon_shuttle_1).txt
SHIP;4;1.07;ship_data_(pirate_carrier_1).txt
SHIP;5;0.99;ship_data_(battle_cruiser_1).txt
</HANGAR>
// STORAGE;item_id;Qty;0
<STORAGE>
