// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Biomate University
STATION;type;Academic University
STATION;owner;Telyoupea Akpi
STATION;faction;Alpha
STATION;material;station_material_Alpha.png
STATION;color;1 , .46, .19, 1
STATION;level;10
STATION;icon;biomate.png
STATION;filename;sector_0_station_0.txt
STATION;max_hp;25000000
STATION;dockfee;0
STATION;lease;30
STATION;seed;4-8-1-5-5-2-9-1-2-6-3-1-1-5-4-1-2-1-4-4-0-4-0
STATION;interior_seed;0-0-15-8
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;85481.92
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;True
SERVICES;admin;True
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Bottle of Whiskey;0.025,0.0;850;Whiskey;entertain_bar.png;Purchase a bottle of whiskey for each of your fleet members. 2.5% Morale bonus.
ENTERTAINMENT;StarLuck Casino;0.05,0.05;24000;Gambling;entertain_casino.png;A weekend package to the local casino for your entire crew, complete with pocket money. 5% Morale Boost, 5% Loyalty Boost
ENTERTAINMENT;Evening of Drinks;0.05,0.0;1500;Alcholic Drinks;entertain_bar.png;Pick up the tab for an evening of drinks for your crew, they earned it. 5% Morale Boost.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;1;1.63;npc_ship_data_(recon_shuttle_1).txt
MERC;3;1.63;npc_ship_data_(recon_escort_1).txt
MERC;9;1.93;npc_ship_data_(recon_utility_1).txt
MERC;12;1.23;npc_ship_data_(recon_utility_2).txt
MERC;15;1.47;npc_ship_data_(recon_frigate_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
SELLORDER;Market Items: (1) Items ;216x585;29747.00;117048.10
ITEM;2029;758;0.64;1004.07
ITEM;1770;27;0.78;6355.19
ITEM;1650;75;0.72;3747.80
ITEM;620;50;0.75;3088.34
ITEM;312;1728;0.80;49.94
ITEM;1711;63;1.12;3669.49
ITEM;1712;18;1.04;3372.26
ITEM;60;0;1.26;56.38
ITEM;2359;55;0.60;21696.09
ITEM;1702;33;1.06;2811.39
ITEM;1600;78;1.16;1216.86
ITEM;1550;12;0.25;398.58
ITEM;1560;12;0.25;149.91
ITEM;1785;79;0.47;165408.70
ITEM;400;812;0.70;739.10
ITEM;2056;988;0.53;1961.50
ITEM;8;3760;0.86;436.60
ITEM;115;1294;0.55;11.53
ITEM;664;52;0.98;110196.90
ITEM;668;6;0.95;645958.30
ITEM;1112;61;1.06;2504.71
ITEM;1114;31;1.20;13239.09
ITEM;311;669;0.99;62.27
ITEM;729;128;0.58;6715.03
ITEM;2566;38;0.96;148980.40
ITEM;116;1180;1.04;95.94
ITEM;109;201;0.70;2.90
ITEM;353;0;2.50;150.64
ITEM;406;551;0.72;18.22
ITEM;403;729;0.97;19.27
ITEM;101;1394;1.14;0.76
ITEM;2435;31;1.04;599.97
ITEM;623;13;1.10;48383.44
ITEM;606;5;1.02;346190.80
ITEM;110;190;1.09;16.18
ITEM;605;48;1.04;217840.50
ITEM;603;28;0.89;37883.44
ITEM;325;442;0.99;19.64
ITEM;404;143;1.10;24.19
ITEM;300;319;0.75;38.42
ITEM;1480;64;0.94;1009586.00
ITEM;301;843;0.63;69.13
ITEM;332;797;1.01;60.73
ITEM;2031;444;0.88;264.75
ITEM;28;3677;0.88;8747.73
ITEM;2651;2516;0.93;518.48
ITEM;2498;26;1.02;5436.08
ITEM;666;4;1.11;381290.80
ITEM;661;48;0.59;4576.69
ITEM;218;150;0.25;22.87
ITEM;108;585;1.14;15.32
ITEM;2003;498;0.95;143.99
ITEM;2126;1242;0.93;57.27
ITEM;2129;0;1.13;119.02
ITEM;63;668;0.76;125.53
ITEM;628;45;0.56;337858.30
ITEM;112;1343;0.97;23.45
ITEM;7;4216;0.81;250.74
ITEM;1476;16;1.06;389620.80
ITEM;2260;76;1.01;4423451.00
ITEM;643;23;0.98;42383.44
ITEM;2035;752;0.59;419.50
ITEM;2037;772;1.10;1911.92
ITEM;11;4722;0.52;36.83
ITEM;24;1398;1.16;1705.93
ITEM;2005;789;1.02;228.13
ITEM;2411;47;1.09;4022.21
ITEM;702;124;0.71;2888.34
ITEM;27;4433;0.95;7330.40
ITEM;322;623;1.09;205.13
ITEM;2111;1745;0.62;20.38
ITEM;2114;1925;0.89;54.02
ITEM;151;640;0.99;10.72
ITEM;2038;428;0.54;862.14
ITEM;1120;38;1.04;1270.74
ITEM;2186;9;0.97;837333.70
ITEM;1128;30;1.08;315573.70
ITEM;2188;69;1.16;4106564.00
ITEM;343;989;1.04;124.35
ITEM;341;970;0.96;63.65
ITEM;2112;1672;0.63;24.98
ITEM;2115;2396;1.09;81.50
ITEM;669;40;1.04;1116433.00
ITEM;62;494;0.67;75.27
ITEM;324;724;0.73;30.42
ITEM;735;110;0.50;919171.90
ITEM;2006;282;0.81;221.39
ITEM;123;670;1.06;142.77
ITEM;313;1357;1.15;199.06
ITEM;2;0;0.60;13.09
ITEM;2041;259;1.08;629.73
ITEM;604;41;1.02;115396.90
ITEM;405;781;0.84;21.94
ITEM;1025;97;1.15;21167.51
ITEM;2508;75;0.93;7330.58
ITEM;648;42;1.06;732858.30
ITEM;602;17;1.21;18859.20
ITEM;2509;35;1.19;10952.16
ITEM;681;31;0.64;73611.97
ITEM;748;161;0.99;141515.30
ITEM;675;70;0.92;228423.90
ITEM;731;62;0.65;85415.34
ITEM;753;120;0.92;129965.30
ITEM;671;145;1.00;242947.30
ITEM;29;339;0.86;10944.14
ITEM;102;426;0.92;1.97
ITEM;627;5;0.99;445987.80
ITEM;331;895;0.66;75.88
ITEM;646;23;0.93;311090.80
ITEM;2650;1275;0.93;430.74
ITEM;741;183;1.08;42645.09
ITEM;746;98;0.99;38595.09
ITEM;1581;63;0.98;9521.86
ITEM;621;33;0.67;5376.69
ITEM;2335;67;1.01;142343.80
ITEM;1541;99;0.69;1454.90
ITEM;730;178;0.75;27795.09
ITEM;751;173;0.91;34995.09
ITEM;757;66;0.81;30495.09
ITEM;1601;43;0.89;1976.00
ITEM;1551;12;0.25;857.17
ITEM;1561;12;0.25;378.54
ITEM;2295;79;0.65;19984.08
ITEM;305;149;1.11;143.82
ITEM;1171;109;1.12;5728.48
ITEM;1172;85;0.53;4612.96
ITEM;1173;9;1.20;24769.92
ITEM;2045;107;1.10;2189.93
ITEM;105;621;0.58;4.48
ITEM;2009;258;0.92;437.47
ITEM;2010;227;1.06;123.38
ITEM;20;2780;0.69;54.65
ITEM;2387;6;1.02;222.80
ITEM;2119;2339;0.92;346.57
ITEM;1009;42;0.57;962.87
ITEM;304;877;0.95;112.02
ITEM;2012;325;1.08;150.30
ITEM;677;60;1.04;195148.80
ITEM;733;172;0.93;79766.88
ITEM;2535;78;0.98;1017203.00
ITEM;2046;718;0.92;1938.77
ITEM;211;150;0.25;9.83
ITEM;2014;844;1.01;248.56
ITEM;752;155;1.01;87766.88
ITEM;712;31;1.12;148150.30
ITEM;209;150;0.25;8.44
ITEM;701;146;0.75;3088.34
ITEM;691;81;0.73;17930.06
ITEM;692;109;0.90;12282.70
ITEM;700;102;1.00;4338.34
ITEM;690;31;0.77;9565.03
ITEM;4;3361;0.96;77.80
ITEM;104;989;0.81;1.83
ITEM;2048;830;0.89;3382.31
ITEM;166;139;0.83;52.46
ITEM;350;71;1.08;45.07
ITEM;320;705;1.04;18.33
ITEM;352;0;1.50;369.85
ITEM;680;22;0.56;10691.72
ITEM;672;10;0.56;89810.44
ITEM;745;76;0.84;10615.03
ITEM;732;208;0.87;11065.03
ITEM;750;129;1.00;13015.03
ITEM;756;72;0.66;7915.03
ITEM;670;179;1.13;119720.30
ITEM;711;145;0.95;20441.72
ITEM;214;150;0.25;14.51
ITEM;2461;72;0.91;1150.95
ITEM;23;4719;0.62;341.37
ITEM;161;467;1.16;27.13
ITEM;2057;498;1.00;6620.57
ITEM;728;147;1.06;13915.03
ITEM;210;150;0.25;9.03
ITEM;2015;732;0.56;167.09
ITEM;25;4931;0.66;1683.26
ITEM;212;150;0.25;10.39
ITEM;321;792;0.86;136.37
ITEM;121;211;0.96;41.80
ITEM;106;1090;1.03;9.16
ITEM;601;24;0.57;4376.69
ITEM;1029;40;0.72;391152.30
ITEM;303;766;0.96;69.86
ITEM;342;644;1.00;19.87
ITEM;107;231;1.13;10.68
ITEM;644;24;0.88;97196.94
ITEM;206;390;0.81;82.95
ITEM;2453;34;1.02;1303.99
ITEM;2221;72;1.13;101762.20
ITEM;1210;87;0.77;91505.46
ITEM;407;809;0.98;365.35
ITEM;103;167;1.03;0.83
ITEM;330;291;0.48;28.44
ITEM;607;32;1.02;461587.80
ITEM;6;6861;0.62;119.48
ITEM;1160;30;1.04;2496.09
ITEM;2209;86;1.03;15156240.00
ITEM;1161;65;0.82;3713.41
ITEM;165;424;1.11;65.01
ITEM;118;973;0.76;3.45
ITEM;170;978;0.80;34.18
ITEM;2446;61;0.66;323.99
ITEM;1523;14;0.83;26535.69
ITEM;1533;18;0.96;68162.98
ITEM;2272;58;0.70;1068950.00
ITEM;2337;54;0.65;1202026.00
ITEM;1618;48;0.98;67621.93
ITEM;1553;12;0.25;11534.76
ITEM;1563;12;0.25;6139.58
ITEM;1503;21;1.00;36038.19
ITEM;213;150;0.25;11.45
ITEM;120;1466;0.63;126.86
ITEM;600;5;0.61;2388.34
ITEM;2117;2383;0.92;212.67
ITEM;1754;74;1.08;783530.60
ITEM;1772;44;0.78;6355.19
ITEM;1762;92;0.88;7336.43
ITEM;1644;33;1.07;910518.80
ITEM;1584;52;1.10;707093.90
ITEM;1554;12;0.25;57857.97
ITEM;1564;12;0.25;30905.09
ITEM;2298;51;0.87;2324939.00
ITEM;1594;106;1.01;213384.50
ITEM;1153;37;0.99;16553.01
ITEM;2193;63;0.68;126840.10
ITEM;1155;56;1.07;72106.73
ITEM;1157;55;0.68;168298.60
ITEM;1109;20;0.88;153197.30
ITEM;2163;5;0.49;14163.68
ITEM;1014;92;1.07;4688.34
ITEM;3;4445;1.20;55.52
ITEM;43;2871;0.85;24.19
ITEM;53;1756;0.75;36.01
ITEM;1070;10;0.72;19745.67
ITEM;2138;81;0.86;4694337.00
ITEM;164;314;0.85;16.36
ITEM;154;209;0.64;23.66
ITEM;114;74;0.57;0.92
ITEM;1400;59;0.55;2297.18
ITEM;2249;30;0.85;21530060.00
ITEM;1406;62;0.75;191477.30
ITEM;1408;70;0.98;1059586.00
ITEM;21;1810;0.98;169.53
ITEM;2050;714;0.70;522.65
ITEM;2058;236;1.03;8373.63
ITEM;113;1056;1.04;5.54
ITEM;119;348;1.08;142.91
ITEM;722;78;1.04;5446.01
ITEM;216;150;0.25;19.13
ITEM;693;87;1.05;11012.02
ITEM;703;16;0.94;4038.34
ITEM;2017;1027;0.46;183.63
ITEM;720;135;0.69;3346.01
ITEM;217;150;0.25;22.12
ITEM;215;150;0.25;18.29
ITEM;723;101;0.84;4246.01
ITEM;755;54;0.79;3946.01
ITEM;710;209;0.70;2838.34
ITEM;608;4;1.04;717058.30
ITEM;323;918;0.88;28.49
ITEM;1450;89;0.60;2338.34
ITEM;117;626;0.99;47.51
ITEM;152;563;0.77;7.84
ITEM;2018;394;0.74;480.18
ITEM;609;26;0.54;501432.60
ITEM;625;30;0.64;121840.50
ITEM;1059;73;0.55;2130.11
ITEM;1074;22;1.08;38664.89
ITEM;1075;69;0.56;34897.77
ITEM;1076;10;1.04;148131.50
ITEM;642;38;0.93;13959.20
ITEM;340;610;0.61;36.02
ITEM;640;52;0.80;3338.34
ITEM;645;48;0.61;114640.50
ITEM;162;846;1.08;24.54
ITEM;2527;83;1.09;22362.52
ITEM;647;17;0.97;435587.80
ITEM;749;61;0.95;204417.20
ITEM;734;14;0.99;214417.20
ITEM;2537;45;1.18;3143006.00
ITEM;760;129;1.17;259417.20
ITEM;124;1715;0.89;77.66
ITEM;2021;575;0.97;168.12
ITEM;1212;11;0.75;1544172.00
ITEM;5;2296;1.15;155.70
ITEM;75;455;0.68;68.95
ITEM;76;1879;0.88;130.84
ITEM;77;2409;0.99;202.24
ITEM;2419;59;0.72;2150.87
ITEM;2124;809;0.89;799.72
ITEM;2121;383;0.99;455.34
ITEM;2123;1932;0.55;357.32
ITEM;2125;2956;0.55;543.18
ITEM;2127;993;0.76;52.22
ITEM;2394;100;0.61;476.71
ITEM;2130;2132;0.99;128.74
ITEM;333;759;1.11;320.77
ITEM;22;4853;0.74;212.68
ITEM;122;547;1.13;261.49
ITEM;2116;2398;0.58;45.04
ITEM;2108;9;0.93;3063048.00
ITEM;663;3;0.55;20883.44
ITEM;662;6;1.07;16409.20
ITEM;100;168;0.74;0.30
ITEM;26;967;0.58;2730.78
ITEM;408;978;0.63;2603.31
ITEM;9;3446;0.68;509.33
ITEM;10;3359;0.58;667.03
</MARKET>
// SKILLS;Skill_id;Price_modifier
<SKILLS>
SKILL;1;1.51
SKILL;11;1.85
SKILL;21;1.22
SKILL;31;0.97
SKILL;91;1.19
SKILL;41;0.95
SKILL;215;1.25
SKILL;216;1.25
SKILL;217;1.25
SKILL;218;1.25
SKILL;219;1.25
SKILL;235;1.25
SKILL;236;1.25
SKILL;237;1.25
SKILL;52;1.15
SKILL;58;0.98
SKILL;100;0.81
SKILL;65;0.80
SKILL;64;0.83
SKILL;210;2.25
SKILL;240;1.25
SKILL;241;1.25
SKILL;242;1.25
SKILL;243;1.25
SKILL;244;1.25
SKILL;245;1.25
SKILL;246;1.25
SKILL;247;1.25
SKILL;248;1.25
SKILL;249;1.25
SKILL;250;1.25
SKILL;238;1.13
SKILL;239;1.33
SKILL;251;1.78
SKILL;252;1.23
SKILL;253;1.13
SKILL;61;1.25
</SKILLS>
// MISSION , dbid , timer, id, data, title, factionid
<MISSIONS>
MISSION;64;170;155560;HARVEST#207#3#sector_38.txt#sector_0_station_1.txt#null#null#null#null;In <color='cyan'>Equalias Val</color>, Extract <color='yellow'>Special Quazor Ore</color> and return to Lammassu Financial in <color='cyan'>Void Starcross</color> with at least <color='yellow'>207</color>;1;A local company in <color='cyan'>Equalias Val</color> has requested a medium harvest of <color='yellow'>207</color> <color='yellow'>Special Quazor Ore</color>. This is a rare find, and the client has requested someone bring the resource back to Lammassu Financial station located in the <color='cyan'>Void Starcross</color>. A Science faction representative will be waiting to take the resources from you.;19361;3450
MISSION;42;120;242959;SCAN_PILOT#sector_9_station_0.txt#sector_3.txt#Engineer Vedhas Sawfexo#npc_ship_data_(battle_utility_2)#3#null#null#null;Track down and scan <color='yellow'><i>Engineer Vedhas Sawfexo</i></color> in <color='cyan'>Starfort Ramos</color> and return to Foodmaid Hub in <color='cyan'>Forges of Mintar</color>;1;Science faction has requested that we verify the whereabouts of a <color='yellow'><i>Engineer Vedhas Sawfexo</i></color>. After a recent ban order from the high court minister <i>Lindowha Vesyifae</i>, <color='cyan'>Starfort Ramos</color> officials are worried that <color='yellow'><i>Engineer Vedhas Sawfexo</i></color> might cause problems for the local merchants. Scan <color='yellow'><i>Engineer Vedhas Sawfexo</i></color>'s ship and return to Foodmaid Hub in <color='cyan'>Forges of Mintar</color> with the scan record.;17623;1850
MISSION;34;300;251677;TRANSPORT#477#218#sector_61_station_0.txt#sector_0_station_0.txt#null#null#null#null;Transport a shipment of <color='yellow'>477</color> <color='yellow'>Copperi Cables</color> from Transporteers Hub in the <color='cyan'>Ambervellis Drea</color> Sector to Biomate University in <color='cyan'>Void Starcross</color>;0;<i>Nola Feiqiga</i> from the Alpha Faction has submitted a medium transport ticket for <color='yellow'>477</color> <color='yellow'>Copperi Cables</color>. Pick up location: Transporteers Hub storage facility in <color='cyan'>Ambervellis Drea</color>. Drop off location: Biomate University in <color='cyan'>Void Starcross</color>. Alpha members will be waiting in <color='cyan'>Void Starcross</color>.;21667;4800
MISSION;61;140;731828;HARVEST#85#1#sector_35.txt#sector_95_station_0.txt#null#null#null#null;Mine <color='yellow'>Special Adamyte Ore</color> in <color='cyan'>Felishar</color> and return with <color='yellow'>85</color> to Star Shepards Hub in <color='cyan'>Temple Gates</color>;0;While collecting some junk in the <color='cyan'>Felishar</color> system, <i>Witbeck Ajsawxen</i> discovered a light haul of <color='yellow'>85</color> <color='yellow'>Special Adamyte Ore</color>. Unable to collect the material alone, <i>Witbeck Ajsawxen</i> has requested that a capable pilot harvest the <color='yellow'>Special Adamyte Ore</color> and drop it off at the Star Shepards Hub station located in the <color='cyan'>Temple Gates</color>.;13274;1700
MISSION;143;150;298589;REFINE#2#28#sector_100_station_0.txt#sector_0_station_3.txt#null#null#null#null;Refine medium shipment of <color='yellow'>2</color> <color='yellow'>Computer Components</color> in <color='cyan'>Grace</color> at the Fellacore Research Center station refinery;0;StarShepards Headquarters Station has contacted our client informing them of some medium cargo that remains unclaimed by former employees, <i>Faemes Mosze</i> of the Alpha Faction. <color='yellow'>2</color> <color='yellow'>Computer Components</color> need to be refined in <color='cyan'>Grace</color>, at the Fellacore Research Center Station refinery.;20720;5600
MISSION;34;300;685649;TRANSPORT#9#1652#sector_16_station_0.txt#sector_0_station_3.txt#null#null#null#null;Transport a shipment of <color='yellow'>9</color> <color='yellow'>Advanced Explosive Armors</color> from Rendo Labs in the <color='cyan'>Entropy</color> Sector to StarShepards Headquarters in <color='cyan'>Void Starcross</color>;0;<i>Rocoo Beckwenwo</i> from the Alpha Faction has submitted a medium transport ticket for <color='yellow'>9</color> <color='yellow'>Advanced Explosive Armors</color>. Pick up location: Rendo Labs storage facility in <color='cyan'>Entropy</color>. Drop off location: StarShepards Headquarters in <color='cyan'>Void Starcross</color>. Alpha members will be waiting in <color='cyan'>Void Starcross</color>.;16560;3600
MISSION;12;120;190020;DELIVERY#17#2041#sector_56_station_0.txt#sector_0_station_0.txt#null#null#null#null;Light delivery of <color='yellow'>17</color> <color='yellow'>Gravitational Emitters</color> to Transporteers Station in <color='cyan'>Hunu</color>;0;<i>Nineile Faedee</i> from Biomate University Station has commissioned a delivery . He has required a small transport delivery of <color='yellow'>17</color> <color='yellow'>Gravitational Emitters</color>. Set your GPS autopilot to <color='cyan'>Hunu</color> and deliver these <color='yellow'>Gravitational Emitters</color> to Transporteers immediately.;13760;2150
MISSION;31;240;753664;TRANSPORT#29#2051#sector_1_station_0.txt#sector_9_station_0.txt#null#null#null#null;Head to Quantex in <color='cyan'>Dellis Primeria</color>, pick up <color='yellow'>29</color> <color='yellow'>Thruster Casings</color> for a light shipment to Foodmaid Hub in <color='cyan'>Forges of Mintar</color>;0;The Alpha faction advisor <i>Futel Naro</i> has placed a light shipment transport order to move <color='yellow'>29</color> <color='yellow'>Thruster Casings</color> from the Quantex storage in <color='cyan'>Dellis Primeria</color>, to the Foodmaid Hub in <color='cyan'>Forges of Mintar</color>.;22028;4000
MISSION;54;150;978773;SCAN_STRUCTURE#sector_16_station_0.txt#sector_97.txt#Storage Facility#structure_storage_1.txt#1#null#null#null;Gather scan data on the target <color='yellow'>Storage Facility</color> in <color='cyan'>Valley of Truths</color> and return to Rendo Labs in <color='cyan'>Entropy</color>;2;In the <color='cyan'>Valley of Truths</color> sector, <i>Whofe Sevsadzils</i> has requested a structural scan of the <color='yellow'>Storage Facility</color> structure. His old scan just recently expired, and before any further renovations can be carried out, a new scan is required. Once completed,  Head back to the Rendo Labs station located in the <color='cyan'>Entropy</color> with an updated scan report.;15994;2850
MISSION;34;300;658828;TRANSPORT#406#170#sector_95_station_0.txt#sector_58_station_0.txt#null#null#null#null;Transport a shipment of <color='yellow'>406</color> <color='yellow'>Polymeres</color> from Star Shepards Hub in the <color='cyan'>Temple Gates</color> Sector to CoraVault in <color='cyan'>Lins</color>;0;<i>Jancotad Foeyerpi</i> from the Alpha Faction has submitted a medium transport ticket for <color='yellow'>406</color> <color='yellow'>Polymeres</color>. Pick up location: Star Shepards Hub storage facility in <color='cyan'>Temple Gates</color>. Drop off location: CoraVault in <color='cyan'>Lins</color>. Alpha members will be waiting in <color='cyan'>Lins</color>.;17760;4800
MISSION;24;240;110549;COLLECT#2#1108#sector_83_station_0.txt#sector_77_station_0.txt#null#null#null#null;Bring a medium collection of <color='yellow'>2</color> <color='yellow'>Pulse x9 Lasers</color> to SimKitten in the <color='cyan'>Kolkax Prime</color> Sector;0;Alpha Union Rep, <i>Kilebem Foumo</i> is looking to collect a medium sized shipment of <color='yellow'>2</color> <color='yellow'>Pulse x9 Lasers</color>. Once the items have been acquired, return to SimKitten in the <color='cyan'>Kolkax Prime</color> Sector. <i>Kilebem Foumo</i> will be waiting there to receive the <color='yellow'>Pulse x9 Lasers</color>.;30744;9000
MISSION;133;170;764150;SALVAGE#28#27#sector_81.txt#sector_82_station_0.txt#null#null#null#null;Dismantle <color='yellow'>Special Engine Component</color> in <color='cyan'>Ferrelis Cove</color> and return to Kith in <color='cyan'>Kidd Overture</color> with minimum of <color='yellow'>28</color>;2;The Civil faction has reported that a special medium load of <color='yellow'>Special Engine Component</color> has been scanned in the <color='cyan'>Ferrelis Cove</color> system. <i>Goxa Hasemijel</i> is credited with the find, but His claim is currently invalid. Hurry up and salvage the <color='yellow'>Special Engine Component</color> and return to Kith, in the <color='cyan'>Kidd Overture</color>.;19758;5125
</MISSIONS>
// SHIP HANGAR;count;Price_modifier;Ship_filename
<HANGAR>
SHIP;1;1.0;ship_data_(recon_shuttle_1).txt
SHIP;1;1.0;ship_data_(recon_escort_1).txt
SHIP;1;1.0;ship_data_(recon_escort_2).txt
SHIP;4;1.0;ship_data_(recon_utility_1).txt
SHIP;4;1.0;ship_data_(recon_utility_2).txt
SHIP;4;1.0;ship_data_(recon_frigate_1).txt
</HANGAR>
// OFFICES;office_name;npc_name;faction_id;faction_req;level;img;scripting_file;scripting_id;
<OFFICE>
OFFICE;(Tutorial Office) Camera Basics;Ratamaq Guru;1;0.0;26;station.png;male_2.png;accessory_18.png;tutorial_camera_basics.txt;2
OFFICE;(Tutorial Office) Navigation Basics;Arji Darn;1;0.0;26;station.png;male_3.png;accessory_18.png;tutorial_navigation_basics.txt;2
OFFICE;(Tutorial Office) Life Support Basics;Carter Burke;1;0.0;26;station.png;male_4.png;accessory_19.png;tutorial_life_support.txt;2
OFFICE;(Tutorial Office) Introduction;Jessa Din;1;0.0;26;station.png;female_2.png;accessory_22.png;tutorial_intro.txt;2
OFFICE;(Tutorial Office) Basic Combat;Fredric Din;1;0.0;43;station.png;male_1.png;accessory_18.png;tutorial_combat_basics.txt;10
OFFICE;(Tutorial Office) Basic Drones;Daniel Traek;1;0.0;43;station.png;male_4.png;accessory_17.png;tutorial_drones.txt;2
OFFICE;(Tutorial Office) Basic Fleet Command;Jacob Salis;1;0.0;43;station.png;male_5.png;accessory_16.png;tutorial_mercs.txt;2
OFFICE;(Tutorial Office) Wormhole Basics;Darius Ghent;1;0.0;43;station.png;male_6.png;accessory_12.png;tutorial_wormholes.txt;2
</OFFICE>
// STORAGE;item_id;Qty;0
<STORAGE>
STORAGE;1602;1;0
STORAGE;2128;2034;0
STORAGE;1057;3;0
STORAGE;1114;2;0
STORAGE;1205;1;0
STORAGE;1553;1;0
STORAGE;1104;2;0
STORAGE;1014;2;0
STORAGE;1055;3;0
STORAGE;1059;5;0
STORAGE;1064;5;0
STORAGE;2171;1;0;FABRICATOR


