// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Temple of the Void
STATION;type;Worship Center
STATION;owner;Gobaz Jaliswen
STATION;faction;Temple
STATION;material;station_material_Temple.png
STATION;color;.60 , .20 , .80 , 1
STATION;level;9
STATION;icon;totv.png
STATION;filename;sector_103_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;2-1-0-4-9-2-9-0-5-1-3-2-0
STATION;interior_seed;3-3-45-0
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;49878.34
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;False
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;False
SERVICES;storage;True
SERVICES;fabricator;False
SERVICES;contracts;True
SERVICES;admin;False
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;StarLuck Casino;0.05,0.05;24000;Gambling;entertain_casino.png;A weekend package to the local casino for your entire crew, complete with pocket money. 5% Morale Boost, 5% Loyalty Boost
ENTERTAINMENT;BioSynth Wildlife Park;0.05,0.05;26000;Rest and Relaxation;entertain_park.png;A weekend package to the local wildlife BioSynth park for your entire crew, included petting zoo. 5% Morale Boost, 5% Loyalty Boost
ENTERTAINMENT;Spa Treatment;0.15,0.0;18500;Rest and Relaxation;entertain_spa.png;Send your crew to the spa, let them rest and relax for awhile. 15% Morale Boost.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;1;0.90;npc_ship_data_(pirate_frigate_1).txt
MERC;4;1.90;npc_ship_data_(transport_carrier_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
SELLORDER;Market Goods: (1) Items ;2040x623;183597;76824.99
ITEM;313;36;0.73;122.48
ITEM;2;223;1.11;28.17
ITEM;2041;150;0.72;409.56
ITEM;604;11;0.95;110006.00
ITEM;405;43;0.91;24.99
ITEM;2042;41;0.75;494.86
ITEM;648;29;0.81;557898.00
ITEM;602;36;0.91;14108.50
ITEM;2007;758;0.58;199.86
ITEM;2008;0;0.64;240.43
ITEM;2043;337;1.22;963.17
ITEM;673;25;0.58;190480.00
ITEM;743;34;0.92;134673.00
ITEM;2548;65;0.65;1081476.00
ITEM;731;31;1.15;172623.00
ITEM;759;146;0.67;93423.01
ITEM;2560;32;0.59;962675.90
ITEM;679;157;0.75;93699.00
ITEM;671;162;1.00;250936.00
ITEM;2044;54;0.66;589.96
ITEM;2510;88;0.54;5562.42
ITEM;102;215;0.83;1.82
ITEM;627;21;1.25;596024.00
ITEM;331;42;1.09;141.82
ITEM;646;21;0.59;189618.00
ITEM;2650;346;0.84;397.55
ITEM;2330;72;0.72;29382.88
ITEM;1531;63;0.73;3153.98
ITEM;741;89;1.16;47529.00
ITEM;746;105;0.75;29079.00
ITEM;2362;0;1.05;111414.10
ITEM;1571;10;1.19;6279.43
ITEM;621;39;0.57;4662.00
ITEM;751;15;0.80;31329.00
ITEM;1561;21;0.58;1531.94
ITEM;1611;45;1.22;3269.02
ITEM;1012;40;0.53;30004.48
ITEM;305;29;1.05;173.98
ITEM;1170;-99;0.72;1786.98
ITEM;1170;74;0.93;2395.98
ITEM;1171;85;0.66;3225.96
ITEM;2045;64;0.73;1427.18
ITEM;105;8;0.57;4.66
ITEM;20;274;1.15;102.53
ITEM;51;421;0.88;27.79
ITEM;2119;372;1.08;429.53
ITEM;304;0;1.34;210.94
ITEM;742;0;0.57;46620.00
ITEM;747;105;0.81;70620.00
ITEM;2012;651;1.00;142.14
ITEM;677;176;0.83;156133.00
ITEM;2013;442;0.70;102.78
ITEM;2046;806;0.64;1319.80
ITEM;211;40;0.88;64.81
ITEM;2458;11;1.24;1138.47
ITEM;2014;134;0.77;188.67
ITEM;752;125;0.79;68620.00
ITEM;758;41;0.89;78620.00
ITEM;209;26;1.06;68.56
ITEM;2047;150;0.63;1929.58
ITEM;691;173;0.91;24186.00
ITEM;692;31;0.57;7459.20
ITEM;158;504;0.86;34.26
ITEM;4;0;0.96;80.48
ITEM;104;983;1.19;2.93
ITEM;2048;397;1.19;4848.91
ITEM;203;428;1.22;106.60
ITEM;350;83;0.72;23.48
ITEM;320;78;1.19;21.94
ITEM;352;25;0.93;178.87
ITEM;680;149;0.52;10405.00
ITEM;740;31;0.99;13293.00
ITEM;745;22;0.83;10893.00
ITEM;674;145;0.77;86606.00
ITEM;732;67;0.67;8493.00
ITEM;678;53;0.80;17405.00
ITEM;670;131;1.20;131544.00
ITEM;214;427;0.90;98.17
ITEM;157;0;0.67;24.29
ITEM;23;749;1.00;627.34
ITEM;2436;73;1.03;277.86
ITEM;161;287;1.09;26.04
ITEM;728;117;0.76;9843.00
ITEM;2565;73;0.97;155916.00
ITEM;2015;30;0.89;307.17
ITEM;25;209;1.06;3050.28
ITEM;321;0;1.20;205.43
ITEM;121;649;0.61;25.56
ITEM;106;441;0.52;4.25
ITEM;601;23;1.02;9162.00
ITEM;150;230;1.12;11.58
ITEM;303;0;1.24;119.40
ITEM;342;44;0.62;11.82
ITEM;107;1230;0.67;6.06
ITEM;644;14;0.55;58006.00
ITEM;206;474;0.70;72.97
ITEM;1200;85;0.96;3852.90
ITEM;1201;32;0.65;4642.70
ITEM;1205;63;0.93;14458.50
ITEM;2222;79;0.94;175602.00
ITEM;1202;40;1.08;34655.10
ITEM;2223;44;0.65;232681.20
ITEM;1210;7;0.51;58289.70
ITEM;1203;1;0.85;214532.50
ITEM;407;86;1.11;433.67
ITEM;103;345;1.07;0.89
ITEM;330;89;0.63;43.04
ITEM;607;1;0.87;398424.00
ITEM;6;105;1.15;256.32
ITEM;2200;50;0.77;21984.60
ITEM;1165;52;0.84;64711.98
ITEM;1168;45;0.86;531608.60
ITEM;118;1078;0.64;2.95
ITEM;170;47;1.04;47.93
ITEM;1623;63;1.17;76805.42
ITEM;1753;71;0.92;130246.00
ITEM;1573;89;0.76;53598.94
ITEM;1543;6;0.75;32643.50
ITEM;1618;39;1.18;85852.77
ITEM;2297;55;0.85;467212.30
ITEM;1503;73;0.83;30162.35
ITEM;1593;70;0.52;20190.24
ITEM;600;11;0.91;4031.00
ITEM;2117;392;1.06;258.17
ITEM;1524;68;0.87;146461.20
ITEM;1624;21;0.67;205661.80
ITEM;1772;89;0.84;7223.89
ITEM;1767;16;0.99;8695.75
ITEM;2371;1;0.55;52539.61
ITEM;1584;63;0.64;391811.50
ITEM;2308;8;1.16;9261425.00
ITEM;1654;3;1.18;1045039.00
ITEM;1554;41;0.76;322654.90
ITEM;2268;84;0.88;1941666.00
ITEM;1152;19;0.69;5686.14
ITEM;1101;34;0.69;527.58
ITEM;1103;15;1.06;3155.46
ITEM;2168;81;1.18;1323726.00
ITEM;1015;31;0.93;3635.28
ITEM;3;346;1.24;59.08
ITEM;2049;150;0.96;4510.45
ITEM;2515;16;0.96;54127.25
ITEM;43;197;1.08;32.90
ITEM;1055;20;1.08;4100.04
ITEM;2132;72;0.74;64128.96
ITEM;1065;11;1.13;17240.16
ITEM;1070;55;0.68;19360.32
ITEM;1051;18;1.12;68288.64
ITEM;1056;80;0.70;80129.28
ITEM;726;19;1.12;15243.00
ITEM;207;654;1.09;125.84
ITEM;2440;1;0.83;405.95
ITEM;114;1348;1.03;1.95
ITEM;21;819;0.88;155.24
ITEM;113;1263;1.16;6.44
ITEM;119;254;0.71;91.41
ITEM;721;159;0.71;3637.20
ITEM;2482;3;0.59;2455.80
ITEM;703;165;1.21;5531.00
ITEM;2017;811;0.95;474.21
ITEM;720;170;1.21;6637.20
ITEM;2462;74;1.05;1764.66
ITEM;755;142;1.23;6757.20
ITEM;710;70;1.22;5581.00
ITEM;626;5;0.44;131784.30
ITEM;608;41;0.98;692198.00
ITEM;323;59;0.84;28.05
ITEM;117;1111;1.24;62.95
ITEM;152;750;0.96;10.53
ITEM;2018;331;0.51;320.98
ITEM;625;5;1.03;222019.90
ITEM;1069;44;0.50;8082.48
ITEM;2155;1;1.16;1034231.00
ITEM;642;25;0.83;12708.50
ITEM;340;5;1.21;83.41
ITEM;640;38;0.69;2931.00
ITEM;645;10;0.51;97488.00
ITEM;202;483;0.67;47.16
ITEM;647;14;1.23;585624.00
ITEM;744;35;0.65;136550.00
ITEM;749;28;1.18;269050.00
ITEM;734;59;0.81;176550.00
ITEM;760;126;0.85;186550.00
ITEM;124;947;1.15;107.24
ITEM;2019;836;0.66;612.21
ITEM;2021;338;0.90;159.80
ITEM;5;0;0.59;74.39
ITEM;75;421;1.19;136.75
ITEM;76;353;1.19;190.09
ITEM;77;243;0.87;180.67
ITEM;78;0;0.97;264.19
ITEM;2124;107;0.89;829.83
ITEM;2120;0;0.83;294.40
ITEM;2121;305;1.06;507.65
ITEM;2122;0;0.52;283.22
ITEM;2123;101;0.91;689.70
ITEM;2125;290;0.72;801.37
ITEM;2127;187;1.08;81.22
ITEM;2130;55;0.58;71.48
ITEM;333;80;0.77;218.58
ITEM;22;844;1.08;341.67
ITEM;2022;474;0.64;200.54
ITEM;2113;271;1.11;60.67
ITEM;2113;-99;1.24;68.51
ITEM;2392;81;0.57;337.53
ITEM;2116;416;0.58;47.91
ITEM;624;33;0.72;80106.00
ITEM;1024;62;1.16;297425.90
ITEM;663;8;1.05;47310.00
ITEM;662;3;1.25;20058.50
ITEM;100;481;1.07;0.48
ITEM;26;566;0.80;4246.82
ITEM;408;74;0.52;2177.14
ITEM;1470;33;1.15;64864.40
ITEM;1471;7;1.11;784836.00
ITEM;9;589;0.57;433.57
</MARKET>
// SKILLS;Skill_id;Price_modifier
<SKILLS>
SKILL;76;1.08
SKILL;24;1.81
SKILL;234;1.98
SKILL;33;0.88
SKILL;15;1.21
</SKILLS>
// MISSION , dbid , timer, id, data, title, factionid
<MISSIONS>
MISSION;131;140;443467;SALVAGE#9#26#sector_103.txt#sector_14_station_0.txt#null#null#null#null;Salvage <color='yellow'>Special Weapons Component</color> in <color='cyan'>Vindicati</color> and return with <color='yellow'>9</color> to Imperium Republica  in <color='cyan'>Gate of Alpharis</color>;9;While collecting some junk in the <color='cyan'>Vindicati</color> system, <i>Qaile Daetusih</i> discovered a light haul of <color='yellow'>9</color> <color='yellow'>Special Weapons Component</color>. Unable to collect the material alone, <i>Qaile Daetusih</i> has requested that a capable pilot salvage the <color='yellow'>Special Weapons Component</color> and drop it off at the Imperium Republica  station located in the <color='cyan'>Gate of Alpharis</color>.;9174;800
MISSION;60;140;354276;HARVEST#88#1#sector_96.txt#sector_78_station_0.txt#null#null#null#null;Harvest <color='yellow'>Special Adamyte Ore</color> in <color='cyan'>Arch of Mori</color> and return with <color='yellow'>88</color> ore to Tella's in <color='cyan'>Bitcola</color>;10;A local prospector, <i>Ticie Leiate</i> of the Missionary faction has located a light quantity of special <color='yellow'>Special Adamyte Ore</color> in the <color='cyan'>Arch of Mori</color> sector. Head over there and harvest all of the special <color='yellow'>Special Adamyte Ore</color>, and meet <i>Ticie Leiate</i> back at Tella's station located in the <color='cyan'>Bitcola</color>.;11126;2400
MISSION;41;120;591246;SCAN_PILOT#sector_0_station_2.txt#sector_78.txt#Commander Beckyi Resreno#npc_ship_data_(transport_frigate_1)#3#null#null#null;Find <color='yellow'><i>Commander Beckyi Resreno</i></color> in <color='cyan'>Bitcola</color>, scan their ship, and return to StarGypsy Warehouse in <color='cyan'>Void Starcross</color>;11;<color='yellow'><i>Commander Beckyi Resreno</i></color> has recently been paroled for a capital crime, and their parole officer has received information about a possible raid in <color='cyan'>Bitcola</color>. Head to <color='cyan'>Bitcola</color> and perform a scan of <color='yellow'><i>Commander Beckyi Resreno</i></color>'s ship and return to StarGypsy Warehouse in <color='cyan'>Void Starcross</color> with the scan data for review.;15970;5950
MISSION;120;120;295167;CHAT_PILOT#sector_35_station_0.txt#sector_14.txt#Colonel Lomdee Mosbobo#npc_ship_data_(excavation_frigate_1)#9#missions_debt_collection.txt#0#null;Collect a small debt from <color='yellow'><i>Colonel Lomdee Mosbobo</i></color> in <color='cyan'>Gate of Alpharis</color> and return to Astrox Security Patrol in <color='cyan'>Felishar</color>;9;<i>Jalisbel Tumes</i> has requested that debt be collected from <color='yellow'><i>Colonel Lomdee Mosbobo</i></color>. After 3 payments to the Temple faction for transport fines, <color='yellow'><i>Colonel Lomdee Mosbobo</i></color> has refused to make any further payments. Last known sighting of <color='yellow'><i>Colonel Lomdee Mosbobo</i></color> was in the vicinity of the <color='cyan'>Gate of Alpharis</color> system. Have a chat with them, collect the debt, and return to the Astrox Security Patrol in the <color='cyan'>Felishar</color> system to deliver the payment.;27230;9300
MISSION;42;120;252801;SCAN_PILOT#sector_56_station_1.txt#sector_0.txt#Bishop Zetalei Zokom#npc_ship_data_(law_enforcer_1)#2#null#null#null;Track down and scan <color='yellow'><i>Bishop Zetalei Zokom</i></color> in <color='cyan'>Void Starcross</color> and return to ValueStar in <color='cyan'>Hunu</color>;9;Temple faction has requested that we verify the whereabouts of a <color='yellow'><i>Bishop Zetalei Zokom</i></color>. After a recent ban order from the high court minister <i>Quyo Viro</i>, <color='cyan'>Void Starcross</color> officials are worried that <color='yellow'><i>Bishop Zetalei Zokom</i></color> might cause problems for the local merchants. Scan <color='yellow'><i>Bishop Zetalei Zokom</i></color>'s ship and return to ValueStar in <color='cyan'>Hunu</color> with the scan record.;12395;4625
MISSION;33;300;763097;TRANSPORT#447#204#sector_0_station_4.txt#sector_14_station_0.txt#null#null#null#null;Transport <color='yellow'>447</color> units of <color='yellow'>Fiber Optic Cables</color> from Starbase Corporate Center in <color='cyan'>Void Starcross</color> to Imperium Republica  in <color='cyan'>Gate of Alpharis</color>;9;A Transport request has been posted by <i>Walocki Outadwhea</i>. <color='yellow'>447</color> <color='yellow'>Fiber Optic Cables</color> needs to be picked up at the storage facility at Starbase Corporate Center in <color='cyan'>Void Starcross</color>. Once the medium shipment has been loaded, transport it to Imperium Republica  in <color='cyan'>Gate of Alpharis</color> where <i>Walocki Outadwhea</i> will be waiting to receive it.;11700;2250
MISSION;110;600;713766;KILL_RAIDERS#sector_78_station_0.txt#sector_56.txt#2#10#npc_ship_data_(pirate_shuttle_1)#npc_ship_data_(recon_escort_1)#npc_ship_data_(support_escort_1)#npc_ship_data_(excavation_escort_1);Hunt <color='yellow'>2 Raiders</color> level 10 in <color='cyan'>Hunu</color> and return to Tella's in <color='cyan'>Bitcola</color>;10;There has been a small Raider gang hanging around the warp gates in <color='cyan'>Hunu</color>. The Missionary faction has requested a sector clearance contract. Head on over to the <color='cyan'>Hunu</color> and clear out the <color='yellow'>2 Raiders</color>, level 10 that have set up camp there. Dock at the Tella's station in <color='cyan'>Bitcola</color> when complete.;52704;18000
MISSION;53;150;340305;SCAN_STRUCTURE#sector_95_station_0.txt#sector_77.txt#Community Farming Center#structure_farm_1.txt#1#null#null#null;Scan the <color='yellow'>Community Farming Center</color> structure in <color='cyan'>Ballast Crow</color> and return to Star Shepards Hub in <color='cyan'>Temple Gates</color>;9;Space rats have infested the <color='yellow'>Community Farming Center</color> structure over in <color='cyan'>Ballast Crow</color>. <i>Bempoe Gails</i> has been trying to get help with the infestation, but until the structure is scanned, Temple union members are not going to come. Head back to the Star Shepards Hub station located in the <color='cyan'>Temple Gates</color> with a scan report.;16250;5550
MISSION;130;140;115956;SALVAGE#4#26#sector_103.txt#sector_3_station_0.txt#null#null#null#null;Salvage <color='yellow'>Special Weapons Component</color> in <color='cyan'>Vindicati</color> and return with <color='yellow'>4</color> to Daemon Ammunitions in <color='cyan'>Starfort Ramos</color>;11;A local prospector, <i>Lindoada Keexikile</i> of the Orthodox faction has located a light quantity of special <color='yellow'>Special Weapons Component</color> in the <color='cyan'>Vindicati</color> sector. Head over there and salvage all of the special <color='yellow'>Special Weapons Component</color>, and meet <i>Lindoada Keexikile</i> back at Daemon Ammunitions station located in the <color='cyan'>Starfort Ramos</color>.;7050;750
MISSION;10;120;594142;DELIVERY#23#2014#sector_0_station_2.txt#sector_80_station_0.txt#null#null#null#null;Dock at StarGypsy Warehouse in <color='cyan'>Void Starcross</color> to deliver a light shipment of <color='yellow'>23</color> <color='yellow'>Large Pumps</color>;9;<i>Zetadorn Geevajbem</i> runs a Temple shipping company at Genistar. After having some issues with a transport ship, <color='yellow'>23</color> items of <color='yellow'>Large Pumps</color> were left behind. Head on over to <color='cyan'>Void Starcross</color> and deliver these <color='yellow'>Large Pumps</color> to StarGypsy Warehouse.;11780;3800
MISSION;113;600;577790;KILL_RAIDERS#sector_56_station_0.txt#sector_97.txt#2#25#npc_ship_data_(pirate_shuttle_1)#npc_ship_data_(recon_frigate_1)#npc_ship_data_(support_escort_1)#npc_ship_data_(excavation_escort_1);Exterminate <color='yellow'>2 Raiders</color> in <color='cyan'>Valley of Truths</color> and dock at Transporteers in <color='cyan'>Hunu</color>;9;Reports of a small skilled gang in the <color='cyan'>Valley of Truths</color> system have locals concerned, and Temple faction members are worried about the increase in criminal activity around their local production facilities. Eliminate <color='yellow'>2 Raiders</color> in total, and return to Transporteers station in <color='cyan'>Hunu</color> when complete.;72614;19200
MISSION;113;600;636848;KILL_RAIDERS#sector_95_station_0.txt#sector_36.txt#1#25#npc_ship_data_(pirate_shuttle_1)#npc_ship_data_(recon_frigate_1)#npc_ship_data_(support_escort_1)#npc_ship_data_(excavation_escort_1);Exterminate <color='yellow'>1 Raider</color> in <color='cyan'>Beacon Spita</color> and dock at Star Shepards Hub in <color='cyan'>Temple Gates</color>;9;Reports of a small skilled gang in the <color='cyan'>Beacon Spita</color> system have locals concerned, and Temple faction members are worried about the increase in criminal activity around their local production facilities. Eliminate <color='yellow'>1 Raider</color> in total, and return to Star Shepards Hub station in <color='cyan'>Temple Gates</color> when complete.;90182;33600
MISSION;113;600;222557;KILL_RAIDERS#sector_80_station_0.txt#sector_81.txt#1#25#npc_ship_data_(pirate_shuttle_1)#npc_ship_data_(recon_frigate_1)#npc_ship_data_(support_escort_1)#npc_ship_data_(excavation_escort_1);Exterminate <color='yellow'>1 Raider</color> in <color='cyan'>Ferrelis Cove</color> and dock at Genistar in <color='cyan'>Blades of Dandrow</color>;10;Reports of a small skilled gang in the <color='cyan'>Ferrelis Cove</color> system have locals concerned, and Missionary faction members are worried about the increase in criminal activity around their local production facilities. Eliminate <color='yellow'>1 Raider</color> in total, and return to Genistar station in <color='cyan'>Blades of Dandrow</color> when complete.;101894;43200
MISSION;121;120;156923;CHAT_PILOT#sector_0_station_0.txt#sector_58.txt#Doctor Gobo Nirib#npc_ship_data_(support_carrier_1)#3#missions_debt_collection.txt#0#null;Chat with <color='yellow'><i>Doctor Gobo Nirib</i></color> about his debt in <color='cyan'>Lins</color> and return to Biomate University in <color='cyan'>Void Starcross</color>;10;<i>Arkol Fernuhal</i> has requested that debt be collected from <color='yellow'><i>Doctor Gobo Nirib</i></color>. After 3 payments to the Missionary faction for transport fines, <color='yellow'><i>Doctor Gobo Nirib</i></color> has refused to make any further payments. Last known sighting of <color='yellow'><i>Doctor Gobo Nirib</i></color> was in the vicinity of the <color='cyan'>Lins</color> system. Have a chat with them, collect the debt, and return to the Biomate University in the <color='cyan'>Void Starcross</color> system to deliver the payment.;30531;11375
MISSION;50;120;801629;SCAN_STRUCTURE#sector_14_station_1.txt#sector_61.txt#Community Farming Center#structure_farm_1.txt#1#null#null#null;Locate and scan the <color='yellow'>Community Farming Center</color> structure in <color='cyan'>Ambervellis Drea</color> and return to Horizons in <color='cyan'>Gate of Alpharis</color>;9;A recent construction permit was delivered by the Temple faction. They are demanding a survey of a new structure that has been constructed by <i>Zetabo Dofei</i>. Scan the <color='yellow'>Community Farming Center</color> structure and return back to the Horizons located in the <color='cyan'>Gate of Alpharis</color> with the survey data. Once the data is verified, payment will be rendered.;17007;6800
MISSION;62;140;862415;HARVEST#112#1#sector_58.txt#sector_56_station_0.txt#null#null#null#null;Excavate <color='yellow'>Special Adamyte Ore</color> in <color='cyan'>Lins</color> and return with <color='yellow'>112</color> to Transporteers in <color='cyan'>Hunu</color>;9;<i>Mesze Eadoe</i> has discovered a light deposit of <color='yellow'>Special Adamyte Ore</color> in <color='cyan'>Lins</color>. He is currently unable to mine the <color='yellow'>Special Adamyte Ore</color>, and has requested a pilot to head over and harvest the <color='yellow'>112</color> <color='yellow'>Special Adamyte Ore</color>. Once complete, head over and meet <i>Mesze Eadoe</i> at the Transporteers station located in the <color='cyan'>Hunu</color>.;17379;6475
MISSION;110;600;737586;KILL_RAIDERS#sector_58_station_0.txt#sector_78.txt#1#10#npc_ship_data_(pirate_shuttle_1)#npc_ship_data_(recon_escort_1)#npc_ship_data_(support_escort_1)#npc_ship_data_(excavation_escort_1);Hunt <color='yellow'>1 Raider</color> level 10 in <color='cyan'>Bitcola</color> and return to CoraVault in <color='cyan'>Lins</color>;9;There has been a small Raider gang hanging around the warp gates in <color='cyan'>Bitcola</color>. The Temple faction has requested a sector clearance contract. Head on over to the <color='cyan'>Bitcola</color> and clear out the <color='yellow'>1 Raider</color>, level 10 that have set up camp there. Dock at the CoraVault station in <color='cyan'>Lins</color> when complete.;56364;21000
