// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Biomart
STATION;type;Auction Facility
STATION;owner;Leira Kolyitpi
STATION;faction;Trade
STATION;material;station_material_Trade.png
STATION;color;.70 , 1, .23 , 1
STATION;level;2
STATION;icon;biomart.png
STATION;filename;sector_60_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;3-0-1-2-4-0-9-1-2-2-1-3-0-6-2-0-2-0
STATION;interior_seed;5-2-45-3
// SERVICES;servicename;bool
SERVICES;lounge;False
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;False
SERVICES;contracts;False
SERVICES;admin;False

// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Pod Racing event;0.25,0.0;40000;Sport Racing Event;entertain_race.png;All expense paid trip to the weekly 'Astrox Pod Racing' (APR) event. 25% Morale Boost.
ENTERTAINMENT;Live Music Concert;0.20,0.07;25000;Musical Entertainment;entertain_show.png;Your crew is treated to an 'all expenses paid' night at a music venue of their choosing. 20% Morale , 7% Loyalty bonus.
ENTERTAINMENT;Karaoke Night;0.15,0.05;15000;Musical Entertainment;entertain_show.png;Your fleet is treated to a night of karaoke at the local music tavern. 15% Morale , 5% Loyalty bonus.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;1;1.02;npc_ship_data_(battle_utility_1).txt
MERC;6;1.62;npc_ship_data_(excavation_utility_1).txt
MERC;8;1.59;npc_ship_data_(recon_carrier_1).txt
MERC;9;1.60;npc_ship_data_(excavation_escort_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
BUYORDER;Market Needs Goods: (1) Items ;21x287;55459;105641.90
ITEM;43;88;1.07;1614.629
ITEM;2111;2395;1.04;1614.629
ITEM;2650;2383;1.05;1614.629
ITEM;50;29;1.21;1614.629
ITEM;75;3368;0.96;1614.629
ITEM;78;4224;0.69;168.1503
ITEM;747;34;0.62;168.1503
ITEM;727;38;1.20;168.1503
ITEM;703;14;0.57;168.1503
ITEM;678;41;0.85;168.1503
ITEM;672;40;0.77;168.1503
ITEM;738;17;1.25;168.1503
ITEM;751;38;0.91;168.1503
ITEM;758;18;0.51;168.1503
ITEM;743;23;1.14;165216.6
ITEM;744;21;1.04;165216.6
ITEM;710;17;0.70;165216.6
ITEM;757;2;0.69;165216.6
ITEM;660;10;1.01;4356.563
ITEM;641;10;0.59;4513.125
ITEM;600;2;1.02;4513.125
ITEM;661;5;0.61;4713.125
ITEM;620;6;1.24;4713.125
ITEM;640;9;0.56;2106.563
ITEM;621;13;0.98;8413.125
ITEM;601;5;0.55;8413.125
ITEM;302;18;0.89;8413.125
ITEM;305;8;0.54;8413.125
ITEM;406;2;0.58;8413.125
ITEM;404;633;1.14;8413.125
ITEM;303;17;1.00;8413.125
ITEM;408;4;0.75;8413.125
ITEM;403;694;1.01;8413.125
ITEM;405;609;0.63;8413.125
ITEM;407;1675;1.21;461.7357
ITEM;304;1;1.08;461.7357
ITEM;300;1707;1.05;56.68364
ITEM;301;1594;0.64;56.68364
ITEM;21;2885;0.61;56.68364
ITEM;20;4933;1.19;128.7858
ITEM;2;44;0.77;128.7858
ITEM;1;147;0.62;128.7858
ITEM;103;492;1.13;128.7858
ITEM;114;217;1.20;128.7858
ITEM;104;243;0.73;128.7858
ITEM;102;410;0.93;1.978281
ITEM;100;38;0.79;1.978281
ITEM;101;271;1.17;1.978281
ITEM;169;417;0.68;1.978281
ITEM;155;194;0.75;1.978281
ITEM;156;161;0.79;1.978281
ITEM;166;126;0.89;1.978281
ITEM;162;128;0.66;1.978281
ITEM;158;126;1.08;1.978281
ITEM;165;216;1.17;1.978281
ITEM;167;170;0.59;39.08366
ITEM;163;163;0.87;39.08366
ITEM;168;377;1.08;39.08366
ITEM;160;7;1.23;39.08366
ITEM;159;1;0.66;39.08366
ITEM;153;195;1.11;39.08366
ITEM;151;7;1.10;39.08366
ITEM;150;64;1.13;39.08366
ITEM;154;67;0.57;39.08366
ITEM;2101;1;0.65;39.08366
ITEM;2427;20;1.18;39.08366
ITEM;2397;7;1.20;456.3644
ITEM;2110;18;1.25;456.3644
ITEM;2190;15;1.25;456.3644
ITEM;2171;8;1.03;20321.92
ITEM;2265;18;0.71;17090.81
ITEM;2545;13;1.02;17090.81
ITEM;2386;4;0.59;79.43099
ITEM;2201;5;0.74;79.43099
ITEM;2315;5;0.53;79.43099
ITEM;2426;6;0.78;79.43099
</MARKET>
// SKILLS;Skill_id;Price_modifier
<SKILLS>
SKILL;31;1.17
SKILL;47;1.34
SKILL;11;1.41
SKILL;6;1.26
</SKILLS>
// MISSION , dbid , timer, id, data, title, factionid
<MISSIONS>
</MISSIONS>
// SHIP HANGAR;count;Price_modifier;Ship_filename
<HANGAR>
SHIP;1;0.95;ship_data_(transport_escort_1).txt
SHIP;2;0.91;ship_data_(transport_utility_1).txt
SHIP;3;1.01;ship_data_(battle_carrier_1).txt
SHIP;4;1.05;ship_data_(recon_escort_1).txt
SHIP;5;1.06;ship_data_(recon_frigate_1).txt
SHIP;6;1.05;ship_data_(battle_carrier_1).txt
SHIP;7;1.03;ship_data_(support_frigate_1).txt
</HANGAR>
// STORAGE;item_id;Qty;0
<STORAGE>
