// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Star Shepards Hub
STATION;type;Engineering Facility
STATION;owner;Bemdee Tudoe
STATION;faction;Temple
STATION;material;station_material_Temple.png
STATION;color;.60 , .20 , .80 , 1
STATION;level;1
STATION;icon;star_shepards.png
STATION;filename;sector_95_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;2-1-1-4-8-0-3-1-5-3-3-8-0
STATION;interior_seed;4-3-45-9
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;90668.11
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;False
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;False
SERVICES;storage;True
SERVICES;fabricator;False
SERVICES;contracts;True
SERVICES;admin;False
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Astrox Opera House;0.26,0.07;51000;Musical Entertainment;entertain_opera.png;Provide a private opera concert for your entire crew at the famous 'Astrox Opera House', drinks and food included. 26% Morale , 7% Loyalty bonus.
ENTERTAINMENT;BioSynth Wildlife Park;0.05,0.05;26000;Rest and Relaxation;entertain_park.png;A weekend package to the local wildlife BioSynth park for your entire crew, included petting zoo. 5% Morale Boost, 5% Loyalty Boost
ENTERTAINMENT;Evening of Drinks;0.05,0.0;1500;Alcholic Drinks;entertain_bar.png;Pick up the tab for an evening of drinks for your crew, they earned it. 5% Morale Boost.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;3;1.00;npc_ship_data_(support_frigate_1).txt
MERC;7;1.30;npc_ship_data_(battle_shuttle_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
SELLORDER;Market Inventory: (2) Items ;301x296,300x639;51072.00;134677.10
MISSION;131;140;111452;SALVAGE#9#20#sector_95.txt#sector_95_station_1.txt#null#null#null#null;Salvage <color='yellow'>Special Junk Part</color> in <color='cyan'>Temple Gates</color> and return with <color='yellow'>9</color> to Acrondia Hub in <color='cyan'>Temple Gates</color>;11;While collecting some junk in the <color='cyan'>Temple Gates</color> system, <i>Gorejag Bemils</i> discovered a light haul of <color='yellow'>9</color> <color='yellow'>Special Junk Part</color>. Unable to collect the material alone, <i>Gorejag Bemils</i> has requested that a capable pilot salvage the <color='yellow'>Special Junk Part</color> and drop it off at the Acrondia Hub station located in the <color='cyan'>Temple Gates</color>.;9760;800
MISSION;141;120;674816;REFINE#3#24#sector_77_station_0.txt#sector_56_station_0.txt#null#null#null#null;Refine a light container of <color='yellow'>3</color> <color='yellow'>Electronic Fragments</color> at the Lacuna Bandits station in <color='cyan'>Ballast Crow</color>;10;The Missionary Faction has commissioned a refinery liaison, <i>Sawhea Funedorn</i> at Transporteers. After an audit, <color='yellow'>3</color> items of <color='yellow'>Electronic Fragments</color> were left unused. Head on over to <color='cyan'>Ballast Crow</color> and refine these <color='yellow'>Electronic Fragments</color> at the Lacuna Bandits refinery.;15000;3750
MISSION;141;120;688061;REFINE#4#24#sector_35_station_0.txt#sector_77_station_0.txt#null#null#null#null;Refine a light container of <color='yellow'>4</color> <color='yellow'>Electronic Fragments</color> at the Astrox Security Patrol station in <color='cyan'>Felishar</color>;11;The Orthodox Faction has commissioned a refinery liaison, <i>Caenostra Melkile</i> at Lacuna Bandits. After an audit, <color='yellow'>4</color> items of <color='yellow'>Electronic Fragments</color> were left unused. Head on over to <color='cyan'>Felishar</color> and refine these <color='yellow'>Electronic Fragments</color> at the Astrox Security Patrol refinery.;15000;3750
MISSION;30;240;788546;TRANSPORT#57#106#sector_99_station_0.txt#sector_80_station_0.txt#null#null#null#null;Transport a light shipment of <color='yellow'>57</color> <color='yellow'>Nitrogens</color> from Ferce Hub in <color='cyan'>Semja</color> to Genistar in <color='cyan'>Blades of Dandrow</color>;10;Transport manager <i>Atebue Zaehea</i> has requested a transport of a light shipment of <color='yellow'>57</color> <color='yellow'>Nitrogens</color>. They need to be picked up at the storage facility at Ferce Hub in <color='cyan'>Semja</color>, and transported to Genistar in <color='cyan'>Blades of Dandrow</color>. <i>Atebue Zaehea</i> will be waiting at Genistar to receive the shipment. ;15200;6650
MISSION;54;150;716018;SCAN_STRUCTURE#sector_14_station_1.txt#sector_102.txt#Defensive Gun Platform#structure_gun_platform_1.txt#1#null#null#null;Gather scan data on the target <color='yellow'>Defensive Gun Platform</color> in <color='cyan'>Lightless</color> and return to Horizons in <color='cyan'>Gate of Alpharis</color>;10;In the <color='cyan'>Lightless</color> sector, <i>Neeno Demiresttad</i> has requested a structural scan of the <color='yellow'>Defensive Gun Platform</color> structure. His old scan just recently expired, and before any further renovations can be carried out, a new scan is required. Once completed,  Head back to the Horizons station located in the <color='cyan'>Gate of Alpharis</color> with an updated scan report.;13490;3800
MISSION;44;150;522736;SCAN_PILOT#sector_60_station_0.txt#sector_82.txt#Leader Visga Wolea#npc_ship_data_(recon_escort_2)#18#null#null#null;Scan <color='yellow'><i>Leader Visga Wolea</i></color> recently spotted in <color='cyan'>Kidd Overture</color> and return to Biomart in <color='cyan'>Veloxi</color>;9;In <color='cyan'>Kidd Overture</color>, a pilot named <color='yellow'><i>Leader Visga Wolea</i></color> is suspected to be operating under a false identity. He is believed to be the wanted criminal <i>Vedse Genah</i> by the Temple faction. Before ASP can take action, they have requested we transfer a hard copy of a recent scan. Return to Biomart in <color='cyan'>Veloxi</color> with an up to date scan record.;28801;7875
MISSION;124;180;612728;CHAT_PILOT#sector_56_station_0.txt#sector_96.txt#Major Renotaj Renofaebem#npc_ship_data_(pirate_frigate_3)#23#missions_arrest_escort.txt#0#null;Arrest <color='yellow'><i>Major Renotaj Renofaebem</i></color> over an outstanding warrant in <color='cyan'>Arch of Mori</color> and return to Transporteers in <color='cyan'>Hunu</color>;9;<i>Anbe Emifast</i> of the Temple faction has sent out a warrent for the arrest of <color='yellow'><i>Major Renotaj Renofaebem</i></color>. Last known sighting of <color='yellow'><i>Major Renotaj Renofaebem</i></color> was in the area of <color='cyan'>Arch of Mori</color>. Bring them back alive to the Transporteers in the <color='cyan'>Hunu</color> system to complete this contract.;26791;3600
MISSION;55;150;725701;SCAN_STRUCTURE#sector_56_station_1.txt#sector_83.txt#Public Energy Generator#structure_energy_gen_1.txt#1#null#null#null;In <color='cyan'>Kolkax Prime</color>, Scan the <color='yellow'>Public Energy Generator</color> stucture and return to ValueStar in <color='cyan'>Hunu</color>;9;The Temple building council has recommended that a survey scan is required for the old <color='yellow'>Public Energy Generator</color> structure located in <color='cyan'>Kolkax Prime</color>. <i>Jidxi Arbin</i> has been appointed to oversee the survey. Once the scan has been completed, return to the ValueStar station back in <color='cyan'>Hunu</color> with the scan report.;21649;7800
MISSION;10;120;784712;DELIVERY#2#1640#sector_3_station_0.txt#sector_99_station_0.txt#null#null#null#null;Dock at Daemon Ammunitions in <color='cyan'>Starfort Ramos</color> to deliver a light shipment of <color='yellow'>2</color> <color='yellow'>Basic Energy Armors</color>;9;<i>Yitjag Nostramibac</i> runs a Temple shipping company at Ferce Hub. After having some issues with a transport ship, <color='yellow'>2</color> items of <color='yellow'>Basic Energy Armors</color> were left behind. Head on over to <color='cyan'>Starfort Ramos</color> and deliver these <color='yellow'>Basic Energy Armors</color> to Daemon Ammunitions.;14440;4750
MISSION;40;120;573442;SCAN_PILOT#sector_58_station_0.txt#sector_56.txt#Liaison Lindohin Nostrawen#npc_ship_data_(Testship)#23#null#null#null;Locate and scan <color='yellow'><i>Liaison Lindohin Nostrawen</i></color> in <color='cyan'>Hunu</color> and return to CoraVault in <color='cyan'>Lins</color>;11;<i>Whokin Heakee</i> has requested a location verification on a recent employee. <color='yellow'><i>Liaison Lindohin Nostrawen</i></color> is supposed to be running a survey in <color='cyan'>Hunu</color>. Please verify the location of this pilot by scanning their ship and return to CoraVault in <color='cyan'>Lins</color>.;12481;2325
MISSION;126;120;708534;CHAT_PILOT#sector_3_station_0.txt#sector_81.txt#Miner Fastvis Molefaebeck#npc_ship_data_(pirate_utility_3)#23#missions_transfer_pilot.txt#0#null;Transfer payment to <color='yellow'><i>Miner Fastvis Molefaebeck</i></color> in <color='cyan'>Ferrelis Cove</color> and return with signature to Daemon Ammunitions in <color='cyan'>Starfort Ramos</color>;11;<i>Vajdo Nabinmo</i> has a bonus payment for <color='yellow'><i>Miner Fastvis Molefaebeck</i></color>. The Orthodox faction has recognized <color='yellow'><i>Miner Fastvis Molefaebeck</i></color> and has award a bonus payment. <color='yellow'><i>Miner Fastvis Molefaebeck</i></color> was last working in the <color='cyan'>Ferrelis Cove</color> system. Find them, deliver this envelope, and return to the Daemon Ammunitions in the <color='cyan'>Starfort Ramos</color> system with a signature.;30634;9300
MISSION;128;120;460359;CHAT_PILOT#sector_0_station_2.txt#sector_19.txt#Miner Renosed Sawbarca#npc_ship_data_(pirate_frigate_2)#16#missions_transfer_pilot.txt#0#null;Transfer a termination notice to <color='yellow'><i>Miner Renosed Sawbarca</i></color> in <color='cyan'>Crellara</color> and return to StarGypsy Warehouse in <color='cyan'>Void Starcross</color>;9;<color='yellow'><i>Miner Renosed Sawbarca</i></color> has been fired by the Temple faction for poor performance. <color='yellow'><i>Miner Renosed Sawbarca</i></color> has refused all calls from their employer. Last seen in the <color='cyan'>Crellara</color> system. Contact <color='yellow'><i>Miner Renosed Sawbarca</i></color> and deliver the message. Then return to the StarGypsy Warehouse in the <color='cyan'>Void Starcross</color> system a confirmation.;32916;8875
MISSION;82;120;701512;RECOVER#4#1562#sector_56.txt#sector_0_station_2.txt#null#null#null#null;Retrieve a light cache of <color='yellow'>4</color> <color='yellow'>Advanced Shield Generators</color> from a <color='yellow'>crate</color> in <color='cyan'>Hunu</color> sector, drop at StarGypsy Warehouse in <color='cyan'>Void Starcross</color>;9;After a skirmish in <color='cyan'>Hunu</color>, the Temple's <i>Sefae Doekeebun</i> cannot account for a light shipment of <color='yellow'>Advanced Shield Generators</color> he was transporting before the attack. Head out to the <color='cyan'>Hunu</color> sector and look for the crate. When found, take the contents of the crate back to the StarGypsy Warehouse station in the <color='cyan'>Void Starcross</color> sector.;17568;3000
</MISSIONS>
// SHIP HANGAR;count;Price_modifier;Ship_filename
<HANGAR>
SHIP;1;1.07;ship_data_(support_escort_1).txt
SHIP;2;0.98;ship_data_(pirate_carrier_1).txt
SHIP;3;1.08;ship_data_(excavation_cruiser_1).txt
SHIP;4;1.08;ship_data_(transport_frigate_1).txt
SHIP;5;0.98;ship_data_(support_carrier_1).txt
</HANGAR>
// STORAGE;item_id;Qty;0
<STORAGE>


