// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;1
STATION;name;Lammassu Financial
STATION;type;Market Center
STATION;owner;Jelegus
STATION;faction;Trade
STATION;material;station_material_Trade.png
STATION;color; 0.0 , 1.0 , 0.0 , 1.0
STATION;level;7
STATION;icon;lammassu.png
STATION;filename;sector_0_station_1.txt
STATION;max_hp;25000
STATION;dockfee;25
STATION;lease;1
STATION;seed;3-4-0-1-7-0-6-1-3-0-0-4-1-3-8-1-9-1-1-3-1-3-180
STATION;interior_seed;4-5-15-3
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;60355.5
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;False
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;True
SERVICES;admin;True
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Deathmatch League;0.15,0.08;68500;Sport Fighting Event;entertain_fight.png;Tickets to the Deathmatch League, where your entire fleet will enjoy a evening of bloodsport. 15% Morale , 8% Loyalty bonus.
ENTERTAINMENT;Astrox Opera House;0.26,0.07;51000;Musical Entertainment;entertain_opera.png;Provide a private opera concert for your entire crew at the famous 'Astrox Opera House', drinks and food included. 26% Morale , 7% Loyalty bonus.
ENTERTAINMENT;Spa Treatment;0.15,0.0;18500;Rest and Relaxation;entertain_spa.png;Send your crew to the spa, let them rest and relax for awhile. 15% Morale Boost.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;1;1.63;npc_ship_data_(transport_shuttle_1).txt
MERC;3;1.63;npc_ship_data_(transport_escort_1).txt
MERC;9;1.93;npc_ship_data_(transport_utility_1).txt
MERC;12;1.23;npc_ship_data_(transport_utility_2).txt
MERC;15;1.47;npc_ship_data_(transport_frigate_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
BUYORDER;Market Low Inventory: (1) Items ;159x405;23955;105724.00
ITEM;2381;17;1.03;104405.7
ITEM;301;5774;0.44;41.31484
ITEM;332;5687;0.78;44.1979
ITEM;2651;13115;0.98;545.004
ITEM;666;20;1.00;334610.4
ITEM;661;23;0.47;3300.589
ITEM;218;757;0.42;53.26308
ITEM;2465;60;0.63;1145.266
ITEM;108;1651;0.91;11.66649
ITEM;2002;1229;1.03;117.2871
ITEM;2003;847;1.14;175.9072
ITEM;2126;15168;0.67;37.68931
ITEM;63;14610;0.55;81.52908
ITEM;660;33;1.01;4355.201
ITEM;112;1324;1.15;28.29554
ITEM;2004;1536;1.08;199.8846
ITEM;7;21315;0.52;199.8846
ITEM;1475;20;0.25;30318.75
ITEM;1478;21;0.26;21464.64
ITEM;1477;22;0.25;16492.67
ITEM;1476;20;0.25;45478.13
ITEM;643;18;0.62;23837.6
ITEM;11;15452;0.95;23837.6
ITEM;24;10864;1.09;23837.6
ITEM;738;38;0.92;938105.3
ITEM;322;4963;0.97;177.759
ITEM;1020;107;0.51;3634.945
ITEM;2111;12078;0.99;35.54877
ITEM;2114;2209;0.59;32.26832
ITEM;2114;21048;0.60;32.72732
ITEM;151;279;0.25;1.353516
ITEM;204;1482;0.79;67.6169
ITEM;2451;61;1.09;1178.866
ITEM;1120;84;0.96;1146.623
ITEM;343;5381;0.55;56.60177
ITEM;341;4248;0.95;62.18318
ITEM;2112;2026;0.77;31.61479
ITEM;2112;16950;0.85;35.62506
ITEM;2115;10085;0.82;57.74245
ITEM;62;7391;0.92;57.74245
ITEM;324;4812;0.58;22.24614
ITEM;313;5524;0.64;97.46066
ITEM;2;25315;0.46;8.931372
ITEM;604;16;0.85;92304.57
ITEM;405;4882;0.51;92304.57
ITEM;602;51;0.84;12210.25
ITEM;2007;874;0.56;12210.25
ITEM;673;168;0.92;312655.2
ITEM;743;148;0.65;83146.2
ITEM;748;179;0.75;83146.2
ITEM;731;181;0.55;66551.49
ITEM;759;164;0.63;81001.7
ITEM;102;2008;0.70;81001.7
ITEM;331;3911;0.63;69.52205
ITEM;646;28;0.61;182012.6
ITEM;2650;13952;0.54;217.2693
ITEM;1521;65;0.99;2225.566
ITEM;741;60;1.01;39133.69
ITEM;1641;101;1.07;12544.52
ITEM;1571;77;1.14;5748.792
ITEM;621;37;0.99;8528.49
ITEM;1631;113;0.83;9295.289
ITEM;2285;59;0.72;9295.289
ITEM;730;113;0.67;9295.289
ITEM;751;152;0.94;35874.33
ITEM;757;161;0.99;38037.36
ITEM;1601;106;0.68;1405.138
ITEM;1012;105;0.93;55299.33
ITEM;305;5107;1.04;132.7486
ITEM;1171;102;0.70;3218.763
ITEM;1174;71;1.22;3218.763
ITEM;105;1257;0.57;3218.763
ITEM;2010;724;0.80;86.93317
ITEM;2011;1530;0.85;94.99352
ITEM;20;17586;1.15;99.14558
ITEM;41;13675;0.93;16.44084
ITEM;51;10278;1.15;36.26512
ITEM;2119;15385;0.81;294.2473
ITEM;1009;69;0.49;762.8792
ITEM;1008;92;1.03;762.8792
ITEM;304;4844;0.66;71.11534
ITEM;1006;113;0.60;16293.62
ITEM;747;119;0.91;16293.62
ITEM;211;1336;0.56;34.72902
ITEM;2014;1369;0.50;102.6919
ITEM;752;71;0.67;52819.14
ITEM;712;119;1.08;140444.5
ITEM;209;1001;0.79;46.40209
ITEM;691;184;0.79;19337.25
ITEM;692;287;0.59;7095.123
ITEM;158;269;0.26;5.457843
ITEM;2434;66;0.71;308.3678
ITEM;4;22400;0.60;42.90585
ITEM;155;296;0.25;2.414672
ITEM;104;1603;0.45;2.414672
ITEM;166;4;1.10;2.414672
ITEM;203;1168;0.50;34.15411
ITEM;350;4682;0.63;18.59408
ITEM;320;4179;1.09;18.59408
ITEM;352;2815;0.87;158.4361
ITEM;680;199;0.68;13552.14
ITEM;740;211;0.82;10161.07
ITEM;674;156;0.84;91280.61
ITEM;756;177;0.34;2985.104
ITEM;2557;47;0.62;85430.8
ITEM;678;165;0.84;17405.02
ITEM;670;216;0.71;68694.95
ITEM;1461;104;0.55;267147.7
ITEM;711;158;0.99;21134.54
ITEM;214;1408;0.81;82.24207
ITEM;157;255;0.25;4.742395
ITEM;23;30263;0.86;503.5709
ITEM;160;210;1.07;29.06619
ITEM;161;165;1.06;30.42928
ITEM;728;219;1.12;14729.17
ITEM;25;25001;0.63;1561.891
ITEM;321;4721;0.95;1561.891
ITEM;121;2041;0.55;20.68873
ITEM;106;2043;0.50;3.632222
ITEM;601;20;0.43;2902.053
ITEM;150;273;0.26;1.323813
ITEM;303;4127;0.90;1.323813
ITEM;342;4919;0.88;16.88538
ITEM;107;1977;0.84;7.421457
ITEM;644;29;0.47;7.421457
ITEM;206;1246;0.80;7.421457
ITEM;2453;57;1.02;1291.125
ITEM;407;5168;0.78;276.4561
ITEM;103;1722;0.60;0.4184993
ITEM;330;3859;0.75;49.93355
ITEM;6;14447;0.45;75.23378
ITEM;1160;84;0.88;2042.217
ITEM;2203;27;1.10;2042.217
ITEM;1166;91;0.67;93166.41
ITEM;165;137;1.05;75.27472
ITEM;118;1104;0.50;1.972587
ITEM;1523;90;0.44;1.972587
ITEM;1573;81;0.98;68606.42
ITEM;2272;55;0.47;625045.7
ITEM;1618;72;0.59;35866.78
ITEM;2297;10;0.70;35866.78
ITEM;600;57;0.72;2905.445
ITEM;2410;44;0.57;2905.445
ITEM;2283;59;0.92;3856900
ITEM;1772;107;1.04;3856900
ITEM;2374;28;0.86;3856900
ITEM;1777;133;0.96;8067.206
ITEM;1762;81;0.86;7055.285
ITEM;2318;14;1.00;2799157
ITEM;1614;96;0.97;2799157
ITEM;1151;80;0.94;3892.45
ITEM;1156;81;1.14;153987.9
ITEM;2161;18;0.84;7562.234
ITEM;2163;60;0.45;7562.234
ITEM;1106;68;1.23;27878.52
ITEM;3;12527;0.98;43.53289
ITEM;1050;70;0.62;1004.424
ITEM;1055;69;0.86;1004.424
ITEM;164;150;0.25;1004.424
ITEM;154;150;1.06;53.31491
ITEM;114;1226;0.74;53.31491
ITEM;2241;42;0.83;83017.66
ITEM;1403;95;0.96;45136.99
ITEM;2244;51;0.40;240048.2
ITEM;21;25796;0.43;58.03222
ITEM;113;1616;0.67;3.201564
ITEM;2016;671;0.62;200.7958
ITEM;216;973;1.13;160.0232
ITEM;693;187;0.88;160.0232
ITEM;217;906;0.65;94.94473
ITEM;159;193;1.05;65.64832
ITEM;626;44;0.41;106492.7
ITEM;323;4899;1.07;35.26175
ITEM;117;1092;0.97;46.01463
ITEM;152;142;0.25;1.331859
ITEM;156;264;0.25;3.584109
ITEM;625;53;0.45;74044.66
ITEM;2154;72;0.54;192629
ITEM;642;43;0.38;4226.612
ITEM;340;6080;0.67;40.06049
ITEM;640;38;0.37;40.06049
ITEM;645;29;0.77;151309.2
ITEM;162;122;2.48;75.5981
ITEM;202;1295;0.78;53.45396
ITEM;744;88;0.47;83051.59
ITEM;749;139;0.42;69609.63
ITEM;754;83;0.59;111227.6
ITEM;5;26582;1.00;130.9085
ITEM;75;12419;0.53;49.45133
ITEM;76;14554;0.58;76.45298
ITEM;78;14636;0.57;129.2061
ITEM;2121;8291;1.08;500.3899
ITEM;2421;18;0.96;5226.88
ITEM;2125;7814;1.17;1332.192
ITEM;2130;9666;0.65;75.84225
ITEM;333;2683;0.81;219.5554
ITEM;22;23183;0.93;219.5554
ITEM;2022;1008;0.81;250.3335
ITEM;2116;13303;0.46;250.3335
ITEM;624;43;0.50;46462.95
ITEM;663;35;0.91;38358.93
ITEM;662;45;1.08;16503.48
ITEM;100;2410;0.59;0.2251431
ITEM;26;19010;0.67;3220.857
ITEM;408;3881;1.06;3220.857
ITEM;1471;93;0.40;200628.2
</MARKET>
// SKILLS;Skill_id;Price_modifier
<SKILLS>
SKILL;223;1.88
SKILL;224;1.18
SKILL;225;0.89
SKILL;226;0.53
SKILL;232;0.67
SKILL;233;0.95
SKILL;221;0.86
SKILL;100;0.83
SKILL;101;0.63
SKILL;59;0.43
SKILL;114;1.13
SKILL;117;1.13
</SKILLS>
// MISSION , dbid , timer, id, data, title, factionid
<MISSIONS>
MISSION;126;120;295874;CHAT_PILOT#sector_95_station_0.txt#sector_103.txt#General Beckyit Whesih#npc_ship_data_(support_frigate_2)#10#missions_transfer_pilot.txt#0#null;Transfer payment to <color='yellow'><i>General Beckyit Whesih</i></color> in <color='cyan'>Vindicati</color> and return with signature to Star Shepards Hub in <color='cyan'>Temple Gates</color>;3;<i>Whemel Niris</i> has a bonus payment for <color='yellow'><i>General Beckyit Whesih</i></color>. The Trade faction has recognized <color='yellow'><i>General Beckyit Whesih</i></color> and has award a bonus payment. <color='yellow'><i>General Beckyit Whesih</i></color> was last working in the <color='cyan'>Vindicati</color> system. Find them, deliver this envelope, and return to the Star Shepards Hub in the <color='cyan'>Temple Gates</color> system with a signature.;26474;7750
MISSION;131;140;483244;SALVAGE#6#20#sector_96.txt#sector_95_station_0.txt#null#null#null#null;Salvage <color='yellow'>Special Junk Part</color> in <color='cyan'>Arch of Mori</color> and return with <color='yellow'>6</color> to Star Shepards Hub in <color='cyan'>Temple Gates</color>;4;While collecting some junk in the <color='cyan'>Arch of Mori</color> system, <i>Gorewho Peiyou</i> discovered a light haul of <color='yellow'>6</color> <color='yellow'>Special Junk Part</color>. Unable to collect the material alone, <i>Gorewho Peiyou</i> has requested that a capable pilot salvage the <color='yellow'>Special Junk Part</color> and drop it off at the Star Shepards Hub station located in the <color='cyan'>Temple Gates</color>.;11712;2400
MISSION;131;140;378180;SALVAGE#6#20#sector_35.txt#sector_56_station_0.txt#null#null#null#null;Salvage <color='yellow'>Special Junk Part</color> in <color='cyan'>Felishar</color> and return with <color='yellow'>6</color> to Transporteers in <color='cyan'>Hunu</color>;3;While collecting some junk in the <color='cyan'>Felishar</color> system, <i>Zenowhi Melxul</i> discovered a light haul of <color='yellow'>6</color> <color='yellow'>Special Junk Part</color>. Unable to collect the material alone, <i>Zenowhi Melxul</i> has requested that a capable pilot salvage the <color='yellow'>Special Junk Part</color> and drop it off at the Transporteers station located in the <color='cyan'>Hunu</color>.;10736;1600
MISSION;151;120;157863;FABRICATE#8#2427#sector_99_station_0.txt#sector_103_station_0.txt#null#null#null#null;Produce a light container of <color='yellow'>8</color> <color='yellow'>Fasteners</color> at the Ferce Hub fabricator in <color='cyan'>Semja</color>;3;The Trade Faction has commissioned a production liaison, <i>Mobac Zezofu</i> at Temple of the Void. After an audit, <color='yellow'>8</color> items of <color='yellow'>Fasteners</color> were deemed required. Head on over to <color='cyan'>Semja</color> and manufacture these <color='yellow'>Fasteners</color> at Ferce Hub.;13750;2500
MISSION;126;120;748045;CHAT_PILOT#sector_95_station_0.txt#sector_9.txt#Commander Sivmast Sipilekol#npc_ship_data_(kj_frigate_1)#9#missions_transfer_pilot.txt#0#null;Transfer payment to <color='yellow'><i>Commander Sivmast Sipilekol</i></color> in <color='cyan'>Forges of Mintar</color> and return with signature to Star Shepards Hub in <color='cyan'>Temple Gates</color>;3;<i>Imesda Modae</i> has a bonus payment for <color='yellow'><i>Commander Sivmast Sipilekol</i></color>. The Trade faction has recognized <color='yellow'><i>Commander Sivmast Sipilekol</i></color> and has award a bonus payment. <color='yellow'><i>Commander Sivmast Sipilekol</i></color> was last working in the <color='cyan'>Forges of Mintar</color> system. Find them, deliver this envelope, and return to the Star Shepards Hub in the <color='cyan'>Temple Gates</color> system with a signature.;28365;9300
MISSION;63;170;116056;HARVEST#231#5#sector_36.txt#sector_0_station_0.txt#null#null#null#null;Extract <color='yellow'>Special Torim Ore</color> in <color='cyan'>Beacon Spita</color> and return to Biomate University in <color='cyan'>Void Starcross</color> with minimum of <color='yellow'>231</color>;4;The Financial faction has reported that a special medium load of <color='yellow'>Special Torim Ore</color> has been scanned in the <color='cyan'>Beacon Spita</color> system. <i>Wecee Demibelxo</i> is credited with the find, but His claim is currently invalid. Hurry up and harvest the <color='yellow'>Special Torim Ore</color> and return to Biomate University, in the <color='cyan'>Void Starcross</color>.;15006;3075
MISSION;31;240;136059;TRANSPORT#8#1651#sector_40_station_0.txt#sector_1_station_0.txt#null#null#null#null;Head to Legistron in <color='cyan'>Dogstar Prime</color>, pick up <color='yellow'>8</color> <color='yellow'>Improved Explosive Armors</color> for a light shipment to Quantex in <color='cyan'>Dellis Primeria</color>;5;The Commerce faction advisor <i>Pani Nineyofast</i> has placed a light shipment transport order to move <color='yellow'>8</color> <color='yellow'>Improved Explosive Armors</color> from the Legistron storage in <color='cyan'>Dogstar Prime</color>, to the Quantex in <color='cyan'>Dellis Primeria</color>.;20838;5000
MISSION;141;120;324774;REFINE#3#24#sector_56_station_1.txt#sector_35_station_0.txt#null#null#null#null;Refine a light container of <color='yellow'>3</color> <color='yellow'>Electronic Fragments</color> at the ValueStar station in <color='cyan'>Hunu</color>;5;The Commerce Faction has commissioned a refinery liaison, <i>Qouo Wecoupad</i> at Astrox Security Patrol. After an audit, <color='yellow'>3</color> items of <color='yellow'>Electronic Fragments</color> were left unused. Head on over to <color='cyan'>Hunu</color> and refine these <color='yellow'>Electronic Fragments</color> at the ValueStar refinery.;15000;3750
MISSION;126;120;644332;CHAT_PILOT#sector_35_station_0.txt#sector_78.txt#Captain Docor Bidfastso#npc_ship_data_(battle_frigate_1)#8#missions_transfer_pilot.txt#0#null;Transfer payment to <color='yellow'><i>Captain Docor Bidfastso</i></color> in <color='cyan'>Bitcola</color> and return with signature to Astrox Security Patrol in <color='cyan'>Felishar</color>;3;<i>Dabor Madqerest</i> has a bonus payment for <color='yellow'><i>Captain Docor Bidfastso</i></color>. The Trade faction has recognized <color='yellow'><i>Captain Docor Bidfastso</i></color> and has award a bonus payment. <color='yellow'><i>Captain Docor Bidfastso</i></color> was last working in the <color='cyan'>Bitcola</color> system. Find them, deliver this envelope, and return to the Astrox Security Patrol in the <color='cyan'>Felishar</color> system with a signature.;22692;4650
MISSION;126;120;813525;CHAT_PILOT#sector_95_station_0.txt#sector_78.txt#Fabricator Yayan Oarestlei#npc_ship_data_(pirate_shuttle_1)#24#missions_transfer_pilot.txt#0#null;Transfer payment to <color='yellow'><i>Fabricator Yayan Oarestlei</i></color> in <color='cyan'>Bitcola</color> and return with signature to Star Shepards Hub in <color='cyan'>Temple Gates</color>;4;<i>Daevo Gillagore</i> has a bonus payment for <color='yellow'><i>Fabricator Yayan Oarestlei</i></color>. The Financial faction has recognized <color='yellow'><i>Fabricator Yayan Oarestlei</i></color> and has award a bonus payment. <color='yellow'><i>Fabricator Yayan Oarestlei</i></color> was last working in the <color='cyan'>Bitcola</color> system. Find them, deliver this envelope, and return to the Star Shepards Hub in the <color='cyan'>Temple Gates</color> system with a signature.;22692;4650
MISSION;12;120;457039;DELIVERY#35#2020#sector_56_station_1.txt#sector_3_station_0.txt#null#null#null#null;Light delivery of <color='yellow'>35</color> <color='yellow'>Titanyte Pipes</color> to ValueStar Station in <color='cyan'>Hunu</color>;5;<i>Fuwe Daajpi</i> from Daemon Ammunitions Station has commissioned a delivery . He has required a small transport delivery of <color='yellow'>35</color> <color='yellow'>Titanyte Pipes</color>. Set your GPS autopilot to <color='cyan'>Hunu</color> and deliver these <color='yellow'>Titanyte Pipes</color> to ValueStar immediately.;13545;3225
MISSION;127;120;267307;CHAT_PILOT#sector_95_station_0.txt#sector_96.txt#Senator Jeldie Ahtu#npc_ship_data_(kj_escort_2)#18#missions_transfer_pilot.txt#0#null;Transfer a legal document to <color='yellow'><i>Senator Jeldie Ahtu</i></color> in <color='cyan'>Arch of Mori</color>. Return with confirmation at Star Shepards Hub in <color='cyan'>Temple Gates</color>;3;<color='yellow'><i>Senator Jeldie Ahtu</i></color> is required to provide the Trade faction a signed legal document. <color='yellow'><i>Senator Jeldie Ahtu</i></color> has returned this document unsigned. Last known sighting of <color='yellow'><i>Senator Jeldie Ahtu</i></color> was in the area of <color='cyan'>Arch of Mori</color>. Locate them and resolve this problem. Then return to Star Shepards Hub in the <color='cyan'>Temple Gates</color> system to deliver confirmation.;24980;4875
MISSION;14;150;217687;DELIVERY#5#1021#sector_95_station_1.txt#sector_56_station_1.txt#null#null#null#null;Move medium crate of <color='yellow'>5</color> <color='yellow'>Entex V-series 20mm Gatlings</color> to <color='cyan'>Temple Gates</color> and deliver to Acrondia Hub;4;Financial Manufacturing facilities have requested a medium shipment of <color='yellow'>5</color> <color='yellow'>Entex V-series 20mm Gatlings</color>. <i>Restnuh Portyaca</i> will meet you at the Acrondia Hub Station in <color='cyan'>Temple Gates</color> to sign for the delivery.;15750;3750
MISSION;64;170;422399;HARVEST#340#2#sector_78.txt#sector_14_station_1.txt#null#null#null#null;In <color='cyan'>Bitcola</color>, Extract <color='yellow'>Special Gradeon Ore</color> and return to Horizons in <color='cyan'>Gate of Alpharis</color> with at least <color='yellow'>340</color>;3;A local company in <color='cyan'>Bitcola</color> has requested a medium harvest of <color='yellow'>340</color> <color='yellow'>Special Gradeon Ore</color>. This is a rare find, and the client has requested someone bring the resource back to Horizons station located in the <color='cyan'>Gate of Alpharis</color>. A Trade faction representative will be waiting to take the resources from you.;14490;3450
MISSION;21;180;602089;COLLECT#1#1118#sector_58_station_0.txt#sector_14_station_0.txt#null#null#null#null;Gather a collection of <color='yellow'>1</color> <color='yellow'>Blaster x9 Laser</color> and dock the light shipment at CoraVault in <color='cyan'>Lins</color>;5;<i>Sevpa Deeyelkile</i> has requested an small collection of <color='yellow'>1</color> <color='yellow'>Blaster x9 Laser</color> in preparation for an upcoming exploration run. Backed by the Commerces after these items have been purchased, recovered or fabricated, return to the CoraVault Station located in the <color='cyan'>Lins</color> Sector.;11900;3500
MISSION;126;120;924278;CHAT_PILOT#sector_101_station_0.txt#sector_35.txt#Officer Baryel Lompoe#npc_ship_data_(recon_frigate_3)#5#missions_transfer_pilot.txt#0#null;Transfer payment to <color='yellow'><i>Officer Baryel Lompoe</i></color> in <color='cyan'>Felishar</color> and return with signature to Vo Industries in <color='cyan'>Brimstone</color>;4;<i>Nejan Whefukin</i> has a bonus payment for <color='yellow'><i>Officer Baryel Lompoe</i></color>. The Financial faction has recognized <color='yellow'><i>Officer Baryel Lompoe</i></color> and has award a bonus payment. <color='yellow'><i>Officer Baryel Lompoe</i></color> was last working in the <color='cyan'>Felishar</color> system. Find them, deliver this envelope, and return to the Vo Industries in the <color='cyan'>Brimstone</color> system with a signature.;21936;3100
</MISSIONS>
// SHIP HANGAR;count;Price_modifier;Ship_filename
<HANGAR>
SHIP;1;1.0;ship_data_(transport_shuttle_1).txt
SHIP;1;1.0;ship_data_(transport_escort_1).txt
SHIP;1;1.0;ship_data_(transport_escort_2).txt
SHIP;4;1.0;ship_data_(transport_utility_1).txt
SHIP;4;1.0;ship_data_(transport_utility_2).txt
SHIP;4;1.0;ship_data_(transport_frigate_1).txt
</HANGAR>
// OFFICES;office_name;npc_name;faction_id;faction_req;level;img;scripting_file;scripting_id;
<OFFICE>
OFFICE;(AstyQuest);Asty;1;0.0;26;station.png;male_1.png;accessory_1.png;astys_quest_1.txt;1
OFFICE;(Tutorial Office) Ship Orbiting;Jonathan Hetcher;1;0.0;26;station.png;male_9.png;accessory_15.png;tutorial_ship_orbits.txt;2
OFFICE;(Tutorial Office) Camera Basics;Ratamaq Guru;1;0.0;26;station.png;male_2.png;accessory_18.png;tutorial_camera_basics.txt;2
OFFICE;(Tutorial Office) Navigation Basics;Arji Darn;1;0.0;26;station.png;male_3.png;accessory_18.png;tutorial_navigation_basics.txt;2
OFFICE;(Tutorial Office) Life Support Basics;Carter Burke;1;0.0;26;station.png;male_4.png;accessory_19.png;tutorial_life_support.txt;2
OFFICE;(Tutorial Office) Basic Drones;Daniel Traek;1;0.0;43;station.png;male_4.png;accessory_17.png;tutorial_drones.txt;2
</OFFICE>
// STORAGE;item_id;Qty;0
<STORAGE>

