// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Astrox Security Patrol
STATION;type;Headquarters
STATION;owner;Akweliile Kinastop
STATION;faction;Law
STATION;material;station_material_Law.png
STATION;color;0 , .60 , 1 , 1
STATION;level;4
STATION;icon;asp.png
STATION;filename;sector_35_station_0.txt
STATION;max_hp;25000
STATION;hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;3-6-0-3-3-3-6-1-3-9-3-4-0-6-4-2-2-0
STATION;interior_seed;3-0-0-6
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;83896.3
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;True
SERVICES;admin;True
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Karaoke Night;0.15,0.05;15000;Musical Entertainment;entertain_show.png;Your fleet is treated to a night of karaoke at the local music tavern. 15% Morale , 5% Loyalty bonus.
ENTERTAINMENT;StarLuck Casino;0.05,0.05;24000;Gambling;entertain_casino.png;A weekend package to the local casino for your entire crew, complete with pocket money. 5% Morale Boost, 5% Loyalty Boost
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;5;1.80;npc_ship_data_(battle_escort_1).txt
MERC;7;1.54;npc_ship_data_(transport_carrier_1).txt
MERC;2;1.54;npc_ship_data_(recon_frigate_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
SELLORDER;Market Supply: (1) Items ;202x260;13642;156200.70
MISSION;131;140;441147;SALVAGE#6#20#sector_0.txt#sector_58_station_0.txt#null#null#null#null;Salvage <color='yellow'>Special Junk Part</color> in <color='cyan'>Void Starcross</color> and return with <color='yellow'>6</color> to CoraVault in <color='cyan'>Lins</color>;15;While collecting some junk in the <color='cyan'>Void Starcross</color> system, <i>Alal Zilsla</i> discovered a light haul of <color='yellow'>6</color> <color='yellow'>Special Junk Part</color>. Unable to collect the material alone, <i>Alal Zilsla</i> has requested that a capable pilot salvage the <color='yellow'>Special Junk Part</color> and drop it off at the CoraVault station located in the <color='cyan'>Lins</color>.;8320;1600
MISSION;41;120;751401;SCAN_PILOT#sector_78_station_0.txt#sector_56.txt#Leader Lownalia Timbid#npc_ship_data_(transport_escort_2)#5#null#null#null;Find <color='yellow'><i>Leader Lownalia Timbid</i></color> in <color='cyan'>Hunu</color>, scan their ship, and return to Tella's in <color='cyan'>Bitcola</color>;16;<color='yellow'><i>Leader Lownalia Timbid</i></color> has recently been paroled for a capital crime, and their parole officer has received information about a possible raid in <color='cyan'>Hunu</color>. Head to <color='cyan'>Hunu</color> and perform a scan of <color='yellow'><i>Leader Lownalia Timbid</i></color>'s ship and return to Tella's in <color='cyan'>Bitcola</color> with the scan data for review.;11822;2550
MISSION;141;120;652709;REFINE#47#3#sector_3_station_0.txt#sector_0_station_0.txt#null#null#null#null;Refine a light container of <color='yellow'>47</color> <color='yellow'>Quazor Ores</color> at the Daemon Ammunitions station in <color='cyan'>Starfort Ramos</color>;15;The Law Faction has commissioned a refinery liaison, <i>Poeport Welimole</i> at Biomate University. After an audit, <color='yellow'>47</color> items of <color='yellow'>Quazor Ores</color> were left unused. Head on over to <color='cyan'>Starfort Ramos</color> and refine these <color='yellow'>Quazor Ores</color> at the Daemon Ammunitions refinery.;13000;2500
MISSION;72;180;640021;ESCORT#sector_0_station_2.txt#sector_0_station_1.txt#Private Mibe Enobacwen#npc_ship_data_(support_escort_2)#20#null#null#null;A ship in StarGypsy Warehouse in <color='cyan'>Void Starcross</color> needs an escort to Lammassu Financial in <color='cyan'>Void Starcross</color>;16;After being selected for an academic grant, Dr. <color='yellow'><i>Private Mibe Enobacwen</i></color> has requested an escort to the Lammassu Financial station in the <color='cyan'>Void Starcross</color> system. <color='yellow'><i>Private Mibe Enobacwen</i></color> has posted his pick-up location as StarGypsy Warehouse in <color='cyan'>Void Starcross</color>. Be sure to protect the doctor at all cost, and under no circumstances are you to abandon him.;8460;900
MISSION;63;170;858294;HARVEST#153#1#sector_58.txt#sector_99_station_0.txt#null#null#null#null;Extract <color='yellow'>Special Adamyte Ore</color> in <color='cyan'>Lins</color> and return to Ferce Hub in <color='cyan'>Semja</color> with minimum of <color='yellow'>153</color>;16;The Enforcement faction has reported that a special medium load of <color='yellow'>Special Adamyte Ore</color> has been scanned in the <color='cyan'>Lins</color> system. <i>Komkin Eabemreno</i> is credited with the find, but His claim is currently invalid. Hurry up and harvest the <color='yellow'>Special Adamyte Ore</color> and return to Ferce Hub, in the <color='cyan'>Semja</color>.;15506;4100
MISSION;10;120;351826;DELIVERY#10#320#sector_95_station_0.txt#sector_14_station_1.txt#null#null#null#null;Dock at Star Shepards Hub in <color='cyan'>Temple Gates</color> to deliver a light shipment of <color='yellow'>10</color> <color='yellow'>Media Recordings</color>;16;<i>Zoars Zokilelindo</i> runs a Enforcement shipping company at Horizons. After having some issues with a transport ship, <color='yellow'>10</color> items of <color='yellow'>Media Recordings</color> were left behind. Head on over to <color='cyan'>Temple Gates</color> and deliver these <color='yellow'>Media Recordings</color> to Star Shepards Hub.;10830;2850
MISSION;131;140;464766;SALVAGE#7#20#sector_3.txt#sector_58_station_0.txt#null#null#null#null;Salvage <color='yellow'>Special Junk Part</color> in <color='cyan'>Starfort Ramos</color> and return with <color='yellow'>7</color> to CoraVault in <color='cyan'>Lins</color>;15;While collecting some junk in the <color='cyan'>Starfort Ramos</color> system, <i>Deeqi Wheakaddnine</i> discovered a light haul of <color='yellow'>7</color> <color='yellow'>Special Junk Part</color>. Unable to collect the material alone, <i>Deeqi Wheakaddnine</i> has requested that a capable pilot salvage the <color='yellow'>Special Junk Part</color> and drop it off at the CoraVault station located in the <color='cyan'>Lins</color>.;11126;2400
MISSION;20;180;553888;COLLECT#16#2006#sector_99_station_0.txt#sector_0_station_2.txt#null#null#null#null;Collect a light shipment of <color='yellow'>16</color> <color='yellow'>Glass Panels</color> and return to Ferce Hub in <color='cyan'>Semja</color>;15;The Law Faction's fabrication representative <i>Heabru Tajdorn</i> is running a bit short on some items needed for an upcoming production run at Ferce Hub Station in <color='cyan'>Semja</color>. Perhaps you can buy or build <color='yellow'>16</color> <color='yellow'>Glass Panels</color> and bring them by the fabricator at Ferce Hub.;11840;3200
MISSION;143;150;953449;REFINE#100#2#sector_60_station_0.txt#sector_100_station_0.txt#null#null#null#null;Refine medium shipment of <color='yellow'>100</color> <color='yellow'>Gradeon Ores</color> in <color='cyan'>Veloxi</color> at the Biomart station refinery;16;Fellacore Research Center Station has contacted our client informing them of some medium cargo that remains unclaimed by former employees, <i>Niop Zilsmastoa</i> of the Enforcement Faction. <color='yellow'>100</color> <color='yellow'>Gradeon Ores</color> need to be refined in <color='cyan'>Veloxi</color>, at the Biomart Station refinery.;30402;9800
MISSION;131;140;682185;SALVAGE#8#21#sector_78.txt#sector_103_station_0.txt#null#null#null#null;Salvage <color='yellow'>Special Scrap Part</color> in <color='cyan'>Bitcola</color> and return with <color='yellow'>8</color> to Temple of the Void in <color='cyan'>Vindicati</color>;16;While collecting some junk in the <color='cyan'>Bitcola</color> system, <i>Kinga Ilehin</i> discovered a light haul of <color='yellow'>8</color> <color='yellow'>Special Scrap Part</color>. Unable to collect the material alone, <i>Kinga Ilehin</i> has requested that a capable pilot salvage the <color='yellow'>Special Scrap Part</color> and drop it off at the Temple of the Void station located in the <color='cyan'>Vindicati</color>.;11840;3200
MISSION;63;170;226797;HARVEST#210#10#sector_101.txt#sector_58_station_0.txt#null#null#null#null;Extract <color='yellow'>Special Zai Ore</color> in <color='cyan'>Brimstone</color> and return to CoraVault in <color='cyan'>Lins</color> with minimum of <color='yellow'>210</color>;15;The Law faction has reported that a special medium load of <color='yellow'>Special Zai Ore</color> has been scanned in the <color='cyan'>Brimstone</color> system. <i>Zakile Desbast</i> is credited with the find, but His claim is currently invalid. Hurry up and harvest the <color='yellow'>Special Zai Ore</color> and return to CoraVault, in the <color='cyan'>Lins</color>.;21008;6150
MISSION;136;200;170007;SALVAGE#213#20#sector_95.txt#sector_0_station_0.txt#null#null#null#null;Salvage <color='yellow'>Special Junk Part</color>, minimum <color='yellow'>213</color>, in <color='cyan'>Temple Gates</color> and return to Biomate University in <color='cyan'>Void Starcross</color>;16;There is still a heavy haul of <color='yellow'>Special Junk Part</color> that has yet to be claimed in the <color='cyan'>Temple Gates</color> system. This is an open contract, and all pilots may apply. Once the <color='yellow'>213</color> <color='yellow'>Special Junk Part</color> has been salvaged, report back to Biomate University station, which can be found in the <color='cyan'>Void Starcross</color> sector.;29042;5175
</MISSIONS>
// SHIP HANGAR;count;Price_modifier;Ship_filename
<HANGAR>
SHIP;1;0.98;ship_data_(excavation_escort_1).txt
SHIP;2;0.97;ship_data_(support_carrier_1).txt
SHIP;3;1.01;ship_data_(support_escort_1).txt
</HANGAR>
// STORAGE;item_id;Qty;0
<STORAGE>
STORAGE;61;180;0

