// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Quantex
STATION;type;Production Factory
STATION;owner;Binohom Xadnortisfall
STATION;faction;Labor
STATION;material;station_material_Labor.png
STATION;color;1 , .80 , .7 , 1
STATION;level;3
STATION;icon;ad_image_11.png
STATION;filename;sector_1_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;3-7-1-6-0-1-7-0-1-8-1-0-1-6-3-1-7-90
STATION;interior_seed;4-0-45-4
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;True
SERVICES;admin;True

// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Deathmatch League;0.15,0.08;68500;Sport Fighting Event;entertain_fight.png;Tickets to the Deathmatch League, where your entire fleet will enjoy a evening of bloodsport. 15% Morale , 8% Loyalty bonus.
ENTERTAINMENT;StarLuck Casino;0.05,0.05;24000;Gambling;entertain_casino.png;A weekend package to the local casino for your entire crew, complete with pocket money. 5% Morale Boost, 5% Loyalty Boost
ENTERTAINMENT;Spa Treatment;0.15,0.0;18500;Rest and Relaxation;entertain_spa.png;Send your crew to the spa, let them rest and relax for awhile. 15% Morale Boost.
ENTERTAINMENT;Evening of Drinks;0.05,0.0;1500;Alcholic Drinks;entertain_bar.png;Pick up the tab for an evening of drinks for your crew, they earned it. 5% Morale Boost.
ENTERTAINMENT;Live Music Concert;0.20,0.07;25000;Musical Entertainment;entertain_show.png;Your crew is treated to an 'all expenses paid' night at a music venue of their choosing. 20% Morale , 7% Loyalty bonus.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;4;1.95;npc_ship_data_(excavation_escort_1).txt
MERC;5;0.66;npc_ship_data_(recon_shuttle_1).txt
MERC;1;1.13;npc_ship_data_(battle_escort_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
BUYORDER;Market Needs Goods: (3) Items ;2x751,3x298,1x302;68556;79262.42
ITEM;53;34;0.80;24.12245
ITEM;52;14;1.01;24.12245
ITEM;2125;79;0.84;24.12245
ITEM;2122;2257;0.63;356.2162
ITEM;40;4;0.87;356.2162
ITEM;2128;1876;0.79;65.81744
ITEM;2111;55;0.87;65.81744
ITEM;2652;2351;0.77;504.2315
ITEM;50;123;0.83;504.2315
ITEM;2126;97;1.10;504.2315
ITEM;2127;146;0.85;504.2315
ITEM;51;134;0.65;504.2315
ITEM;70;62;1.17;504.2315
ITEM;41;128;0.70;504.2315
ITEM;75;94;1.18;504.2315
ITEM;2123;49;0.73;504.2315
ITEM;2650;1755;0.77;358.2697
ITEM;2651;45;0.66;358.2697
ITEM;692;28;1.03;14775.4
ITEM;681;47;1.23;162902.1
ITEM;725;64;0.82;10701.94
ITEM;720;42;0.70;3560.775
ITEM;728;59;1.01;13551.94
ITEM;749;52;1.11;250865.6
ITEM;723;16;1.08;250865.6
ITEM;733;23;0.87;250865.6
ITEM;671;25;0.66;250865.6
ITEM;740;39;0.99;250865.6
ITEM;753;10;1.15;250865.6
ITEM;691;17;1.11;250865.6
ITEM;690;14;0.65;250865.6
ITEM;741;58;0.65;250865.6
ITEM;693;38;0.77;250865.6
ITEM;678;8;1.22;250865.6
ITEM;721;25;1.25;250865.6
ITEM;745;19;1.00;13401.94
ITEM;730;68;0.93;37055.81
ITEM;744;37;0.56;37055.81
ITEM;747;34;1.08;97346.26
ITEM;748;34;0.52;68221.31
ITEM;726;54;1.07;14451.94
ITEM;756;39;0.68;8601.938
ITEM;731;36;0.63;8601.938
ITEM;743;22;1.11;8601.938
ITEM;758;59;0.56;8601.938
ITEM;754;8;0.94;8601.938
ITEM;600;10;1.00;8601.938
ITEM;660;11;0.58;2367.313
ITEM;642;13;1.14;2367.313
ITEM;622;10;1.06;16685.59
ITEM;601;11;1.01;9034.625
ITEM;620;1;0.92;9034.625
ITEM;662;7;0.67;9034.625
ITEM;621;13;0.55;9034.625
ITEM;641;6;0.61;5034.625
ITEM;602;13;0.90;13885.59
ITEM;661;9;0.87;13885.59
ITEM;640;7;1.17;5317.313
ITEM;311;848;0.72;44.53738
ITEM;300;11;1.19;44.53738
ITEM;305;3;0.96;44.53738
ITEM;408;25;0.91;44.53738
ITEM;313;14;0.68;44.53738
ITEM;304;902;0.78;92.26436
ITEM;302;6;1.06;92.26436
ITEM;405;8;0.67;92.26436
ITEM;312;23;0.87;92.26436
ITEM;406;22;0.90;92.26436
ITEM;303;11;1.12;92.26436
ITEM;407;740;0.53;182.5123
ITEM;404;15;1.15;182.5123
ITEM;310;797;0.59;27.41232
ITEM;301;24;0.61;27.41232
ITEM;403;2;1.13;27.41232
ITEM;21;148;0.91;27.41232
ITEM;2;182;0.88;27.41232
ITEM;22;163;0.84;27.41232
ITEM;1;10;1.19;27.41232
ITEM;3;4143;0.75;41.82506
ITEM;20;224;0.86;41.82506
ITEM;113;421;1.13;41.82506
ITEM;114;48;1.04;41.82506
ITEM;102;303;1.02;2.283656
ITEM;104;524;0.84;1.980349
ITEM;109;581;0.66;2.822659
ITEM;100;231;1.13;2.822659
ITEM;101;417;0.95;2.822659
ITEM;103;346;1.01;2.822659
ITEM;118;228;1.15;2.822659
ITEM;201;256;0.79;2.822659
ITEM;154;106;0.59;22.52935
ITEM;205;338;1.06;110.1249
ITEM;203;67;0.55;110.1249
ITEM;163;252;1.12;38.00484
ITEM;151;278;0.57;38.00484
ITEM;162;132;1.08;38.00484
ITEM;400;248;0.67;38.00484
ITEM;150;111;0.70;6.765472
ITEM;156;267;1.15;34.5386
ITEM;158;242;0.79;30.96085
ITEM;165;145;0.92;30.96085
ITEM;166;36;1.24;30.96085
ITEM;168;240;0.72;30.96085
ITEM;200;17;0.87;30.96085
ITEM;161;193;1.22;30.96085
ITEM;153;65;1.21;30.96085
ITEM;207;200;1.21;140.8018
ITEM;155;411;0.73;13.90321
ITEM;202;151;1.23;93.58443
ITEM;204;157;1.01;93.58443
ITEM;152;268;1.19;13.32659
ITEM;2443;24;0.78;607.4631
ITEM;2306;9;0.85;607.4631
ITEM;2444;8;0.60;607.4631
ITEM;2161;19;1.12;10945.4
ITEM;2294;25;0.52;10945.4
ITEM;2264;25;1.06;13491.49
ITEM;2290;10;0.69;51003.38
ITEM;2448;24;0.95;51003.38
ITEM;2280;29;0.61;51003.38
ITEM;2190;9;1.13;30703.88
ITEM;2434;25;1.11;30703.88
ITEM;2330;5;1.15;30703.88
ITEM;2533;28;0.72;30703.88
ITEM;2429;25;1.18;161.0194
ITEM;2344;5;1.19;82916.3
ITEM;2300;29;1.05;82916.3
ITEM;2445;29;1.22;82916.3
ITEM;2388;24;1.02;82916.3
ITEM;2305;29;0.79;82916.3
ITEM;2314;27;1.11;14258.2
ITEM;2285;19;0.61;15761.9
ITEM;2450;29;0.87;15761.9
ITEM;2418;21;0.64;15761.9
ITEM;2430;3;1.21;302.3487
</MARKET>
// SKILLS;Skill_id;Price_modifier
<SKILLS>
SKILL;36;0.89
SKILL;61;1.26
SKILL;5;0.96
SKILL;58;0.54
SKILL;71;1.55
SKILL;223;0.97
</SKILLS>
// MISSION , dbid , timer, id, data, title, factionid
<MISSIONS>
</MISSIONS>
// SHIP HANGAR;count;Price_modifier;Ship_filename
<HANGAR>
SHIP;1;0.98;ship_data_(excavation_carrier_1).txt
SHIP;2;1.02;ship_data_(support_escort_1).txt
SHIP;3;0.97;ship_data_(transport_carrier_1).txt
SHIP;4;1.05;ship_data_(recon_carrier_1).txt
</HANGAR>
// STORAGE;item_id;Qty;0
<STORAGE>
