// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Star Shepard's Temple
STATION;type;Worship Center
STATION;owner;Binsakol Lascorbue
STATION;faction;Temple
STATION;material;station_material_Temple.png
STATION;color;.60 , .20 , .80 , 1
STATION;level;7
STATION;icon;star_shepards.png
STATION;filename;sector_102_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;2-5-1-2-4-1-3-1-7-5-2-0-90
STATION;interior_seed;5-1-45-8
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;89765.41
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;True
SERVICES;admin;True
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Bottle of Whiskey;0.025,0.0;850;Whiskey;entertain_bar.png;Purchase a bottle of whiskey for each of your fleet members. 2.5% Morale bonus.
ENTERTAINMENT;Deathmatch League;0.15,0.08;68500;Sport Fighting Event;entertain_fight.png;Tickets to the Deathmatch League, where your entire fleet will enjoy a evening of bloodsport. 15% Morale , 8% Loyalty bonus.
ENTERTAINMENT;Spa Treatment;0.15,0.0;18500;Rest and Relaxation;entertain_spa.png;Send your crew to the spa, let them rest and relax for awhile. 15% Morale Boost.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;1;1.26;npc_ship_data_(battle_shuttle_1).txt
MERC;5;1.23;npc_ship_data_(battle_frigate_1).txt
MERC;4;0.52;npc_ship_data_(transport_carrier_1).txt
MERC;1;0.89;npc_ship_data_(transport_carrier_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
BUYORDER;Market Demands: (1) Items ;305x930;253006;120108.70
ITEM;218;143;1.22;215.24
ITEM;108;757;0.67;8.47
ITEM;2002;745;0.70;77.51
ITEM;2469;57;1.02;1916.89
ITEM;2126;0;0.60;34.98
ITEM;2129;0;0.92;96.30
ITEM;628;39;0.65;424378.10
ITEM;660;30;0.97;4285.94
ITEM;112;12;1.13;28.48
ITEM;2004;501;1.18;227.74
ITEM;7;0;0.68;209.86
ITEM;1475;58;0.97;240012.50
ITEM;643;18;0.52;20359.38
ITEM;11;5062;0.78;63.38
ITEM;24;192;0.83;1190.53
ITEM;2005;294;0.97;220.30
ITEM;738;39;0.79;812625.00
ITEM;2118;1648;1.15;363.02
ITEM;322;43;0.73;132.20
ITEM;1021;29;0.74;5519.25
ITEM;2111;323;0.76;27.05
ITEM;2114;204;1.00;63.26
ITEM;204;237;0.99;91.23
ITEM;2180;54;0.70;9864.75
ITEM;2184;29;1.00;222506.60
ITEM;2186;41;0.91;796868.60
ITEM;343;868;1.22;151.68
ITEM;341;42;0.60;37.46
ITEM;2112;-99;1.07;48.05
ITEM;2112;44;1.16;52.57
ITEM;2115;148;1.07;81.46
ITEM;2040;49;0.70;332.00
ITEM;62;60;0.59;66.81
ITEM;324;814;0.68;28.87
ITEM;735;65;0.56;1117969.00
ITEM;2006;448;1.03;299.65
ITEM;313;15;0.91;155.93
ITEM;2;265;1.13;28.48
ITEM;2041;81;0.65;356.96
ITEM;604;30;1.15;134834.40
ITEM;405;0;0.88;23.78
ITEM;1026;44;1.00;17743.75
ITEM;2042;50;0.78;510.93
ITEM;602;14;0.50;6775.78
ITEM;2043;75;0.56;385.88
ITEM;681;26;0.94;119942.20
ITEM;673;56;0.53;166875.00
ITEM;748;43;0.77;108435.90
ITEM;731;89;0.72;100185.90
ITEM;753;71;1.06;156285.90
ITEM;2044;65;0.60;517.73
ITEM;102;11;1.15;2.59
ITEM;627;5;0.42;159535.30
ITEM;331;46;0.81;100.26
ITEM;646;27;1.14;400603.10
ITEM;2650;253;1.06;511.48
ITEM;2280;55;0.98;52412.81
ITEM;741;41;0.86;33623.44
ITEM;746;62;0.74;28223.44
ITEM;2362;20;0.60;57365.84
ITEM;1581;53;1.08;10864.42
ITEM;1651;47;0.84;9828.16
ITEM;621;14;1.20;10871.88
ITEM;751;73;1.10;44423.44
ITEM;1501;5;0.88;1912.52
ITEM;1012;35;0.78;46970.00
ITEM;1010;19;0.81;55775.00
ITEM;1011;51;1.14;85462.00
ITEM;305;0;1.52;259.35
ITEM;1171;28;0.89;4507.69
ITEM;2215;26;0.73;687300.00
ITEM;2045;49;0.69;1306.23
ITEM;105;1021;1.20;10.87
ITEM;2009;654;0.69;320.57
ITEM;2010;72;0.51;52.83
ITEM;20;0;0.90;77.14
ITEM;51;304;0.88;27.47
ITEM;2119;1725;1.23;491.56
ITEM;1008;13;0.95;2092.97
ITEM;2101;58;0.53;12515.62
ITEM;304;0;1.35;212.43
ITEM;747;64;0.88;76718.75
ITEM;677;59;0.60;104745.30
ITEM;2013;529;1.08;166.74
ITEM;733;104;0.99;87718.75
ITEM;2046;47;0.68;1396.08
ITEM;2458;62;1.15;1039.26
ITEM;2014;476;0.58;132.31
ITEM;752;73;0.89;77718.75
ITEM;712;49;0.82;106078.10
ITEM;209;576;1.23;80.10
ITEM;2047;86;0.51;1462.88
ITEM;701;63;1.01;4485.94
ITEM;690;78;0.98;13007.81
ITEM;1460;0;0.75;35045.31
ITEM;158;0;0.62;22.98
ITEM;2434;62;0.57;248.71
ITEM;4;5079;0.95;78.70
ITEM;2431;7;0.88;205.61
ITEM;104;671;0.80;1.86
ITEM;2048;39;0.71;2665.91
ITEM;166;0;0.67;41.90
ITEM;203;264;0.61;47.48
ITEM;350;4;0.68;21.61
ITEM;320;0;0.92;16.31
ITEM;352;69;0.87;163.93
ITEM;680;7;0.60;12179.69
ITEM;745;20;0.66;8207.81
ITEM;674;95;0.58;60734.37
ITEM;676;4;0.90;78718.75
ITEM;214;26;1.25;140.22
ITEM;2461;41;0.78;987.44
ITEM;23;11;1.08;677.03
ITEM;160;295;1.11;24.93
ITEM;161;514;1.13;26.85
ITEM;210;210;0.81;53.47
ITEM;2015;597;0.98;338.81
ITEM;2481;68;0.86;3502.82
ITEM;25;0;1.14;3276.73
ITEM;321;0;0.70;110.04
ITEM;121;910;0.73;31.17
ITEM;106;353;0.56;4.56
ITEM;601;31;0.74;6271.88
ITEM;150;556;0.85;8.40
ITEM;2426;19;0.87;103.73
ITEM;303;448;1.05;98.87
ITEM;342;133;0.55;10.01
ITEM;107;318;0.75;6.82
ITEM;644;10;0.78;86734.38
ITEM;2223;1;1.07;407761.90
ITEM;2224;16;0.93;701146.90
ITEM;407;1032;1.19;464.27
ITEM;103;736;0.61;0.46
ITEM;330;1006;0.91;65.21
ITEM;6;195;1.22;271.26
ITEM;1164;62;1.03;36595.78
ITEM;2442;51;1.12;803.74
ITEM;118;974;1.01;4.93
ITEM;1513;58;1.14;161187.40
ITEM;1653;4;1.10;191020.60
ITEM;1593;39;0.85;35761.63
ITEM;213;559;1.14;99.95
ITEM;2460;34;0.85;861.04
ITEM;600;5;0.80;3435.94
ITEM;2117;0;1.24;304.34
ITEM;1772;76;0.54;4191.74
ITEM;1767;60;0.90;7724.20
ITEM;1777;23;0.85;7233.58
ITEM;1762;37;1.16;10275.42
ITEM;1574;17;1.16;428224.60
ITEM;1564;61;0.94;217256.50
ITEM;1614;69;1.24;289771.60
ITEM;1504;29;0.62;105727.50
ITEM;1150;72;0.55;1092.97
ITEM;1151;66;0.52;1995.22
ITEM;1155;25;1.03;70531.72
ITEM;2160;40;0.60;2923.13
ITEM;1102;11;0.53;709.22
ITEM;1104;48;0.99;5701.72
ITEM;2102;53;1.07;57431.25
ITEM;1015;0;1.00;3903.63
ITEM;3;5178;0.64;27.41
ITEM;2049;52;0.80;3620.24
ITEM;43;156;1.16;35.29
ITEM;53;49;0.68;33.07
ITEM;2133;2;0.76;130473.00
ITEM;207;68;0.89;99.17
ITEM;164;318;0.95;19.09
ITEM;154;152;0.66;25.50
ITEM;114;784;0.50;0.81
ITEM;21;4295;1.08;193.44
ITEM;113;100;1.00;5.41
ITEM;2016;348;0.87;318.70
ITEM;693;23;0.83;8606.25
ITEM;217;132;0.82;132.95
ITEM;723;109;0.91;4783.13
ITEM;159;694;0.99;50.61
ITEM;626;5;0.87;294752.40
ITEM;323;594;0.72;23.13
ITEM;117;976;0.75;35.30
ITEM;2018;402;1.23;882.80
ITEM;625;5;0.84;174207.70
ITEM;2154;57;0.80;336447.00
ITEM;642;23;1.13;17800.78
ITEM;340;7;0.99;66.14
ITEM;640;15;1.20;5435.94
ITEM;645;10;0.91;191325.00
ITEM;202;526;0.57;38.08
ITEM;744;101;0.84;181796.90
ITEM;754;30;0.89;194296.90
ITEM;760;105;0.51;99296.88
ITEM;2019;369;1.21;1207.67
ITEM;2021;369;0.59;95.77
ITEM;5;499;1.02;138.80
ITEM;75;2115;0.75;80.22
ITEM;76;243;0.82;123.76
ITEM;77;0;1.13;239.85
ITEM;78;243;0.73;188.24
ITEM;2124;67;0.58;493.12
ITEM;2120;-99;1.09;396.15
ITEM;2120;2207;0.89;315.07
ITEM;2121;1685;0.67;295.81
ITEM;2125;2131;0.93;1062.75
ITEM;2130;0;0.91;119.66
ITEM;2256;36;1.07;160807.50
ITEM;22;4784;1.19;377.02
ITEM;2022;585;0.53;156.03
ITEM;624;5;0.31;25634.38
ITEM;663;18;0.55;21859.38
ITEM;662;9;1.21;19200.78
ITEM;100;35;1.19;0.54
ITEM;26;277;1.11;6082.84
ITEM;408;0;0.62;2653.10
</MARKET>
// SKILLS;Skill_id;Price_modifier
<SKILLS>
SKILL;233;1.85
SKILL;51;1.33
SKILL;75;1.61
SKILL;46;1.67
SKILL;57;1.33
SKILL;53;1.17
SKILL;16;1.71
SKILL;233;1.88
</SKILLS>
// MISSION , dbid , timer, id, data, title, factionid
<MISSIONS>
MISSION;127;120;447222;CHAT_PILOT#sector_14_station_0.txt#sector_16.txt#Engineer Janbira Zoyer#npc_ship_data_(excavation_escort_1_startship)#8#missions_transfer_pilot.txt#0#null;Transfer a legal document to <color='yellow'><i>Engineer Janbira Zoyer</i></color> in <color='cyan'>Entropy</color>. Return with confirmation at Imperium Republica  in <color='cyan'>Gate of Alpharis</color>;9;<color='yellow'><i>Engineer Janbira Zoyer</i></color> is required to provide the Temple faction a signed legal document. <color='yellow'><i>Engineer Janbira Zoyer</i></color> has returned this document unsigned. Last known sighting of <color='yellow'><i>Engineer Janbira Zoyer</i></color> was in the area of <color='cyan'>Entropy</color>. Locate them and resolve this problem. Then return to Imperium Republica  in the <color='cyan'>Gate of Alpharis</color> system to deliver confirmation.;35289;11375
MISSION;100;300;905459;KILL_RECOVER#sector_13_station_0.txt#sector_95.txt#Watchman Heajid Heasifi#npc_ship_data_(transport_shuttle_1)#5#14#2081#null;Kill and Rob <color='yellow'><i>Watchman Heajid Heasifi</i></color> in <color='cyan'>Temple Gates</color> and return to Gemini Mining in <color='cyan'>Jala</color> with <color='yellow'>14</color> of <color='yellow'>Thermal Systems Packages</color>;10;<i>Akkile Lelvi</i> was hijacked for <color='yellow'>14</color> <color='yellow'>Thermal Systems Packages</color> by a pilot named <color='yellow'><i>Watchman Heajid Heasifi</i></color>. The Missionary has approved a 'Kill and Recover' contract for the criminal <color='yellow'><i>Watchman Heajid Heasifi</i></color>. Last seen in the <color='cyan'>Temple Gates</color> system, <color='yellow'><i>Watchman Heajid Heasifi</i></color> is considered to be un-prepared for combat. Take him out and return the <color='yellow'>Thermal Systems Packages</color> to Gemini Mining in <color='cyan'>Jala</color>.;88113;16000
MISSION;16;180;687901;DELIVERY#15#1007#sector_40_station_0.txt#sector_35_station_0.txt#null#null#null#null;Deliver a heavy container of <color='yellow'>15</color> <color='yellow'>Kinetics G-series Dual 20mms</color> to Legistron in the <color='cyan'>Dogstar Prime</color> system.;11;Dock manager <i>Whease Adazae</i> from the Astrox Security Patrol Corporation needs a heavy transport delivery. <color='yellow'>15</color> units of <color='yellow'>Kinetics G-series Dual 20mms</color> need moved on over to <color='cyan'>Dogstar Prime</color> and delivered to <i>Whease Adazae</i> at Legistron.;22643;2900
MISSION;103;360;465400;KILL_RECOVER#sector_100_station_0.txt#sector_57.txt#Senator Jokom Sipzo#npc_ship_data_(pirate_utility_3)#3#1#1407#null;Eradicate <color='yellow'><i>Senator Jokom Sipzo</i></color> in <color='cyan'>Ponze</color> and recover <color='yellow'>1</color> <color='yellow'>Salvage Collector 8</color>. Return to Fellacore Research Center in <color='cyan'>Grace</color>;9;After <color='yellow'>1</color> <color='yellow'>Salvage Collector 8</color> were hijacked from a transport in <color='cyan'>Ponze</color>, Temple authorities began hunting for <color='yellow'><i>Senator Jokom Sipzo</i></color>. A well known lowlife from the area, <color='yellow'><i>Senator Jokom Sipzo</i></color> has been on the run from the ASP for various crimes and recently had a bounty commissioned by <i>Vesoa Ajlommad</i>. Return the stolen cargo and meet <i>Vesoa Ajlommad</i> at Fellacore Research Center in <color='cyan'>Grace</color>.;172642;55650
MISSION;121;120;176202;CHAT_PILOT#sector_77_station_0.txt#sector_56.txt#Officer Fastmi Yitsivba#npc_ship_data_(recon_escort_3)#5#missions_debt_collection.txt#0#null;Chat with <color='yellow'><i>Officer Fastmi Yitsivba</i></color> about his debt in <color='cyan'>Hunu</color> and return to Lacuna Bandits in <color='cyan'>Ballast Crow</color>;9;<i>Qona Welizetafi</i> has requested that debt be collected from <color='yellow'><i>Officer Fastmi Yitsivba</i></color>. After 3 payments to the Temple faction for transport fines, <color='yellow'><i>Officer Fastmi Yitsivba</i></color> has refused to make any further payments. Last known sighting of <color='yellow'><i>Officer Fastmi Yitsivba</i></color> was in the vicinity of the <color='cyan'>Hunu</color> system. Have a chat with them, collect the debt, and return to the Lacuna Bandits in the <color='cyan'>Ballast Crow</color> system to deliver the payment.;33306;9750
MISSION;21;180;461848;COLLECT#1#1109#sector_101_station_0.txt#sector_0_station_0.txt#null#null#null#null;Gather a collection of <color='yellow'>1</color> <color='yellow'>Pulse x10 Laser</color> and dock the light shipment at Vo Industries in <color='cyan'>Brimstone</color>;9;<i>Nesi Ceese</i> has requested an small collection of <color='yellow'>1</color> <color='yellow'>Pulse x10 Laser</color> in preparation for an upcoming exploration run. Backed by the Temples after these items have been purchased, recovered or fabricated, return to the Vo Industries Station located in the <color='cyan'>Brimstone</color> Sector.;13825;4375
MISSION;84;150;885658;RECOVER#329#211#sector_97.txt#sector_14_station_1.txt#null#null#null#null;Recover a medium shipment <color='yellow'>crate</color> in <color='cyan'>Valley of Truths</color>, recover <color='yellow'>329</color> <color='yellow'>Large Processors</color> and bring back to Horizons in <color='cyan'>Gate of Alpharis</color>;9;In the <color='cyan'>Valley of Truths</color> sector, a medium shipment of <color='yellow'>Large Processors</color> have been reported to the local Temple authorities as derelict. <i>Jidas Barib</i> has filed a claim on the crate, and has requested a recovery contract for <color='yellow'>329</color> <color='yellow'>Large Processors</color> to be delivered Horizons station in <color='cyan'>Gate of Alpharis</color>.;18941;3375
MISSION;15;150;734193;DELIVERY#4#1062#sector_3_station_0.txt#sector_95_station_1.txt#null#null#null#null;Dock with Daemon Ammunitions to deliver a medium shipment of <color='yellow'>4</color> <color='yellow'>Assault x3 Launchers</color> in <color='cyan'>Starfort Ramos</color>;11;<i>Peaxon Kaddkin</i> has relocated from Acrondia Hub and requests a medium shipment of <color='yellow'>4</color> <color='yellow'>Assault x3 Launchers</color> be delivered to the new offices at Daemon Ammunitions. Head on over to <color='cyan'>Starfort Ramos</color> and deliver these <color='yellow'>Assault x3 Launchers</color>.;18630;4050
MISSION;66;200;646927;HARVEST#536#7#sector_103.txt#sector_78_station_0.txt#null#null#null#null;Mine <color='yellow'>Special Dynex Ore</color>, minimum <color='yellow'>536</color>, in <color='cyan'>Vindicati</color> and return to Tella's in <color='cyan'>Bitcola</color>;10;There is still a heavy haul of <color='yellow'>Special Dynex Ore</color> that has yet to be claimed in the <color='cyan'>Vindicati</color> system. This is an open contract, and all pilots may apply. Once the <color='yellow'>536</color> <color='yellow'>Special Dynex Ore</color> has been harvested, report back to Tella's station, which can be found in the <color='cyan'>Bitcola</color> sector.;26633;5900
MISSION;122;120;633211;CHAT_PILOT#sector_78_station_0.txt#sector_79.txt#Liaison Servis Feiweli#npc_ship_data_(recon_escort_2)#12#missions_debt_collection.txt#0#null;Collect a payment from <color='yellow'><i>Liaison Servis Feiweli</i></color> in <color='cyan'>Dragon Sea</color> and return to Tella's in <color='cyan'>Bitcola</color>;9;<i>Zilswhi Galewo</i> has requested that debt be collected from <color='yellow'><i>Liaison Servis Feiweli</i></color>. After 3 payments to the Temple faction for transport fines, <color='yellow'><i>Liaison Servis Feiweli</i></color> has refused to make any further payments. Last known sighting of <color='yellow'><i>Liaison Servis Feiweli</i></color> was in the vicinity of the <color='cyan'>Dragon Sea</color> system. Have a chat with them, collect the debt, and return to the Tella's in the <color='cyan'>Bitcola</color> system to deliver the payment.;36374;11725
MISSION;24;240;278415;COLLECT#95#212#sector_58_station_0.txt#sector_78_station_0.txt#null#null#null#null;Bring a medium collection of <color='yellow'>95</color> <color='yellow'>Motion Sensors</color> to CoraVault in the <color='cyan'>Lins</color> Sector;11;Orthodox Union Rep, <i>Jalisnine Bojagbem</i> is looking to collect a medium sized shipment of <color='yellow'>95</color> <color='yellow'>Motion Sensors</color>. Once the items have been acquired, return to CoraVault in the <color='cyan'>Lins</color> Sector. <i>Jalisnine Bojagbem</i> will be waiting there to receive the <color='yellow'>Motion Sensors</color>.;23700;7500
MISSION;52;120;858430;SCAN_STRUCTURE#sector_95_station_1.txt#sector_0.txt#Office Center#structure_office_1.txt#1#null#null#null;Track and scan the target <color='yellow'>Office Center</color> structure in <color='cyan'>Void Starcross</color> and return to Acrondia Hub in <color='cyan'>Temple Gates</color>;9;The Temple faction has commissioned scientific survey of a strange vibration taking place at <color='yellow'>Office Center</color> in the <color='cyan'>Void Starcross</color> sector. Head over to <color='cyan'>Void Starcross</color> and scan the <color='yellow'>Office Center</color> structure. Once complete, return to the Acrondia Hub station located in the <color='cyan'>Temple Gates</color> with the scan data.;14220;4500
MISSION;23;240;517429;COLLECT#51#218#sector_58_station_0.txt#sector_57_station_0.txt#null#null#null#null;Procure a medium collection of <color='yellow'>51</color> <color='yellow'>Copperi Cables</color>, and return to CoraVault in <color='cyan'>Lins</color>;9;A team at the CoraVault Station is looking for an experienced collector who might be able to help gather together a medium shipment of <color='yellow'>51</color> <color='yellow'>Copperi Cables</color>. Once the items have been collected by any means at your disposal, they will need to be dropped at CoraVault in the <color='cyan'>Lins</color> Sector.;22729;4050
MISSION;25;240;956501;COLLECT#167#330#sector_82_station_0.txt#sector_14_station_1.txt#null#null#null#null;Dock at Kith in the <color='cyan'>Kidd Overture</color> Sector, with a medium collection of <color='yellow'>167</color> <color='yellow'>Personal Clothings</color>;9;Supply in the <color='cyan'>Kidd Overture</color> System is running low on <color='yellow'>Personal Clothings</color>. <i>Jalisvis Ribah</i> has requested that someone bring a medium shipment of <color='yellow'>167</color> <color='yellow'>Personal Clothings</color> over to the Kith. Temple tensions have been high, and these items will help calm the locals.;29815;11725
MISSION;22;180;820348;COLLECT#2#1123#sector_15_station_0.txt#sector_0_station_1.txt#null#null#null#null;Return to Crystalis Broadcasting in <color='cyan'>Jermicus</color> with a light collection of <color='yellow'>2</color> <color='yellow'>Focused x4 Lasers</color>;9;A request has been made by the Overseer of Crystalis Broadcasting in <color='cyan'>Jermicus</color> for the acquisition of <color='yellow'>2</color> <color='yellow'>Focused x4 Lasers</color>. <i>Dopad Atenuhhin</i> will reimburse you for the cost of the items, as well as payment for your troubles.;16415;2925
MISSION;56;180;698740;SCAN_STRUCTURE#sector_103_station_0.txt#sector_35.txt#Public Energy Generator#structure_energy_gen_1.txt#1#null#null#null;Return to Temple of the Void in <color='cyan'>Vindicati</color> after scanning the <color='yellow'>Public Energy Generator</color> structure in <color='cyan'>Felishar</color>;11;<i>Gotta Nostracee</i> has made public announcement requesting that the <color='yellow'>Public Energy Generator</color> building in <color='cyan'>Felishar</color> be forced to meet the same coding standards that other structures in the Orthodox region are forced to comply with. Perform a scan on <color='yellow'>Public Energy Generator</color> and head back to the Temple of the Void station located in the <color='cyan'>Vindicati</color>.;20496;6000
MISSION;76;240;410324;ESCORT#sector_56_station_0.txt#sector_14_station_1.txt#General Whaxa Zetawhovaj#npc_ship_data_(recon_cruiser_1)#21#null#null#null;In <color='cyan'>Hunu</color> at the Transporteers station, a lost pilot requires an escort to Horizons in <color='cyan'>Gate of Alpharis</color>;11;A <color='yellow'><i>General Whaxa Zetawhovaj</i></color> from Transporteers is looking for an escort to Horizons in <color='cyan'>Gate of Alpharis</color>. Safety is a main concern of <color='yellow'><i>General Whaxa Zetawhovaj</i></color>, you will need to stay together until you reach Horizons. It would probably be a good idea to be fully stocked with supplies and ammo.;16560;3600
MISSION;115;600;667813;KILL_RAIDERS#sector_95_station_1.txt#sector_9.txt#4#25#npc_ship_data_(pirate_frigate_1)#npc_ship_data_(recon_frigate_1)#npc_ship_data_(support_frigate_1)#npc_ship_data_(excavation_escort_1);Frag all Skilled Raiders in <color='cyan'>Forges of Mintar</color> and return to Acrondia Hub in <color='cyan'>Temple Gates</color>;9;A large group of raiders have been pestering the locals of <color='cyan'>Forges of Mintar</color>, and resident <i>Lesmole Qirast</i> has had enough. In an effort to rid the sector of these thugs, locals have raised the funds needed to retain the contract. Destroy all <color='yellow'>4 Raiders</color> and head back to the Acrondia Hub in the <color='cyan'>Temple Gates</color> system to collect the bounty payment.;132041;34250
MISSION;82;120;630980;RECOVER#1#1106#sector_102.txt#sector_97_station_0.txt#null#null#null#null;Retrieve a light cache of <color='yellow'>1</color> <color='yellow'>Pulse x7 Laser</color> from a <color='yellow'>crate</color> in <color='cyan'>Lightless</color> sector, drop at Temple of the Void in <color='cyan'>Valley of Truths</color>;9;After a skirmish in <color='cyan'>Lightless</color>, the Temple's <i>Genoa Wana</i> cannot account for a light shipment of <color='yellow'>Pulse x7 Laser</color> he was transporting before the attack. Head out to the <color='cyan'>Lightless</color> sector and look for the crate. When found, take the contents of the crate back to the Temple of the Void station in the <color='cyan'>Valley of Truths</color> sector.;14396;1000
</MISSIONS>
// SHIP HANGAR;count;Price_modifier;Ship_filename
<HANGAR>
SHIP;1;1.05;ship_data_(pirate_carrier_1).txt
SHIP;2;0.92;ship_data_(battle_frigate_1).txt
SHIP;3;0.93;ship_data_(battle_utility_1).txt
</HANGAR>
// STORAGE;item_id;Qty;0
<STORAGE>
STORAGE;61;277;0

