// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;1
STATION;name;StarGypsy Warehouse
STATION;type;Tavern Station
STATION;owner;Pinratus Flake
STATION;faction;Pirate
STATION;material;station_material_Pirate.png
STATION;color; 1.0 , 0.0 , 0.0 , 1.0
STATION;level;7
STATION;icon;stargypsy.png
STATION;filename;sector_0_station_2.txt
STATION;max_hp;25000
STATION;dockfee;25
STATION;lease;20
STATION;seed;4-5-0-1-9-0-9-1-3-0-0-4-1-3-8-1-9-1-1-3-1-3-90
STATION;interior_seed;7-5-15-3
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;84461.87
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;True
SERVICES;admin;True
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;StarLuck Casino;0.05,0.05;24000;Gambling;entertain_casino.png;A weekend package to the local casino for your entire crew, complete with pocket money. 5% Morale Boost, 5% Loyalty Boost
ENTERTAINMENT;BioSynth Wildlife Park;0.05,0.05;26000;Rest and Relaxation;entertain_park.png;A weekend package to the local wildlife BioSynth park for your entire crew, included petting zoo. 5% Morale Boost, 5% Loyalty Boost
ENTERTAINMENT;Private Concert;0.25,0.09;50000;Musical Entertainment;entertain_show.png;Provide a private concert for your entire crew, drinks and food included. 25% Morale , 9% Loyalty bonus.
ENTERTAINMENT;Evening of Drinks;0.05,0.0;1500;Alcholic Drinks;entertain_bar.png;Pick up the tab for an evening of drinks for your crew, they earned it. 5% Morale Boost.
ENTERTAINMENT;Astrox Opera House;0.26,0.07;51000;Musical Entertainment;entertain_opera.png;Provide a private opera concert for your entire crew at the famous 'Astrox Opera House', drinks and food included. 26% Morale , 7% Loyalty bonus.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;1;1.63;npc_ship_data_(pirate_shuttle_1).txt
MERC;3;1.63;npc_ship_data_(pirate_escort_1).txt
MERC;9;1.93;npc_ship_data_(pirate_utility_1).txt
MERC;12;1.23;npc_ship_data_(pirate_utility_2).txt
MERC;15;1.47;npc_ship_data_(pirate_frigate_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
SELLORDER;Market Items: (2) Items ;2027x432,2020x230;206346;132238.70
ITEM;604;11;0.55;56087.28
ITEM;405;21;1.05;36.09
ITEM;602;43;0.46;5975.21
ITEM;2008;909;1.00;395.24
ITEM;743;52;0.68;92637.70
ITEM;675;87;0.96;244017.80
ITEM;102;749;0.44;0.80
ITEM;331;4618;1.00;126.75
ITEM;646;27;0.76;250161.80
ITEM;2650;7352;0.69;308.58
ITEM;1521;40;1.07;2505.71
ITEM;2330;56;1.03;43461.13
ITEM;741;68;1.06;42364.82
ITEM;2546;33;0.74;335577.90
ITEM;1751;40;0.94;8060.30
ITEM;2362;19;1.05;109676.20
ITEM;1581;99;0.88;8553.26
ITEM;621;22;0.59;4714.41
ITEM;2335;16;0.86;120249.80
ITEM;1541;47;0.73;1595.19
ITEM;730;65;0.76;28864.83
ITEM;2558;44;0.78;357177.90
ITEM;1616;51;0.64;2910.53
ITEM;1611;91;0.48;1058.55
ITEM;401;923;0.97;2477.69
ITEM;305;2365;0.98;126.72
ITEM;1170;77;0.48;1048.18
ITEM;1171;55;0.98;4996.36
ITEM;105;1359;1.09;9.71
ITEM;2010;532;0.93;107.92
ITEM;2011;587;0.61;66.30
ITEM;20;14057;0.91;77.56
ITEM;2119;5732;0.71;260.23
ITEM;1008;46;0.63;1278.60
ITEM;304;2711;0.67;75.55
ITEM;742;89;0.93;81144.06
ITEM;733;79;0.98;86144.06
ITEM;2014;618;0.85;207.14
ITEM;758;177;0.83;71144.06
ITEM;712;150;0.75;94716.09
ITEM;209;1069;1.11;71.09
ITEM;691;95;0.97;25543.22
ITEM;690;92;1.05;13971.61
ITEM;158;690;0.88;34.49
ITEM;4;18660;0.66;50.90
ITEM;155;872;0.69;12.74
ITEM;104;1138;1.14;2.76
ITEM;166;807;0.77;48.99
ITEM;350;4609;1.06;35.87
ITEM;320;3295;0.77;13.16
ITEM;352;2854;0.87;162.69
ITEM;680;109;0.90;19536.02
ITEM;740;145;0.56;6621.61
ITEM;674;199;1.00;114587.30
ITEM;676;94;0.82;70144.06
ITEM;732;128;0.59;7071.61
ITEM;2557;34;0.71;106459.30
ITEM;678;188;0.83;17786.02
ITEM;670;142;0.60;57772.88
ITEM;711;168;0.96;21036.02
ITEM;214;1010;0.77;80.32
ITEM;23;12055;0.77;456.01
ITEM;161;774;0.36;6.37
ITEM;728;142;0.55;6471.61
ITEM;25;19010;0.81;2205.70
ITEM;321;2743;0.60;90.22
ITEM;121;744;0.56;22.29
ITEM;106;1159;0.76;6.54
ITEM;601;41;0.84;7214.41
ITEM;303;2998;1.07;80.30
ITEM;342;907;0.25;3.01
ITEM;107;1373;0.67;5.90
ITEM;644;38;0.93;105487.30
ITEM;2220;18;0.61;26537.79
ITEM;2221;23;0.62;51146.95
ITEM;407;4082;0.93;349.73
ITEM;103;1465;0.67;0.51
ITEM;330;3214;0.89;63.10
ITEM;6;14925;0.96;206.15
ITEM;1160;45;0.52;1103.96
ITEM;2201;49;0.88;49341.35
ITEM;1162;74;1.15;11242.70
ITEM;1164;60;0.79;26790.48
ITEM;165;962;0.89;51.30
ITEM;118;976;1.00;4.85
ITEM;1643;54;0.85;141533.60
ITEM;1583;86;0.60;70242.29
ITEM;1653;63;0.80;131858.60
ITEM;1613;38;0.70;29782.67
ITEM;213;540;0.64;50.74
ITEM;600;20;1.05;4657.20
ITEM;2117;6133;0.96;227.19
ITEM;1624;54;0.54;153080.60
ITEM;2374;38;1.01;104966.20
ITEM;1777;84;0.96;8256.55
ITEM;1762;53;0.52;3939.10
ITEM;1574;59;0.83;290928.20
ITEM;1584;83;0.61;359105.00
ITEM;1619;94;1.08;384202.30
ITEM;1554;46;0.72;295729.60
ITEM;1150;90;0.77;1628.60
ITEM;2191;32;1.03;53592.71
ITEM;1155;25;0.67;42405.79
ITEM;1156;91;0.51;60164.42
ITEM;1101;49;0.81;622.30
ITEM;1104;64;0.62;3259.36
ITEM;3;21854;0.93;42.19
ITEM;43;8177;0.97;28.69
ITEM;1070;82;0.84;24240.40
ITEM;2563;60;0.61;88459.32
ITEM;207;961;0.74;79.30
ITEM;114;1529;0.43;0.65
ITEM;2242;63;0.56;100648.50
ITEM;2244;53;0.60;444851.20
ITEM;2245;60;1.00;1851025.00
ITEM;1406;76;0.90;242246.60
ITEM;2246;68;1.09;3613759.00
ITEM;21;19065;0.92;160.29
ITEM;113;836;1.15;6.29
ITEM;721;154;1.06;5648.64
ITEM;2016;900;0.83;299.45
ITEM;216;681;0.47;57.14
ITEM;2017;348;0.94;460.34
ITEM;720;75;1.04;5528.64
ITEM;723;73;1.03;5468.64
ITEM;159;759;0.94;47.40
ITEM;725;139;0.53;6171.61
ITEM;710;100;0.80;3407.20
ITEM;626;15;1.06;367161.80
ITEM;323;2445;1.06;35.87
ITEM;117;1273;0.51;21.69
ITEM;152;897;0.58;5.68
ITEM;625;30;0.47;84345.75
ITEM;1076;34;0.53;67147.10
ITEM;642;39;0.95;14550.21
ITEM;340;1000;0.25;9.91
ITEM;640;21;1.12;5007.20
ITEM;645;50;0.63;122745.80
ITEM;202;725;0.87;62.60
ITEM;744;76;0.49;92860.16
ITEM;749;70;0.61;122860.20
ITEM;760;137;0.53;102860.10
ITEM;2020;390;0.26;25.50
ITEM;2021;150;0.25;26.38
ITEM;5;20955;1.04;140.98
ITEM;76;9171;0.80;119.25
ITEM;2417;56;0.97;1788.03
ITEM;77;9016;0.45;78.15
ITEM;78;11977;0.81;210.89
ITEM;2124;8848;0.95;877.59
ITEM;2122;10339;0.91;538.58
ITEM;2123;18643;0.81;591.53
ITEM;2123;-99;0.81;591.53
ITEM;2127;12093;0.61;40.89
ITEM;333;4435;0.59;154.68
ITEM;22;21379;0.44;112.50
ITEM;2022;170;0.25;49.16
ITEM;2392;30;0.76;464.40
ITEM;2116;7643;0.57;45.41
ITEM;624;16;0.58;59987.28
ITEM;663;24;0.96;42072.03
ITEM;662;26;0.42;5275.21
ITEM;100;1694;0.57;0.23
ITEM;26;17492;0.85;4461.79
ITEM;408;5318;0.91;4140.03
</MARKET>
// SKILLS;Skill_id;Price_modifier
<SKILLS>
SKILL;55;1.00
SKILL;56;1.02
SKILL;51;1.49
SKILL;61;1.60
SKILL;65;2.00
SKILL;81;1.52
SKILL;82;1.26
SKILL;83;0.74
SKILL;84;1.76
SKILL;85;1.71
SKILL;211;0.85
SKILL;57;0.85
SKILL;130;0.85
SKILL;131;0.85
SKILL;132;0.85
SKILL;133;0.85
SKILL;134;0.85
SKILL;140;0.85
SKILL;141;0.85
SKILL;142;0.85
SKILL;143;0.85
SKILL;144;0.85
</SKILLS>
// MISSION , dbid , timer, id, data, title, factionid
<MISSIONS>
MISSION;110;600;211265;KILL_RAIDERS#sector_56_station_1.txt#sector_79.txt#2#10#npc_ship_data_(pirate_shuttle_1)#npc_ship_data_(recon_escort_1)#npc_ship_data_(support_escort_1)#npc_ship_data_(excavation_escort_1);Hunt <color='yellow'>2 Raiders</color> level 10 in <color='cyan'>Dragon Sea</color> and return to ValueStar in <color='cyan'>Hunu</color>;6;There has been a small Raider gang hanging around the warp gates in <color='cyan'>Dragon Sea</color>. The Pirate faction has requested a sector clearance contract. Head on over to the <color='cyan'>Dragon Sea</color> and clear out the <color='yellow'>2 Raiders</color>, level 10 that have set up camp there. Dock at the ValueStar station in <color='cyan'>Hunu</color> when complete.;39528;9000
MISSION;124;180;881731;CHAT_PILOT#sector_97_station_0.txt#sector_80.txt#Privateer Peibe Anuobeck#npc_ship_data_(support_escort_2)#13#missions_arrest_escort.txt#0#null;Arrest <color='yellow'><i>Privateer Peibe Anuobeck</i></color> over an outstanding warrant in <color='cyan'>Blades of Dandrow</color> and return to Temple of the Void in <color='cyan'>Valley of Truths</color>;6;<i>Qefar Leibru</i> of the Pirate faction has sent out a warrent for the arrest of <color='yellow'><i>Privateer Peibe Anuobeck</i></color>. Last known sighting of <color='yellow'><i>Privateer Peibe Anuobeck</i></color> was in the area of <color='cyan'>Blades of Dandrow</color>. Bring them back alive to the Temple of the Void in the <color='cyan'>Valley of Truths</color> system to complete this contract.;31614;7200
MISSION;60;140;881444;HARVEST#71#1#sector_58.txt#sector_60_station_0.txt#null#null#null#null;Harvest <color='yellow'>Special Adamyte Ore</color> in <color='cyan'>Lins</color> and return with <color='yellow'>71</color> ore to Biomart in <color='cyan'>Veloxi</color>;7;A local prospector, <i>Lesyel Binojan</i> of the Outlaw faction has located a light quantity of special <color='yellow'>Special Adamyte Ore</color> in the <color='cyan'>Lins</color> sector. Head over there and harvest all of the special <color='yellow'>Special Adamyte Ore</color>, and meet <i>Lesyel Binojan</i> back at Biomart station located in the <color='cyan'>Veloxi</color>.;12860;2400
MISSION;61;140;150979;HARVEST#124#1#sector_35.txt#sector_95_station_1.txt#null#null#null#null;Mine <color='yellow'>Special Adamyte Ore</color> in <color='cyan'>Felishar</color> and return with <color='yellow'>124</color> to Acrondia Hub in <color='cyan'>Temple Gates</color>;6;While collecting some junk in the <color='cyan'>Felishar</color> system, <i>Bemvi Lowbacxe</i> discovered a light haul of <color='yellow'>124</color> <color='yellow'>Special Adamyte Ore</color>. Unable to collect the material alone, <i>Bemvi Lowbacxe</i> has requested that a capable pilot harvest the <color='yellow'>Special Adamyte Ore</color> and drop it off at the Acrondia Hub station located in the <color='cyan'>Temple Gates</color>.;8330;1700
MISSION;71;180;501147;ESCORT#sector_99_station_0.txt#sector_14_station_1.txt#Mr. Nuhar Zanpae#npc_ship_data_(support_utility_3)#4#null#null#null;<color='yellow'><i>Mr. Nuhar Zanpae</i></color> requests an escort from Ferce Hub in <color='cyan'>Semja</color> to Horizons in <color='cyan'>Gate of Alpharis</color>;6;The Astrox Security Patrol has posted a contract for the safe delivery of a <color='yellow'><i>Mr. Nuhar Zanpae</i></color>, wanted for questioning in a non-violent incident a few cycles ago in the <color='cyan'>Semja</color> system. Escort <color='yellow'><i>Mr. Nuhar Zanpae</i></color> from Ferce Hub to Horizons in the <color='cyan'>Gate of Alpharis</color> system.;10560;4125
MISSION;61;140;525372;HARVEST#68#4#sector_1.txt#sector_95_station_1.txt#null#null#null#null;Mine <color='yellow'>Special Lokken Ore</color> in <color='cyan'>Dellis Primeria</color> and return with <color='yellow'>68</color> to Acrondia Hub in <color='cyan'>Temple Gates</color>;7;While collecting some junk in the <color='cyan'>Dellis Primeria</color> system, <i>Waino Tusipbast</i> discovered a light haul of <color='yellow'>68</color> <color='yellow'>Special Lokken Ore</color>. Unable to collect the material alone, <i>Waino Tusipbast</i> has requested that a capable pilot harvest the <color='yellow'>Special Lokken Ore</color> and drop it off at the Acrondia Hub station located in the <color='cyan'>Temple Gates</color>.;11200;2550
MISSION;150;120;838993;FABRICATE#4#2428#sector_99_station_0.txt#sector_82_station_0.txt#null#null#null#null;Dock at the Ferce Hub station fabricator in <color='cyan'>Semja</color> and manufacture a light shipment of <color='yellow'>4</color> <color='yellow'>Steelium Beams</color>;6;<i>Jalisgen Astlea</i> runs a Pirate production company at Kith. After having some issues with a manufacturing plant, <color='yellow'>4</color> items of <color='yellow'>Steelium Beams</color> were marked as low supply. Head on over to <color='cyan'>Semja</color> and fabricate these <color='yellow'>Steelium Beams</color> at Ferce Hub.;22546;9900
MISSION;62;140;222267;HARVEST#164#1#sector_96.txt#sector_56_station_0.txt#null#null#null#null;Excavate <color='yellow'>Special Adamyte Ore</color> in <color='cyan'>Arch of Mori</color> and return with <color='yellow'>164</color> to Transporteers in <color='cyan'>Hunu</color>;8;<i>Ajjid Sadas</i> has discovered a light deposit of <color='yellow'>Special Adamyte Ore</color> in <color='cyan'>Arch of Mori</color>. He is currently unable to mine the <color='yellow'>Special Adamyte Ore</color>, and has requested a pilot to head over and harvest the <color='yellow'>164</color> <color='yellow'>Special Adamyte Ore</color>. Once complete, head over and meet <i>Ajjid Sadas</i> at the Transporteers station located in the <color='cyan'>Hunu</color>.;12865;2775
MISSION;32;240;776861;TRANSPORT#6#1776#sector_95_station_1.txt#sector_14_station_0.txt#null#null#null#null;Move light cargo from Acrondia Hub in <color='cyan'>Temple Gates</color> and dock with <color='yellow'>6</color> <color='yellow'>Advanced ECM Range Locks</color> at Imperium Republica  in <color='cyan'>Gate of Alpharis</color>;6;<i>Farfast Qiles</i> was unable to complete a large shipment from Acrondia Hub to Imperium Republica . A light shipment containing <color='yellow'>6</color> <color='yellow'>Advanced ECM Range Locks</color> is located at the storage bay at Acrondia Hub in <color='cyan'>Temple Gates</color>. Retrieve the <color='yellow'>Advanced ECM Range Locks</color> and transport them to Imperium Republica  in <color='cyan'>Gate of Alpharis</color>.;11970;3150
MISSION;124;180;651826;CHAT_PILOT#sector_1_station_0.txt#sector_80.txt#Engineer Yaco Tadei#npc_ship_data_(recon_dreadnought_1)#2#missions_arrest_escort.txt#0#null;Arrest <color='yellow'><i>Engineer Yaco Tadei</i></color> over an outstanding warrant in <color='cyan'>Blades of Dandrow</color> and return to Quantex in <color='cyan'>Dellis Primeria</color>;6;<i>Mastbel Hearon</i> of the Pirate faction has sent out a warrent for the arrest of <color='yellow'><i>Engineer Yaco Tadei</i></color>. Last known sighting of <color='yellow'><i>Engineer Yaco Tadei</i></color> was in the area of <color='cyan'>Blades of Dandrow</color>. Bring them back alive to the Quantex in the <color='cyan'>Dellis Primeria</color> system to complete this contract.;29866;7200
MISSION;32;240;467331;TRANSPORT#6#1054#sector_103_station_0.txt#sector_0_station_2.txt#null#null#null#null;Move light cargo from Temple of the Void in <color='cyan'>Vindicati</color> and dock with <color='yellow'>6</color> <color='yellow'>Tactical x1 Launchers</color> at StarGypsy Warehouse in <color='cyan'>Void Starcross</color>;7;<i>Yiwhi Ilssihxa</i> was unable to complete a large shipment from Temple of the Void to StarGypsy Warehouse. A light shipment containing <color='yellow'>6</color> <color='yellow'>Tactical x1 Launchers</color> is located at the storage bay at Temple of the Void in <color='cyan'>Vindicati</color>. Retrieve the <color='yellow'>Tactical x1 Launchers</color> and transport them to StarGypsy Warehouse in <color='cyan'>Void Starcross</color>.;15330;5250
MISSION;30;240;765602;TRANSPORT#89#108#sector_101_station_0.txt#sector_58_station_0.txt#null#null#null#null;Transport a light shipment of <color='yellow'>89</color> <color='yellow'>Copperi Cubexs</color> from Vo Industries in <color='cyan'>Brimstone</color> to CoraVault in <color='cyan'>Lins</color>;6;Transport manager <i>Eabor Tuahgo</i> has requested a transport of a light shipment of <color='yellow'>89</color> <color='yellow'>Copperi Cubexs</color>. They need to be picked up at the storage facility at Vo Industries in <color='cyan'>Brimstone</color>, and transported to CoraVault in <color='cyan'>Lins</color>. <i>Eabor Tuahgo</i> will be waiting at CoraVault to receive the shipment. ;15770;6650
MISSION;32;240;137251;TRANSPORT#13#1721#sector_104_station_0.txt#sector_56_station_1.txt#null#null#null#null;Move light cargo from Cecil in <color='cyan'>Junia</color> and dock with <color='yellow'>13</color> <color='yellow'>Basic Beam Energy Mods</color> at ValueStar in <color='cyan'>Hunu</color>;6;<i>Opbar Wenzae</i> was unable to complete a large shipment from Cecil to ValueStar. A light shipment containing <color='yellow'>13</color> <color='yellow'>Basic Beam Energy Mods</color> is located at the storage bay at Cecil in <color='cyan'>Junia</color>. Retrieve the <color='yellow'>Basic Beam Energy Mods</color> and transport them to ValueStar in <color='cyan'>Hunu</color>.;21265;7350
MISSION;51;120;312437;SCAN_STRUCTURE#sector_3_station_0.txt#sector_103.txt#Community Farming Center#structure_farm_1.txt#1#null#null#null;Find the target <color='yellow'>Community Farming Center</color> structure in <color='cyan'>Vindicati</color>, scan, and return to Daemon Ammunitions in <color='cyan'>Starfort Ramos</color>;6;<i>Vesyi Rocieti</i> has requested that someone verify the location of <color='yellow'>Community Farming Center</color> in the <color='cyan'>Vindicati</color> sector. After a recent mix-up at the zoning office, the Pirate reps are concerned that construction guidelines were not followed properly. Return to the Daemon Ammunitions station located in the <color='cyan'>Starfort Ramos</color> with the scan data.;12775;4375
MISSION;124;180;396764;CHAT_PILOT#sector_102_station_0.txt#sector_103.txt#Ensign Wafo Vohinlocki#npc_ship_data_(battle_utility_1)#16#missions_arrest_escort.txt#0#null;Arrest <color='yellow'><i>Ensign Wafo Vohinlocki</i></color> over an outstanding warrant in <color='cyan'>Vindicati</color> and return to Star Shepard's Temple in <color='cyan'>Lightless</color>;8;<i>Fallxon Cagasev</i> of the Sovereign faction has sent out a warrent for the arrest of <color='yellow'><i>Ensign Wafo Vohinlocki</i></color>. Last known sighting of <color='yellow'><i>Ensign Wafo Vohinlocki</i></color> was in the area of <color='cyan'>Vindicati</color>. Bring them back alive to the Star Shepard's Temple in the <color='cyan'>Lightless</color> system to complete this contract.;34697;9000
MISSION;93;360;998627;KILL_PILOT#sector_99_station_0.txt#sector_82.txt#Miner Fakile Veqesad#npc_ship_data_(pirate_frigate_3)#15#null#null#null;Frag <color='yellow'><i>Miner Fakile Veqesad</i></color>, in <color='cyan'>Kidd Overture</color> and return to Ferce Hub in <color='cyan'>Semja</color>;6;An intermediate level pilot has been sentenced by ASP for extermination. <color='yellow'><i>Miner Fakile Veqesad</i></color>, found guilty of raiding, and murder, has been hanging out in the <color='cyan'>Kidd Overture</color> system. When complete, return to the Ferce Hub station in the <color='cyan'>Semja</color> system. The Pirate's will be very happy to hear of <color='yellow'><i>Miner Fakile Veqesad</i></color>'s demise.;97356;28500
MISSION;131;140;921107;SALVAGE#7#26#sector_82.txt#sector_95_station_0.txt#null#null#null#null;Salvage <color='yellow'>Special Weapons Component</color> in <color='cyan'>Kidd Overture</color> and return with <color='yellow'>7</color> to Star Shepards Hub in <color='cyan'>Temple Gates</color>;7;While collecting some junk in the <color='cyan'>Kidd Overture</color> system, <i>Seremi Ahoacie</i> discovered a light haul of <color='yellow'>7</color> <color='yellow'>Special Weapons Component</color>. Unable to collect the material alone, <i>Seremi Ahoacie</i> has requested that a capable pilot salvage the <color='yellow'>Special Weapons Component</color> and drop it off at the Star Shepards Hub station located in the <color='cyan'>Temple Gates</color>.;16397;4800
MISSION;32;240;603340;TRANSPORT#4#1104#sector_3_station_0.txt#sector_102_station_0.txt#null#null#null#null;Move light cargo from Daemon Ammunitions in <color='cyan'>Starfort Ramos</color> and dock with <color='yellow'>4</color> <color='yellow'>Pulse x5 Lasers</color> at Star Shepard's Temple in <color='cyan'>Lightless</color>;6;<i>Peikol Restne</i> was unable to complete a large shipment from Daemon Ammunitions to Star Shepard's Temple. A light shipment containing <color='yellow'>4</color> <color='yellow'>Pulse x5 Lasers</color> is located at the storage bay at Daemon Ammunitions in <color='cyan'>Starfort Ramos</color>. Retrieve the <color='yellow'>Pulse x5 Lasers</color> and transport them to Star Shepard's Temple in <color='cyan'>Lightless</color>.;17640;6300
