// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Gunstellar
STATION;type;Weapons Plant
STATION;owner;Xonfahin Wheal
STATION;faction;Law
STATION;material;station_material_Law.png
STATION;color;0 , .60 , 1 , 1
STATION;level;5
STATION;icon;gunstellar.png
STATION;filename;sector_47_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;4-2-1-3-0-0-8-0-3-2-1-3-1-5-3-0-8-0-4-3-3-7-0
STATION;interior_seed;3-4-0-9
// SERVICES;servicename;bool
SERVICES;lounge;False
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;True
SERVICES;admin;False

// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;StarLuck Casino;0.05,0.05;24000;Gambling;entertain_casino.png;A weekend package to the local casino for your entire crew, complete with pocket money. 5% Morale Boost, 5% Loyalty Boost
ENTERTAINMENT;Evening of Drinks;0.05,0.0;1500;Alcholic Drinks;entertain_bar.png;Pick up the tab for an evening of drinks for your crew, they earned it. 5% Morale Boost.
ENTERTAINMENT;Pod Racing event;0.25,0.0;40000;Sport Racing Event;entertain_race.png;All expense paid trip to the weekly 'Astrox Pod Racing' (APR) event. 25% Morale Boost.
ENTERTAINMENT;Karaoke Night;0.15,0.05;15000;Musical Entertainment;entertain_show.png;Your fleet is treated to a night of karaoke at the local music tavern. 15% Morale , 5% Loyalty bonus.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;6;1.44;npc_ship_data_(recon_escort_1).txt
MERC;6;1.61;npc_ship_data_(support_cruiser_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
BUYORDER;Buying: (2) Items ;2416x97,151x93;118020;118534.00
ITEM;52;118;0.85;705.3804
ITEM;70;2434;1.07;705.3804
ITEM;2129;86;0.75;76.9148
ITEM;2128;23;0.97;83.20773
ITEM;2127;1386;0.74;83.20773
ITEM;2113;112;0.64;83.20773
ITEM;51;65;1.19;38.81375
ITEM;692;30;1.30;38.81375
ITEM;733;106;1.06;38.81375
ITEM;690;22;0.78;10127.13
ITEM;693;130;0.68;6903
ITEM;751;18;1.25;51478.97
ITEM;675;81;0.74;184095
ITEM;759;89;1.24;184095
ITEM;736;27;0.89;184095
ITEM;672;69;0.78;184095
ITEM;732;34;0.55;184095
ITEM;756;43;1.19;16225.58
ITEM;722;71;0.95;5034.003
ITEM;671;48;0.70;5034.003
ITEM;740;18;0.67;8472.33
ITEM;720;88;1.12;8472.33
ITEM;701;96;1.08;4879.364
ITEM;747;45;0.73;61954.72
ITEM;729;89;1.00;13366.08
ITEM;673;28;0.66;221725.5
ITEM;757;60;0.84;33001.91
ITEM;738;1;0.94;33001.91
ITEM;737;62;0.85;33001.91
ITEM;679;54;0.63;33001.91
ITEM;735;81;1.04;33001.91
ITEM;691;85;0.88;33001.91
ITEM;755;33;0.72;3659.756
ITEM;623;22;0.77;3659.756
ITEM;620;20;1.18;3659.756
ITEM;640;22;0.69;3659.756
ITEM;622;1;0.72;3659.756
ITEM;660;5;0.51;2042.402
ITEM;642;7;1.22;2042.402
ITEM;600;23;1.20;5465.994
ITEM;664;20;0.64;5465.994
ITEM;601;22;1.09;9880.926
ITEM;663;14;1.01;45099.11
ITEM;624;15;1.06;45099.11
ITEM;641;21;0.91;8053.488
ITEM;602;8;0.86;13207.2
ITEM;643;2;1.25;13207.2
ITEM;604;16;0.93;106493.9
ITEM;603;11;1.19;106493.9
ITEM;644;3;1.19;106493.9
ITEM;662;19;0.63;106493.9
ITEM;661;29;1.05;106493.9
ITEM;621;5;1.13;106493.9
ITEM;322;43;1.19;106493.9
ITEM;311;827;1.00;106493.9
ITEM;325;861;0.69;106493.9
ITEM;310;21;1.19;106493.9
ITEM;301;1451;0.56;106493.9
ITEM;321;847;0.54;106493.9
ITEM;304;868;1.05;129.2303
ITEM;404;604;0.78;129.2303
ITEM;408;750;1.26;129.2303
ITEM;320;819;0.66;129.2303
ITEM;406;899;1.25;129.2303
ITEM;302;1089;1.05;129.2303
ITEM;313;797;0.58;93.34572
ITEM;324;32;0.76;33.10737
ITEM;403;13;1.19;33.10737
ITEM;405;1001;1.02;33.10737
ITEM;407;644;1.23;33.10737
ITEM;312;951;0.79;50.883
ITEM;300;894;0.60;30.85003
ITEM;330;805;0.57;38.0606
ITEM;331;705;1.01;38.0606
ITEM;305;601;0.59;38.0606
ITEM;303;11;0.83;61.1822
ITEM;323;947;1.10;61.1822
ITEM;333;587;0.93;269.055
ITEM;2;3424;0.61;269.055
ITEM;24;3578;0.73;269.055
ITEM;21;8560;0.76;269.055
ITEM;23;167;0.92;269.055
ITEM;5;4364;0.89;119.8773
ITEM;4;457;1.18;119.8773
ITEM;20;156;0.60;119.8773
ITEM;1;3004;0.73;119.8773
ITEM;3;359;0.81;36.64425
ITEM;22;18;0.51;36.64425
ITEM;118;896;0.64;36.64425
ITEM;106;54;0.56;4.665088
ITEM;113;360;0.64;4.665088
ITEM;100;905;0.95;4.665088
ITEM;110;424;0.85;4.665088
ITEM;105;806;1.01;9.076406
ITEM;108;325;0.68;8.680355
ITEM;107;265;0.94;8.680355
ITEM;104;958;1.08;8.680355
ITEM;101;575;0.96;0.6426753
ITEM;114;732;1.05;0.6426753
ITEM;102;123;0.71;1.518416
ITEM;2000;603;1.06;1.518416
ITEM;103;123;0.59;1.518416
ITEM;109;338;0.54;2.216044
ITEM;216;290;0.58;2.216044
ITEM;160;456;0.96;2.216044
ITEM;168;332;0.62;28.13282
ITEM;210;472;1.09;75.42562
ITEM;2002;142;0.76;85.79407
ITEM;212;388;0.78;59.45474
ITEM;203;176;0.92;77.51406
ITEM;162;445;1.01;23.47223
ITEM;151;57;0.51;23.47223
ITEM;165;594;0.62;23.47223
ITEM;156;152;1.19;23.47223
ITEM;201;583;0.90;23.47223
ITEM;219;542;0.84;23.47223
ITEM;164;513;1.00;23.47223
ITEM;159;546;0.75;23.47223
ITEM;2008;246;0.96;383.307
ITEM;167;559;0.76;383.307
ITEM;153;99;0.84;9.125948
ITEM;217;135;0.89;146.7571
ITEM;204;419;0.92;84.65185
ITEM;2001;337;0.73;84.65185
ITEM;161;441;0.76;84.65185
ITEM;163;261;1.10;84.65185
ITEM;2003;94;0.91;142.082
ITEM;2004;559;1.05;142.082
ITEM;170;43;1.27;142.082
ITEM;213;349;0.89;75.79748
ITEM;200;31;0.66;34.37662
ITEM;400;492;0.61;653.8541
ITEM;157;412;1.17;653.8541
ITEM;2259;44;0.60;653.8541
ITEM;2281;31;1.06;653.8541
ITEM;2430;31;0.78;184.9065
ITEM;2558;31;1.24;610744.7
ITEM;2299;10;1.09;610744.7
ITEM;2463;25;0.67;1105.583
ITEM;2462;27;0.82;1105.583
ITEM;2134;32;0.68;1105.583
ITEM;2437;32;1.13;1105.583
ITEM;2309;32;0.88;1105.583
ITEM;2286;17;1.27;1105.583
ITEM;2565;17;0.91;1105.583
ITEM;2375;25;0.96;1105.583
ITEM;2376;40;0.73;1105.583
ITEM;2141;20;0.59;26755.85
ITEM;2564;6;0.55;26755.85
ITEM;2294;11;0.94;26755.85
ITEM;2552;29;0.60;26755.85
ITEM;2131;11;0.81;127.5194
ITEM;2267;35;0.77;127.5194
ITEM;2315;25;1.22;127.5194
ITEM;2171;27;1.17;24301.25
</MARKET>
// SKILLS;Skill_id;Price_modifier
<SKILLS>
SKILL;54;0.87
SKILL;22;1.70
SKILL;211;1.34
SKILL;52;1.93
SKILL;12;1.50
SKILL;213;1.38
SKILL;43;1.32
SKILL;57;1.02
SKILL;75;0.94
</SKILLS>
// MISSION , dbid , timer, id, data, title, factionid
<MISSIONS>
</MISSIONS>
// SHIP HANGAR;count;Price_modifier;Ship_filename
<HANGAR>
SHIP;1;0.93;ship_data_(battle_shuttle_1).txt
SHIP;2;1.07;ship_data_(pirate_cruiser_1).txt
SHIP;3;1.01;ship_data_(support_cruiser_1).txt
SHIP;4;1.07;ship_data_(recon_utility_1).txt
</HANGAR>
// STORAGE;item_id;Qty;0
<STORAGE>
