// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Foodmaid
STATION;type;Food Production Plant
STATION;owner;Astto Xulaoyel
STATION;faction;Labor
STATION;material;station_material_Labor.png
STATION;color;1 , .80 , .7 , 1
STATION;level;9
STATION;icon;foodmaid.png
STATION;filename;sector_55_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;4-4-1-1-4-1-4-0-2-4-1-9-0-5-6-2-7-1-6-4-3-3-90
STATION;interior_seed;4-3-15-2
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;False
SERVICES;garage;True
SERVICES;university;False
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;False
SERVICES;contracts;False
SERVICES;admin;True

// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Private Concert;0.25,0.09;50000;Musical Entertainment;entertain_show.png;Provide a private concert for your entire crew, drinks and food included. 25% Morale , 9% Loyalty bonus.
ENTERTAINMENT;BioSynth Wildlife Park;0.05,0.05;26000;Rest and Relaxation;entertain_park.png;A weekend package to the local wildlife BioSynth park for your entire crew, included petting zoo. 5% Morale Boost, 5% Loyalty Boost
ENTERTAINMENT;Pod Racing event;0.25,0.0;40000;Sport Racing Event;entertain_race.png;All expense paid trip to the weekly 'Astrox Pod Racing' (APR) event. 25% Morale Boost.
ENTERTAINMENT;Deathmatch League;0.15,0.08;68500;Sport Fighting Event;entertain_fight.png;Tickets to the Deathmatch League, where your entire fleet will enjoy a evening of bloodsport. 15% Morale , 8% Loyalty bonus.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;2;0.56;npc_ship_data_(excavation_shuttle_1).txt
MERC;3;1.17;npc_ship_data_(transport_carrier_1).txt
MERC;3;1.95;npc_ship_data_(battle_escort_1).txt
MERC;3;1.98;npc_ship_data_(excavation_shuttle_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
BUYORDER;Market Items Req: (2) Items ;311x350,310x588;84315;107011.50
ITEM;740;176;0.95;31218.75
ITEM;743;54;0.92;134268.8
ITEM;726;74;0.74;9506.25
ITEM;673;157;1.14;9506.25
ITEM;746;33;0.86;9506.25
ITEM;744;192;0.62;128437.5
ITEM;712;25;0.80;128437.5
ITEM;736;80;1.08;128437.5
ITEM;677;154;1.12;128437.5
ITEM;670;105;1.10;128437.5
ITEM;722;63;0.99;128437.5
ITEM;703;125;0.56;2268.75
ITEM;690;100;1.18;2268.75
ITEM;728;52;0.98;2268.75
ITEM;674;61;0.90;2268.75
ITEM;681;35;1.19;157143.8
ITEM;620;37;0.92;157143.8
ITEM;668;23;0.59;157143.8
ITEM;641;5;0.85;7437.5
ITEM;643;8;0.59;7437.5
ITEM;664;36;0.80;7437.5
ITEM;607;21;1.19;7437.5
ITEM;601;44;1.04;7437.5
ITEM;603;42;0.91;40187.5
ITEM;621;40;0.76;40187.5
ITEM;663;23;1.01;40187.5
ITEM;662;10;0.93;40187.5
ITEM;647;23;0.88;40187.5
ITEM;645;26;0.72;40187.5
ITEM;666;10;1.01;352462.5
ITEM;606;5;0.85;352462.5
ITEM;640;10;0.85;352462.5
ITEM;608;36;0.59;352462.5
ITEM;667;39;0.54;352462.5
ITEM;600;41;0.74;352462.5
ITEM;628;16;0.94;352462.5
ITEM;604;8;1.15;352462.5
ITEM;646;27;0.83;352462.5
ITEM;605;4;0.82;352462.5
ITEM;624;38;0.70;352462.5
ITEM;661;8;0.89;352462.5
ITEM;642;44;0.66;352462.5
ITEM;648;39;0.79;352462.5
ITEM;660;13;0.99;4418.75
ITEM;622;18;0.57;4418.75
ITEM;644;25;1.19;4418.75
ITEM;626;17;0.53;4418.75
ITEM;625;31;0.75;4418.75
ITEM;627;37;1.20;4418.75
ITEM;623;32;1.11;50187.5
ITEM;602;13;0.83;50187.5
ITEM;665;26;0.66;50187.5
ITEM;351;34;0.54;50187.5
ITEM;407;31;0.99;50187.5
ITEM;330;1736;0.56;37.11675
ITEM;340;87;1.17;37.11675
ITEM;404;32;0.96;37.11675
ITEM;405;16;1.11;37.11675
ITEM;333;27;1.02;37.11675
ITEM;302;48;0.70;37.11675
ITEM;350;55;0.71;37.11675
ITEM;320;593;1.06;37.11675
ITEM;311;15;1.14;37.11675
ITEM;331;691;0.78;37.11675
ITEM;300;23;0.64;37.11675
ITEM;323;946;0.80;37.11675
ITEM;304;78;1.20;37.11675
ITEM;332;1014;0.72;37.11675
ITEM;322;773;0.51;37.11675
ITEM;321;28;0.64;37.11675
ITEM;406;1004;0.94;37.11675
ITEM;305;24;0.93;37.11675
ITEM;343;53;0.78;37.11675
ITEM;352;87;1.02;37.11675
ITEM;301;15;0.58;37.11675
ITEM;408;86;0.94;37.11675
ITEM;342;642;0.61;11.53588
ITEM;341;23;0.89;11.53588
ITEM;313;934;0.84;179.4019
ITEM;303;39;0.59;179.4019
ITEM;324;89;0.95;179.4019
ITEM;325;891;0.52;179.4019
ITEM;310;617;1.13;72.55828
ITEM;353;1467;0.95;42.94688
ITEM;403;61;0.86;42.94688
ITEM;312;73;0.96;42.94688
ITEM;8;3299;0.53;254.25
ITEM;5;233;0.63;254.25
ITEM;21;3486;1.06;254.25
ITEM;22;107;1.16;254.25
ITEM;27;7601;1.04;8371.068
ITEM;6;118;0.77;8371.068
ITEM;26;4962;1.02;5573.875
ITEM;9;3903;1.22;1035.787
ITEM;7;568;0.88;1035.787
ITEM;25;648;0.66;1035.787
ITEM;3;5807;1.24;58.955
ITEM;1;3364;0.75;10.3
ITEM;4;76;0.65;10.3
ITEM;24;654;0.70;10.3
ITEM;28;794;0.66;10.3
ITEM;11;97;0.79;10.3
ITEM;20;127;0.68;10.3
ITEM;23;9052;0.88;541.625
ITEM;2;289;0.90;541.625
ITEM;107;1357;0.52;4.427125
ITEM;114;527;0.54;4.427125
ITEM;103;178;0.56;4.427125
ITEM;112;156;0.64;4.427125
ITEM;117;1725;1.06;52.83775
ITEM;111;1548;1.14;26.36062
ITEM;119;1084;0.67;26.36062
ITEM;104;62;1.22;26.36062
ITEM;106;1260;1.05;26.36062
ITEM;121;649;0.64;26.36062
ITEM;110;551;0.63;26.36062
ITEM;2000;1038;0.61;26.36062
ITEM;109;1003;1.08;26.36062
ITEM;115;40;0.55;26.36062
ITEM;118;1582;0.74;26.36062
ITEM;113;522;1.22;26.36062
ITEM;124;788;1.17;109.0344
ITEM;100;692;0.70;109.0344
ITEM;108;851;1.18;109.0344
ITEM;101;782;0.95;0.6328125
ITEM;105;1267;0.59;0.6328125
ITEM;102;392;0.83;0.6328125
ITEM;116;474;0.85;0.6328125
ITEM;123;631;0.61;77.52712
ITEM;2045;533;1.13;77.52712
ITEM;157;341;0.61;77.52712
ITEM;218;167;1.08;77.52712
ITEM;2047;435;0.60;77.52712
ITEM;2006;490;0.52;135.1721
ITEM;2003;35;1.07;135.1721
ITEM;150;639;1.02;135.1721
ITEM;2009;196;0.71;135.1721
ITEM;211;75;0.63;135.1721
ITEM;2002;472;0.55;135.1721
ITEM;2041;493;0.53;135.1721
ITEM;2049;110;0.99;135.1721
ITEM;2034;797;0.92;135.1721
ITEM;203;532;1.21;135.1721
ITEM;2005;309;1.05;135.1721
ITEM;215;793;0.91;135.1721
ITEM;164;531;1.14;135.1721
ITEM;2033;454;0.91;135.1721
ITEM;401;443;0.54;135.1721
ITEM;214;858;1.14;127.4614
ITEM;2022;539;0.73;233.2825
ITEM;153;400;0.78;8.421875
ITEM;2031;406;1.06;8.421875
ITEM;169;418;0.93;8.421875
ITEM;2040;383;1.21;8.421875
ITEM;217;559;0.71;8.421875
ITEM;155;859;1.15;8.421875
ITEM;2046;664;0.64;8.421875
ITEM;2015;851;0.99;345.2811
ITEM;165;232;0.96;345.2811
ITEM;2036;299;0.69;345.2811
ITEM;201;865;1.23;345.2811
ITEM;204;375;0.73;345.2811
ITEM;205;149;1.09;345.2811
ITEM;400;387;0.90;345.2811
ITEM;2030;540;0.91;345.2811
ITEM;200;736;1.23;345.2811
ITEM;2037;80;1.10;345.2811
ITEM;2014;445;0.76;345.2811
ITEM;170;859;1.04;345.2811
ITEM;207;225;1.15;345.2811
ITEM;159;93;0.62;345.2811
ITEM;166;870;1.22;83.754
ITEM;402;565;0.65;4214.063
ITEM;2039;994;1.25;4020.968
ITEM;2025;286;0.82;4020.968
ITEM;2035;336;1.04;855.8752
ITEM;2351;75;0.98;31775.67
ITEM;2120;1532;0.79;277.1923
ITEM;2197;76;0.92;3000785
ITEM;2166;37;0.58;3000785
ITEM;2302;82;0.70;3000785
ITEM;2512;44;0.91;3000785
ITEM;2536;34;0.86;3000785
ITEM;2426;43;0.98;3000785
ITEM;2539;68;1.07;3000785
ITEM;2226;67;0.71;3000785
ITEM;2261;78;1.15;3000785
ITEM;2423;74;1.25;11741.74
ITEM;2455;11;1.23;1930.603
ITEM;2503;6;0.56;1930.603
ITEM;2360;20;0.80;1930.603
ITEM;2396;12;0.52;1930.603
ITEM;2467;53;0.65;1930.603
ITEM;2338;75;1.08;1930.603
ITEM;2565;27;1.18;1930.603
ITEM;2288;82;1.13;3131982
ITEM;2165;70;0.93;3131982
ITEM;2186;62;1.19;3131982
ITEM;2150;14;0.59;3131982
ITEM;2190;76;0.56;3131982
ITEM;2213;84;1.07;3131982
ITEM;2175;52;0.71;3131982
ITEM;2240;78;0.91;3131982
ITEM;2127;1649;1.00;3131982
ITEM;2141;24;1.19;59823
ITEM;2324;12;0.71;59823
ITEM;2411;22;1.05;59823
ITEM;2336;38;0.83;59823
ITEM;2245;89;1.09;2065875
ITEM;2546;56;0.92;2065875
ITEM;2327;76;1.10;2065875
ITEM;2321;71;0.86;2065875
ITEM;2308;61;0.61;2065875
ITEM;2281;43;1.11;2065875
</MARKET>
// SKILLS;Skill_id;Price_modifier
<SKILLS>
SKILL;64;1.14
SKILL;37;1.15
SKILL;42;1.77
SKILL;5;1.48
SKILL;51;1.79
SKILL;58;1.05
SKILL;17;1.12
SKILL;44;1.36
SKILL;230;1.87
</SKILLS>
// MISSION , dbid , timer, id, data, title, factionid
<MISSIONS>
</MISSIONS>
// SHIP HANGAR;count;Price_modifier;Ship_filename
<HANGAR>
SHIP;1;0.96;ship_data_(excavation_escort_1).txt
SHIP;2;1.02;ship_data_(recon_utility_1).txt
SHIP;3;1.09;ship_data_(pirate_cruiser_1).txt
SHIP;4;1.07;ship_data_(support_utility_1).txt
SHIP;5;0.95;ship_data_(battle_frigate_1).txt
SHIP;6;1.00;ship_data_(support_frigate_1).txt
SHIP;7;0.91;ship_data_(pirate_utility_1).txt
SHIP;8;1.06;ship_data_(excavation_carrier_1).txt
SHIP;9;0.94;ship_data_(recon_cruiser_1).txt
</HANGAR>
// STORAGE;item_id;Qty;0
<STORAGE>
