// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Vo Industries
STATION;type;Probe Launch Facility
STATION;owner;Bidqa Rondee
STATION;faction;Temple
STATION;material;station_material_Temple.png
STATION;color;.60 , .20 , .80 , 1
STATION;level;9
STATION;icon;vo_industries.png
STATION;filename;sector_101_station_0.txt
STATION;max_hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;3-8-0-1-7-2-6-1-3-7-2-1-1-1-9-1-8-0
STATION;interior_seed;3-6-30-5
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;45962.81
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;False
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;False
SERVICES;fabricator;True
SERVICES;contracts;True
SERVICES;admin;True
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;StarLuck Casino;0.05,0.05;24000;Gambling;entertain_casino.png;A weekend package to the local casino for your entire crew, complete with pocket money. 5% Morale Boost, 5% Loyalty Boost
ENTERTAINMENT;Karaoke Night;0.15,0.05;15000;Musical Entertainment;entertain_show.png;Your fleet is treated to a night of karaoke at the local music tavern. 15% Morale , 5% Loyalty bonus.
ENTERTAINMENT;Evening of Drinks;0.05,0.0;1500;Alcholic Drinks;entertain_bar.png;Pick up the tab for an evening of drinks for your crew, they earned it. 5% Morale Boost.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;9;0.52;npc_ship_data_(transport_shuttle_1).txt
MERC;9;1.25;npc_ship_data_(recon_cruiser_1).txt
MERC;3;1.28;npc_ship_data_(pirate_carrier_1).txt
MERC;4;0.84;npc_ship_data_(support_utility_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
BUYORDER;Market Low Inventory: (2) Items ;331x97,331x412;142523.00;81051.86
ITEM;1620;42;0.70;965.39
ITEM;70;239;1.19;8.07
ITEM;2361;12;1.23;28887.39
ITEM;1765;54;0.56;4522.41
ITEM;2304;36;1.15;68692.31
ITEM;2269;85;0.54;30219.31
ITEM;620;3;1.25;5754.44
ITEM;312;11;1.00;67.39
ITEM;1630;15;0.84;4724.94
ITEM;2334;39;0.64;41393.58
ITEM;1711;78;0.65;2046.71
ITEM;1540;70;0.80;787.66
ITEM;60;250;0.69;29.54
ITEM;2350;61;0.92;38082.61
ITEM;201;209;1.18;82.47
ITEM;736;97;0.94;84088.75
ITEM;1610;7;0.52;521.48
ITEM;2056;42;0.84;3663.42
ITEM;208;850;1.14;149.06
ITEM;8;4786;0.84;444.53
ITEM;115;1276;0.64;14.93
ITEM;664;27;1.04;122315.40
ITEM;665;17;0.88;187413.00
ITEM;668;42;1.20;869701.20
ITEM;1112;37;0.79;1865.40
ITEM;1115;24;0.96;21263.92
ITEM;311;35;0.82;52.34
ITEM;729;159;0.73;9463.31
ITEM;116;413;0.97;92.05
ITEM;109;168;0.61;2.61
ITEM;353;55;0.95;43.31
ITEM;406;19;0.53;13.36
ITEM;403;12;0.79;15.89
ITEM;205;244;1.18;124.84
ITEM;101;1070;0.68;0.44
ITEM;2435;86;0.63;350.92
ITEM;623;3;0.98;44044.38
ITEM;606;39;0.83;285046.10
ITEM;110;733;0.96;14.55
ITEM;605;19;1.05;228213.00
ITEM;603;11;0.97;43544.38
ITEM;325;47;1.15;24.07
ITEM;404;1;0.67;14.27
ITEM;200;633;0.75;40.36
ITEM;300;61;0.51;25.56
ITEM;1778;95;1.23;11096.72
ITEM;301;31;0.52;58.46
ITEM;332;45;1.13;89.17
ITEM;2031;859;1.22;396.91
ITEM;2497;41;0.95;3615.42
ITEM;28;592;0.58;5626.38
ITEM;2498;56;1.20;6741.84
ITEM;2059;29;0.79;9034.11
ITEM;666;34;0.55;175846.10
ITEM;661;29;0.65;5508.88
ITEM;218;117;1.20;214.01
ITEM;108;163;0.75;9.89
ITEM;2002;153;0.64;71.40
ITEM;2126;314;0.84;53.20
ITEM;2129;57;0.59;58.56
ITEM;63;227;0.84;148.18
ITEM;628;2;1.16;838101.10
ITEM;660;11;0.63;2654.44
ITEM;112;334;0.73;17.66
ITEM;2004;643;0.91;173.04
ITEM;7;686;1.10;370.33
ITEM;1475;87;0.76;185048.50
ITEM;1478;38;0.59;85905.30
ITEM;643;25;0.63;26544.38
ITEM;11;110;0.57;44.73
ITEM;24;278;1.23;1877.27
ITEM;2005;981;0.81;182.70
ITEM;2118;264;0.81;248.81
ITEM;702;131;0.83;3654.44
ITEM;27;3218;0.95;7628.21
ITEM;322;23;0.98;188.69
ITEM;2111;350;1.13;43.09
ITEM;2114;424;0.90;57.10
ITEM;2114;-99;1.15;74.93
ITEM;151;605;0.66;7.01
ITEM;2180;76;0.57;7910.91
ITEM;1124;59;0.73;13185.55
ITEM;1126;54;0.58;40057.93
ITEM;1127;70;1.06;159987.80
ITEM;343;660;1.24;156.30
ITEM;341;1034;1.07;74.66
ITEM;2039;122;0.98;3096.85
ITEM;2505;40;1.18;45599.40
ITEM;2112;2599;0.81;35.69
ITEM;2115;234;1.13;87.73
ITEM;62;140;1.05;133.12
ITEM;324;63;0.75;33.13
ITEM;735;36;0.57;1177219.00
ITEM;2472;81;1.05;3727.48
ITEM;123;174;0.61;78.63
ITEM;313;61;0.66;109.71
ITEM;2;285;1.09;27.74
ITEM;2041;811;1.04;625.22
ITEM;604;39;1.09;128815.40
ITEM;405;86;0.90;24.83
ITEM;2042;497;1.11;774.14
ITEM;648;5;0.72;489719.90
ITEM;602;43;1.11;17690.53
ITEM;2007;711;1.01;382.30
ITEM;2043;668;0.82;622.05
ITEM;681;161;0.64;78428.69
ITEM;743;29;0.58;79346.44
ITEM;748;106;0.71;100796.40
ITEM;675;99;0.98;255457.40
ITEM;731;70;1.01;150296.40
ITEM;753;82;0.66;92546.45
ITEM;759;24;0.80;115646.40
ITEM;671;172;0.88;218648.50
ITEM;102;702;1.02;2.30
ITEM;627;3;0.94;437261.50
ITEM;331;78;1.05;170.92
ITEM;646;16;1.11;394246.10
ITEM;2650;220;0.65;297.48
ITEM;2275;23;0.70;18989.85
ITEM;746;126;0.93;37389.94
ITEM;1751;7;0.97;8545.50
ITEM;621;34;1.09;9908.88
ITEM;1601;7;0.71;1593.20
ITEM;1611;2;0.61;1496.24
ITEM;1501;87;0.64;1348.38
ITEM;401;765;0.95;2476.08
ITEM;2106;14;0.54;423252.00
ITEM;305;33;0.82;106.04
ITEM;1172;91;0.81;8188.30
ITEM;1172;-99;0.70;6970.30
ITEM;105;696;0.98;8.81
ITEM;2011;547;0.91;109.39
ITEM;20;5807;0.78;66.73
ITEM;219;874;0.93;83.67
ITEM;51;279;1.10;35.83
ITEM;2119;1946;1.02;405.19
ITEM;2412;31;1.10;5284.69
ITEM;1009;13;0.98;1937.95
ITEM;1008;43;1.17;2677.22
ITEM;304;34;1.17;146.71
ITEM;742;39;0.73;63088.75
ITEM;677;76;0.62;111990.80
ITEM;2013;753;0.96;148.42
ITEM;733;33;0.58;48088.75
ITEM;2535;3;1.21;1333065.00
ITEM;2046;680;0.79;1700.55
ITEM;211;610;0.67;47.67
ITEM;752;23;1.11;101088.80
ITEM;712;93;1.17;160633.10
ITEM;209;708;0.53;30.89
ITEM;2047;198;1.24;4183.63
ITEM;701;56;0.97;4354.44
ITEM;691;55;0.74;19226.63
ITEM;700;80;0.72;3104.44
ITEM;1460;75;1.24;62748.81
ITEM;158;472;1.02;41.72
ITEM;4;535;0.54;41.44
ITEM;104;1258;0.94;2.27
ITEM;166;681;0.83;54.96
ITEM;350;22;1.04;35.85
ITEM;320;28;0.60;10.12
ITEM;352;14;1.06;208.03
ITEM;680;38;1.17;26772.19
ITEM;740;97;1.14;15613.31
ITEM;745;165;1.03;13963.31
ITEM;674;126;0.89;102815.40
ITEM;732;174;0.61;7663.31
ITEM;750;60;0.77;10063.31
ITEM;756;42;0.88;11713.31
ITEM;2557;47;0.56;82959.75
ITEM;678;64;1.23;28272.19
ITEM;2251;4;0.65;4296923.00
ITEM;670;85;0.97;104506.50
ITEM;711;126;0.95;21272.19
ITEM;214;631;0.57;58.06
ITEM;23;704;1.19;763.62
ITEM;161;815;0.82;19.03
ITEM;2057;41;0.76;5045.22
ITEM;728;100;0.99;13363.31
ITEM;210;15;0.53;33.05
ITEM;2015;347;1.20;430.12
ITEM;25;876;0.80;2235.83
ITEM;321;20;0.83;136.97
ITEM;121;468;0.93;41.96
ITEM;106;1129;1.03;9.50
ITEM;601;39;0.59;4908.88
ITEM;303;3;1.02;77.72
ITEM;342;74;1.00;20.63
ITEM;107;1325;0.55;4.82
ITEM;644;25;1.04;122315.40
ITEM;206;481;0.59;60.08
ITEM;407;72;0.65;237.43
ITEM;103;1533;0.72;0.57
ITEM;330;10;1.13;105.41
ITEM;607;27;1.21;577661.50
ITEM;6;668;0.61;125.17
ITEM;1163;46;1.00;19729.44
ITEM;1164;6;0.84;29561.41
ITEM;165;669;1.11;67.22
ITEM;118;1114;1.06;5.28
ITEM;1623;26;1.07;69939.44
ITEM;1543;42;0.52;21261.59
ITEM;1563;58;1.06;50136.03
ITEM;1613;11;0.83;37437.66
ITEM;2312;47;0.62;303224.80
ITEM;213;870;0.85;73.06
ITEM;2460;77;0.74;748.56
ITEM;600;34;0.83;3654.44
ITEM;2117;1940;0.82;194.64
ITEM;1534;16;1.08;404691.60
ITEM;1772;24;0.60;4914.91
ITEM;1654;13;0.60;486384.40
ITEM;2338;84;1.25;13410760.00
ITEM;1619;3;0.82;288074.70
ITEM;1554;21;0.62;256121.50
ITEM;2196;56;0.64;997612.90
ITEM;2161;89;0.86;8217.59
ITEM;3;4821;0.54;22.93
ITEM;2049;191;1.14;5483.60
ITEM;43;15;0.71;20.59
ITEM;53;60;0.58;28.04
ITEM;1050;78;1.06;2017.86
ITEM;1055;64;1.10;4203.73
ITEM;1070;80;0.56;15485.82
ITEM;2138;61;0.96;5553758.00
ITEM;164;309;1.05;21.68
ITEM;114;1036;1.16;2.23
ITEM;1404;25;1.06;73988.34
ITEM;1405;24;0.57;82405.31
ITEM;1407;69;0.93;498532.50
ITEM;2248;82;1.16;15913310.00
ITEM;21;601;0.71;122.18
ITEM;2050;26;0.66;518.94
ITEM;2058;44;0.84;6934.19
ITEM;113;116;0.74;3.91
ITEM;119;1210;0.82;108.71
ITEM;721;147;0.94;5045.33
ITEM;722;95;1.20;6605.33
ITEM;216;863;1.21;180.63
ITEM;693;125;1.19;13090.65
ITEM;2017;591;0.56;258.28
ITEM;217;234;0.68;109.21
ITEM;725;114;1.17;16063.31
ITEM;710;113;0.95;4254.44
ITEM;626;31;0.86;296746.10
ITEM;608;36;0.68;458901.10
ITEM;323;4;1.18;41.18
ITEM;117;621;1.19;60.44
ITEM;156;4;1.23;37.43
ITEM;625;14;0.97;209013.00
ITEM;1069;52;0.95;17358.11
ITEM;1074;45;0.66;22884.21
ITEM;2156;6;0.66;1098442.00
ITEM;1078;17;0.76;431427.30
ITEM;2158;47;0.62;4080424.00
ITEM;642;5;0.53;7524.74
ITEM;340;52;0.76;49.83
ITEM;640;37;0.73;3154.44
ITEM;645;38;0.54;105813.00
ITEM;2438;4;1.21;345.49
ITEM;202;574;0.86;63.38
ITEM;647;21;0.64;281261.50
ITEM;2051;39;0.70;731.18
ITEM;749;79;1.00;225221.90
ITEM;734;58;1.06;240221.90
ITEM;760;167;0.74;160221.90
ITEM;124;846;1.10;102.59
ITEM;2019;151;1.02;1013.62
ITEM;2486;66;1.09;2144.28
ITEM;2021;744;1.20;220.95
ITEM;5;5695;0.67;87.35
ITEM;75;165;0.89;99.57
ITEM;76;395;1.24;199.66
ITEM;77;346;1.02;217.15
ITEM;2124;2264;0.59;518.13
ITEM;2121;400;1.20;584.46
ITEM;2122;422;0.53;293.22
ITEM;2123;345;0.98;753.60
ITEM;2127;1492;1.02;76.62
ITEM;2130;26;0.99;133.72
ITEM;333;40;1.05;389.98
ITEM;22;536;0.65;192.81
ITEM;2113;-99;0.75;39.25
ITEM;2113;146;0.71;36.84
ITEM;2116;191;0.68;58.44
ITEM;1023;36;0.66;186663.40
ITEM;1022;26;0.56;147484.00
ITEM;2052;39;0.76;880.86
ITEM;663;30;0.69;29544.38
ITEM;662;23;1.07;16990.53
ITEM;100;966;0.62;0.26
ITEM;26;536;0.78;4153.41
ITEM;408;962;0.61;2672.45
ITEM;9;694;0.82;670.43
</MARKET>
// SKILLS;Skill_id;Price_modifier
<SKILLS>
SKILL;221;0.78
SKILL;212;1.71
SKILL;45;1.29
SKILL;4;1.45
SKILL;210;1.31
SKILL;56;1.59
</SKILLS>
// MISSION , dbid , timer, id, data, title, factionid
<MISSIONS>
MISSION;153;150;147208;FABRICATE#45#2477#sector_95_station_1.txt#sector_99_station_0.txt#null#null#null#null;Produce a medium shipment of <color='yellow'>45</color> <color='yellow'>Iron Coring Plates</color> in <color='cyan'>Temple Gates</color> at the Acrondia Hub station fabricator;10;Ferce Hub Station has contacted our client informing them of some medium cargo that remains missing by a former employee, <i>Ribqe Pikompoe</i> of the Missionary Faction. <color='yellow'>45</color> <color='yellow'>Iron Coring Plates</color> production run in <color='cyan'>Temple Gates</color>, at the Acrondia Hub fabricator.;15960;4200
MISSION;31;240;984035;TRANSPORT#5#1732#sector_56_station_1.txt#sector_58_station_0.txt#null#null#null#null;Head to ValueStar in <color='cyan'>Hunu</color>, pick up <color='yellow'>5</color> <color='yellow'>Basic Missile Explosive Mods</color> for a light shipment to CoraVault in <color='cyan'>Lins</color>;9;The Temple faction advisor <i>Paak Sihmel</i> has placed a light shipment transport order to move <color='yellow'>5</color> <color='yellow'>Basic Missile Explosive Mods</color> from the ValueStar storage in <color='cyan'>Hunu</color>, to the CoraVault in <color='cyan'>Lins</color>.;10400;2000
MISSION;31;240;772957;TRANSPORT#4#1402#sector_58_station_0.txt#sector_77_station_0.txt#null#null#null#null;Head to CoraVault in <color='cyan'>Lins</color>, pick up <color='yellow'>4</color> <color='yellow'>Salvage Collector 3s</color> for a light shipment to Lacuna Bandits in <color='cyan'>Ballast Crow</color>;10;The Missionary faction advisor <i>Zilsbor Dodoe</i> has placed a light shipment transport order to move <color='yellow'>4</color> <color='yellow'>Salvage Collector 3s</color> from the CoraVault storage in <color='cyan'>Lins</color>, to the Lacuna Bandits in <color='cyan'>Ballast Crow</color>.;12400;4000
</MISSIONS>
// SHIP HANGAR;count;Price_modifier;Ship_filename
<HANGAR>
SHIP;1;1.09;ship_data_(support_carrier_1).txt
SHIP;2;0.96;ship_data_(battle_escort_1).txt
SHIP;3;1.04;ship_data_(recon_carrier_1).txt
SHIP;4;0.91;ship_data_(battle_cruiser_1).txt
SHIP;5;1.08;ship_data_(megaship_1).txt
</HANGAR>
// STORAGE;item_id;Qty;0
<STORAGE>

