// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;0
STATION;name;Mazu Starship
STATION;type;Production Factory
STATION;owner;Robert Nickles
STATION;faction;Labor
STATION;material;station_material_Labor.png
STATION;color;1 , .80 , .7 , 1
STATION;level;4
STATION;icon;mazu_starship.png
STATION;filename;sector_5_station_0.txt
STATION;max_hp;25000
STATION;hp;25000
STATION;dockfee;100
STATION;lease;1
STATION;seed;2-4-0-1-5-3-3-1-4-0-0-7-90
STATION;interior_seed;3-5-30-5
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;True
SERVICES;university;False
SERVICES;hangar;True
SERVICES;storage;False
SERVICES;fabricator;False
SERVICES;contracts;False
SERVICES;admin;False

// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Spa Treatment;0.15,0.0;18500;Rest and Relaxation;entertain_spa.png;Send your crew to the spa, let them rest and relax for awhile. 15% Morale Boost.
ENTERTAINMENT;BioSynth Wildlife Park;0.05,0.05;26000;Rest and Relaxation;entertain_park.png;A weekend package to the local wildlife BioSynth park for your entire crew, included petting zoo. 5% Morale Boost, 5% Loyalty Boost
ENTERTAINMENT;Deathmatch League;0.15,0.08;68500;Sport Fighting Event;entertain_fight.png;Tickets to the Deathmatch League, where your entire fleet will enjoy a evening of bloodsport. 15% Morale , 8% Loyalty bonus.
ENTERTAINMENT;Live Music Concert;0.20,0.07;25000;Musical Entertainment;entertain_show.png;Your crew is treated to an 'all expenses paid' night at a music venue of their choosing. 20% Morale , 7% Loyalty bonus.
ENTERTAINMENT;Astrox Opera House;0.26,0.07;51000;Musical Entertainment;entertain_opera.png;Provide a private opera concert for your entire crew at the famous 'Astrox Opera House', drinks and food included. 26% Morale , 7% Loyalty bonus.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;2;0.50;npc_ship_data_(support_escort_1).txt
MERC;8;1.00;npc_ship_data_(battle_shuttle_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
BUYORDER;Market Needs Goods: (2) Items ;1x236,6x323;136286;114414.90
ITEM;62;0;1.22;155.8891
ITEM;51;179;1.15;155.8891
ITEM;2111;32;0.96;155.8891
ITEM;77;183;0.99;155.8891
ITEM;2125;142;0.58;155.8891
ITEM;78;48;0.72;155.8891
ITEM;2112;9;0.88;155.8891
ITEM;41;155;0.64;155.8891
ITEM;2113;139;0.67;155.8891
ITEM;2124;0;0.63;552.5477
ITEM;2651;32;1.22;552.5477
ITEM;53;199;0.83;552.5477
ITEM;52;86;1.07;552.5477
ITEM;2652;0;0.74;481.4553
ITEM;2118;0;0.71;211.2228
ITEM;2122;158;0.97;211.2228
ITEM;42;70;0.84;211.2228
ITEM;760;3;0.67;211.2228
ITEM;722;63;0.55;211.2228
ITEM;692;35;1.10;211.2228
ITEM;743;24;0.90;211.2228
ITEM;676;8;0.99;211.2228
ITEM;734;28;0.96;211.2228
ITEM;693;26;0.74;211.2228
ITEM;720;55;0.57;211.2228
ITEM;746;13;0.69;211.2228
ITEM;728;66;0.92;211.2228
ITEM;759;6;0.65;211.2228
ITEM;742;38;0.72;211.2228
ITEM;744;10;0.99;220873.4
ITEM;756;73;1.20;220873.4
ITEM;700;13;0.73;220873.4
ITEM;703;41;0.82;220873.4
ITEM;673;54;1.15;220873.4
ITEM;750;55;0.82;220873.4
ITEM;670;22;0.67;220873.4
ITEM;736;10;1.04;220873.4
ITEM;642;4;1.14;220873.4
ITEM;600;12;0.93;4117.469
ITEM;643;4;0.70;4117.469
ITEM;640;7;0.97;4117.469
ITEM;661;9;1.20;4117.469
ITEM;620;17;0.80;4117.469
ITEM;622;12;0.65;4117.469
ITEM;662;6;1.07;4117.469
ITEM;601;7;1.04;4117.469
ITEM;623;13;1.05;4117.469
ITEM;660;1;1.09;4117.469
ITEM;641;9;1.06;4117.469
ITEM;663;14;0.90;4117.469
ITEM;621;3;0.98;4117.469
ITEM;602;15;0.52;4117.469
ITEM;603;16;0.86;4117.469
ITEM;300;27;1.12;4117.469
ITEM;312;0;0.81;52.62133
ITEM;305;12;1.04;52.62133
ITEM;325;0;0.56;10.38501
ITEM;313;0;1.13;200.1954
ITEM;301;22;0.66;200.1954
ITEM;303;0;0.76;55.15487
ITEM;320;1;1.04;55.15487
ITEM;310;33;1.13;55.15487
ITEM;302;12;0.99;55.15487
ITEM;407;34;1.06;55.15487
ITEM;321;35;1.18;55.15487
ITEM;404;29;0.52;55.15487
ITEM;403;0;1.13;23.54036
ITEM;406;0;1.24;35.13831
ITEM;322;2;1.02;35.13831
ITEM;405;31;0.79;35.13831
ITEM;304;19;1.15;35.13831
ITEM;311;3;1.25;35.13831
ITEM;324;22;0.86;35.13831
ITEM;323;26;1.10;35.13831
ITEM;408;0;0.97;4516.936
ITEM;21;276;0.61;4516.936
ITEM;23;305;0.93;4516.936
ITEM;1;206;0.78;4516.936
ITEM;4;81;1.10;4516.936
ITEM;22;19;1.00;4516.936
ITEM;3;168;1.19;4516.936
ITEM;20;204;0.89;4516.936
ITEM;2;342;0.67;4516.936
ITEM;101;381;0.84;4516.936
ITEM;107;120;1.05;4516.936
ITEM;100;6;0.78;4516.936
ITEM;106;173;0.73;4516.936
ITEM;102;127;0.87;4516.936
ITEM;104;540;0.62;4516.936
ITEM;109;405;1.03;4516.936
ITEM;103;303;0.99;4516.936
ITEM;114;183;0.79;4516.936
ITEM;105;0;0.53;4.234937
ITEM;113;163;1.13;4.234937
ITEM;118;93;1.16;4.234937
ITEM;156;308;1.05;4.234937
ITEM;207;133;0.71;4.234937
ITEM;212;290;1.04;4.234937
ITEM;165;202;1.22;4.234937
ITEM;210;91;0.75;4.234937
ITEM;151;0;1.21;13.79367
ITEM;169;96;0.64;13.79367
ITEM;206;127;1.03;13.79367
ITEM;160;348;1.03;13.79367
ITEM;158;375;0.85;13.79367
ITEM;155;192;0.98;13.79367
ITEM;161;18;1.13;13.79367
ITEM;162;359;1.23;13.79367
ITEM;154;39;0.81;13.79367
ITEM;170;272;1.08;13.79367
ITEM;166;76;1.07;13.79367
ITEM;211;289;1.10;13.79367
ITEM;167;183;1.06;13.79367
ITEM;159;389;0.65;13.79367
ITEM;205;197;1.05;13.79367
ITEM;216;105;1.17;13.79367
ITEM;208;213;0.63;13.79367
ITEM;168;0;0.58;26.0895
ITEM;209;99;0.77;26.0895
ITEM;153;16;0.54;26.0895
ITEM;200;116;0.91;26.0895
ITEM;201;169;1.09;26.0895
ITEM;164;192;0.71;26.0895
ITEM;202;328;0.76;26.0895
ITEM;2539;19;0.61;26.0895
ITEM;2310;34;0.76;26.0895
ITEM;2350;4;0.69;26.0895
ITEM;2462;25;0.83;26.0895
ITEM;2431;38;1.19;26.0895
ITEM;2276;12;0.99;26.0895
ITEM;2309;23;0.66;26.0895
ITEM;2241;16;0.52;26.0895
ITEM;2529;33;1.05;26.0895
ITEM;2363;32;0.99;26.0895
ITEM;2264;2;1.15;26.0895
ITEM;2102;24;1.15;26.0895
ITEM;2449;19;0.72;26.0895
ITEM;2533;14;0.65;26.0895
ITEM;2151;13;1.08;26.0895
ITEM;2132;27;0.99;26.0895
ITEM;2299;19;0.58;26.0895
ITEM;2427;19;1.23;26.0895
ITEM;2458;24;0.79;26.0895
ITEM;2269;34;0.59;26.0895
ITEM;2330;4;1.21;26.0895
ITEM;2434;23;0.53;26.0895
ITEM;2210;22;0.72;26.0895
ITEM;2122;4;0.57;26.0895
</MARKET>
// SKILLS;Skill_id;Price_modifier
<SKILLS>
SKILL;47;0.66
SKILL;45;1.40
SKILL;61;1.41
SKILL;223;0.64
SKILL;64;0.97
SKILL;73;1.61
SKILL;231;1.01
SKILL;35;1.34
SKILL;53;0.94
SKILL;100;0.23
SKILL;101;0.13
SKILL;102;0.33
</SKILLS>
// MISSION , dbid , timer, id, data, title, factionid
<MISSIONS>
</MISSIONS>
// SHIP HANGAR;count;Price_modifier;Ship_filename
<HANGAR>
SHIP;1;1.07;ship_data_(transport_carrier_1).txt
SHIP;2;0.92;ship_data_(support_frigate_1).txt
SHIP;3;0.95;ship_data_(excavation_utility_1).txt
SHIP;4;0.95;ship_data_(battle_shuttle_1).txt
SHIP;5;0.95;ship_data_(excavation_utility_1).txt
SHIP;6;0.94;ship_data_(battle_shuttle_1).txt
SHIP;7;0.92;ship_data_(excavation_carrier_1).txt
</HANGAR>
// STORAGE;item_id;Qty;0
<STORAGE>
