// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;1
STATION;name;Starbase Corporate Center
STATION;type;Assembly Station
STATION;owner;Vajeana
STATION;faction;Labor
STATION;material;station_material_Labor.png
STATION;color; 1.0 , 1.0, 0.0 , 1.0
STATION;level;8
STATION;icon;starbase.png
STATION;filename;sector_0_station_4.txt
STATION;max_hp;25000
STATION;dockfee;25
STATION;lease;1
STATION;seed;2-2-0-1-2-0-2-1-3-0-0-4-1-3-8-1-9-1-1-3-1-3-90
STATION;interior_seed;3-1-15-3
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;68015.16
// SERVICES;servicename;bool
SERVICES;lounge;True
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;True
SERVICES;admin;True
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Pod Racing event;0.25,0.0;40000;Sport Racing Event;entertain_race.png;All expense paid trip to the weekly 'Astrox Pod Racing' (APR) event. 25% Morale Boost.
ENTERTAINMENT;Spa Treatment;0.15,0.0;18500;Rest and Relaxation;entertain_spa.png;Send your crew to the spa, let them rest and relax for awhile. 15% Morale Boost.
ENTERTAINMENT;BioSynth Wildlife Park;0.05,0.05;26000;Rest and Relaxation;entertain_park.png;A weekend package to the local wildlife BioSynth park for your entire crew, included petting zoo. 5% Morale Boost, 5% Loyalty Boost
ENTERTAINMENT;Evening of Drinks;0.05,0.0;1500;Alcholic Drinks;entertain_bar.png;Pick up the tab for an evening of drinks for your crew, they earned it. 5% Morale Boost.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;1;1.63;npc_ship_data_(excavation_shuttle_1).txt
MERC;3;1.63;npc_ship_data_(excavation_escort_1).txt
MERC;9;1.93;npc_ship_data_(excavation_utility_1).txt
MERC;12;1.23;npc_ship_data_(excavation_utility_2).txt
MERC;15;1.47;npc_ship_data_(excavation_frigate_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
BUYORDER;Buying: (2) Items ;324x1340,405x3268;188627;109203.60
ITEM;168;270;0.94;46.18287
ITEM;623;12;0.89;39144.97
ITEM;606;30;1.01;353042
ITEM;110;1181;0.66;353042
ITEM;605;32;0.56;107892.2
ITEM;603;28;0.96;107892.2
ITEM;325;2409;0.90;18.16007
ITEM;404;2083;0.87;19.18583
ITEM;300;1128;0.67;19.18583
ITEM;2378;35;0.83;85426.23
ITEM;301;1624;1.01;125.2311
ITEM;332;2071;1.05;65.32677
ITEM;2031;860;0.58;166.797
ITEM;28;4090;1.03;13512.35
ITEM;2651;6174;0.94;543.978
ITEM;666;8;1.06;370941.7
ITEM;661;12;1.01;9049.792
ITEM;2033;342;0.90;487.6973
ITEM;108;1192;0.72;9.290614
ITEM;2002;447;0.25;18.92014
ITEM;2003;382;0.25;25.24119
ITEM;2126;6136;0.87;54.70811
ITEM;2129;3921;1.10;118.601
ITEM;63;4563;1.02;182.5686
ITEM;660;43;0.92;4076.448
ITEM;2034;757;0.90;568.4979
ITEM;112;1690;0.47;10.24618
ITEM;2004;280;0.25;30.58755
ITEM;2470;57;0.51;1035.516
ITEM;7;9183;0.94;307.2866
ITEM;1477;26;1.02;307.2866
ITEM;643;34;1.05;47295.53
ITEM;2035;535;1.11;917.3923
ITEM;2036;941;0.84;968.0059
ITEM;11;10305;1.05;89.57568
ITEM;24;6102;1.02;1885.878
ITEM;2005;290;0.25;36.83694
ITEM;2471;81;0.42;956.7153
ITEM;2118;6111;1.04;327.5509
ITEM;702;148;0.70;2983.197
ITEM;27;5166;1.02;10265.11
ITEM;322;1893;0.72;131.1179
ITEM;1020;107;0.73;6254.141
ITEM;1021;21;0.51;3544.142
ITEM;2114;4424;0.72;43.40659
ITEM;343;1059;0.90;108.1416
ITEM;341;1430;0.65;41.56548
ITEM;2039;944;0.91;2836.166
ITEM;2391;65;0.70;2836.166
ITEM;62;6433;0.69;81.18444
ITEM;2408;40;0.83;1219.774
ITEM;324;855;0.82;36.52315
ITEM;735;158;0.89;1969550
ITEM;1002;29;0.48;446.0856
ITEM;2006;409;0.25;46.82734
ITEM;2472;52;0.77;2607.359
ITEM;313;2445;0.83;141.8154
ITEM;2;5399;0.63;14.66558
ITEM;604;28;0.70;14.66558
ITEM;405;2325;0.61;15.71936
ITEM;1487;31;0.25;45867
ITEM;602;11;1.09;45867
ITEM;2007;263;0.25;60.15744
ITEM;2008;284;0.25;64.27113
ITEM;681;104;0.68;83821.51
ITEM;673;87;0.94;332941.5
ITEM;743;138;0.67;332941.5
ITEM;675;59;1.02;265804.7
ITEM;731;94;0.51;65914.56
ITEM;29;92;1.05;65914.56
ITEM;102;733;0.84;1.832536
ITEM;627;12;0.61;263281.4
ITEM;331;2043;0.97;123.5285
ITEM;646;32;1.02;123.5285
ITEM;2650;4874;1.01;486.6729
ITEM;2275;44;0.93;26144.23
ITEM;1531;69;0.99;26144.23
ITEM;746;56;0.64;24005.89
ITEM;1511;60;1.06;11511.89
ITEM;2270;81;0.66;11511.89
ITEM;621;20;1.09;9807.873
ITEM;730;173;0.65;24529.88
ITEM;1601;92;0.49;1000.77
ITEM;1011;51;0.93;68392.63
ITEM;305;2380;0.55;64.68089
ITEM;1170;20;0.25;64.68089
ITEM;1179;31;0.25;215001.6
ITEM;1171;23;0.25;831.3394
ITEM;1172;22;0.25;1662.679
ITEM;1173;12;0.25;1662.679
ITEM;1174;12;0.25;1662.679
ITEM;1175;21;0.25;13301.43
ITEM;1176;23;0.25;26602.86
ITEM;1177;23;0.25;53177.05
ITEM;1178;30;0.25;106354.1
ITEM;105;1000;1.07;9.594642
ITEM;2009;268;0.25;79.60791
ITEM;20;4494;1.01;110.8177
ITEM;219;299;0.25;14.43377
ITEM;41;4728;0.60;10.23433
ITEM;2119;4545;1.03;407.3464
ITEM;304;1420;0.79;94.30156
ITEM;742;172;0.97;86056.69
ITEM;2547;68;1.06;1140059
ITEM;677;75;0.98;187080.6
ITEM;733;34;0.77;66298.89
ITEM;211;702;0.48;31.1624
ITEM;752;86;1.11;100475.9
ITEM;2559;61;0.97;1033143
ITEM;712;67;0.46;53198.77
ITEM;1486;22;0.25;45867
ITEM;691;54;0.67;16943.16
ITEM;158;634;1.13;46.5745
ITEM;4;4712;0.63;46.5745
ITEM;104;857;1.06;2.568003
ITEM;166;561;0.77;49.53628
ITEM;350;1570;0.92;31.0334
ITEM;320;2575;0.96;17.14813
ITEM;352;2276;1.02;197.8477
ITEM;740;23;1.03;197.8477
ITEM;2545;63;0.55;197.8477
ITEM;674;173;0.66;72363.65
ITEM;676;125;0.76;64961.61
ITEM;750;12;0.81;64961.61
ITEM;756;81;0.56;6820.548
ITEM;678;152;0.71;15090.33
ITEM;2251;39;0.90;6166617
ITEM;711;188;0.55;11079.79
ITEM;2433;64;0.46;182.5885
ITEM;23;4330;1.03;805.8328
ITEM;728;119;0.76;9850.935
ITEM;210;357;0.62;39.44649
ITEM;1489;33;0.25;45867
ITEM;25;7621;1.02;3623.489
ITEM;212;512;1.10;88.06763
ITEM;321;1595;1.10;88.06763
ITEM;121;486;0.91;88.06763
ITEM;106;61;1.09;88.06763
ITEM;601;10;0.50;3911.233
ITEM;303;821;0.95;3911.233
ITEM;342;1168;0.83;16.46815
ITEM;107;752;0.46;3.772818
ITEM;644;12;0.62;66911.46
ITEM;2221;44;0.54;44469.71
ITEM;1207;50;0.97;497426.3
ITEM;407;1530;1.01;387.6218
ITEM;103;1919;0.45;387.6218
ITEM;330;1691;0.59;39.7792
ITEM;607;39;1.06;498002.7
ITEM;6;11678;0.92;199.5612
ITEM;1160;23;0.25;394.1696
ITEM;1169;20;0.25;201671.5
ITEM;1161;12;0.25;201671.5
ITEM;1162;20;0.25;1562.345
ITEM;1163;23;0.25;3139.023
ITEM;1164;32;0.25;5719.042
ITEM;1165;21;0.25;12599.09
ITEM;1166;23;0.25;25083.52
ITEM;1167;12;0.25;25083.52
ITEM;1168;21;0.25;100764.1
ITEM;118;655;0.74;3.50015
ITEM;1493;23;0.25;179168
ITEM;1492;23;0.25;179168
ITEM;1491;21;0.25;179168
ITEM;1494;12;0.25;179168
ITEM;1495;21;0.25;179168
ITEM;1643;63;0.86;145420.2
ITEM;1513;42;0.60;77814.49
ITEM;1633;87;1.04;180906
ITEM;2287;33;1.00;539100.8
ITEM;1563;30;0.88;40150.32
ITEM;213;636;0.62;49.63132
ITEM;600;36;0.57;2295.588
ITEM;1584;35;1.00;654954.8
ITEM;1634;60;0.53;412040.6
ITEM;1564;22;0.89;206640.1
ITEM;2323;15;0.60;206640.1
ITEM;1150;30;0.25;358.3359
ITEM;1159;12;0.25;358.3359
ITEM;1151;20;0.25;702.3384
ITEM;1152;32;0.25;1390.344
ITEM;2192;28;0.81;82329.15
ITEM;1153;12;0.25;82329.15
ITEM;1154;21;0.25;5518.374
ITEM;2194;77;0.61;233756.9
ITEM;1155;22;0.25;11022.41
ITEM;1156;30;0.25;22030.49
ITEM;1157;21;0.25;44046.65
ITEM;1158;20;0.25;88078.98
ITEM;1102;14;0.52;88078.98
ITEM;1014;24;0.90;3957.17
ITEM;1015;80;0.74;2805.885
ITEM;3;9209;0.56;23.51192
ITEM;53;3241;1.08;56.87948
ITEM;1055;38;0.71;2539.186
ITEM;207;939;0.94;106.4169
ITEM;154;1062;0.81;32.89082
ITEM;114;768;0.73;32.89082
ITEM;1402;73;0.87;32.89082
ITEM;2242;54;1.08;32.89082
ITEM;1403;44;0.95;46399.84
ITEM;2243;30;0.75;422462.8
ITEM;21;4321;1.08;243.0934
ITEM;113;713;0.88;4.70432
ITEM;2538;83;0.81;50795.26
ITEM;2544;62;0.67;40385.87
ITEM;2016;590;0.92;40385.87
ITEM;216;441;0.57;75.74423
ITEM;693;125;0.88;9223.77
ITEM;2017;629;0.97;482.7263
ITEM;720;101;0.50;2349.648
ITEM;2532;13;1.15;2349.648
ITEM;723;137;0.52;2349.648
ITEM;755;81;0.99;5295.575
ITEM;626;26;0.45;133405.8
ITEM;323;2368;1.13;38.81196
ITEM;117;947;0.55;38.81196
ITEM;2018;516;0.80;38.81196
ITEM;625;32;0.54;104862.7
ITEM;1054;54;0.71;1540.288
ITEM;1077;29;1.07;313487.2
ITEM;642;1;0.88;313487.2
ITEM;340;1772;0.82;53.4087
ITEM;640;41;0.98;4362.722
ITEM;645;14;0.53;101887.1
ITEM;647;27;1.11;519294
ITEM;749;147;0.71;519294
ITEM;734;119;0.60;122724.3
ITEM;760;70;0.94;122724.3
ITEM;124;294;0.79;69.70967
ITEM;2020;180;1.02;69.70967
ITEM;2021;498;0.79;136.5514
ITEM;5;8200;0.67;86.54497
ITEM;1490;20;0.25;45867
ITEM;75;5901;1.02;114.9106
ITEM;77;3961;0.89;185.5139
ITEM;78;2288;0.94;185.5139
ITEM;2419;27;0.76;2390.773
ITEM;2120;6504;0.92;329.9197
ITEM;2122;4081;0.57;329.9197
ITEM;2123;572;0.94;329.9197
ITEM;2125;3160;1.03;329.9197
ITEM;2127;3901;0.98;329.9197
ITEM;2130;6597;0.78;101.4607
ITEM;333;1705;0.43;106.0868
ITEM;22;4233;1.03;402.7526
ITEM;2113;6470;1.09;59.33847
ITEM;624;35;0.76;84549.13
ITEM;663;25;0.98;84549.13
ITEM;662;35;1.22;84549.13
ITEM;100;1743;0.59;84549.13
ITEM;26;8510;1.00;6813.554
ITEM;408;1027;0.53;2189.019
ITEM;1471;25;0.71;467086.6
</MARKET>
// SKILLS;Skill_id;Price_modifier
<SKILLS>
SKILL;71;1.01
SKILL;41;1.81
SKILL;42;0.64
SKILL;222;1.64
SKILL;43;1.35
SKILL;44;1.27
SKILL;45;1.94
SKILL;46;1.78
SKILL;47;0.23
SKILL;58;0.13
SKILL;64;1.33
SKILL;111;1.78
SKILL;112;0.23
SKILL;113;0.13
SKILL;238;1.13
SKILL;239;1.33
SKILL;251;1.78
SKILL;252;1.23
SKILL;253;1.13
</SKILLS>
// MISSION , dbid , timer, id, data, title, factionid
<MISSIONS>
MISSION;151;120;440659;FABRICATE#7#2508#sector_0_station_3.txt#sector_15_station_0.txt#null#null#null#null;Produce a light container of <color='yellow'>7</color> <color='yellow'>Gyroscope Drives</color> at the StarShepards Headquarters fabricator in <color='cyan'>Void Starcross</color>;14;The Extractors Faction has commissioned a production liaison, <i>Poetim Bembeck</i> at Crystalis Broadcasting. After an audit, <color='yellow'>7</color> items of <color='yellow'>Gyroscope Drives</color> were deemed required. Head on over to <color='cyan'>Void Starcross</color> and manufacture these <color='yellow'>Gyroscope Drives</color> at StarShepards Headquarters.;17385;3750
MISSION;111;600;214453;KILL_RAIDERS#sector_60_station_0.txt#sector_3.txt#1#10#npc_ship_data_(pirate_shuttle_1)#npc_ship_data_(recon_escort_1)#npc_ship_data_(support_escort_1)#npc_ship_data_(excavation_escort_1);Kill <color='yellow'>1 Raider</color> level 10 in <color='cyan'>Starfort Ramos</color>. Return to Biomart in <color='cyan'>Veloxi</color>;14;A medium group of thugs decided to set up camp in the <color='cyan'>Starfort Ramos</color> system. <i>Sapast Mastyouao</i>, who has recently been elected as Overseer of <color='cyan'>Starfort Ramos</color> by the Extractorss, has requesting this contract to maintain in good standing with his constituents. Wipe out the level 10 and return to the Biomart station.;55726;7200
MISSION;70;180;577223;ESCORT#sector_99_station_0.txt#sector_56_station_1.txt#Czar Jagjoh Borsad#npc_ship_data_(recon_utility_3)#16#null#null#null;Escort <color='yellow'><i>Czar Jagjoh Borsad</i></color> from Ferce Hub in <color='cyan'>Semja</color> to ValueStar in <color='cyan'>Hunu</color>;12;A wealthy council member from the Labor faction has set up an escort for his oldest son <color='yellow'><i>Czar Jagjoh Borsad</i></color>. He was recently released from a rehab center for bliss addiction, and <i>Weles Anjoh</i>, his father, would prefer he doesn't travel alone. You can meet up with <color='yellow'><i>Czar Jagjoh Borsad</i></color> at the Ferce Hub station before heading over to ValueStar.;10050;3750
MISSION;150;120;888367;FABRICATE#4#2498#sector_3_station_0.txt#sector_104_station_0.txt#null#null#null#null;Dock at the Daemon Ammunitions station fabricator in <color='cyan'>Starfort Ramos</color> and manufacture a light shipment of <color='yellow'>4</color> <color='yellow'>Connection Harness</color>;12;<i>Welicae Genlei</i> runs a Labor production company at Cecil. After having some issues with a manufacturing plant, <color='yellow'>4</color> items of <color='yellow'>Connection Harness</color> were marked as low supply. Head on over to <color='cyan'>Starfort Ramos</color> and fabricate these <color='yellow'>Connection Harness</color> at Daemon Ammunitions.;21472;7700
MISSION;82;120;850515;RECOVER#1#1156#sector_58.txt#sector_101_station_0.txt#null#null#null#null;Retrieve a light cache of <color='yellow'>1</color> <color='yellow'>Pulse Beam Class 7</color> from a <color='yellow'>crate</color> in <color='cyan'>Lins</color> sector, drop at Vo Industries in <color='cyan'>Brimstone</color>;12;After a skirmish in <color='cyan'>Lins</color>, the Labor's <i>Meljan Risawra</i> cannot account for a light shipment of <color='yellow'>Pulse Beam Class 7</color> he was transporting before the attack. Head out to the <color='cyan'>Lins</color> sector and look for the crate. When found, take the contents of the crate back to the Vo Industries station in the <color='cyan'>Brimstone</color> sector.;14640;3000
MISSION;10;120;374014;DELIVERY#29#102#sector_35_station_0.txt#sector_78_station_0.txt#null#null#null#null;Dock at Astrox Security Patrol in <color='cyan'>Felishar</color> to deliver a light shipment of <color='yellow'>29</color> <color='yellow'>Hydrogens</color>;12;<i>Bastlow Yerfon</i> runs a Labor shipping company at Tella's. After having some issues with a transport ship, <color='yellow'>29</color> items of <color='yellow'>Hydrogens</color> were left behind. Head on over to <color='cyan'>Felishar</color> and deliver these <color='yellow'>Hydrogens</color> to Astrox Security Patrol.;12350;3800
MISSION;130;140;955151;SALVAGE#4#24#sector_36.txt#sector_14_station_1.txt#null#null#null#null;Salvage <color='yellow'>Special Electronic Fragment</color> in <color='cyan'>Beacon Spita</color> and return with <color='yellow'>4</color> to Horizons in <color='cyan'>Gate of Alpharis</color>;12;A local prospector, <i>Wails Vidaelow</i> of the Labor faction has located a light quantity of special <color='yellow'>Special Electronic Fragment</color> in the <color='cyan'>Beacon Spita</color> sector. Head over there and salvage all of the special <color='yellow'>Special Electronic Fragment</color>, and meet <i>Wails Vidaelow</i> back at Horizons station located in the <color='cyan'>Gate of Alpharis</color>.;10980;2250
MISSION;130;140;837317;SALVAGE#3#22#sector_15.txt#sector_99_station_0.txt#null#null#null#null;Salvage <color='yellow'>Special Undamaged Part</color> in <color='cyan'>Jermicus</color> and return with <color='yellow'>3</color> to Ferce Hub in <color='cyan'>Semja</color>;12;A local prospector, <i>Rontaj Zaefastdorn</i> of the Labor faction has located a light quantity of special <color='yellow'>Special Undamaged Part</color> in the <color='cyan'>Jermicus</color> sector. Head over there and salvage all of the special <color='yellow'>Special Undamaged Part</color>, and meet <i>Rontaj Zaefastdorn</i> back at Ferce Hub station located in the <color='cyan'>Semja</color>.;10980;2250
MISSION;127;120;366022;CHAT_PILOT#sector_3_station_0.txt#sector_36.txt#Mr. Amsad Xonuh#npc_ship_data_(battle_frigate_2)#22#missions_transfer_pilot.txt#0#null;Transfer a legal document to <color='yellow'><i>Mr. Amsad Xonuh</i></color> in <color='cyan'>Beacon Spita</color>. Return with confirmation at Daemon Ammunitions in <color='cyan'>Starfort Ramos</color>;14;<color='yellow'><i>Mr. Amsad Xonuh</i></color> is required to provide the Extractors faction a signed legal document. <color='yellow'><i>Mr. Amsad Xonuh</i></color> has returned this document unsigned. Last known sighting of <color='yellow'><i>Mr. Amsad Xonuh</i></color> was in the area of <color='cyan'>Beacon Spita</color>. Locate them and resolve this problem. Then return to Daemon Ammunitions in the <color='cyan'>Starfort Ramos</color> system to deliver confirmation.;26169;4875
MISSION;152;120;191089;FABRICATE#18#2457#sector_0_station_0.txt#sector_16_station_0.txt#null#null#null#null;Manufacture <color='yellow'>18</color> <color='yellow'>Micro Processors</color> at Biomate University station fabricator in <color='cyan'>Void Starcross</color>;12;<i>Raan Xenvisze</i> from Rendo Labs Station has commissioned a production run . He has required a small manufacturing run of <color='yellow'>18</color> <color='yellow'>Micro Processors</color>. Set your GPS autopilot to <color='cyan'>Void Starcross</color> and produce these <color='yellow'>Micro Processors</color> on site at the Biomate University immediately.;17490;3975
MISSION;40;120;116972;SCAN_PILOT#sector_57_station_0.txt#sector_82.txt#Privateer Poezeta Corves#npc_ship_data_(recon_frigate_2)#8#null#null#null;Locate and scan <color='yellow'><i>Privateer Poezeta Corves</i></color> in <color='cyan'>Kidd Overture</color> and return to OmniTrust in <color='cyan'>Ponze</color>;14;<i>Fallbast Qazeno</i> has requested a location verification on a recent employee. <color='yellow'><i>Privateer Poezeta Corves</i></color> is supposed to be running a survey in <color='cyan'>Kidd Overture</color>. Please verify the location of this pilot by scanning their ship and return to OmniTrust in <color='cyan'>Ponze</color>.;18687;4650
MISSION;34;300;572664;TRANSPORT#36#352#sector_103_station_0.txt#sector_14_station_1.txt#null#null#null#null;Transport a shipment of <color='yellow'>36</color> <color='yellow'>Medical Instruments</color> from Temple of the Void in the <color='cyan'>Vindicati</color> Sector to Horizons in <color='cyan'>Gate of Alpharis</color>;12;<i>Timdale Bemxul</i> from the Labor Faction has submitted a medium transport ticket for <color='yellow'>36</color> <color='yellow'>Medical Instruments</color>. Pick up location: Temple of the Void storage facility in <color='cyan'>Vindicati</color>. Drop off location: Horizons in <color='cyan'>Gate of Alpharis</color>. Labor members will be waiting in <color='cyan'>Gate of Alpharis</color>.;19440;7200
MISSION;20;180;836317;COLLECT#3#343#sector_95_station_1.txt#sector_56_station_1.txt#null#null#null#null;Collect a light shipment of <color='yellow'>3</color> <color='yellow'>Foodservice Equipments</color> and return to Acrondia Hub in <color='cyan'>Temple Gates</color>;13;The Contractor Faction's fabrication representative <i>Coujel Togenate</i> is running a bit short on some items needed for an upcoming production run at Acrondia Hub Station in <color='cyan'>Temple Gates</color>. Perhaps you can buy or build <color='yellow'>3</color> <color='yellow'>Foodservice Equipments</color> and bring them by the fabricator at Acrondia Hub.;10560;2400
</MISSIONS>
// SHIP HANGAR;count;Price_modifier;Ship_filename
<HANGAR>
SHIP;1;1.322709;ship_data_(recon_frigate_2).txt
SHIP;1;1.0;ship_data_(excavation_shuttle_1).txt
SHIP;1;1.0;ship_data_(excavation_escort_1).txt
SHIP;1;1.0;ship_data_(excavation_escort_2).txt
SHIP;4;1.0;ship_data_(excavation_utility_1).txt
SHIP;4;1.0;ship_data_(excavation_utility_2).txt
SHIP;4;1.0;ship_data_(excavation_frigate_1).txt
</HANGAR>
// OFFICES;office_name;npc_name;faction_id;faction_req;level;img;scripting_file;scripting_id;
<OFFICE>
OFFICE;(Tutorial Office) Camera Basics;Ratamaq Guru;1;0.0;26;station.png;male_2.png;accessory_18.png;tutorial_camera_basics.txt;2
OFFICE;(Tutorial Office) Navigation Basics;Arji Darn;1;0.0;26;station.png;male_3.png;accessory_18.png;tutorial_navigation_basics.txt;2
OFFICE;(Tutorial Office) Life Support Basics;Carter Burke;1;0.0;26;station.png;male_4.png;accessory_19.png;tutorial_life_support.txt;2
OFFICE;(Tutorial Office) Basic Drones;Daniel Traek;1;0.0;43;station.png;male_4.png;accessory_17.png;tutorial_drones.txt;2
</OFFICE>
// STORAGE;item_id;Qty;0
<STORAGE>


