// STATION DATA (Astrox Imperium) 
// STATION;variable;value
STATION;id;1
STATION;name;StarShepards Headquarters
STATION;type;Worship Center
STATION;owner;Temple Of the Void
STATION;faction;Temple
STATION;material;station_material_Temple.png
STATION;color; 1.0 , 0.0 , 1.0 , 1.0
STATION;level;9
STATION;icon;star_shepards.png
STATION;filename;sector_0_station_3.txt
STATION;max_hp;25000
STATION;dockfee;25
STATION;lease;1
STATION;seed;2-2-0-1-4-0-4-1-3-0-0-4-1-3-6-1-5-1-1-3-1-3-0
STATION;interior_seed;3-3-15-3
STATION;refinery_active_time;0
STATION;fabricator_active_time;0
STATION;last_dock_time;51095.03
// SERVICES;servicename;bool
SERVICES;lounge;False
SERVICES;market;True
SERVICES;refinery;True
SERVICES;garage;True
SERVICES;university;True
SERVICES;hangar;True
SERVICES;storage;True
SERVICES;fabricator;True
SERVICES;contracts;True
SERVICES;admin;True
// ENTERTAINMENT;title;bonus morale, bonus loyalty;price;type;image;description
ENTERTAINMENT;Pod Racing event;0.25,0.0;40000;Sport Racing Event;entertain_race.png;All expense paid trip to the weekly 'Astrox Pod Racing' (APR) event. 25% Morale Boost.
ENTERTAINMENT;Astrox Opera House;0.26,0.07;51000;Musical Entertainment;entertain_opera.png;Provide a private opera concert for your entire crew at the famous 'Astrox Opera House', drinks and food included. 26% Morale , 7% Loyalty bonus.
// MERC;level;Price_modifier;Ship_filename
<MERC>
MERC;1;1.63;npc_ship_data_(support_shuttle_1).txt
MERC;3;1.63;npc_ship_data_(support_escort_1).txt
MERC;9;1.93;npc_ship_data_(support_utility_1).txt
MERC;12;1.23;npc_ship_data_(support_utility_2).txt
MERC;15;1.47;npc_ship_data_(support_frigate_1).txt
</MERC>
// MARKET;Item_id;Qty;Price_modifier
<MARKET>
SELLORDER;Sale Request Order: (1) Items ;1615x12;17406;118452.20
ITEM;1620;80;0.81;1134.4
ITEM;1722;72;0.53;1583.043
ITEM;70;8326;0.73;1583.043
ITEM;1770;110;0.97;8498.397
ITEM;620;12;0.25;730.4375
ITEM;312;2033;0.56;34.11535
ITEM;1711;90;0.87;34.11535
ITEM;1701;63;0.54;1685.914
ITEM;1700;32;1.11;8359.078
ITEM;1560;77;0.83;925.0355
ITEM;736;134;0.98;925.0355
ITEM;1610;45;0.74;788.1124
ITEM;1590;108;0.81;788.1124
ITEM;208;378;0.70;85.35973
ITEM;8;11174;1.15;627.6525
ITEM;115;1628;1.12;627.6525
ITEM;664;20;0.86;98291.38
ITEM;665;21;0.87;183861
ITEM;668;57;0.96;676309.1
ITEM;1113;50;0.66;3503.352
ITEM;1114;91;0.50;4911.485
ITEM;2177;53;0.61;610341.6
ITEM;727;78;0.98;13141.31
ITEM;311;1983;0.78;49.08395
ITEM;729;59;1.10;14941.31
ITEM;116;831;1.10;14941.31
ITEM;109;1345;0.49;14941.31
ITEM;353;2402;0.56;23.21486
ITEM;406;3718;1.06;29.63871
ITEM;403;3135;0.89;18.08001
ITEM;101;1184;0.99;0.6645656
ITEM;168;992;0.97;47.72142
ITEM;623;12;0.25;7304.375
ITEM;606;34;0.99;345574.1
ITEM;110;1277;0.70;345574.1
ITEM;605;47;0.49;92661
ITEM;603;41;0.80;34804.38
ITEM;325;2177;0.47;8.383404
ITEM;404;2513;0.48;9.402187
ITEM;300;1591;0.75;40.18664
ITEM;1779;119;1.00;8792.77
ITEM;301;1502;0.68;80.01855
ITEM;2030;700;0.92;80.01855
ITEM;332;2548;0.41;21.18125
ITEM;28;15237;0.52;4868.224
ITEM;2651;5689;0.71;4868.224
ITEM;666;34;0.79;267574.1
ITEM;661;50;1.10;9960.875
ITEM;108;711;0.91;12.25253
ITEM;2002;421;0.56;12.25253
ITEM;2003;496;0.62;90.88301
ITEM;2469;90;1.12;90.88301
ITEM;2126;9572;0.61;36.33709
ITEM;63;7467;0.90;36.33709
ITEM;628;15;0.25;36.33709
ITEM;660;39;0.60;2480.438
ITEM;112;1420;0.58;13.33045
ITEM;2004;802;1.03;197.6271
ITEM;7;8946;0.92;301.9524
ITEM;1478;121;0.98;301.9524
ITEM;643;39;0.52;20804.38
ITEM;2036;499;0.93;1087.957
ITEM;11;9509;0.84;69.92831
ITEM;24;9014;0.93;1371.305
ITEM;738;148;1.03;1111305
ITEM;2118;9758;0.88;1111305
ITEM;27;18477;0.77;5971.474
ITEM;322;3067;0.82;153.3859
ITEM;2111;8846;0.51;16.97446
ITEM;2114;6984;0.90;56.76104
ITEM;2400;55;0.82;612.9709
ITEM;151;1092;0.69;7.326094
ITEM;204;1186;0.42;7.326094
ITEM;2451;43;0.60;619.1172
ITEM;2038;961;0.66;1176.014
ITEM;2504;26;0.54;11067.03
ITEM;2182;56;0.89;49995.16
ITEM;1124;117;0.87;16011.23
ITEM;2186;40;1.18;1075657
ITEM;1128;89;0.58;158537.1
ITEM;343;2815;1.08;133.724
ITEM;341;2942;1.07;74.29214
ITEM;2112;5626;0.85;37.45359
ITEM;2112;1835;0.98;43.9796
ITEM;2040;497;0.25;43.9796
ITEM;324;1801;0.46;18.12486
ITEM;1002;31;0.80;835.305
ITEM;2006;1134;1.00;835.305
ITEM;123;1593;1.09;151.7589
ITEM;313;3131;0.60;97.03472
ITEM;2;17047;0.98;24.53045
ITEM;2041;403;0.25;97.07513
ITEM;2507;96;0.50;3158.402
ITEM;604;62;0.90;3158.402
ITEM;405;2374;0.79;21.26871
ITEM;1025;109;0.95;17598.62
ITEM;2042;294;0.25;111.8738
ITEM;2508;18;0.64;4926.644
ITEM;648;34;0.78;534109.1
ITEM;602;21;0.93;14456.53
ITEM;2007;1405;0.75;271.1629
ITEM;2008;1413;0.49;173.1216
ITEM;2043;207;0.25;126.0589
ITEM;673;205;0.90;318435
ITEM;675;140;0.95;245365.4
ITEM;731;98;1.06;157754.4
ITEM;759;53;0.93;136304.4
ITEM;2560;8;0.94;1655453
ITEM;679;86;0.55;64682.69
ITEM;2044;519;0.25;64682.69
ITEM;102;1281;0.59;64682.69
ITEM;627;9;0.25;75965.5
ITEM;331;2485;0.48;54.08138
ITEM;646;50;0.61;197374.1
ITEM;2413;80;0.89;5093.847
ITEM;1521;87;0.96;5093.847
ITEM;1531;86;0.58;2397.91
ITEM;746;89;1.01;40773.94
ITEM;1641;44;0.58;6434.465
ITEM;2305;44;0.49;52043.05
ITEM;621;12;0.25;1460.875
ITEM;1631;83;0.98;11840.58
ITEM;1541;60;0.46;928.9967
ITEM;730;93;0.76;29523.94
ITEM;2534;31;1.03;500087.3
ITEM;751;133;1.02;41223.94
ITEM;1561;68;1.01;41223.94
ITEM;2295;62;0.81;27257.8
ITEM;1611;60;0.50;1160.021
ITEM;2320;15;0.94;1160.021
ITEM;1501;57;0.80;1735.276
ITEM;401;315;1.07;2811.315
ITEM;305;1602;1.04;172.1231
ITEM;1174;36;0.72;28586.46
ITEM;2215;12;0.63;585851.1
ITEM;2045;231;0.25;330.6107
ITEM;105;1772;0.75;6.460875
ITEM;2009;614;0.93;6.460875
ITEM;2010;783;1.12;135.1396
ITEM;2011;456;0.62;69.6202
ITEM;20;17868;0.64;52.53658
ITEM;219;349;0.87;77.14501
ITEM;41;8984;0.80;14.54823
ITEM;2387;14;0.58;119.498
ITEM;51;5428;0.61;119.498
ITEM;2119;8155;0.67;249.0785
ITEM;1008;63;1.17;2665.219
ITEM;304;1632;1.00;153.455
ITEM;1005;83;0.89;153.455
ITEM;1006;94;1.14;36470.28
ITEM;742;161;0.63;36470.28
ITEM;747;139;0.43;32608.75
ITEM;2012;1017;0.64;85.02348
ITEM;733;135;1.00;89608.75
ITEM;2535;76;0.77;799305
ITEM;2046;533;0.25;799305
ITEM;211;617;0.69;48.9383
ITEM;2014;748;0.91;228.284
ITEM;752;202;0.69;58608.75
ITEM;758;151;0.50;58608.75
ITEM;712;206;0.63;78913.13
ITEM;209;663;0.60;35.56947
ITEM;2047;199;0.25;535.7029
ITEM;691;192;0.46;10682.63
ITEM;692;74;0.52;6657.4
ITEM;690;65;0.68;8641.313
ITEM;4;18147;1.02;86.11222
ITEM;104;1527;1.14;2.797436
ITEM;2048;266;0.25;652.1493
ITEM;166;1113;0.92;61.36978
ITEM;350;2560;1.01;34.52193
ITEM;320;3345;0.76;13.25297
ITEM;352;3471;0.95;183.1779
ITEM;680;139;1.05;23652.19
ITEM;674;117;0.68;74891.38
ITEM;750;183;0.95;12691.31
ITEM;2557;16;0.75;12691.31
ITEM;670;73;0.89;94330.5
ITEM;23;1969;0.72;431.2613
ITEM;2015;973;0.85;291.4964
ITEM;2481;6;0.86;3544.538
ITEM;25;22084;0.47;3544.538
ITEM;321;2412;1.14;194.1628
ITEM;121;1759;1.08;49.29242
ITEM;106;779;0.40;3.020092
ITEM;601;34;1.01;9060.875
ITEM;150;285;0.57;5.313397
ITEM;303;0;1.05;99.81223
ITEM;342;3322;0.99;20.2914
ITEM;107;1607;0.41;3.275136
ITEM;644;57;0.83;3.275136
ITEM;206;699;0.47;3.275136
ITEM;1205;81;0.94;14631.53
ITEM;1202;95;0.46;12641.11
ITEM;1211;124;0.37;306399.8
ITEM;407;2808;0.77;287.0837
ITEM;103;1893;0.49;0.3552005
ITEM;330;2576;0.52;34.03596
ITEM;607;54;1.12;528365.5
ITEM;6;17666;0.54;528365.5
ITEM;1162;36;1.03;10094.35
ITEM;1168;125;1.10;10094.35
ITEM;118;1053;1.00;4.928481
ITEM;170;1217;0.91;41.27168
ITEM;2282;71;0.72;608857.8
ITEM;1633;128;1.10;608857.8
ITEM;1543;93;0.49;19503.63
ITEM;1563;91;0.91;42059.07
ITEM;2297;15;0.52;260521.5
ITEM;600;55;0.40;1480.438
ITEM;1524;70;0.60;94828.47
ITEM;1754;108;0.76;542451.8
ITEM;1772;79;0.69;5750.925
ITEM;1514;75;0.62;405283.9
ITEM;1614;86;0.37;405283.9
ITEM;1155;67;0.86;58143.13
ITEM;2160;9;0.41;1836.525
ITEM;3;16849;0.91;41.91655
ITEM;2049;401;0.25;769.6182
ITEM;2389;59;0.57;188.2993
ITEM;53;5922;0.47;21.3429
ITEM;1050;80;0.45;726.7838
ITEM;1055;98;1.10;4183.567
ITEM;1051;125;0.97;4183.567
ITEM;164;1265;0.72;4183.567
ITEM;114;1375;0.91;1.692784
ITEM;1405;42;0.41;53565.31
ITEM;1407;43;0.43;53565.31
ITEM;2247;83;0.92;5875830
ITEM;21;16519;0.65;109.2175
ITEM;113;1724;0.94;109.2175
ITEM;119;1832;0.70;89.88999
ITEM;2538;26;0.50;28518.3
ITEM;722;173;0.45;2076.525
ITEM;216;506;0.92;132.6958
ITEM;693;160;0.55;132.6958
ITEM;703;169;0.83;3630.438
ITEM;217;462;0.68;108.3045
ITEM;723;76;1.03;5556.525
ITEM;755;150;1.11;6036.525
ITEM;725;97;0.70;8941.313
ITEM;626;10;0.25;56974.13
ITEM;608;20;0.85;589409.1
ITEM;323;3579;0.69;22.32993
ITEM;1450;83;0.44;1680.438
ITEM;117;1914;0.90;1680.438
ITEM;156;1153;0.70;1680.438
ITEM;625;11;0.25;35061
ITEM;1054;31;0.98;2234.023
ITEM;1069;78;0.83;14812.18
ITEM;1078;80;0.55;291205.9
ITEM;642;30;1.08;17081.53
ITEM;340;1781;0.80;52.485
ITEM;640;41;1.09;4930.438
ITEM;645;11;0.50;95061
ITEM;162;571;0.96;22.17266
ITEM;647;28;0.69;304765.5
ITEM;744;132;0.84;184021.9
ITEM;749;155;0.78;169021.9
ITEM;734;85;0.91;201521.9
ITEM;754;212;1.01;201521.9
ITEM;124;560;0.89;80.57397
ITEM;2021;1104;0.87;153.7538
ITEM;2487;56;0.58;1146.419
ITEM;5;8996;0.64;1146.419
ITEM;2416;58;0.51;613.5982
ITEM;76;3631;0.93;144.5653
ITEM;77;7747;0.48;88.68143
ITEM;78;6614;0.84;88.68143
ITEM;2124;8779;0.69;618.6154
ITEM;2120;6854;0.79;618.6154
ITEM;2121;11185;0.85;396.0979
ITEM;2121;1831;1.00;475.7329
ITEM;2122;13179;0.62;475.7329
ITEM;2122;4336;0.63;358.0025
ITEM;2123;5389;0.61;432.9579
ITEM;2127;3766;1.19;432.9579
ITEM;2130;3261;1.20;164.5228
ITEM;1300;45;0.53;5965.225
ITEM;333;3416;0.77;218.5433
ITEM;22;21444;0.43;218.5433
ITEM;2113;4304;1.04;56.44607
ITEM;2116;221;0.49;38.8404
ITEM;2402;81;1.08;38.8404
ITEM;624;16;0.25;38.8404
ITEM;663;45;0.54;21804.38
ITEM;662;36;0.57;8156.531
ITEM;100;1630;0.61;0.2530438
ITEM;26;19147;1.02;5588.134
ITEM;408;1615;0.65;2856.583
ITEM;1470;53;0.65;2856.583
ITEM;1471;104;0.61;394748.3
ITEM;9;16137;0.64;498.5614
</MARKET>
// SKILLS;Skill_id;Price_modifier
<SKILLS>
SKILL;234;0.99
SKILL;212;1.84
SKILL;102;1.64
SKILL;225;1.05
</SKILLS>
// MISSION , dbid , timer, id, data, title, factionid
<MISSIONS>
MISSION;61;140;215322;HARVEST#93#1#sector_35.txt#sector_14_station_0.txt#null#null#null#null;Mine <color='yellow'>Special Adamyte Ore</color> in <color='cyan'>Felishar</color> and return with <color='yellow'>93</color> to Imperium Republica  in <color='cyan'>Gate of Alpharis</color>;10;While collecting some junk in the <color='cyan'>Felishar</color> system, <i>Lesbor Yona</i> discovered a light haul of <color='yellow'>93</color> <color='yellow'>Special Adamyte Ore</color>. Unable to collect the material alone, <i>Lesbor Yona</i> has requested that a capable pilot harvest the <color='yellow'>Special Adamyte Ore</color> and drop it off at the Imperium Republica  station located in the <color='cyan'>Gate of Alpharis</color>.;10785;1700
MISSION;112;600;389032;KILL_RAIDERS#sector_56_station_1.txt#sector_77.txt#9#10#npc_ship_data_(pirate_shuttle_1)#npc_ship_data_(recon_escort_1)#npc_ship_data_(support_escort_1)#npc_ship_data_(excavation_escort_1);Destroy <color='yellow'>9 Raiders</color> in <color='cyan'>Ballast Crow</color> and return to ValueStar in <color='cyan'>Hunu</color>;11;A large Raider gang has been seen lurking around in <color='cyan'>Ballast Crow</color>. Their leader, <i>Sipla Tome</i>, is a wanted criminal and the Orthodox faction has requested a bounty on <i>Sipla Tome</i> and his crew. Travel to the <color='cyan'>Ballast Crow</color> and clear out the <color='yellow'>9 Raiders</color>, level 10 that have been lurking around. Dock at the ValueStar station in <color='cyan'>Hunu</color> when complete.;53290;8400
MISSION;62;140;400327;HARVEST#191#8#sector_81.txt#sector_103_station_0.txt#null#null#null#null;Excavate <color='yellow'>Special Belasite Ore</color> in <color='cyan'>Ferrelis Cove</color> and return with <color='yellow'>191</color> to Temple of the Void in <color='cyan'>Vindicati</color>;10;<i>Yerfei Goreyerou</i> has discovered a light deposit of <color='yellow'>Special Belasite Ore</color> in <color='cyan'>Ferrelis Cove</color>. He is currently unable to mine the <color='yellow'>Special Belasite Ore</color>, and has requested a pilot to head over and harvest the <color='yellow'>191</color> <color='yellow'>Special Belasite Ore</color>. Once complete, head over and meet <i>Yerfei Goreyerou</i> at the Temple of the Void station located in the <color='cyan'>Vindicati</color>.;18449;4625
MISSION;123;180;189056;CHAT_PILOT#sector_56_station_0.txt#sector_61.txt#Czar Manostra Lashomba#npc_ship_data_(support_shuttle_1)#16#missions_arrest_escort.txt#0#null;Detain <color='yellow'><i>Czar Manostra Lashomba</i></color> in <color='cyan'>Ambervellis Drea</color> and escort them to Transporteers in <color='cyan'>Hunu</color>;10;<i>Neei Zetayobe</i> has requested that <color='yellow'><i>Czar Manostra Lashomba</i></color> be escorted back into custody. Authorities of the Missionary faction has determined guilt opon the accused. <color='yellow'><i>Czar Manostra Lashomba</i></color> has refused to cooperate with the courts. Last known sighting of <color='yellow'><i>Czar Manostra Lashomba</i></color> was in the vicinity of the <color='cyan'>Ambervellis Drea</color> system. Have a chat with them ann bring them back for further questioning.;26096;6900
MISSION;80;120;312925;RECOVER#1#1404#sector_81.txt#sector_82_station_0.txt#null#null#null#null;Recover a light quantity of <color='yellow'>1</color> <color='yellow'>Salvage Collector 5</color> in <color='cyan'>Ferrelis Cove</color>, and return to Kith in <color='cyan'>Kidd Overture</color>;10;The Missionary faction has lost track of a light crate somewhere in the <color='cyan'>Ferrelis Cove</color> system. Head over there and recover the crate containing <color='yellow'>1</color> units of <color='yellow'>Salvage Collector 5</color>, and dock at the Kith in the <color='cyan'>Kidd Overture</color> sector. <i>Cotu Weliferrib</i> has been instructed to wait for the lost cargo at the Kith station.;17451;4375
MISSION;61;140;352947;HARVEST#115#6#sector_80.txt#sector_0_station_5.txt#null#null#null#null;Mine <color='yellow'>Special Plasite Ore</color> in <color='cyan'>Blades of Dandrow</color> and return with <color='yellow'>115</color> to Proctors Center in <color='cyan'>Void Starcross</color>;9;While collecting some junk in the <color='cyan'>Blades of Dandrow</color> system, <i>Aosad Raxe</i> discovered a light haul of <color='yellow'>115</color> <color='yellow'>Special Plasite Ore</color>. Unable to collect the material alone, <i>Aosad Raxe</i> has requested that a capable pilot harvest the <color='yellow'>Special Plasite Ore</color> and drop it off at the Proctors Center station located in the <color='cyan'>Void Starcross</color>.;10540;3400
MISSION;51;120;983956;SCAN_STRUCTURE#sector_14_station_1.txt#sector_101.txt#Corporate Dock#structure_dock_1.txt#1#null#null#null;Find the target <color='yellow'>Corporate Dock</color> structure in <color='cyan'>Brimstone</color>, scan, and return to Horizons in <color='cyan'>Gate of Alpharis</color>;11;<i>Fasttad Deegeeah</i> has requested that someone verify the location of <color='yellow'>Corporate Dock</color> in the <color='cyan'>Brimstone</color> sector. After a recent mix-up at the zoning office, the Orthodox reps are concerned that construction guidelines were not followed properly. Return to the Horizons station located in the <color='cyan'>Gate of Alpharis</color> with the scan data.;14945;4375
MISSION;53;150;965193;SCAN_STRUCTURE#sector_99_station_0.txt#sector_79.txt#Shlick Diamond's#structure_raider_hideout.txt#1#null#null#null;Scan the <color='yellow'>Shlick Diamond's</color> structure in <color='cyan'>Dragon Sea</color> and return to Ferce Hub in <color='cyan'>Semja</color>;9;Space rats have infested the <color='yellow'>Shlick Diamond's</color> structure over in <color='cyan'>Dragon Sea</color>. <i>Sadxe Coubaas</i> has been trying to get help with the infestation, but until the structure is scanned, Temple union members are not going to come. Head back to the Ferce Hub station located in the <color='cyan'>Semja</color> with a scan report.;13542;2775
MISSION;81;120;502581;RECOVER#2#1113#sector_81.txt#sector_0_station_5.txt#null#null#null#null;Locate a light <color='yellow'>Crate</color> in the <color='cyan'>Ferrelis Cove</color> sector, recover the <color='yellow'>2</color> <color='yellow'>Blaster x4 Lasers</color> and return to Proctors Center in <color='cyan'>Void Starcross</color>;10;<i>Ilssad Lockizaecor</i> has lost track of a shipment crate from his last haul. It has been reported found in <color='cyan'>Ferrelis Cove</color>. In an effort to save time, <i>Ilssad Lockizaecor</i> has sub-contracted the task of returning the light shipment to Proctors Center in <color='cyan'>Void Starcross</color>. The Missionary faction is aware of the situation and has sent a representative to Proctors Center.;13125;4688
</MISSIONS>
// SHIP HANGAR;count;Price_modifier;Ship_filename
<HANGAR>
SHIP;1;1.1;ship_data_(support_shuttle_1).txt
SHIP;1;1.1;ship_data_(support_escort_1).txt
SHIP;1;1.1;ship_data_(support_escort_2).txt
SHIP;4;1.02;ship_data_(support_utility_1).txt
SHIP;4;1.02;ship_data_(support_utility_2).txt
SHIP;4;1.02;ship_data_(support_frigate_1).txt
</HANGAR>
// OFFICES;office_name;npc_name;faction_id;faction_req;level;img;scripting_file;scripting_id;
<OFFICE>
OFFICE;(Tutorial Office) Camera Basics;Ratamaq Guru;1;0.0;26;station.png;male_2.png;accessory_18.png;tutorial_camera_basics.txt;2
OFFICE;(Tutorial Office) Navigation Basics;Arji Darn;1;0.0;26;station.png;male_3.png;accessory_18.png;tutorial_navigation_basics.txt;2
OFFICE;(Tutorial Office) Life Support Basics;Carter Burke;1;0.0;26;station.png;male_4.png;accessory_19.png;tutorial_life_support.txt;2
OFFICE;(Tutorial Office) Basic Drones;Daniel Traek;1;0.0;43;station.png;male_4.png;accessory_17.png;tutorial_drones.txt;2
</OFFICE>
// STORAGE;item_id;Qty;0
<STORAGE>



